"Q" "C"
"AA" 0.0009765625 0.000887764467131098
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0.000252016129032258 0.000154223356130486
"AZ" 0 0
"BA" 0.00207852007656695 0.00149888937130875
"BD" 0 0
"BF" 0 0
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 0 0
"BU" 0 0
"BV" 4.40140845070423e-05 2.47584128265689e-05
"CN" 0.00296592275748975 0.00161203206736682
"CO" 6.12745098039216e-05 4.94013408738651e-05
"CQ" 0.0132704460349335 0.00990069952927844
"CT" 0 0
"CU" 0.00129955642299722 0.000823059528426434
"DA" 0.0027431426655752 0.00210239365606401
"DB" 0.000211514894419306 0.000171550816716841
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0.0194845662336167 0.0152102509672215
"DQ" 0.0099856259847633 0.00772607677986178
"DR" 0.00342884605003777 0.00251543829152552
"DS" 0.00310296474358974 0.00211399390643446
"DT" 0 0
"DW" 0.000153186274509804 0.000141564810563097
"DX" 0.000105574324324324 8.1187645226648e-05
"DY" 0.000162760416666667 0.000155169058885099
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0 0
"EO" 0 0
"EP" 0.000514942956349206 0.000485359785925926
"EQ" 0.00680498054058909 0.00495680052115312
"ER" 0 0
"ES" 0 0
"ET" 0 0
"EU" 0 0
"EV" 0.000126378676470588 0.000110444614447069
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0 0
"FF" 0.00143612132352941 0.00106325778508368
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0 0
"GA" 0.00139508928571429 0.00121771380756748
"GC" 0 0
"GM" 0 0
"GU" 0 0
"GY" 0 0
"HA" 0 0
"HB" 0 0
"HE" 0 0
"HF" 0 0
"HI" 0 0
"HL" 0.00296556561618418 0.00206807766671114
"HQ" 0 0
"HT" 0 0
"HY" 0.000600319989106754 0.000452818483373989
"IA" 0.00558346603967808 0.00398032239583661
"ID" 0 0
"IF" 0 0
"IG" 0.00315372102263743 0.00230160378177418
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0 0
"JI" 0 0
"JM" 0 0
"JO" 0 0
"JS" 0 0
"JU" 0 0
"JW" 0 0
"JY" 0.000153186274509804 0.00014049630454971
"KA" 0 0
"KI" 0.006549302413273 0.00545542405171858
"KM" 0.0192772087591186 0.0146646506752473
"KU" 0 0
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0.0132144521663197 0.00617110732651475
"LJ" 0.00480715974321907 0.00304381870357616
"LQ" 0.000390625 0.000283747374983786
"MA" 0.00374014021538363 0.00278684308397884
"MC" 0.000187174479166667 0.000136514853046137
"ML" 0 0
"MM" 0 0
"MQ" 0 0
"MR" 0 0
"MU" 0 0
"MW" 0 0
"MY" 0.00106420272435897 0.000837816490213637
"NE" 0.0175017491598073 0.0130094629772531
"NI" 0.00323634571106997 0.00266006081431321
"NM" 0 0
"NN" 0.000236742424242424 0.000196353999518349
"NQ" 0 0
"NS" 0 0
"NU" 0 0
"OA" 0 0
"OE" 0 0
"OI" 0.000325520833333333 0.000205136964676956
"OM" 0 0
"OO" 0 0
"OP" 0 0
"OR" 0 0
"OT" 0.000226449275362319 0.000188192185014718
"OU" 0 0
"OX" 0 0
"OY" 0 0
"OZ" 0 0
"PA" 0 0
"PC" 0 0
"PD" 0 0
"PE" 0 0
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0.000183344822303922 0.000176878556942065
"PQ" 0 0
"PS" 0 0
"PT" 0.000731564125596029 0.000496783056736671
"PU" 0 0
"PW" 0.000785383597883597 0.00051528136988895
"PY" 0.0843526579894815 0.0488034412682777
"PZ" 0 0
"QA" 0.00250180196173078 0.00149721655138299
"QC" 0 0
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 0 0
"QU" 0.000236742424242424 0.00020965644821298
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0 0
"RP" 0 0
"RQ" 0 0
"RT" 0.355787072882247 0.138925972406542
"RU" 0.102332858717618 0.0514952707345014
"RX" 0.00782224460324539 0.00390794474922943
"RY" 0 0
"RZ" 0.00099433366023755 0.000780215054952344
"SA" 0.00285628901667505 0.00218642033926518
"SD" 0.00385569614085239 0.00312673248184762
"SI" 0 0
"SR" 0 0
"SU" 0.00130208333333333 0.00116240634469787
"SY" 0 0
"TA" 0 0
"TC" 0.0158702196608326 0.012132994543891
"TD" 0.00048828125 0.000373912833893658
"TE" 0 0
"TI" 0 0
"TM" 0.00607187840413943 0.00399189378260917
"TQ" 0.0109190888807672 0.00718571262530029
"TU" 0.00727680226048139 0.004351372128445
"UA" 0 0
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0.0132947613603209 0.00758878270555412
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0 0
"UU" 0 0
"UY" 0 0
"VE" 0.0410478142311111 0.0235933848997995
"VI" 0.00171314088786361 0.000929246395109132
"VJ" 0.000844548891423891 0.000581390462768659
"VM" 0 0
"VP" 0 0
"VS" 0 0
"VX" 0.00242137239450945 0.00161323809236496
"VY" 0.0202153890034296 0.0147150037355572
"WC" 0.0204679542142116 0.0120828635058348
"WE" 0.00273003472222222 0.00202767886891316
"WF" 0 0
"WH" 0.00545634086014268 0.00469463047498691
"WM" 0 0
"WQ" 0.001953125 0.00181419403395752
"WU" 0.000250286041189931 0.000204047886235397
"WV" 0.000459558823529412 0.000343382624086561
"WY" 0 0
"XA" 0 0
"XE" 0 0
"XQ" 0 0
"XW" 0.0198375596654585 0.0154794278922621
"XY" 0.00183081539199933 0.00175349716839549
"YA" 0.0311718217909186 0.0217449291333462
"YE" 0 0
"YG" 0 0
"YI" 0 0
"YO" 0 0
"YP" 0.00108924278846154 0.000806993498699838
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0 0
"ZA" 0.000813802083333333 0.000700794059773938
"ZC" 0 0
"ZD" 0.0757768951483207 0.0487339668113777
"ZE" 0 0
"ZK" 0 0
"ZM" 0.00043985423762773 0.000374288893586095
"ZQ" 0 0
"ZR" 0 0
