"Q" "C"
"AA" 0 0
"AC" 3.82204555878306e-05 3.74801722585709e-05
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0.000952612566656188 0.000541620588366163
"AZ" 0 0
"BA" 0.00397554935923394 0.00284637277622237
"BD" 0 0
"BF" 0 0
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 0 0
"BU" 8.46310088016249e-05 8.45389650516524e-05
"BV" 0.000299511069237611 0.000147088869300802
"CN" 0.00459280728556556 0.00213148109130878
"CO" 0.00128568296330139 0.00102218382294506
"CQ" 0.0127003497331327 0.00932798428022673
"CT" 3.15955766192733e-05 2.1445435463748e-05
"CU" 0.00480326502216881 0.00292380107422856
"DA" 0.00172196675105339 0.00130355149607709
"DB" 0.000495875021941373 0.000400694093366552
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0.0171983960421311 0.0136435051849852
"DQ" 0.00675743901992815 0.00562184092034875
"DR" 0.00471076909504251 0.00341322038394888
"DS" 0.00681650071520804 0.00478381311017103
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0.000546092719951538 0.000518743910574824
"EA" 0.000106104548348306 0.000100325314458207
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0 0
"EO" 0 0
"EP" 0.00107454685968571 0.000998220166222046
"EQ" 0.00166938273579693 0.00122575188929282
"ER" 0.000292895895017066 0.000247725158300213
"ES" 5.73306833817459e-05 5.5807575350109e-05
"ET" 6.3700759313051e-05 6.0601141131631e-05
"EU" 0 0
"EV" 0.000525075097810636 0.000455196375648385
"EW" 5.26592943654554e-05 5.14723193625821e-05
"EX" 0.000165957241368211 0.000159639121586385
"FA" 0 0
"FE" 0 0
"FF" 0.0024168183981274 0.00188032540256742
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0.000977958323929888 0.000917397068622189
"GA" 0 0
"GC" 0 0
"GM" 2.72375660510977e-05 1.9763676222235e-05
"GU" 0.000157977883096366 0.000151925416789845
"GY" 0 0
"HA" 0.00010771219302025 0.000103500742899191
"HB" 0.000148104265402844 0.000130632501433641
"HE" 0.000148104265402844 0.000116806469041772
"HF" 0 0
"HI" 0.0002154243860405 0.000197079221834482
"HL" 0.000861512324782466 0.00065214980257281
"HQ" 0 0
"HT" 0 0
"HY" 0.000804463940087359 0.00058752094607061
"IA" 0.00783489658422997 0.00568598512791465
"ID" 0 0
"IF" 0 0
"IG" 0.00701267900843793 0.0050796562335196
"IH" 5.26592943654554e-05 5.16241128070316e-05
"II" 0.000157977883096366 0.000155036986645539
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
