"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0.000121743364986608 0.000105117197565242
"AY" 0.00322879857193583 0.00188217686292528
"AZ" 0 0
"BA" 0.011419467254023 0.00827857069294153
"BD" 0 0
"BF" 0.000643500643500644 0.000578404629418874
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 0 0
"BU" 0 0
"BV" 0.0003971713649133 0.00021692527371433
"CN" 0.00358607628108827 0.00186639484357981
"CO" 0.00253615902264551 0.00198589181410985
"CQ" 0.0151730866396323 0.0109175415773972
"CT" 0 0
"CU" 0.00584988414445779 0.0035402129433581
"DA" 0.00143304778854651 0.00106401340749324
"DB" 0.00215096376280587 0.00169788438554113
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0.0137238011971298 0.01068680954899
"DQ" 0.00345329525361602 0.00287133754326492
"DR" 0.0120911818005364 0.00856716843871816
"DS" 0.0119129787125133 0.0083302156885329
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0.000273000273000273 0.000258006587751607
"EA" 0.0013000013000013 0.00122120246738094
"EC" 0 0
"EE" 0 0
"EI" 0.000273000273000273 0.000264923304994848
"EN" 0 0
"EO" 0 0
"EP" 0 0
"EQ" 0.000564004865080134 0.000428039557263716
"ER" 0 0
"ES" 0 0
"ET" 0 0
"EU" 0 0
"EV" 0.000653852232799601 0.000567454222015851
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0 0
"FF" 0.00116871072753426 0.000902722243067286
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0 0
"GA" 0.000992063492063492 0.000865785944671429
"GC" 0 0
"GM" 0.0005005005005005 0.000372576143151719
"GU" 0 0
"GY" 0 0
"HA" 0 0
"HB" 0 0
"HE" 0.000112612612612613 9.12599368391561e-05
"HF" 0 0
"HI" 0 0
"HL" 0.00037701099792603 0.000282621820802394
"HQ" 0 0
"HT" 0.000643500643500644 0.000562968307037869
"HY" 0.0024324888798573 0.00176930164513121
"IA" 0.00241282949616283 0.00174721650892893
"ID" 0 0
"IF" 0.000125125125125125 0.000121524615194991
"IG" 0.0028047531337005 0.00205483477891265
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0.000138600138600139 0.000135928773009815
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0 0
"JI" 0 0
"JM" 0 0
"JO" 0 0
"JS" 0 0
"JU" 0 0
"JW" 0 0
"JY" 0 0
"KA" 0 0
"KI" 0.0347118883754591 0.0281656785031083
"KM" 0.0313679140938305 0.0231529214292143
"KU" 0 0
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0.00717452949780091 0.0035362748416886
"LJ" 0.00306895241105767 0.00207773844338591
"LQ" 0 0
"MA" 0.00261400222133982 0.00201048506108411
"MC" 0 0
"ML" 0 0
"MM" 0 0
"MQ" 0 0
"MR" 0 0
"MU" 0 0
"MW" 0 0
"MY" 0.000563063063063063 0.000451441007489958
"NE" 0.00989595385880216 0.00777645587472929
"NI" 0.0125484064673254 0.0101548522516953
"NM" 0 0
"NN" 0.00281531531531531 0.00234494483112725
"NQ" 0 0
"NS" 0 0
"NU" 0 0
"OA" 0.000534625534625535 0.000511531333769094
"OE" 0 0
"OI" 0.000173250173250173 0.000110587594874899
"OM" 0 0
"OO" 0 0
"OP" 0 0
"OR" 0 0
"OT" 0.000290613193839001 0.000240589234728624
"OU" 0 0
"OX" 0 0
"OY" 0 0
"OZ" 0 0
"PA" 0 0
"PC" 0 0
"PD" 0 0
"PE" 0 0
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 4.50450450450451e-05 4.3348420349939e-05
"PQ" 0 0
"PS" 0 0
"PT" 8.83236177353823e-05 6.35848102638632e-05
"PU" 0 0
"PW" 0.0011329063053201 0.000763478679735849
"PY" 0.0501895426860002 0.0319054621974926
"PZ" 0 0
"QA" 0.00517637360756769 0.0030748612949292
"QC" 0 0
"QD" 0 0
"QE" 0.000675675675675676 0.000577723727995566
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 0 0
"QU" 0.00112612612612612 0.000979975215671385
"RA" 0.000333667000333667 0.000257295320706639
"RB" 0 0
"RE" 0 0
"RO" 0 0
"RP" 0 0
"RQ" 0 0
"RT" 0.338053919761308 0.13632926714037
"RU" 0.147618202289213 0.0702446274442214
"RX" 0.0104065344988903 0.00503375805879367
"RY" 0 0
"RZ" 0.000333667000333667 0.000273764431643086
"SA" 0.000966512731218614 0.000757111218855663
"SD" 0.000615198531865199 0.000510563096865598
"SI" 0 0
"SR" 0 0
"SU" 0.00811996206733049 0.00716041413777089
"SY" 0.0015015015015015 0.00146693330188838
"TA" 0 0
"TC" 0.0100012551250941 0.00778498000071996
"TD" 0.00677677677677678 0.00513768774249428
"TE" 0 0
"TI" 0 0
"TM" 0.0112934285957509 0.00730278202765708
"TQ" 0.0129414783955548 0.00882766834770868
"TU" 0.0133512212402581 0.00792495095015082
"UA" 0 0
"UB" 0.0018018018018018 0.00176810676868121
"UE" 0.000138600138600139 0.000128630342149682
"UF" 0 0
"UH" 0.00081900081900082 0.000798981408439366
"UI" 0.00025025025025025 0.000246628467092778
"UK" 0 0
"UM" 0.0199689147307278 0.0111660319047009
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0 0
"UU" 0 0
"UY" 0 0
"VE" 0.0212623155184655 0.0126616161331887
"VI" 0.00253341252448663 0.00137868277253154
"VJ" 0 0
"VM" 0 0
"VP" 0 0
"VS" 0 0
"VX" 0.00309137806370571 0.00200416986253603
"VY" 0.0221644834851543 0.0162148879812902
"WC" 0.00715837613696668 0.00442822596606384
"WE" 0.00342493656447145 0.00261994496153316
"WF" 0.000281531531531532 0.000239897226670716
"WH" 0.00641550641550642 0.0055850507500478
"WM" 0 0
"WQ" 0 0
"WU" 0 0
"WV" 0.000187687687687688 0.000148252597495498
"WY" 0 0
"XA" 0 0
"XE" 0 0
"XQ" 0.00118032470973647 0.00108480918840732
"XW" 0.0155969207516295 0.0124595221654181
"XY" 0.000133368662780427 0.000127904558530746
"YA" 0.0456722633365674 0.0321509814162393
"YE" 0 0
"YG" 0 0
"YI" 0 0
"YO" 0.00021986271986272 0.000159456627461235
"YP" 0.0021945021945022 0.00164131615398626
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0 0
"ZA" 0.00572715572715573 0.00499725452895785
"ZC" 0.000460687960687961 0.000418151855367343
"ZD" 0.00825221364695048 0.00583967917580518
"ZE" 0.000243486729973217 0.00021003719568261
"ZK" 0 0
"ZM" 0.00182197461339228 0.00151702448355736
"ZQ" 0 0
"ZR" 0 0
