"Q" "C"
"AA" 9.83174034249303e-05 8.95691856930959e-05
"AC" 8.81834215167549e-05 8.67303215828339e-05
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0.000404467960023516 0.000352147741745128
"AY" 0.00245049997042881 0.00135459214037
"AZ" 0 0
"BA" 0.0067521736523772 0.00489517859071706
"BD" 0 0
"BF" 0.0021604938271605 0.00192875634301419
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 0 0
"BU" 0 0
"BV" 0.000522611523831613 0.000266439546421485
"CN" 0.00394600222363756 0.00188959815388219
"CO" 0.00158855495647743 0.00120688001202946
"CQ" 0.0325091411447298 0.0223160921526906
"CT" 7.13191281001738e-05 4.65890423507959e-05
"CU" 0.00433049186732472 0.00247370678272076
"DA" 0.00201231025292583 0.0014339043702857
"DB" 0.00108137628070585 0.000829018521166548
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0.00609756671393891 0.00477925429627912
"DQ" 0.0053166265001732 0.00446645253339244
"DR" 0.0134703568316084 0.00917213750106298
"DS" 0.00300000563433798 0.00214628487240489
"DT" 0 0
"DW" 0 0
"DX" 0.000991672957716002 0.00072587050208859
"DY" 0.000317734585723558 0.000298432767221018
"EA" 2.80583613916947e-05 2.62314334426096e-05
"EC" 9.90295107942166e-06 9.64449650066361e-06
"EE" 5.36768652710681e-05 5.11251756436737e-05
"EI" 5.29100529100529e-05 5.12560587063376e-05
"EN" 0 0
"EO" 0 0
"EP" 0.00027165368062934 0.000253583326898114
"EQ" 0.0016739849381408 0.00124744660561705
"ER" 0 0
"ES" 0 0
"ET" 0 0
"EU" 0 0
"EV" 0.000690759768824903 0.000591057770887532
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 2.89351851851852e-05 2.68546652630473e-05
"FF" 0.000636736175951862 0.000505016433227472
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0.000594993141289438 0.00055817384235819
"GA" 0.000259017187121762 0.000227370475454632
"GC" 0 0
"GM" 0.00141328630217519 0.00103320558827759
"GU" 0 0
"GY" 0 0
"HA" 0 0
"HB" 0 0
