"Q" "C"
"AA" 0.00416306717442746 0.00380239810398644
"AC" 0.000158428390367554 0.000154737459530751
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 1.47375246853538e-05 1.30648799630776e-05
"AI" 0.000176105663398039 0.000173128085948545
"AM" 0 0
"AQ" 9.64393129059399e-05 8.40849011339026e-05
"AY" 0.00144523890736758 0.000742628423135167
"AZ" 0 0
"BA" 0.00409752188834401 0.00311711392434795
"BD" 0 0
"BF" 0 0
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 9.50570342205324e-05 9.06867073812762e-05
"BQ" 0 0
"BU" 0 0
"BV" 0.00067556304172101 0.000324787276196806
"CN" 0.00582238628007381 0.00265133656640384
"CO" 0.00645108458781293 0.0046019836448185
"CQ" 0.0575731358817539 0.0359371313251359
"CT" 0.000133184277714013 8.19051551810211e-05
"CU" 0.00757883406859505 0.00392540463081487
"DA" 0.00726705115685983 0.00474002867841577
"DB" 0.00237299587303408 0.00172810801940889
"DE" 0.000105618926911703 9.37398482753173e-05
"DI" 0 0
"DK" 5.94106463878327e-05 5.92119995293144e-05
"DM" 0.0155457204165718 0.012103415985929
"DQ" 0.00355551533280231 0.00304164232550466
"DR" 0.0271338194926446 0.0168463859605302
"DS" 0.00170521764352735 0.00129635428687471
"DT" 0 0
"DW" 4.80908700258914e-05 4.24907092640842e-05
"DX" 0.0010865425085955 0.000752029238730709
"DY" 0.00157504512270115 0.00145043828098277
"EA" 0.000694631470802769 0.000637318392715515
"EC" 3.58734348889589e-05 3.45746009298132e-05
"EE" 0.000378162503562744 0.000354934839165404
"EI" 0.000298287771412063 0.000284958661830317
"EN" 0 0
"EO" 0 0
"EP" 0.00361955836364884 0.003337661057246
"EQ" 0.00519400502572978 0.00394795780059896
"ER" 0.000481785662972556 0.000403617148573135
"ES" 0 0
"ET" 2.73152397185438e-05 2.57212021373347e-05
"EU" 6.70202356431485e-05 6.42707961482671e-05
"EV" 0.00104928913568039 0.000876415288843061
"EW" 2.73152397185438e-05 2.66085582360814e-05
"EX" 0.000136178645963088 0.000130340293852012
"FA" 0 0
"FE" 0.000570342205323194 0.000529599442977531
"FF" 0.000357784114913392 0.000303009308258396
"FI" 3.14301484116276e-05 2.96931865464627e-05
"FS" 0 0
"FU" 0 0
"FY" 0.000629559471668535 0.000593280604536987
"GA" 0.00168028900051279 0.00147794052278195
"GC" 0.000495066086446501 0.000492834852629335
"GM" 0.0030415309588932 0.0022189141130052
"GU" 0.00022938933428084 0.000215826756045826
"GY" 5.94106463878327e-05 5.87134305537288e-05
"HA" 8.26582906265499e-06 7.96936747983129e-06
"HB" 1.93993947388841e-05 1.74691992091871e-05
"HE" 0.000172827922875959 0.000141485877258958
"HF" 7.9214195183777e-05 6.81995707927338e-05
"HI" 0.000225058091881268 0.000206565741431445
"HL" 0.000661390102005614 0.000535872236307722
"HQ" 1.15220647540039e-05 1.11407318264017e-05
"HT" 0.000141930259832934 0.000117973227507286
"HY" 0.0115831961176153 0.00745217643874542
"IA" 0.0120812472093098 0.00829941230701033
"ID" 0 0
"IF" 0 0
"IG" 0.00249715897163951 0.00182526492304761
"IH" 0 0
"II" 5.28094634558512e-05 5.11736988251643e-05
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0.000615624816348244 0.000600004160475593
"IU" 8.1614625340861e-05 8.02785268395114e-05
"IX" 0 0
"IY" 0 0
"JA" 0.000293491121646617 0.000278831921438775
"JB" 0 0
"JI" 0.000102601243285654 8.84151871275721e-05
"JM" 0 0
"JO" 5.59159024826661e-05 4.99883616219399e-05
"JS" 0 0
"JU" 0 0
"JW" 0 0
"JY" 0.000227772643829924 0.000202220746242318
"KA" 0 0
"KI" 0.0133583344823633 0.0113734837635325
"KM" 0.0314143303452632 0.0211660555635547
"KU" 0 0
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0.00433656771711397 0.00218453660291294
"LJ" 0.00218227596298606 0.00157092881406691
"LQ" 2.3769425821616e-05 1.9714203472907e-05
"MA" 0.00501965329213994 0.00383093818116759
"MC" 0.000754164485253018 0.00046405723040045
"ML" 2.02249008979856e-05 1.63921582183583e-05
"MM" 0 0
"MQ" 0.00020595690747782 0.00017762980120247
"MR" 0 0
"MU" 0 0
"MW" 0 0
"MY" 0.00592800100049503 0.00466829457246873
"NE" 0.00341187127439113 0.00280003108505042
"NI" 0.00733640104555345 0.00586507045804478
"NM" 0 0
"NN" 0.00156816201493744 0.00132728411556713
"NQ" 0.000405919227212003 0.000382292937941559
"NS" 2.6146223864855e-05 2.48455274517181e-05
"NU" 0 0
"OA" 0.000118821292775665 0.000112280655364534
"OE" 0 0
"OI" 0.000115891892447187 7.20164271787779e-05
"OM" 0 0
"OO" 2.3960159228067e-05 1.8166252884975e-05
"OP" 0 0
"OR" 9.50570342205324e-05 9.34329256682177e-05
"OT" 0.000714209340896872 0.000579792462044172
"OU" 0 0
"OX" 0 0
"OY" 0.000140913529927398 0.00013403362751364
"OZ" 0 0
"PA" 0 0
"PC" 0 0
"PD" 0 0
"PE" 0.000190114068441065 0.000187263623717795
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000149022623221428 0.000140211278391453
"PJ" 0 0
"PK" 0 0
"PM" 0.000909214359784702 0.000880917302839757
"PN" 0.000162455666677317 0.000160000436375901
"PO" 0.000570918890310396 0.000541668963260532
"PQ" 0 0
"PS" 0.000101251226926632 9.83838626148529e-05
"PT" 0.000206362561433407 0.000156580633796752
"PU" 0.000132023658639628 0.000129747009503459
"PW" 0.000941673958102731 0.000636782173348719
"PY" 0.020580897924141 0.0145150857904505
"PZ" 0 0
"QA" 0.00933640098564666 0.00521946248141882
"QC" 0 0
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 5.00300180108065e-05 4.97104751067723e-05
"QU" 0.000912114923913146 0.000764792786461516
"RA" 0.000324641709665711 0.000230336901066157
"RB" 0.000809745106323053 0.000746151980854886
"RE" 0 0
"RO" 0.00108098452717099 0.000562601822849375
"RP" 0 0
"RQ" 0.000259246456965088 0.00021792988704243
"RT" 0.124526155530917 0.060277341636782
"RU" 0.317027307604427 0.13058324515959
"RX" 0.00557211827903013 0.00260664981470163
"RY" 0 0
"RZ" 0.000838035890317259 0.00071733983235088
"SA" 0.0015002566231752 0.00116237303928071
