"Q" "C"
"AA" 0.000246793622846161 0.00022761085275888
"AC" 0 0
"AD" 6.00961538461538e-05 5.51095613685235e-05
"AE" 0 0
"AF" 0 0
"AH" 1.86344663088849e-05 1.62258553926495e-05
"AI" 0 0
"AM" 0 0
"AQ" 0.000197832059245103 0.000173318478943709
"AY" 0.00258535952490541 0.00120149511391457
"AZ" 0 0
"BA" 0.00743696603846852 0.00560871825098248
"BD" 0 0
"BF" 0 0
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 0 0
"BU" 0 0
"BV" 0.0025050313569351 0.00104580040682007
"CN" 0.0182276620957895 0.00708798824394674
"CO" 0.00488647828059292 0.00331675668618764
"CQ" 0.0752023589115518 0.0433252710482494
"CT" 0.000332622083154363 0.000193984773913156
"CU" 0.0126574305364903 0.00590180979913299
"DA" 0.00503907717451855 0.00306473525233009
"DB" 0.00293581487622908 0.00205128359176939
"DE" 0.000231950067476383 0.000201704932655323
"DI" 7.41927825261159e-05 7.34541291874517e-05
"DK" 0 0
"DM" 0.0049585737163165 0.00391259159722376
"DQ" 0.00176876043217554 0.00153273287573175
"DR" 0.0341441036108452 0.0197532569327922
"DS" 0.00079530769350648 0.00061388877446569
"DT" 0 0
"DW" 4.7251682426101e-05 4.09596544978337e-05
"DX" 0.00248483726120113 0.00162223080358292
"DY" 0.00180861302889782 0.00164531283575891
"EA" 0.000650161327599608 0.000589789553797369
"EC" 6.42739613327848e-06 6.15845561205547e-06
"EE" 0.000525921103014264 0.000488074622587531
"EI" 0.000145211930926217 0.000138011868936253
"EN" 0 0
"EO" 0 0
"EP" 0.00135399548945065 0.00124403320061149
"EQ" 0.00332333995370855 0.00251264681810716
"ER" 8.62919132149902e-05 7.10478956668052e-05
"ES" 0 0
"ET" 4.10180097680098e-05 3.85802678152044e-05
"EU" 0 0
"EV" 0.00079632511796979 0.000656457042008825
"EW" 0.000213638524936602 0.000208380617319245
"EX" 0.000261810838733915 0.000250684238641218
"FA" 0 0
"FE" 0 0
"FF" 0.000149571111012643 0.000130405913126778
"FI" 2.53036437246963e-05 2.37005202661744e-05
"FS" 0 0
"FU" 0 0
"FY" 0.000116983038494666 0.000110728018505817
"GA" 0.000395102030969135 0.000349424942505929
"GC" 0 0
"GM" 0.00323140053949017 0.0023083060553169
"GU" 5.00801282051282e-05 4.65846143233656e-05
"GY" 0 0
"HA" 0.00011929229103171 0.000115069034704452
"HB" 0 0
"HE" 0.000167012887115602 0.00013665904741421
"HF" 0 0
"HI" 0.000252798598754796 0.000231067631801829
"HL" 0.000253530836520223 0.000211528478531125
"HQ" 0 0
"HT" 2.97259807866162e-05 2.39980995933825e-05
"HY" 0.0118416529936912 0.00709055093063969
"IA" 0.0244068122331876 0.0160639871680457
