"Q" "C"
"AA" 0.00399806208125394 0.00364913816030122
"AC" 0.000103141252954653 0.000100279650791827
"AD" 6.39396409789159e-05 5.97322967986232e-05
"AE" 0 0
"AF" 0 0
"AH" 1.83433396250988e-05 1.65811252789673e-05
"AI" 0.000453004511303911 0.000444503816034333
"AM" 0 0
"AQ" 8.90258694891122e-05 8.03137664801464e-05
"AY" 0.00145848403729825 0.000703389713660901
"AZ" 0 0
"BA" 0.00227194103208516 0.00169607336048673
"BD" 0 0
"BF" 0.000408948767010169 0.000367733735798999
"BI" 2.65012985636296e-05 2.60085289630502e-05
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 3.14702920443102e-05 2.66919608358307e-05
"BU" 0 0
"BV" 0.0041984841745051 0.00146760107456723
"CN" 0.0161304297381916 0.00529702925453849
"CO" 0.0052795341377462 0.0039200627604527
"CQ" 0.0337752840223898 0.0223478709707349
"CT" 3.6035010535828e-05 2.286911613699e-05
"CU" 0.0105899359560549 0.0055700070149677
"DA" 0.00340224954527225 0.00234828827054793
"DB" 0.00102628819396861 0.000792141556802867
"DE" 4.39050776708498e-05 3.98640550988427e-05
"DI" 6.29405840886204e-05 6.20429929314845e-05
"DK" 0 0
"DM" 0.00522223366506522 0.0043721415896229
"DQ" 0.00057485903429597 0.000510150466138085
"DR" 0.0175495080317732 0.0115796256895042
"DS" 0.00112127077606803 0.000873615517258654
"DT" 1.52583234154231e-05 1.50827990009374e-05
"DW" 6.8782119074589e-05 6.21017159808643e-05
"DX" 0.000499703549254999 0.000362026215457707
"DY" 0.000368978021424959 0.000344974612584648
"EA" 0.000199202838789878 0.000185214837618979
"EC" 1.63747861043565e-06 1.59151432381108e-06
"EE" 6.24533120021194e-05 5.93380444644306e-05
"EI" 5.98552272113893e-05 5.77211929696954e-05
"EN" 0 0
"EO" 0 0
"EP" 0.00616158022261717 0.00556435896793061
"EQ" 0.00406180417556881 0.00295999583994728
"ER" 0.00170795063594114 0.00135260441603909
"ES" 2.18923770743027e-05 2.10688314464367e-05
"ET" 0.000152544821828894 0.000143136932456657
"EU" 9.65774829512167e-05 9.19548457466815e-05
"EV" 0.000920692081731908 0.000775410296009504
"EW" 0.000268591087866388 0.000259902194055619
"EX" 0.00038951558358413 0.000369441990582334
"FA" 0 0
"FE" 6.29405840886203e-05 5.78023636722268e-05
"FF" 8.69179494557138e-05 7.6098076780759e-05
"FI" 0 0
"FS" 0 0
"FU" 7.74653342629174e-05 7.40371266298878e-05
"FY" 0.000589766664524008 0.000561762332487918
"GA" 0.000199411755302994 0.000180967507396856
"GC" 8.70289557768578e-05 8.66914413786467e-05
"GM" 0.000967128733451181 0.000676527252710694
"GU" 0.000252121982661093 0.000238377135309924
"GY" 9.02825916032134e-05 8.91720737907264e-05
"HA" 0.000178997969689548 0.000170957276492548
"HB" 5.75604445752594e-06 5.26757739694128e-06
"HE" 0.000203669373958876 0.000161423533922822
"HF" 4.38676798193414e-05 3.7694988038378e-05
"HI" 0.000744073670074826 0.000661646549293636
"HL" 0.000740568363089138 0.000625952121819245
"HQ" 0 0
"HT" 0.000257854443075896 0.00021983978404572
"HY" 0.00695894652814875 0.00452516816343894
"IA" 0.00786513867209824 0.00553526736741975
"ID" 0 0
"IF" 3.48761678066814e-05 3.35116808005254e-05
"IG" 0.00390340154086653 0.00286549814717961
"IH" 2.03611069838597e-05 1.98647225768387e-05
