"Q" "C"
"AA" 0.260353842223638 0.152943545412413
"AC" 0.00594704252403736 0.00448351977088682
"AD" 7.11316001856558e-05 6.92164359352874e-05
"AE" 0.000172247119399689 0.000160612170673619
"AF" 0 0
"AH" 0.000132783937426581 0.000125329297356972
"AI" 0.00838067814519634 0.00686873895105704
"AM" 3.74606750516495e-05 3.64378894910858e-05
"AQ" 3.17377617163684e-05 3.03794808199585e-05
"AY" 0.000491247373953434 0.000429524830485505
"AZ" 0.000112335454630259 0.000100936548403127
"BA" 0.00127988568476475 0.00119718353053423
"BD" 7.83135542762444e-05 7.62542995156068e-05
"BF" 5.25632865985578e-05 5.03431241907472e-05
"BI" 1.64419753295207e-05 1.60972532693597e-05
"BK" 5.1674779607065e-06 4.7651750974876e-06
"BM" 0 0
"BP" 3.62242677523019e-05 3.40775699014869e-05
"BQ" 3.09388761625763e-05 2.95180404164333e-05
"BU" 0.000714403543828714 0.000700058931525781
"BV" 0.000155183716838124 0.000139787984216508
"CN" 0.0013674909818205 0.00123220359983613
"CO" 0.00099537594512031 0.00088118809574645
"CQ" 0.002527526284492 0.00227214359814609
"CT" 2.88675168083499e-06 2.55051528358446e-06
"CU" 0.00255561626959312 0.00220888859375085
"DA" 0.0022278494547173 0.001967536711869
"DB" 0.00170193410893079 0.00153129817128094
"DE" 0.00013125480826268 0.0001269300570968
"DI" 6.51002589345417e-05 6.41544162907186e-05
"DK" 2.00479689596981e-05 1.99180608662554e-05
"DM" 0.00666787719360732 0.00595885144686076
"DQ" 0.0110490914614817 0.0100746800089004
"DR" 0.00102209782785063 0.000921301716802901
"DS" 0.000822639783275339 0.000751659984260947
"DT" 0.000853709030412046 0.000693612742860569
"DW" 0.00065868123777674 0.000581852298786317
"DX" 0.000560460089436583 0.000499774552073397
"DY" 0.00885543557918946 0.00771705662902017
"EA" 0.00159628096838353 0.00146792613271818
"EC" 0.000608266853332375 0.000562427773469187
"EE" 0.00342595908338855 0.00319834610887476
"EI" 0.00539555416735453 0.00460464354948806
"EN" 0 0
"EO" 0 0
"EP" 0.0225643524631021 0.0175618595344792
"EQ" 8.62146924944176e-05 8.23530187189343e-05
"ER" 0.00102256898876781 0.000770486195555988
"ES" 0.00160354519208114 0.00118617895936183
"ET" 0.00828984035279001 0.00639704368661356
