"Q" "C"
"AA" 0 0
"AC" 0.000221133151569708 0.000214634153256213
"AD" 0.0168092720861178 0.0154604549997042
"AE" 0.00724442060844909 0.00631739792031353
"AF" 0.153094916386856 0.0671180779340885
"AH" 0.0212381172885691 0.0172754817355344
"AI" 2.30712440014766e-05 2.26425747962432e-05
"AM" 0.0184564148753001 0.0161153054306452
"AQ" 1.27779197546639e-05 1.23594850435536e-05
"AY" 2.4702544082389e-05 2.32486321196602e-05
"AZ" 1.66791118501241e-05 1.57660791111043e-05
"BA" 4.73256287209775e-06 4.62805524983044e-06
"BD" 0.00107701976994341 0.000961530765027727
"BF" 0.000653125027921458 0.000608079292655577
"BI" 6.15233173372708e-06 5.98580620278936e-06
"BK" 0 0
"BM" 0.00369890233661816 0.00273982090370395
"BP" 6.15233173372708e-06 5.83399618568836e-06
"BQ" 0.000100634569073107 8.91503056078832e-05
"BU" 5.18215634494705e-05 5.16158342544973e-05
"BV" 4.40006701095783e-05 4.20011212359118e-05
"CN" 0.00119750441558745 0.00114051167456019
"CO" 0.000469489889600891 0.000429106491639054
"CQ" 0.00214219182732018 0.0019658330673739
"CT" 2.32163461650078e-06 2.1799851667746e-06
"CU" 0.00342272144683634 0.00303911897048086
"DA" 0.000245312477923225 0.000226616000999236
"DB" 0.00590862980630705 0.00520529296089032
"DE" 0.0128418954288185 0.0115254501467217
"DI" 0.0313978270800722 0.0252533028077937
"DK" 0.0156509110800913 0.00963368216815722
"DM" 0.000142494670504752 0.000136467857373977
"DQ" 0.00021830418153021 0.000211971677899512
"DR" 0.000548060400532755 0.000509306396750527
"DS" 0 0
"DT" 0.000315403309821922 0.000301486414364058
"DW" 0.00152455954587178 0.00134877937499475
"DX" 0.000192567983265658 0.000177989465476966
"DY" 0.000735283674646778 0.000704736360973961
"EA" 0.000683951792153641 0.000645656325934646
"EC" 0 0
"EE" 0.000112208991325051 0.000109192192370429
"EI" 0.00022243917751196 0.000213550073375447
"EN" 0 0
"EO" 0 0
"EP" 0.000917036031062953 0.000880144790364921
"EQ" 0.000329917392436065 0.000318848379547533
"ER" 7.69041466715885e-06 7.29414843959093e-06
"ES" 3.85685947701451e-05 3.76273423286365e-05
"ET" 0.000481744966557521 0.000453838174146442
"EU" 0.00054230123143429 0.00049536042694612
"EV" 0.00188309123258607 0.0016748227038136
"EW" 0.000319047122275491 0.000309075149306024
"EX" 0.000364127719837446 0.000351151448468549
"FA" 0.000630639723157418 0.000605352945076124
"FE" 4.61424880029531e-05 4.42160976841176e-05
"FF" 2.74726762952593e-05 2.66306075099125e-05
"FI" 7.36326686861939e-05 7.16192414919121e-05
"FS" 0 0
"FU" 0.00115703776768017 0.000879598097401844
"FY" 3.48245192475118e-06 3.44082299225307e-06
"GA" 9.97102039604045e-05 9.71901130417311e-05
"GC" 0.000343009396165542 0.000335379876623237
"GM" 0.000137062824021328 0.000131185186600144
"GU" 0.0129281975719441 0.0114320287554173
"GY" 0.327913864665333 0.142905661002836
"HA" 0.00111946318123565 0.00105934488140396
"HB" 0.000272038947749542 0.000258667348891613
"HE" 0 0
"HF" 0.000654189500404388 0.000533636746716152
"HI" 7.32205658437216e-05 7.11816016424011e-05
"HL" 0.00207481567687707 0.00187278750634999
"HQ" 7.17772035601493e-05 6.88474258910469e-05
"HT" 0.000335751982965948 0.000304166598869734
"HY" 0.000201862029911618 0.000190295483059532
"IA" 0.00160825429549301 0.00150478656768972
"ID" 0.00678493028575201 0.00615625715203789
"IF" 0.000286109140693476 0.000268531149603934
"IG" 2.47670790306449e-05 2.36172182209032e-05
"IH" 0.00287191780436947 0.00250025319121342
"II" 0.0031638153911295 0.0029394868782476
"IJ" 0.000768165474992213 0.000690235338456283
"IK" 0.000444916229308643 0.000420287730600568
"IL" 0 0
"IM" 0.00214990258237065 0.00191780410654698
"IO" 0 0
"IP" 0 0
"IQ" 0.000344700757133172 0.0003371617014948
"IU" 0.000459387477419159 0.000445070862533627
"IX" 4.39452266694791e-05 4.28198342011253e-05
"IY" 0.00143611565732713 0.001341113909439
"JA" 0.0298874002068485 0.024989935036798
"JB" 0.0291993636622927 0.0171174642437549
"JI" 3.5671478348324e-05 3.27382530409281e-05
"JM" 2.0507772445757e-05 1.82871116760313e-05
"JO" 0.000220385311747438 0.000207988679196222
"JS" 0 0
"JU" 0.00233194100970087 0.0021917641423487
"JW" 0 0
"JY" 0.036980038054279 0.0318770397148011
"KA" 0.00729554911578909 0.00656096482913862
"KI" 0.000250369016081748 0.000243137019837944
"KM" 0.00354409790199789 0.00323526580355149
"KU" 0.00507386069472454 0.00391575818559347
"KV" 0.000545718798187657 0.000505257557442583
"KY" 0 0
"LE" 0.00160892591221162 0.00152012838257788
"LI" 0.00020698984852366 0.000192676411617414
"LJ" 0.0003596995112001 0.000339200568544538
"LQ" 0.00232734097847055 0.00203563365618489
"MA" 0.000166346275197995 0.000159226912454207
"MC" 7.87467999243894e-05 7.05308580279422e-05
"ML" 0 0
"MM" 7.72059640348141e-05 6.86320550252124e-05
"MQ" 0.000999386311840339 0.000909470130163936
"MR" 0.000220360247012891 0.000119485094915385
"MU" 0.00952076695738448 0.00847409388596297
"MW" 0.000470484357527547 0.000381407334691082
"MY" 0.000158338032092185 0.000153318574526938
"NE" 0.00752926387430399 0.00679875171540191
"NI" 0.000441299851591065 0.000421464449363865
"NM" 0.00104671843351671 0.000642760246415229
"NN" 0.000448277935746607 0.000422843426683565
"NQ" 0.0012187198088155 0.00112335722263322
"NS" 0.000227775467173552 0.000219706990442246
"NU" 0.00102924535015153 0.000933172330918948
"OA" 0.000189279682343738 0.000181407268529309
"OE" 0.00494706317355356 0.00376582688623142
"OI" 0.000103976719206655 9.46373561032086e-05
"OM" 0.00320533402022081 0.00287857840289265
"OO" 4.73256287209775e-06 4.3609989068841e-06
"OP" 5.57438541934666e-05 5.27600042665747e-05
"OR" 4.79804487410162e-05 4.51348764124516e-05
"OT" 2.58883210319599e-05 2.54269523816881e-05
"OU" 0.000675080721752625 0.000594151120803773
"OX" 0 0
"OY" 1.11860576976856e-05 1.1050355220849e-05
"OZ" 0 0
"PA" 1.4765596160945e-05 1.44342665898768e-05
"PC" 0.0109905117841428 0.00883299546440926
"PD" 0 0
"PE" 0.00659107325262759 0.00582781236227659
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.00119291734971639 0.00108870090317157
"PJ" 0.000206904318412704 0.000195694008702293
"PK" 0 0
"PM" 0.000785707069771083 0.000761555975001283
"PN" 0.000854825735876615 0.00082985372598261
"PO" 0.00627945169642196 0.0052415020813345
"PQ" 0.000121599027207782 0.000120266548363524
"PS" 0.017149363447992 0.00844068005592809
"PT" 0.000115659294848818 0.000104955940366147
"PU" 0.000294211162818956 0.000285768046850831
"PW" 0 0
"PY" 0.00521960565731294 0.00484909893745561
"PZ" 4.10155448915139e-05 4.02962912546469e-05
"QA" 0.000155560318516546 0.000142586956041802
"QC" 0 0
"QD" 0 0
"QE" 4.63653985730157e-05 4.41720344019831e-05
"QF" 0 0
"QG" 0 0
"QH" 9.32990966213557e-05 9.15855998060334e-05
"QJ" 1.90217019786731e-05 1.81838848517982e-05
"QK" 0 0
"QQ" 0.00505634229318194 0.0047715444356758
"QU" 0.0010245827688794 0.000950169510159023
"RA" 0 0
"RB" 0.000282808797437455 0.000277052717345929
"RE" 2.63671360016875e-05 2.57343659043312e-05
"RO" 0.00122282378000508 0.00107271484020908
"RP" 7.3827980804725e-05 7.22766259407116e-05
"RQ" 0.000192626576901217 0.000175704471183533
"RT" 7.24082119430957e-05 7.00244272894525e-05
"RU" 0.000212300431001538 0.000204941590469519
"RX" 0 0
"RY" 1.36718482971713e-05 1.32031358325619e-05
"RZ" 9.41306755260244e-05 9.00624107053913e-05
"SA" 0.0214261542603023 0.0190383713091692
"SD" 0.000266461881910387 0.000256136778953595
"SI" 0.00045179578068315 0.000424497025252884
"SR" 0.000602045969241998 0.000560871327122012
"SU" 3.56230916386435e-05 3.51346327302039e-05
"SY" 4.10155448915139e-05 4.04459436544864e-05
"TA" 0.000183159671998047 0.000172306491759443
"TC" 0 0
"TD" 0 0
"TE" 0.000184569952011812 0.000178628244185188
"TI" 0.000547709860745357 0.000513358807571085
"TM" 0.000160260354058804 0.000151539435825232
"TQ" 0.000767414632605436 0.000728923729959452
"TU" 0.00059010249305151 0.000544803843225323
"UA" 7.4151787738079e-05 7.2157279101689e-05
"UB" 0 0
"UE" 0.000490453143646204 0.00045981028384745
"UF" 2.05077724457569e-05 2.00646835456332e-05
"UH" 5.05868682061827e-05 4.91697288379171e-05
"UI" 0.000312011109353302 0.000306385231536888
"UK" 8.20310897830278e-05 8.04366160879994e-05
"UM" 0.000169620194674224 0.000158343487428969
"UN" 8.3049465869145e-05 8.23421307855733e-05
"UP" 7.38279808047251e-05 7.34391758341595e-05
"UQ" 0.0299178768451283 0.015301609611556
"UR" 5.81541832926108e-05 5.67750422228311e-05
"UT" 0 0
"UU" 0.00369451741827136 0.00301429199008456
"UY" 0.0003493757544796 0.000340547591943064
"VE" 8.46776439170457e-05 8.16986446815828e-05
"VI" 0.000358629987735142 0.000343791137326447
"VJ" 0.00107964029839246 0.000992669422663394
"VM" 0.00435559011603342 0.00337641582048976
"VP" 0 0
"VS" 7.28186483020641e-05 6.8595344430255e-05
"VX" 0.000176259378411107 0.000171392674159416
"VY" 2.05077724457569e-05 2.00360535735996e-05
"WC" 1.08570560006949e-05 1.04925721829392e-05
"WE" 6.02664687789743e-05 5.77280743879806e-05
"WF" 0.000845004467102525 0.000802376448950504
"WH" 0 0
"WM" 0.000711416205459849 0.000603031934045833
"WQ" 0.000826266590629531 0.000791151788005092
"WU" 0.00200404561744353 0.00161727386558333
"WV" 0.000738424918402729 0.000664471901484482
"WY" 0.000378725006110332 0.000352859633857565
"XA" 0.00691715292548018 0.00581766255216346
"XE" 0.00505456436336836 0.00453728953896667
"XQ" 4.66281984029842e-05 4.40292218890487e-05
"XW" 0.00019687211174524 0.000191781349555244
"XY" 0.0087755126977137 0.00773186203005642
"YA" 2.97274759758305e-05 2.89914224500933e-05
"YE" 3.07616586686354e-05 3.01968485584362e-05
"YG" 0 0
"YI" 0 0
"YO" 0.000597180411349973 0.000526483950041979
"YP" 7.02505529183896e-05 6.75188861949625e-05
"YQ" 0.000991291994684863 0.000820670289468962
"YR" 0.000686670554159746 0.000635691540580241
"YU" 0.00019296157228552 0.000179836782678723
"YY" 0.00208785191911585 0.00133682164597566
"ZA" 3.69139904023625e-05 3.60434605245574e-05
"ZC" 0.00704003372063861 0.00662566080273176
"ZD" 0.000170261395392185 0.000162379743051124
"ZE" 0.000616968446425811 0.000588777846087063
"ZK" 8.7158032894467e-05 7.76571201725265e-05
"ZM" 0.00113511037977302 0.00104408506166703
"ZQ" 0 0
"ZR" 0.00745776303458211 0.00654370777297583
