"Q" "C"
"AA" 0.0109736899313174 0.0087601113064393
"AC" 0.0237599808677043 0.0168776996437416
"AD" 5.30662394592673e-05 5.23880668847052e-05
"AE" 0.000261161411709627 0.000239430570690956
"AF" 0 0
"AH" 3.07166880121617e-05 2.92368408286845e-05
"AI" 0.271785933741329 0.153256088957168
"AM" 6.88121892788747e-05 6.69419239609031e-05
"AQ" 1.73540610238202e-06 1.71282655176307e-06
"AY" 0.000109964973343559 0.000104838136424001
"AZ" 4.68559647643145e-05 4.56934403822599e-05
"BA" 2.07720912918297e-05 2.04794872513524e-05
"BD" 2.40851309167306e-05 2.34827782350439e-05
"BF" 3.88235136618606e-05 3.7845351158512e-05
"BI" 4.46247283469661e-06 4.33074863437103e-06
"BK" 2.34279823821572e-05 2.11368270188985e-05
"BM" 0 0
"BP" 6.55983506700403e-05 6.0885560624433e-05
"BQ" 1.9783629567155e-05 1.91585760219466e-05
"BU" 0.048880128416508 0.0426278184534662
"BV" 4.40191770975153e-05 4.27156370015606e-05
"CN" 0.000240362459386115 0.000232880028765558
"CO" 0.000387004412554277 0.000351916038516824
"CQ" 0.0015116734501295 0.00142889744270676
"CT" 5.64076178094825e-06 5.36683809301415e-06
"CU" 0.0052967391448101 0.00493916253837699
"DA" 0.000888372776802195 0.000820296453857258
"DB" 0.000919659711858864 0.000856592189513075
"DE" 0.001441851297536 0.00140503531955664
"DI" 0.000226674181332339 0.000222424719103994
"DK" 8.08358360368482e-06 8.01391632290059e-06
"DM" 0.000423371576220883 0.000413126728756542
"DQ" 0.000438324618554581 0.000431315456587707
"DR" 0.0011532345253017 0.00110172338011862
"DS" 0.000102571347314722 0.000100609941278169
"DT" 0.0125495516793878 0.00909372742898644
"DW" 0.000592083165565881 0.000516992156545234
"DX" 5.15778188325279e-05 4.8533595332196e-05
"DY" 0.001999324557125 0.00171257243554998
"EA" 0.00145610749820568 0.00131130400832861
"EC" 0.000187094688202694 0.000172279855286019
"EE" 9.56862356918584e-05 9.02277163000078e-05
"EI" 0.00626960325135297 0.00507082251364582
"EN" 0 0
"EO" 0 0
"EP" 0.0116297706428004 0.00910260821444857
"EQ" 0.000103620455613298 0.000102417164282554
"ER" 0.00123547486981972 0.000943944353993552
"ES" 0.00224922695068862 0.00164940718064473
"ET" 0.00332216332730506 0.00256836874522099
"EU" 2.70723351971595e-05 2.66786276374457e-05
"EV" 0.0149614048281777 0.0103216843041751
"EW" 0.00547314863097612 0.00451706037088712
"EX" 0.00640408036298886 0.00514857852694073
"FA" 0.00134950662616073 0.0011475108335234
"FE" 0 0
"FF" 2.72998338122617e-05 2.69312808079495e-05
