"Q" "C"
"AA" 8.33265523989071e-05 8.10110850626129e-05
"AC" 9.64544023066765e-05 9.45620799964454e-05
"AD" 0.00801315288794691 0.00705756525252415
"AE" 0.0125064540257203 0.00888030760889209
"AF" 0.00097191724934123 0.000886634851162099
"AH" 0.0418916984213377 0.0214650248199448
"AI" 3.2658272473382e-05 3.1953495604682e-05
"AM" 0.22978384475114 0.0954559927193571
"AQ" 0.000101136508736837 9.51637590580821e-05
"AY" 6.19541266316116e-05 5.10698643159089e-05
"AZ" 1.75023849515067e-05 1.53793911493502e-05
"BA" 7.23728612193374e-06 7.0396613900885e-06
"BD" 0.00267181250656786 0.00194865434475479
"BF" 0.000242226328568587 0.000219377353305083
"BI" 0.000117512067433336 0.000110652248811787
"BK" 1.9599040706413e-06 1.82091988955397e-06
"BM" 6.24324048369496e-05 6.11895421595024e-05
"BP" 9.17536273775324e-06 8.73588117437535e-06
"BQ" 1.28095611840989e-05 1.21077680743892e-05
"BU" 0.000206138124974043 0.00020491104476219
"BV" 1.96353074931937e-05 1.85190093268197e-05
"CN" 0.000161616839561187 0.000148184415529058
"CO" 0.00341704608579192 0.00248744274438949
"CQ" 0.0270657462874024 0.0188176874031669
"CT" 8.11108948153916e-07 6.59941353584067e-07
"CU" 0.00524535388078505 0.00345517965561235
"DA" 0.00132641831710414 0.000969173487315592
"DB" 0.0265119562477499 0.0163725870577462
"DE" 0.204376648926538 0.0892624292890432
"DI" 0.000198542838187223 0.00019697236554195
"DK" 2.25871902630472e-05 2.24298983437475e-05
"DM" 0.000649489738401679 0.000584773901404398
"DQ" 7.47011047292605e-05 7.14439751065777e-05
"DR" 0.00480370106567469 0.00354315715306274
"DS" 2.62229295107678e-05 2.49129552686923e-05
"DT" 0.000173437398691955 0.000165055681254469
"DW" 0.00923812864516749 0.00697899462349025
"DX" 0.00170107057417744 0.00130794123823724
"DY" 0.00228602120184811 0.00205813381497949
"EA" 0.004503879457675 0.0039352060864319
"EC" 0.000214189963202949 0.000203116840838902
"EE" 0.00134452186723787 0.00124282487697211
"EI" 0.001301729054823 0.00119870611314349
"EN" 0 0
"EO" 1.41062425765898e-06 1.40782333494807e-06
"EP" 0.000258448843602902 0.000251550159534912
"EQ" 1.39535117177138e-05 1.37124884467579e-05
"ER" 1.08833873884375e-05 1.05816131206478e-05
"ES" 2.13420912071536e-05 2.10261225286353e-05
"ET" 8.32285362252089e-05 7.98835425227831e-05
"EU" 4.18343572429302e-05 4.13572305146278e-05
"EV" 0.00142502486829346 0.0012190442780234
"EW" 0.000115862589677449 0.00011412267313862
"EX" 7.81733670817023e-05 7.6490795967462e-05
"FA" 0.000108061459290512 0.000103470141890361
"FE" 8.91745510251089e-06 8.85404461816463e-06
"FF" 4.56773569146719e-06 4.46656259942895e-06
"FI" 8.19571057499991e-05 7.62285205233003e-05
"FS" 0 0
"FU" 4.1029556120801e-05 3.99722065893102e-05
"FY" 0.00011216843855513 0.000109515117442901
"GA" 0.000123629550247404 0.000116447366276761
"GC" 0.00150822973272353 0.00143791134902459
"GM" 5.94994077910007e-06 5.72568503926014e-06
"GU" 0.0327872502715538 0.0229648398874433
"GY" 0.00189429523283349 0.00185641682432155
"HA" 4.19918723731706e-05 4.1672107733505e-05
"HB" 3.31842601193774e-05 3.19679310197966e-05
"HE" 3.97046338257162e-06 3.88375913302512e-06
"HF" 3.0980537078633e-05 2.97250029844694e-05
"HI" 5.04690012184659e-06 5.01215290128248e-06
"HL" 3.38665146525982e-05 3.26405339648126e-05
"HQ" 9.14632614534816e-05 8.49081019009368e-05
"HT" 0.00376943773133337 0.00246149661886644
"HY" 0.000874732158598674 0.000689063919962374
"IA" 0.000660435909311024 0.000573627540194494
"ID" 0.00389353079166239 0.00343133644787605
"IF" 0.00015939986421695 0.000150075664753862
"IG" 0.000110606249488421 9.92458728552632e-05
"IH" 0.0029921132316271 0.00237689055672068
"II" 0.00373922477558397 0.00330900440958267
"IJ" 9.21129503315179e-05 9.0255195946997e-05
"IK" 0.00012587982533797 0.000122352788016172
"IL" 3.24443579261566e-06 3.07076999137025e-06
"IM" 0.00240295488914852 0.00204185349178457
"IO" 5.78364701264797e-05 5.40050593922281e-05
"IP" 1.29771910623711e-05 1.19467729055419e-05
"IQ" 0.000399029390008055 0.000392170147158049
"IU" 0.0003959845134707 0.000382832459115785
"IX" 9.39384829308704e-05 8.9728575319726e-05
"IY" 0.0257228210196145 0.0195351165492435
"JA" 0.035014384929709 0.0253257112370559
"JB" 0.000974885523931312 0.000835860718261495
"JI" 3.40383250787742e-06 3.32380518073162e-06
"JM" 0 0
"JO" 8.66015296902102e-06 8.56040189870658e-06
"JS" 2.68467245434564e-06 2.67015953778141e-06
"JU" 0.000675739479428445 0.000593214787546633
"JW" 0 0
"JY" 0.0266531489519794 0.0198269770213302
"KA" 0.0180261035953501 0.0122581487910172
