"Q" "C"
"AA" 2.39013168709846e-05 2.26587146319831e-05
"AC" 6.94086319973999e-06 6.87865134579979e-06
"AD" 0.000204053431915927 0.00018798646561406
"AE" 5.23219003651773e-06 4.87390295152064e-06
"AF" 0 0
"AH" 0.000514961749789422 0.000455340596810266
"AI" 1.26576452177115e-05 1.2546156917134e-05
"AM" 6.77634469075757e-05 6.41195985286444e-05
"AQ" 0.202121167485838 0.087976957815997
"AY" 9.94271221576455e-05 7.44505610486202e-05
"AZ" 3.01075967531448e-06 2.35684579578914e-06
"BA" 0.00220794458784061 0.00186833908057979
"BD" 3.09151781100802e-05 2.99415000551687e-05
"BF" 0.000121421457963464 0.000111062725194361
"BI" 0 0
"BK" 0 0
"BM" 1.38083402375035e-06 1.35844206077541e-06
"BP" 0 0
"BQ" 0 0
"BU" 1.13574996058753e-06 1.13486907467117e-06
"BV" 5.42315250201984e-05 4.75167386706935e-05
"CN" 0.000243812507387192 0.000212870645107865
"CO" 0.00279554117000256 0.0021259466219349
"CQ" 0.0226943136775757 0.0156547021738935
"CT" 1.9541616140781e-05 1.33462964753732e-05
"CU" 0.00222006084674385 0.00135411790947428
"DA" 0.00182157002404955 0.00131347172877187
"DB" 0.00273740874531263 0.00195294723542065
"DE" 0.00095965778351216 0.00087145561799922
"DI" 2.26290206485071e-05 2.25063217050447e-05
"DK" 1.18923504437829e-05 1.1865203530781e-05
"DM" 0.00564352109256826 0.00415727968269884
"DQ" 0.00879657243267937 0.006929476890091
"DR" 0.0110331593387379 0.00727448828479268
"DS" 0.017306065349054 0.0117405188603572
"DT" 8.63021264843965e-07 8.55084909302156e-07
"DW" 0.000796855280654709 0.000708122443229195
"DX" 0.000856592187100904 0.000630522798388724
"DY" 0.0005951944334273 0.000557781490918825
"EA" 0.000979158712193326 0.000909656422000297
"EC" 4.30347368760166e-05 4.19100814094702e-05
"EE" 0.000162730780160269 0.000154643954848373
"EI" 4.18974579044304e-05 4.05062997217616e-05
"EN" 0 0
"EO" 0 0
"EP" 3.57713319667228e-05 3.49676791680909e-05
"EQ" 0.00085680243204941 0.000778363556233152
"ER" 0 0
"ES" 0 0
"ET" 9.38883580775249e-05 9.03114098711495e-05
"EU" 2.5395619962658e-05 2.44468642397286e-05
"EV" 0.000217362735626282 0.000192050620078333
"EW" 1.97262003392906e-06 1.95336226597438e-06
"EX" 1.09183626289723e-05 1.07339714512825e-05
"FA" 0.00052820608315144 0.000520576993173981
"FE" 3.5703404775941e-06 3.44096356061744e-06
"FF" 0.00172139704344691 0.00134579332039217
"FI" 3.20614663201161e-05 3.06843275761747e-05
"FS" 0 0
"FU" 2.56804034661491e-05 2.36073526005874e-05
"FY" 0.00123174093740097 0.00114242850020844
"GA" 0.059009476323724 0.0432822803248564
"GC" 2.61521498603433e-06 2.60399767523509e-06
"GM" 0.000383362669992768 0.0003304286678983
"GU" 0.000267596230590125 0.000254958277202141
"GY" 3.98030353886322e-05 3.93096947990442e-05
"HA" 0.000196625424691093 0.000191154441237803
"HB" 0.0002237955930052 0.000194069721403211
"HE" 5.8606827094994e-06 5.43121909877827e-06
"HF" 4.47163737691216e-05 3.86690211870429e-05
"HI" 3.4382376500224e-05 3.34427760653719e-05
"HL" 0.00240031628987063 0.00176281902890779
"HQ" 4.51714037369163e-06 4.40035404790653e-06
"HT" 7.63484810865507e-05 6.65006428044642e-05
"HY" 0.000420816573348204 0.000326430833283422
"IA" 0.0052916206794112 0.0039219447822352
"ID" 1.48245384368002e-05 1.44880590761688e-05
"IF" 4.05007167392055e-06 3.95776674377334e-06
"IG" 0.000220494608345867 0.000178770481494591
"IH" 0.000632247654361555 0.000606497986398196
"II" 2.19578639327142e-05 2.1324734082375e-05
"IJ" 0 0
"IK" 1.46253205270299e-06 1.44740962350717e-06
"IL" 0 0
"IM" 2.46626135863313e-05 2.40621520789341e-05
"IO" 0 0
"IP" 0 0
"IQ" 2.47180601682808e-05 2.4508274268296e-05
"IU" 3.83367066173056e-05 3.79808464767115e-05
"IX" 0 0
"IY" 0.000420576938564421 0.000387331161479557
