"Q" "C"
"AA" 0.0010447456365004 0.000962694848790553
"AC" 2.65187378833179e-05 2.59645132786273e-05
"AD" 0.00334547585358858 0.00297502697105508
"AE" 4.49954326753266e-05 4.07584209793943e-05
"AF" 0 0
"AH" 0.000225997338921254 0.000190744568239728
"AI" 3.04574948642609e-05 2.98821157792127e-05
"AM" 0.000118600746598067 0.000106633395716074
"AQ" 0.000212453617723564 0.000181794332709517
"AY" 0.0905795125278861 0.0458291329410036
"AZ" 0.00136307081082151 0.000974506216821595
"BA" 0.00373383495128141 0.0031560042986813
"BD" 0.00119806801676235 0.00107234086067412
"BF" 0.00845568242157023 0.00738271529635525
"BI" 0.000688041173832298 0.000661076358582635
"BK" 3.08010553673611e-07 2.99222961142807e-07
"BM" 1.50332843312236e-05 1.48335823927624e-05
"BP" 1.99114454036601e-05 1.91314830029734e-05
"BQ" 6.64556462670329e-05 6.02535129519677e-05
"BU" 0.000212135890354284 0.00021144111426496
"BV" 0.000292824678860362 0.000209502828121236
"CN" 0.00300303599624798 0.00206835012583836
"CO" 0.00416901704131234 0.00277188076536382
"CQ" 0.0542101303938354 0.0297749082359283
"CT" 0.0002725174161937 0.000149889750981005
"CU" 0.0217586550813099 0.0105373827139835
"DA" 0.00726832124681488 0.00418730396322831
"DB" 0.00590915691355395 0.00383321763041033
"DE" 0.00171948903883118 0.00143074471858151
"DI" 6.23721371189062e-06 6.20119652758313e-06
"DK" 0 0
"DM" 0.0247307730690941 0.0176568998534705
"DQ" 0.0106966008811206 0.00899485767535822
"DR" 0.0654801665348864 0.0345440331742661
"DS" 0.00125042920626374 0.000989480223746283
"DT" 1.29364432542917e-05 1.26901086528487e-05
"DW" 0.000304291662053798 0.000260242713983498
"DX" 0.000958201097291983 0.000647574654723466
"DY" 0.00191832230519885 0.0017300289733644
"EA" 0.00111466893354588 0.00100536778148845
"EC" 9.57361272398467e-05 9.12883402469092e-05
"EE" 0.000248780474661267 0.000230864833656428
"EI" 0.00203544420872339 0.00190577070303588
"EN" 0 0
"EO" 6.84870525227206e-06 6.82503626351629e-06
"EP" 0.000750080691000982 0.000710633050367788
"EQ" 0.000195352423956665 0.000175696434818958
"ER" 7.05005319189991e-05 6.38855278730408e-05
"ES" 6.2749844369566e-06 6.12603872147853e-06
"ET" 0.000150708961748347 0.000142215442194387
"EU" 6.36018010611251e-06 6.18810691341674e-06
"EV" 0.000714202386332251 0.000586720936006455
"EW" 0.000216708125463011 0.000212142007732263
"EX" 0.000208836701086049 0.000201593766384324
"FA" 2.32586469342786e-05 2.28825813099935e-05
"FE" 3.3627592893809e-06 3.26566944050297e-06
"FF" 0.000690884540241241 0.000593122725516849
"FI" 0.000128317736421038 0.000118831632354659
"FS" 0 0
"FU" 4.3852350014548e-07 4.20005325654149e-07
"FY" 0.0280986513556859 0.0251656364986256
"GA" 0.00361151571974475 0.00306051142269134
"GC" 0.000183338829768188 0.000180925011198019
"GM" 0.000334022677939993 0.000286375701731091
"GU" 0.00546027626207599 0.004758962184641
"GY" 2.14994866584109e-05 2.12850732176907e-05
"HA" 0.000187621074802353 0.000183564448840521
"HB" 0.00153428404918416 0.00139176854171678
"HE" 5.65034816892473e-06 5.13708274749426e-06
"HF" 7.30098374466661e-05 6.56731196649529e-05
"HI" 7.61376764364257e-05 7.33869410631928e-05
"HL" 0.00107304425182385 0.000904448628941307
"HQ" 0.00015650659637757 0.000149296896477164
"HT" 0.0163887025235421 0.0120444597292742
"HY" 0.0731817965119424 0.0407059952352541
"IA" 0.0227848314935669 0.0153074959810899
"ID" 3.46235115496922e-05 3.32721885054249e-05
"IF" 0.000146749938605179 0.000139684425446791
"IG" 0.00804314770689303 0.00581719441313726
"IH" 7.53194805750628e-05 7.14617721497015e-05
"II" 0.00025325593115323 0.000241831458380621
"IJ" 2.57077750257765e-05 2.51454247321268e-05
"IK" 3.78421194838432e-05 3.69762180148964e-05
"IL" 0 0
"IM" 3.45558214290252e-05 3.33508056414915e-05
"IO" 1.67589485641179e-05 1.64513283707698e-05
"IP" 0 0
"IQ" 0.00103761860265091 0.00101156099309829
"IU" 0.000340367066328696 0.000332959484903116
"IX" 3.04945895865953e-05 3.01398466705265e-05
"IY" 0.00604013552771442 0.00512987588885707
"JA" 0.0019016600252214 0.00174471840528331
"JB" 3.90445378220439e-06 3.76176338967462e-06
"JI" 3.19286198198046e-05 2.92034876465658e-05
"JM" 0 0
"JO" 1.08415246998088e-05 1.03127410813577e-05
"JS" 1.29364432542917e-05 1.27023051055465e-05
"JU" 0.00370823170052715 0.00329326233608502
"JW" 0 0
"JY" 0.000988578277436043 0.000854408564700423
"KA" 0.000103094932444765 9.65920448653813e-05
"KI" 0.00900275784125943 0.00745161678548869
"KM" 0.0261122776374644 0.0152876033016428
"KU" 2.9548012433098e-06 2.8912896589918e-06
"KV" 0.000239870481574585 0.000227799584598459
"KY" 0.00023891720771822 0.000234598468476298
"LE" 0.00128837082460588 0.00124993184331381
"LI" 0.00146353826512563 0.000930877683663489
"LJ" 0.000179592987834758 0.000149386292215895
