"Q" "C"
"AA" 0.000307947950366478 0.000294780572670573
"AC" 3.10801625867323e-05 3.05642312012627e-05
"AD" 0.00064434897076515 0.000607271902071084
"AE" 0.000140150169847528 0.000129795465880274
"AF" 0.000218568570450934 0.000200728640009981
"AH" 0.000839041086114786 0.000742645594450697
"AI" 2.75344879735932e-05 2.69436212567476e-05
"AM" 0.000886021031941225 0.00080343268988515
"AQ" 0.000301814658514202 0.000277441054120869
"AY" 0.00590996094526829 0.00474006264216734
"AZ" 0.000103071728886176 8.91050545172145e-05
"BA" 0.0010901723012714 0.00100634392967414
"BD" 0.00175261370685231 0.00149701946107352
"BF" 0.235651776690845 0.140940020244767
"BI" 0.0837625607821347 0.0574748497322269
"BK" 0.000223508668344349 0.000200899363994719
"BM" 0.0141957296307881 0.0122769019308743
"BP" 0.00148143376856348 0.00131590693604799
"BQ" 0.00509291138603249 0.00411442405673763
"BU" 0.000538564610373628 0.000531295933721031
"BV" 0.00147749511027454 0.00125218245889723
"CN" 0.004672522253698 0.00392674300592334
"CO" 0.00100056177475743 0.000850268778576039
"CQ" 0.00762316808036973 0.00626179269547066
"CT" 7.0677887579296e-06 5.96314424334431e-06
"CU" 0.0186796262415025 0.0139094509069261
"DA" 0.000755014402957664 0.000633178073348206
"DB" 0.00133212693308788 0.00110741233313687
"DE" 0.00574158267093652 0.00513003457471249
"DI" 0.00104120849014172 0.000997423261925214
"DK" 0.000201825546965178 0.000194247082696484
"DM" 0.00602742044721669 0.00531143294985724
"DQ" 0.00337325584546785 0.00308813289664152
"DR" 0.00207130982998676 0.00171714036276092
"DS" 0.000944581832750465 0.000838865984430382
"DT" 7.72715541441534e-06 7.57258791594598e-06
"DW" 0.000478416453104356 0.000439329095055791
"DX" 0.000575905697541531 0.00049685994404611
"DY" 0.000869520504355387 0.000826200172060326
"EA" 0.00483972551061411 0.00451922628513437
"EC" 0.00177281525878444 0.00172421803081217
"EE" 0.000231221791049366 0.000223324703440989
"EI" 0.000550630540411866 0.000530056151061586
"EN" 0.000420732344950339 0.000328400119979727
"EO" 0.000180083678346193 0.000177189677690734
"EP" 0.000415784171001061 0.000402146667807297
"EQ" 0.00396803380313003 0.00350661528125995
"ER" 8.79468307452695e-05 8.30855646160777e-05
"ES" 4.30349639502754e-05 4.22914301548369e-05
"ET" 0.000227318742926825 0.000217725681351113
"EU" 0.00751810769248797 0.00685989061053032
"EV" 0.000476594969550801 0.00042445379257156
"EW" 0.000471004576182549 0.000462036454355875
"EX" 0.000237779251755969 0.000231661635176301
"FA" 0.000171540010562419 0.000166649700136811
"FE" 0.00105045608679752 0.000970551133811229
"FF" 0.000496430920433011 0.000450430613060811
"FI" 6.35077941867396e-05 6.11586857830038e-05
"FS" 8.426628144938e-05 7.45253177569327e-05
"FU" 0.00604894773913246 0.00518764557637412
"FY" 0.0070147749833483 0.00669340720600449
"GA" 0.00288840202737162 0.00267978894889233
"GC" 0.0150402485944535 0.0134332735233858
"GM" 0.00138571499730116 0.00121273906737866
"GU" 0.0123661546257588 0.0103637213252092
"GY" 0.00855266665603511 0.00794102220752842
"HA" 0.00484348946008644 0.0045676381253522
"HB" 0.000292396359180158 0.000265819985787151
"HE" 0.000200798760445485 0.000183475172398388
"HF" 0.000483078751512552 0.000420101779306915
"HI" 0.000671024603159802 0.000627597628392059
"HL" 0.00143590638505508 0.00121111437140504
"HQ" 7.62139920913905e-05 7.36116907230502e-05
"HT" 0.0387238987317533 0.0293187715296297
"HY" 0.000850414331869945 0.000717404641889285
"IA" 0.0113674907009992 0.00951266991053926
"ID" 0.000347127789507497 0.0003317013773502
"IF" 0.000185774496110273 0.000178106854754573
"IG" 0.000870522346311477 0.000774606130139695
"IH" 0.00048560325401087 0.000446338705084419
"II" 0.000201093633225944 0.00019334914822103
"IJ" 0.000218618700423558 0.000210482798844146
"IK" 8.34485789064208e-05 8.15103576058129e-05
"IL" 0 0
"IM" 0.000216716870422439 0.000200388958369884
"IO" 1.37803881317595e-05 1.28629856679417e-05
"IP" 3.01705192159026e-05 2.70980913978129e-05
"IQ" 0.000281428942510793 0.000276365521814227
"IU" 0.000142117972223214 0.00013927916474716
"IX" 0.000126341272382327 0.000114148686027016
"IY" 0.000208654423111076 0.000187061751994082
"JA" 0.00847526518865665 0.00739900324929868
"JB" 0.00656907277305996 0.00563246347344497
"JI" 0.000252131427541395 0.000223446679198343
"JM" 0.00285924673332901 0.00231330554692984
"JO" 0.00213031923370852 0.00187766935307436
"JS" 0.000453902925463055 0.000418981674539446
"JU" 0.000817032925336434 0.000748916372225762
"JW" 0.000614850961938199 0.00055054271510071
"JY" 0.000940734394979967 0.000865960839434993
"KA" 0.0014695579569537 0.00133465353481468
"KI" 0.00213784441733036 0.00197335712533343
"KM" 0.0267528749296483 0.0207970289159435
"KU" 0.0107589144126382 0.0094808484601024
"KV" 0.00738003613360867 0.00599386738855234
"KY" 0.00322571836229524 0.00279876023908017
"LE" 0.0349961003593454 0.0292260367668284
"LI" 0.00127410057583944 0.00102079013606096
"LJ" 0.000918632851635159 0.000783783300216212
"LQ" 0.00165432658189148 0.00138300703623222
"MA" 0.00271839579059584 0.00238920514267561
"MC" 0.000392729739411613 0.000313204396965863
"ML" 1.85074168567891e-05 1.57450341175063e-05
"MM" 0.0122191078374732 0.0111854992834474
"MQ" 0.00318456733154482 0.00276079876788424
"MR" 0.0010193664039429 0.000913995205987443
"MU" 7.35611703737643e-05 6.69381673319448e-05
"MW" 0.000216279802987608 0.000192849260774621
"MY" 0.00276393611679488 0.00247304379573959
"NE" 0.0209035604196088 0.0170340700264727
"NI" 0.00243968866280092 0.00217441142504848
"NM" 0.000292057319890427 0.000267234017360429
"NN" 0.00227191824719673 0.00200935286385281
"NQ" 0.00107901449245677 0.00100753397650358
"NS" 3.77936118164714e-05 3.63409578342971e-05
"NU" 0.000667919518339638 0.000633654501699594
"OA" 0.000602569924382201 0.00057332085482603
"OE" 0.00279785329970904 0.0026002982377636
"OI" 0.000912586385893711 0.000755881886995573
"OM" 0.00152725757037143 0.00146076144375586
"OO" 0.000134048777603434 0.00010852602230726
"OP" 0.00817540349083129 0.00707779898551892
"OR" 0.00200233935452295 0.0016980328349624
"OT" 0.00392023149635829 0.00363511119260312
"OU" 0.000271926081462743 0.00023737907185816
"OX" 0.000124176691333783 0.000117855588647012
"OY" 0.00158948095713758 0.00151991379145387
"OZ" 0.00115579845593531 0.000936619291623993
"PA" 0.00133309336955571 0.00126635598027814
"PC" 0.00162298331433337 0.00154730384640103
"PD" 0.000207553596638104 0.000197656504597996
"PE" 0.000137978895915191 0.00013421612526885
"PF" 0.00016782339889667 0.000164161709175769
"PG" 9.11540055160905e-06 8.98982549614167e-06
"PH" 0 0
"PI" 0.00146858826317015 0.00129872939709396
"PJ" 0.000124743789304684 0.000120232618452474
"PK" 0.000604260080266406 0.000593137132467501
"PM" 0.00117199615313108 0.00113652903454215
"PN" 0.000361598275129546 0.000356571423945818
"PO" 0.000640542943047711 0.000602067632478812
"PQ" 6.99263270827159e-05 6.9637715880685e-05
"PS" 0.00057523773581608 0.000530824209029036
"PT" 0.000132983324429682 0.000110630678936801
"PU" 0.000149301342711027 0.00014605898673199
"PW" 0.00086591613453157 0.000709480650543306
"PY" 0.0202510886567715 0.016461514667209
"PZ" 0.00014955712435084 0.00014713230004355
"QA" 0.00216711560672986 0.00170803292669972
"QC" 5.56254517522123e-05 5.37458765845769e-05
"QD" 0 0
"QE" 0.000342147608344109 0.00031322730123737
"QF" 0.000125901967390064 0.000122860243695264
"QG" 7.25444592473481e-05 7.10915564186495e-05
"QH" 5.34973378847521e-05 5.27753112589373e-05
"QJ" 0.000116536829206855 0.000112486240174673
"QK" 9.99761434266729e-05 9.30976483555829e-05
"QQ" 0.0015487428173727 0.0014408567970957
"QU" 0.00176031986177765 0.0015699884598007
"RA" 0.000262647465680645 0.000226475634098583
"RB" 2.0155058598284e-05 1.95406109499062e-05
"RE" 0.00113403661803909 0.00102340688096256
"RO" 0.0055635834678957 0.00412197269430705
"RP" 0.00122704344435599 0.00114508732104141
"RQ" 4.20187362728117e-05 3.68961575395642e-05
"RT" 0.00586102284531242 0.00507961574020865
"RU" 0.00776141590443466 0.0067143097130136
"RX" 0.000275232241270828 0.000244738956118091
"RY" 0.00140963795927246 0.00134074713951088
"RZ" 0.00136233649179564 0.00121210163299597
"SA" 0.0101206351671713 0.00855446870446908
