"Q" "C"
"AA" 0.000146564175318311 0.000141211026459195
"AC" 0.000107300903270106 0.000104549884833405
"AD" 0.000815029801772618 0.000785011923485341
"AE" 0.000272581114568826 0.000248952880857742
"AF" 3.47649095286146e-05 3.33399908724251e-05
"AH" 0.000465517280804905 0.000417042586090029
"AI" 6.28767601203345e-05 6.04346097622161e-05
"AM" 0.000841922037074136 0.000763714280907466
"AQ" 2.11882362912111e-06 2.04940749963135e-06
"AY" 0.00214163276418488 0.0019021729996324
"AZ" 2.5879917184265e-05 2.4230998615216e-05
"BA" 4.22705314009662e-05 4.11345050980707e-05
"BD" 0.00126413054965663 0.00108174762274528
"BF" 0.16990207019385 0.0879182465061752
"BI" 0.319080177411152 0.150507999190737
"BK" 0.000611400328552436 0.000534714886745934
"BM" 0.00155196069578533 0.00140965198796149
"BP" 0.00907203196902585 0.00744609102454808
"BQ" 0.00456754604278678 0.00382204997707609
"BU" 0.00127710929438261 0.00123863689360267
"BV" 0.00031069335772924 0.000289985607201236
"CN" 0.000939226123339552 0.000867347987987093
"CO" 0.002587265648787 0.00226615240852969
"CQ" 0.00434359060287755 0.00388013343506713
"CT" 0 0
"CU" 0.00604095460685344 0.00508459302561538
"DA" 0.000458333630486339 0.000411156500159894
"DB" 0.00209803671050883 0.00185105925325431
"DE" 0.00895210394115315 0.00812665656203354
"DI" 5.60069035665796e-05 5.51251925547735e-05
"DK" 2.285239568325e-05 2.25816128094397e-05
"DM" 0.000633591283928307 0.000602164076013949
"DQ" 0.000105225596930403 0.000102058933538381
"DR" 0.000395795476283936 0.000359462091976145
"DS" 5.69810417562056e-05 5.46966529638778e-05
"DT" 6.66229106926038e-05 6.38711710626457e-05
"DW" 0.00188835695427095 0.001709570207575
"DX" 0.000154965515280482 0.000141545040637632
"DY" 0.00311607774721999 0.00287331237747195
"EA" 0.0204983534101453 0.0183778167948436
"EC" 0.00643128890862072 0.00608282651665017
"EE" 0.000857055184664045 0.000817369895944541
"EI" 0.00387882117272843 0.00357698980932682
"EN" 0.000191498484070948 0.000154957805647756
"EO" 0.00439355059192016 0.00426023601028475
"EP" 0.00123248783720345 0.00119379186404333
"EQ" 0.000138838908672132 0.000133920833333051
"ER" 0.00015637810927666 0.00015041933561469
"ES" 0.00011936922542741 0.000116493565760467
"ET" 0.000469455439626801 0.000452008417750282
"EU" 0.00058011559687633 0.000559385607756399
"EV" 0.000864899430634246 0.000777196258592339
"EW" 0.00182044999485467 0.00177958973869888
"EX" 0.000599284791107797 0.000582977925828429
"FA" 0.00270713649726749 0.0025612053787382
"FE" 0.000227900873281308 0.000222091927149437
"FF" 8.61796051311832e-05 8.35969969075478e-05
"FI" 0.000643848313285653 0.000602758348135339
"FS" 1.81159420289855e-05 1.71547016798546e-05
"FU" 9.34040835145274e-05 8.74805641441251e-05
"FY" 0.00197238590134565 0.00192773774137299
"GA" 0.000395245208035249 0.000382731818381504
"GC" 0.0440377104772463 0.0332880115258302
"GM" 3.15656565656566e-05 3.02180756114137e-05
"GU" 0.00983848195056875 0.00831146196608457
"GY" 0.00106887655875305 0.00104043075307574
"HA" 0.000476641329632803 0.000466306315340609
"HB" 7.84249969032578e-05 7.51973759254252e-05
"HE" 5.38631834430564e-05 5.22327376449914e-05
"HF" 9.85249674778913e-05 9.34497454371889e-05
"HI" 0.000104732789855072 0.000102515108494923
"HL" 0.000129986893493927 0.000123431637155802
"HQ" 0.000445111143698797 0.000412631096236769
"HT" 0.0207396703011578 0.0165744386226406
"HY" 0.000200299370330066 0.000183352613101553
"IA" 0.00145303687899562 0.00134546292510837
"ID" 0.000542095203218299 0.000499741931238211
"IF" 0.000651572974656499 0.000603223327697359
"IG" 0.000504813852629001 0.00047006423837726
"IH" 0.00115739402585233 0.00101722629701092
"II" 0.00126737049679468 0.0011773991628863
"IJ" 0.000138204057248441 0.000134294871151234
"IK" 0.000138338178193251 0.000132822822805014
"IL" 3.01932367149758e-05 2.73872792933088e-05
"IM" 0.00225136924196991 0.00195594059532245
"IO" 8.45449919391567e-05 7.30766293034568e-05
"IP" 9.70596301314526e-05 7.51390502867995e-05
"IQ" 0.00110044152053256 0.00106209585176076
"IU" 0.000363110178827968 0.000347940168829606
"IX" 0.000966794691478443 0.000758393651713777
"IY" 0.00026999558502883 0.000248518938352327
"JA" 0.0103264771264308 0.00865087568142192
"JB" 0.00245056572366267 0.00216043681288121
"JI" 2.50010965792309e-05 2.39162059230518e-05
"JM" 0.00036636970565556 0.000332238562609443
"JO" 4.95327217506484e-05 4.76287214116453e-05
"JS" 2.65334504464939e-05 2.5448270395941e-05
"JU" 0.000716756311713253 0.000664099983876753
"JW" 0.000410152950913821 0.000367647512963884
"JY" 0.000898337806116281 0.000842535394941858
"KA" 0.00223008198978339 0.00200872483282671
"KI" 5.11961387000023e-05 4.96775467756396e-05
"KM" 0.00962618563920717 0.00829770164150582
"KU" 0.00480205594937191 0.0043418592182965
"KV" 0.0175657014223928 0.011652099211515
"KY" 0.00957071417919962 0.00680579245986548
"LE" 0.0944560334420391 0.0626068294107837
"LI" 0.000144253358462455 0.000132815314768125
"LJ" 0 0
"LQ" 4.3229155281585e-05 4.09693416127304e-05
"MA" 6.36413693107739e-05 6.04415750910585e-05
"MC" 0.000149422725831286 0.000130266744092702
"ML" 0 0
"MM" 0.012561048333165 0.0115487965856753
"MQ" 0.00200819099939542 0.00183148370543692
"MR" 0.000449028546110269 0.000424822116642218
"MU" 0.000138239178936805 0.000127588154370733
"MW" 0.000262935115743087 0.000250354313522742
"MY" 0.000260565081160703 0.000251370765919994
"NE" 0.00116859968450543 0.00108312152231635
"NI" 0.000295931466935422 0.000281358194108566
"NM" 2.21417069243156e-05 2.15050166163952e-05
"NN" 0.000413266838968092 0.000392005206792491
"NQ" 4.88344561034778e-05 4.78011320038345e-05
"NS" 0.000109926222782772 0.000101141257710934
"NU" 0.00113061517970568 0.00110001944444818
"OA" 0.00252423054464565 0.00229157650546533
"OE" 0.00029295478072652 0.000283965823565593
"OI" 9.00352557370516e-05 8.26662866223304e-05
"OM" 0.00023710940830506 0.000233142885648552
"OO" 1.09793588054458e-05 1.01649027690972e-05
"OP" 0.00548466061437378 0.0050087915595693
"OR" 0.00163679147197915 0.00136948594499788
"OT" 0.000295822801183985 0.000286309319356137
"OU" 0.000683657905771574 0.000554473342918507
"OX" 5.19460913482653e-05 4.99113257013734e-05
"OY" 0.000435031359330132 0.00042463946931979
"OZ" 0.000255312571888659 0.000219611238337418
"PA" 0.000419992855255004 0.00040576392268258
"PC" 0.000408699440626311 0.000401423599831186
"PD" 6.03864734299517e-05 5.7538903172513e-05
"PE" 0.000179712095472965 0.0001760194993601
"PF" 7.06665516448125e-05 6.93164424771044e-05
"PG" 6.03864734299517e-05 5.9671761142067e-05
"PH" 0 0
"PI" 0.0025509683561527 0.00224684210113187
"PJ" 0.00110099949864302 0.00104539473363783
"PK" 0.00369906724452824 0.00350311317473473
"PM" 0.00723150258162394 0.00669656486717989
"PN" 0.00027648870142833 0.000271909153538307
"PO" 0.000197328727393666 0.000184466369362394
"PQ" 5.86936710936034e-05 5.84316535649677e-05
"PS" 3.98053003146037e-05 3.85536722261115e-05
"PT" 8.32238446840293e-06 7.75207869388043e-06
"PU" 0.000449921240961842 0.000430383904421472
"PW" 7.71434381536245e-05 7.06386555703443e-05
"PY" 0.00198596309261433 0.00185544902542729
"PZ" 0.000620476548345443 0.000590404829835937
"QA" 0.000445213105028515 0.000400878671966004
"QC" 4.60087416609156e-05 4.48890700767261e-05
"QD" 0 0
"QE" 0.000368766123702746 0.000342752054644976
"QF" 0.00146091687230007 0.00137160259123163
"QG" 0.000682244828449116 0.00064265876397273
"QH" 0.000234487776380892 0.000225635363682913
"QJ" 0.000356568065722631 0.000334618046199263
"QK" 0.000942717620307134 0.000850311269900075
"QQ" 0.00334875058783716 0.00289669495527772
"QU" 0.00221999535358998 0.00206363594777988
"RA" 0.000406859034648287 0.000364398109600247
"RB" 5.66961889425658e-05 5.50903961643443e-05
"RE" 0.0051085340042559 0.0039490576599581
"RO" 0.00518008119956653 0.00423666967849378
"RP" 0.00046361750166098 0.000448477494066595
"RQ" 6.48697116088421e-05 5.91752465011112e-05
"RT" 0.000755794869626325 0.000718535805130838
"RU" 0.00156211572795652 0.00147463559154204
"RX" 0.000107109493712892 0.000102447170400025
"RY" 0.00565393102991173 0.00522996908116131
