"Q" "C"
"AA" 0.000867524344470212 0.000806555526533886
"AC" 0.000330791929690146 0.000301749098845788
"AD" 0.000490930894918303 0.000477597013721052
"AE" 0.000768635487942938 0.000690073436579028
"AF" 0.00018681039142739 0.00017543670035718
"AH" 0.00024914361220762 0.000226678293153106
"AI" 9.55628841253185e-05 8.9390878943177e-05
"AM" 0.000189460184213594 0.00017937505821477
"AQ" 0 0
"AY" 0.000732438587964075 0.000662105313893264
"AZ" 0 0
"BA" 3.17975134344494e-05 3.06148931886643e-05
"BD" 7.77272550619874e-05 7.30092956704288e-05
"BF" 0.0200239241060818 0.0169447091244228
"BI" 0.0473567976746813 0.0396603859142405
"BK" 0.0189015649928557 0.015749504234702
"BM" 0.00132164093339329 0.00121196995463627
"BP" 0.177701076900569 0.125053040764716
"BQ" 0.0461501978378452 0.0355127260163423
"BU" 0.000414314029214344 0.000406918199590998
"BV" 0.000504599166718789 0.000450539855004492
"CN" 0.00218525387827248 0.00196423532433188
"CO" 0.00472985577899099 0.00400905707984168
"CQ" 0.0044498139704048 0.0040078719165572
"CT" 0 0
"CU" 0.00301914501188263 0.00263789646736185
"DA" 0.00092370974062677 0.000820282345431203
"DB" 0.00590011781263783 0.00523732844671524
"DE" 0.00206308301564767 0.00195366543064267
"DI" 0.0154829233640146 0.0140664259630958
"DK" 3.49772647778944e-05 3.39266353479686e-05
"DM" 0.000122647551818591 0.000117362503191223
"DQ" 0 0
"DR" 0.000650202368460501 0.000596848739810113
"DS" 0 0
"DT" 0.000301678908709339 0.000274099170010963
"DW" 0.00577662690675084 0.0048943568357556
"DX" 0.000227282821721437 0.000203923388415743
"DY" 0.00831925385653794 0.00709851399726782
"EA" 0.0321071488820872 0.0270681255200055
"EC" 0.00326856286367444 0.00295838242146264
"EE" 0.00142043936248756 0.00130575899062932
"EI" 0.0127934929316423 0.0107079318349898
"EN" 0.000709538799780143 0.00059155548481329
"EO" 0.00440713536201469 0.00427948865361459
"EP" 0.0086418793517309 0.00769948947241858
"EQ" 0.00147026227823709 0.00136763484384168
"ER" 0.00795772247906011 0.00687711119272711
"ES" 0.00250735347896813 0.00226424666437623
"ET" 0.00839071278509256 0.00734820689931046
"EU" 0.00596362364463099 0.00543777075410125
"EV" 0.00436926593966797 0.00358741335417097
"EW" 0.0125779735741238 0.0113881924981028
"EX" 0.00824163353844417 0.0073878155655202
"FA" 0.00918973094610401 0.00821956261418054
"FE" 8.74431619447359e-05 8.30113681670439e-05
"FF" 7.49512816669165e-05 7.26038155554357e-05
"FI" 0.00166483932879526 0.00146576204306527
"FS" 0.000262329485834208 0.000229545732907597
"FU" 8.74431619447359e-05 8.13561422866455e-05
"FY" 0 0
"GA" 0 0
"GC" 0.00674204477084579 0.00620435512141034
"GM" 0.000104931794333683 9.79027322587395e-05
"GU" 0.00191167713882361 0.00178391176913137
"GY" 0.00329583026677342 0.00312541757151201
"HA" 0.022353967655874 0.0205126164040338
"HB" 0.00136169305665016 0.00125421749735534
"HE" 0.000244840853445261 0.000230061949580133
"HF" 0.00244477453291724 0.00215199142546783
"HI" 0.00267167257229599 0.00245749655223738
"HL" 0.000358688421153701 0.00033551966365911
"HQ" 0.00150066209877333 0.00128286592861325
"HT" 0.00127851717152513 0.00117694177690385
"HY" 0.00043721580972368 0.00040578657592577
"IA" 0.000394535218774463 0.00036956375225803
"ID" 0.0013929077412813 0.00121098800879529
"IF" 0.012008790314591 0.00987984533219711
"IG" 0.000961459841312937 0.000859873616910057
"IH" 0.00387979978327832 0.00334619618020961
"II" 0.00572859352509488 0.00496266940394901
"IJ" 0.00533674519572482 0.00472326464820561
"IK" 0.00836466721024941 0.00725499513738558
"IL" 0 0
"IM" 0.00793369934742381 0.00677999349146148
"IO" 4.0358382436032e-05 3.69738439473429e-05
"IP" 0 0
"IQ" 0.0054400678554666 0.00486628391228528
"IU" 0.000915185672299431 0.000822443127016339
"IX" 0.00160112855548323 0.00145676199671495
"IY" 0.000524658971668416 0.000501579603966649
"JA" 0.0132940059577057 0.0115291434883318
"JB" 0.00403256466184681 0.00356582240176188
"JI" 0.00688806890023312 0.00612864214499114
"JM" 0.000262329485834208 0.000231862494918437
"JO" 0.000162394443611652 0.000150877940077306
"JS" 0.00110609921732692 0.00100928966255309
"JU" 0 0
"JW" 0.0012591815320042 0.00117708560181514
"JY" 0.00199553656593345 0.00184737355438938
"KA" 0.0033870747397609 0.00320800501562673
"KI" 3.17975134344494e-05 3.09752966028579e-05
"KM" 0.00142346868474885 0.00130188029128838
"KU" 0.00417939761066729 0.0038181574783286
"KV" 0.00307630627686996 0.00272116867431031
"KY" 0.00135993863833926 0.00124134688457522
"LE" 0.0242953300745666 0.0214512433975853
"LI" 0.000211135535181484 0.00019100674573051
"LJ" 0.00129930355342854 0.00120465678662629
"LQ" 0.0015279284151576 0.00142342267378099
"MA" 7.49512816669165e-05 7.16617859297145e-05
"MC" 0.00029916451742265 0.000260590787671081
"ML" 0 0
"MM" 0.0179066202151197 0.0161319899257977
"MQ" 0.00448125385166309 0.00396333639840967
"MR" 0.000413064841186562 0.000372944305634559
"MU" 3.88636275309937e-05 3.71713336498849e-05
"MW" 0.000341999922272745 0.000303445604325485
"MY" 0.00193332367627917 0.00178530210835343
"NE" 0.00217306054985828 0.00199986428698739
"NI" 0 0
"NM" 0.000118305454395819 0.000108789661912755
"NN" 3.2791185729276e-05 3.12535449863921e-05
"NQ" 0.0023036817499817 0.00210340805237862
"NS" 0.000808856534024977 0.000666194204444732
"NU" 0.00654704881310307 0.00596745301960758
"OA" 0.00448259968848213 0.00367777474727594
"OE" 0.000349772647778944 0.000333658675819579
"OI" 0.000453871650094106 0.000413201305683592
"OM" 0.00153025533403288 0.00148127437040209
"OO" 0.000262329485834208 0.000241599875095623
"OP" 0.000722821633243017 0.000673319147909261
"OR" 0.00364200769499825 0.00323763279251058
"OT" 0.0018792441775591 0.00172764326953194
"OU" 0 0
"OX" 0.00196497276770099 0.00175431985732281
"OY" 0.00201915323667067 0.00190651397715906
"OZ" 0.00102433418278119 0.000873459506859192
"PA" 0.0056301472224872 0.00516197209016571
"PC" 0.0100060712106129 0.00903631748580791
"PD" 0.000524658971668416 0.000495738460158131
"PE" 0.00213349319423019 0.00193867134254201
"PF" 0.00112801678908709 0.0010631445539253
"PG" 0.000378920368427189 0.000360239733832318
"PH" 0.000699545295557887 0.000667065056975888
"PI" 0.000238787096079856 0.000224753174180868
"PJ" 0.00481601095590161 0.00438288628411624
"PK" 0.00692502327895205 0.00608606855255843
"PM" 0.0197446739431256 0.0164064719756594
"PN" 0.00124559818945968 0.00118501327247796
"PO" 0.000215484934792385 0.000187962368016746
"PQ" 0.00043721580972368 0.000429679525319423
"PS" 5.82954412964906e-05 5.46088541078529e-05
"PT" 0.000165709596454612 0.000149074149759864
"PU" 0.00153488630511654 0.00139093810454512
"PW" 0 0
"PY" 0.000928762026679959 0.000867598481295017
"PZ" 0.00162898923392103 0.0014376129626429
"QA" 0 0
"QC" 0.000131164742917104 0.000122785024422152
"QD" 0.000131164742917104 0.000123133948114717
"QE" 0.000293559186528756 0.000260630605684223
"QF" 0.00409273467310008 0.00351623195442142
"QG" 0.00268048880287322 0.00230395524753357
"QH" 0.000467025978568476 0.000419523289850323
"QJ" 0.00149521400833048 0.00130066083415473
"QK" 0.00913239727510451 0.00790171551326342
"QQ" 0.00423802730917464 0.0039509059452296
"QU" 0.0036370926665426 0.003414460708904
"RA" 0.000379961358450341 0.000327286288480493
"RB" 0.000698349491633856 0.000644967357910546
"RE" 0.00313018246320771 0.00283107814031867
"RO" 0.00585078706937656 0.00493012017828126
"RP" 0.00442490790077359 0.0040678409915849
"RQ" 0.000299426584841066 0.000280316957017418
"RT" 0.00119522872946963 0.00110773983054519
"RU" 0.0102351207250212 0.00926968033639305
"RX" 0.000881193929462555 0.000806708478807179
"RY" 0.00315313379943081 0.00282205177416671
"RZ" 0.000362264528056763 0.00034553301714158
"SA" 0.000330472838342723 0.00030851216754196
"SD" 4.37215809723679e-05 4.21888629984819e-05
"SI" 0.000215244706325504 0.000201121457582989
"SR" 0.00189038583254218 0.00168298942744247
"SU" 0.00076575226103033 0.000746785984876223
"SY" 0.00686743321257638 0.00624824295238366
"TA" 9.53925403033483e-05 9.19397125757004e-05
"TC" 0.00037309082429754 0.000364193789127671
"TD" 0 0
"TE" 0.000698919705381295 0.000643965603263515
"TI" 0 0
"TM" 0.000104931794333683 9.81730583193403e-05
"TQ" 8.88311486422713e-05 8.41876774948895e-05
"TU" 0.00138446868509828 0.00124022946647527
"UA" 0.0225680293446172 0.0207040892539121
"UB" 0.00622680115303012 0.00535519154985039
"UE" 0.00251674152185695 0.00217866474668234
"UF" 0.000400864438115225 0.000370439575080157
"UH" 0.00265996021021702 0.00233296489921038
"UI" 0.00385171734046803 0.00354284428324999
"UK" 0.00225908382025288 0.0019846963201132
"UM" 0.000460755287617827 0.00041535824993274
"UN" 0.00188844249152417 0.00181431298785858
"UP" 0.000375721689992414 0.000365312635527967
"UQ" 0.00135429841620818 0.00122746382286326
"UR" 0.000229869524203207 0.000213222899461017
"UT" 0 0
"UU" 0.000909408884225254 0.000866232753076911
"UY" 0.009922611717262 0.00890412818613021
"VE" 0.00106458712522666 0.000983622617591633
"VI" 0.00472456550078038 0.00419193664507064
"VJ" 0.00796984085618239 0.00695497049766671
"VM" 0.00021860790486184 0.000204945553841972
"VP" 0 0
"VS" 0.000459688090852834 0.00041506889550248
"VX" 0.0117637785076228 0.0105208930289442
"VY" 0.00157792636806278 0.00149370953488915
"WC" 0.000788954882675543 0.000736316559115933
"WE" 0 0
"WF" 4.37215809723679e-05 4.19498197556144e-05
"WH" 0.000431712393936948 0.000421994196705249
"WM" 0.00052053834690709 0.000461376078351828
"WQ" 0.00352890056195408 0.00326482600739329
"WU" 0.0081511450292597 0.00697244543052747
"WV" 0.000230017155515582 0.00021005321796429
"WY" 0.00021860790486184 0.000204113793915863
"XA" 0.00503688859268762 0.00457772235138982
"XE" 0.000296335159923827 0.000278419682355315
"XQ" 0.0324292130245698 0.0262370694966087
"XW" 8.07167648720639e-05 7.77004099896188e-05
"XY" 0.000199870084445111 0.000190764434545354
"YA" 0.000818653481297763 0.000793909934064549
"YE" 0.00347736310634857 0.00321997246417309
"YG" 0.00155211612451906 0.00146695284873649
"YI" 0.00258248804943453 0.00236513051057366
"YO" 0.000368270239728792 0.000326572956552966
"YP" 0 0
"YQ" 0.000131164742917104 0.000120648332225603
"YR" 0.000191125768250637 0.00017419633551822
"YU" 0 0
"YY" 0.00119460986722267 0.00109150439110358
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
