"Q" "C"
"AA" 0.000440337989534721 0.000408360258895724
"AC" 0.000519163029181943 0.000493345272787539
"AD" 0.000854344893555692 0.000763001722422433
"AE" 0.000283293174332059 0.000226481607616267
"AF" 1.22378645050818e-05 1.18912110640383e-05
"AH" 0.00222342106112264 0.00167804256529924
"AI" 2.91908090725256e-05 2.80577263497832e-05
"AM" 0.00100820172505911 0.000863196690803429
"AQ" 0.000730109461451692 0.000627132908420023
"AY" 0.000516575363545132 0.000340671916599993
"AZ" 0.000139883862704041 0.00010713219024316
"BA" 0.000565772774591587 0.000515556892156799
"BD" 7.92998330802763e-05 7.32679768468677e-05
"BF" 0.000117020506313571 0.000106900024504586
"BI" 0.000198691337313078 0.000190858904905396
"BK" 9.6875794381514e-07 9.22820501710829e-07
"BM" 1.87740321521919e-06 1.85725813753864e-06
"BP" 5.55720846093586e-05 5.10726492578438e-05
"BQ" 2.6415950911845e-05 2.44824414260762e-05
"BU" 0.000229489381294418 0.000227571235061719
"BV" 0.000124681473744109 0.000105904204221108
"CN" 0.000612378500058961 0.000507969504175403
"CO" 0.110467780753973 0.0511150269157631
"CQ" 0.138327094342233 0.0679015546685399
"CT" 0.00017527530328707 0.000108647369890533
"CU" 0.00793222505994959 0.00401101405217967
"DA" 0.0197668345041791 0.00968591660934327
"DB" 0.0457625462508304 0.0244611056606328
"DE" 0.0150849437055065 0.0117999191242558
"DI" 1.89649293515007e-05 1.88450197779583e-05
"DK" 4.40492277612981e-06 4.38876156135905e-06
"DM" 0.0222914049128636 0.016704970938429
"DQ" 0.00262922572581766 0.00232315234441925
"DR" 0.0318438240148565 0.0169827104066764
"DS" 0.000787170042983405 0.000679699840143055
"DT" 0.000144327306416358 0.000133557292887386
"DW" 0.00492545084669034 0.00334063909210148
"DX" 0.00868496076132546 0.00496548172674713
"DY" 0.0302749992176574 0.0222339841657504
"EA" 0.123297512200292 0.0803633630868685
"EC" 0.00206962928504407 0.00173307674570667
"EE" 0.00841052451031932 0.00681897041852319
"EI" 0.0142168825949972 0.0111597224636455
"EN" 0 0
"EO" 0 0
"EP" 0.00360811401637865 0.00337096494379253
"EQ" 0.000108802737556164 0.000102814745401749
"ER" 0.000159104165275768 0.000146623643072142
"ES" 0.000309245784650512 0.000295285543141446
"ET" 0.00150392686667817 0.00137312885219708
"EU" 1.39687678032989e-05 1.37023776984849e-05
"EV" 0.0061076573703337 0.00456221759428911
"EW" 0.000877273942684895 0.000844687923428936
"EX" 0.0021028853110351 0.00199033306353137
"FA" 6.00660760288633e-05 5.74646523310292e-05
"FE" 3.80572224795654e-06 3.74324160877691e-06
"FF" 0.000168966536291101 0.000156466331862928
"FI" 0.00372602176404481 0.0029754146493121
"FS" 1.04246778736629e-06 9.3158845769816e-07
"FU" 2.01186610613927e-05 1.94865789009734e-05
"FY" 0.00148646655214842 0.00140422083752368
"GA" 0.00186198303053939 0.00162321468322617
"GC" 0.00110629403748673 0.00108261978792754
"GM" 0.000287358368595622 0.000258875387548915
"GU" 0.00170273038426536 0.00152793747157855
"GY" 8.95858769999145e-05 8.86185555039789e-05
"HA" 3.05382728784344e-05 3.00865168650139e-05
"HB" 0.000100433993682258 9.14655239742629e-05
"HE" 3.51358952579163e-06 3.3436042798642e-06
"HF" 7.79990058480464e-06 7.26312536373446e-06
"HI" 7.09483337809243e-06 6.96536009556974e-06
"HL" 0.000207364510871268 0.000184870273919656
"HQ" 0.0020353213598833 0.00162309792370436
"HT" 0.00195789748065016 0.0014762045618844
"HY" 0.0034362713737168 0.00222123969522691
"IA" 0.0068753537145289 0.00498368323852701
"ID" 0.000624872651146232 0.000540189619369694
"IF" 0.00029662146039973 0.000257432715692401
"IG" 0.00477591508550249 0.00355701171735968
"IH" 0.0020252965079305 0.0017351047364601
"II" 0.00386695257017673 0.00324559935753793
"IJ" 3.80818513283948e-05 3.67133888573689e-05
"IK" 4.33948352543042e-05 4.06253976834866e-05
"IL" 1.74376429886725e-07 1.66702536769554e-07
"IM" 0.000185697991652381 0.000167444922019687
"IO" 9.7635569347078e-06 9.48967077052969e-06
"IP" 4.70100597527838e-05 4.33888646692649e-05
"IQ" 0.00316326900553721 0.0029717128719458
"IU" 0.000502662852719349 0.000472463136927692
"IX" 6.61392338872645e-06 6.49892483347631e-06
"IY" 0.0009594598695849 0.000818620534837008
"JA" 0.00762066460578374 0.00652802013528314
"JB" 2.2278411820267e-05 2.13732535497406e-05
"JI" 1.61001335748194e-05 1.52744609923849e-05
"JM" 0 0
"JO" 1.53143113915392e-06 1.48782151129362e-06
"JS" 1.42342833877905e-06 1.40903698948947e-06
"JU" 0.000502888664330271 0.000453720527042442
"JW" 0 0
"JY" 0.00949166224626856 0.00727127042831564
"KA" 0.00021253369665043 0.000198545531156738
"KI" 0.00365397888597335 0.00317685135974529
"KM" 0.0279403908966948 0.0163485850274471
"KU" 6.54688265901821e-06 6.4158936688126e-06
"KV" 4.3837647732285e-05 4.20065691080011e-05
"KY" 5.75349203479872e-05 5.65967263280152e-05
"LE" 0.000558431868527598 0.000538783700718452
"LI" 0.000559805636129044 0.000409674909598244
"LJ" 5.29486233480862e-05 4.73320615998291e-05
"LQ" 3.2667101612277e-05 2.97861758460139e-05
"MA" 0.00626058131719622 0.00469931096074735
"MC" 0.00694069734972743 0.00355370127325044
"ML" 5.42587336916698e-07 4.88668933472459e-07
"MM" 1.67798876174424e-05 1.66847764879551e-05
"MQ" 4.20640162637299e-05 3.79235167221623e-05
"MR" 3.10002542020844e-07 3.05733366001167e-07
"MU" 0.000524624156596097 0.000438923526298469
"MW" 1.18901751249428e-06 1.1631944884747e-06
"MY" 5.6051076087131e-05 5.31057051025075e-05
"NE" 0.00230316763731349 0.00200797276028998
"NI" 0.0155762265611465 0.0117804424840535
"NM" 8.45461478238668e-07 8.36449411043008e-07
"NN" 0.0043873389382045 0.00350800229501415
"NQ" 2.43528500666302e-05 2.39708325288192e-05
"NS" 0.00472103078526976 0.00370177687136155
"NU" 0.00020744884431187 0.000201632964953967
"OA" 0.00302129519652798 0.00236827568585111
"OE" 3.50078770199989e-06 3.46725058704952e-06
"OI" 0.000380976284331404 0.00025568151618173
"OM" 1.36210058602189e-05 1.34556186891921e-05
"OO" 4.52660485998052e-06 3.92419669403931e-06
"OP" 0.00195089726732153 0.00155828683010926
"OR" 6.58024263723491e-08 6.51632975542402e-08
"OT" 2.92708628539861e-05 2.80091537574396e-05
"OU" 0.000117075783507012 0.000106794689021204
"OX" 1.30374900849888e-07 1.28603873110794e-07
"OY" 1.66977643446369e-05 1.64832681995839e-05
"OZ" 3.79308070495364e-06 3.49089922460745e-06
"PA" 3.57056499291866e-06 3.54307734238203e-06
"PC" 1.95345236137781e-05 1.93925740568251e-05
"PD" 0 0
"PE" 0.000205197519615553 0.000199541256063292
"PF" 0 0
"PG" 2.90627383144542e-07 2.89995765231183e-07
