"Q" "C"
"AA" 8.61853189590512e-05 8.10349628168997e-05
"AC" 4.11251564351636e-05 4.01973889793649e-05
"AD" 0.00165240833323026 0.0014443914863411
"AE" 0.000412092451108024 0.000341278680050587
"AF" 3.98611768077376e-06 3.88507252462971e-06
"AH" 0.00124410447603313 0.000937084257494871
"AI" 2.30856977630592e-05 2.26097093387955e-05
"AM" 0.00149609585253794 0.00124619715296609
"AQ" 0.000692241986958342 0.000566498107242421
"AY" 0.000780138681759956 0.00042349664610028
"AZ" 0.000228894803577824 0.000157751328001791
"BA" 0.000457236839392908 0.000405618427591635
"BD" 0.000481539768513195 0.000436186669118546
"BF" 0.000143572074991061 0.000128361576769636
"BI" 2.06682425690073e-05 2.00228090228708e-05
"BK" 4.06257490850362e-07 3.93405231117184e-07
"BM" 1.62980257418892e-06 1.61262751975075e-06
"BP" 1.07986580425085e-06 1.03015416982953e-06
"BQ" 1.29949531390728e-05 1.18574774620755e-05
"BU" 7.97131082313895e-05 7.9460591953797e-05
"BV" 0.000141329914213064 0.00011314147550634
"CN" 0.000957750768511632 0.000742584045787125
"CO" 0.0184263573852043 0.00906423401357728
"CQ" 0.279113256779473 0.0983366607899658
"CT" 0.000212040464230303 0.000106020442068902
"CU" 0.0106576020567398 0.00392683205788258
"DA" 0.0282901421279589 0.0106334626089055
"DB" 0.0262658744140124 0.0124078354868073
"DE" 0.0265835686627875 0.0193061156296131
"DI" 6.4493968461365e-06 6.41928315074981e-06
"DK" 4.8461392387934e-06 4.83618939937746e-06
"DM" 0.0360718190932906 0.0242398616889119
"DQ" 0.00628480619232454 0.0053165827698412
"DR" 0.0853964557653485 0.0322923193702226
"DS" 0.00103143590311399 0.000852618801063663
"DT" 3.50271624378773e-05 3.36784833270997e-05
"DW" 0.00394457351911646 0.00285597613580425
"DX" 0.0132502928879791 0.00671446931281403
"DY" 0.0247641261943459 0.0195323204344276
"EA" 0.00880424572103474 0.00718068598914805
"EC" 0.00345434377281477 0.00302211118507342
"EE" 0.0129637651089711 0.0107592678791895
"EI" 0.00846510863896658 0.00724767326521623
"EN" 0 0
"EO" 0 0
"EP" 0.000243531775219147 0.000232210988026224
"EQ" 0.000147642478999669 0.000137268155676983
"ER" 1.17423086874507e-05 1.09368051739904e-05
"ES" 1.577220821486e-05 1.54240552304859e-05
"ET" 0.000322187128979579 0.000298827127893377
"EU" 6.39949173435952e-06 6.26209025480252e-06
"EV" 0.00183279889636499 0.00137658902760557
"EW" 7.64687511819211e-05 7.49136196158706e-05
"EX" 0.000113117654526952 0.000109177036298023
"FA" 8.69833655041043e-06 8.50443233640787e-06
"FE" 1.04926638471959e-06 1.02840260730678e-06
"FF" 9.11455716301783e-05 8.2848244770705e-05
"FI" 0.00305987332816231 0.0025576918351934
"FS" 1.60832293192821e-06 1.38514740660103e-06
"FU" 5.50192550059717e-06 5.30233633602149e-06
"FY" 0.0009854119142327 0.000919871315841106
"GA" 0.00229596708940471 0.00191815977190555
"GC" 0.000249152430598799 0.000246203878879014
"GM" 0.000432625409286577 0.000379447409131663
"GU" 0.0054229536104431 0.00473692805405982
"GY" 3.1587855719332e-05 3.13077407380152e-05
"HA" 9.67737490641851e-05 9.5246560885928e-05
"HB" 0.000203736457166076 0.000185308065145719
"HE" 7.41025790115765e-06 6.94500166279405e-06
"HF" 1.22238516932426e-05 1.11987569064981e-05
"HI" 1.78442736798422e-05 1.74392042858958e-05
"HL" 7.33098683297404e-05 6.35629604154088e-05
"HQ" 0.00057194339682031 0.000515370043036688
"HT" 0.00603110625988957 0.00410401040441772
"HY" 0.0113160504355008 0.00585313575993715
"IA" 0.0217516075406582 0.0136814383741471
"ID" 0.000519946690304369 0.000477222618717901
"IF" 6.72472960784568e-05 6.2351262288343e-05
"IG" 0.00184570355500511 0.00134186879643478
"IH" 0.000534825097130042 0.00048679272237031
"II" 0.0015263303179813 0.00137197639726605
"IJ" 1.19749220062834e-05 1.17335985975469e-05
"IK" 1.58430798281162e-05 1.53508682032717e-05
"IL" 4.27935115368314e-07 4.17826199684105e-07
"IM" 8.81507221870554e-05 8.32176851108302e-05
"IO" 3.39179640485909e-06 3.34139030252122e-06
"IP" 5.52614049728253e-06 5.29032808216679e-06
"IQ" 0.000223084176300323 0.000217722560393245
"IU" 4.54645355683862e-05 4.41477198318007e-05
"IX" 2.73479853210911e-06 2.71130378012296e-06
"IY" 0.00333791777794355 0.00272027748390239
"JA" 0.00319248153552338 0.00283804197708101
