"Q" "C"
"AA" 0.000956963857843636 0.000895205871863379
"AC" 0.000307819297189542 0.000299015676151614
"AD" 0.0021654374962012 0.00192261576933401
"AE" 0.000294235604041914 0.00025158560842221
"AF" 4.54428680688056e-05 4.38537901845668e-05
"AH" 0.00170365419233403 0.00134625119933515
"AI" 0.000199155318147809 0.000194276536645061
"AM" 0.0022238537279238 0.0018811390362523
"AQ" 0.000911533032447306 0.000751393504958528
"AY" 0.00250061811766542 0.00150169039178066
"AZ" 0.000433898156187472 0.000320597764301729
"BA" 0.00129431255705122 0.00113693755465893
"BD" 0.00352183790455336 0.00296901962593584
"BF" 0.00285646173686646 0.00250745130042627
"BI" 0.000455549835152232 0.000436940760427475
"BK" 7.36429928873728e-06 7.05636308427389e-06
"BM" 2.5499005143912e-05 2.50362416835755e-05
"BP" 1.53169159229204e-05 1.46328338933624e-05
"BQ" 6.56512319519132e-05 5.94791600937392e-05
"BU" 0.00258468721899671 0.00256132565038272
"BV" 0.00100964869699857 0.000777521226130516
"CN" 0.00795990258433082 0.00592056540461401
"CO" 0.0106447222441039 0.00659330641884154
"CQ" 0.109047128608466 0.0560287663679977
"CT" 0.000295891339787211 0.000176365327162509
"CU" 0.05742804151998 0.0264970185673936
"DA" 0.0138488283997305 0.00750793082605793
"DB" 0.0187366412334167 0.0108880065313189
"DE" 0.0216686190668418 0.0168040067101477
"DI" 0.000111004582619867 0.000109937368206269
"DK" 6.16951678750004e-05 6.12748542873214e-05
"DM" 0.0334649475603625 0.024359858576874
"DQ" 0.0067096578868217 0.00575058481546916
"DR" 0.0501412033264568 0.0263190340137891
"DS" 0.00174287329411138 0.00143444926592239
"DT" 0.000103357050007423 0.000100269086046585
"DW" 0.00109078300416575 0.000887743865471684
"DX" 0.00274122543043443 0.00174902848447964
"DY" 0.00495641418131968 0.00434389216554238
"EA" 0.00333538856468001 0.00291155840818144
"EC" 0.00040631813414974 0.000380823942176324
"EE" 0.00108844784124976 0.000986824553784813
"EI" 0.0026126441009305 0.00239628267460453
"EN" 0 0
"EO" 1.27294483057104e-06 1.2688673076514e-06
"EP" 0.00232701088271499 0.00219659637286335
"EQ" 0.000988059675826985 0.000895436030712745
"ER" 0.000242084043918229 0.000221320624605119
"ES" 0.000122227440430617 0.000118608272409099
"ET" 0.000562374188917827 0.000523648615980322
"EU" 0.000138867898438936 0.000134528075544798
"EV" 0.0026865059998814 0.0021273728633119
"EW" 0.00048182606582417 0.000468086535963941
"EX" 0.000972313271140564 0.000930969077901458
"FA" 8.11560381257684e-05 7.92797367276696e-05
"FE" 3.82642044553675e-05 3.70408811723828e-05
"FF" 0.000298538276139287 0.000266821444014978
"FI" 0.00042796600577972 0.000387872285930632
"FS" 0 0
"FU" 0.000361012505181704 0.000341735256014721
"FY" 0.00209766046450153 0.00196842919001034
"GA" 0.00217288127194573 0.00186326234081832
"GC" 0.00204484008834042 0.00199683055796253
"GM" 0.000593903339412456 0.000512364960425345
"GU" 0.0372662527062005 0.0303686144234521
"GY" 0.00133652667759094 0.00131228600624934
"HA" 0.000949924348276353 0.000926610706868631
"HB" 0.000546067864683724 0.000495608801019955
"HE" 3.93926213308559e-05 3.62908538168267e-05
"HF" 8.19321288343029e-05 7.360844512423e-05
"HI" 0.000221803438162738 0.000213829012938799
"HL" 0.000915767965201321 0.000773979015310065
"HQ" 0.000770170832871667 0.000722343883839985
"HT" 0.0129926927105812 0.00895169167288698
"HY" 0.0121712184344851 0.00747906816407637
"IA" 0.0183698494780549 0.01263848512227
"ID" 0.000349817038787066 0.000328146794736539
"IF" 0.000219670838379614 0.000205847372533469
"IG" 0.00375674864701259 0.0028827799238511
"IH" 0.000700359210607957 0.000637364522588846
"II" 0.000732083107175632 0.000682605372706387
"IJ" 0.000111964278684455 0.000108802228878384
"IK" 4.28521847628185e-05 4.16473583673886e-05
"IL" 5.79493646785765e-06 5.56587356988255e-06
"IM" 0.000185598821174051 0.000174196413164841
"IO" 3.90004334438282e-05 3.77125018634443e-05
"IP" 7.45274622794793e-06 7.16167830855596e-06
"IQ" 0.00151860880291627 0.00147495267839538
"IU" 0.000314983217198288 0.000306257198835746
"IX" 1.3482927516309e-05 1.32196848584152e-05
"IY" 0.00809289701515548 0.00661553558966289
"JA" 0.00927096232439866 0.00804989913075168
"JB" 0.000399737736686507 0.000373169293299681
"JI" 8.19353413653718e-05 7.52594922602765e-05
"JM" 7.84954405258814e-06 7.37054779071194e-06
"JO" 9.42481137823656e-05 8.90785432360116e-05
"JS" 4.93776287415407e-06 4.84387022804867e-06
"JU" 0.00400141102756624 0.00344681016916279
"JW" 1.72218539607862e-06 1.69011253096702e-06
"JY" 0.00312371848682449 0.00257964472461397
"KA" 0.00191452139026722 0.00170877632526604
"KI" 0.0065865421123624 0.005591651078398
"KM" 0.0454588718920134 0.0253899138251278
"KU" 0.000248081327189631 0.000238834182392073
"KV" 0.000995565945051145 0.000917219111078675
"KY" 0.000728783871139674 0.000708811795125863
"LE" 0.00339662317581625 0.00322583013363284
"LI" 0.00182584115191338 0.00122120999198353
"LJ" 0.000377952839066987 0.000319375895814025
"LQ" 0.00048175371373771 0.000416749177382839
"MA" 0.0100624871735367 0.00723842310721076
"MC" 0.00497974707348738 0.002659058198243
"ML" 1.54138872773306e-05 1.31013286031762e-05
"MM" 7.67506011325394e-05 7.60011203173035e-05
"MQ" 0.000815352403451693 0.000714230747006938
"MR" 2.15770360971112e-05 2.10549286617534e-05
"MU" 0.00086532967521317 0.00072141352597824
"MW" 1.85803614771554e-05 1.78546449774091e-05
"MY" 0.0012204258305385 0.00111137475297847
"NE" 0.0118558444053904 0.00978886515403906
"NI" 0.0320706137297793 0.02305126114852
"NM" 2.09444712482327e-05 2.05232232882421e-05
"NN" 0.0120357779596468 0.0092374828255274
"NQ" 0.000218949289730225 0.000212329448769514
"NS" 0.000451182708035528 0.000414180879306005
"NU" 0.000519340320743342 0.000502081512582579
"OA" 0.000409843940683839 0.000375938771997055
"OE" 0.000104808357307355 0.000103074524743305
"OI" 0.000574210625775372 0.00038077148092827
"OM" 6.69211406809559e-05 6.56190412415709e-05
"OO" 3.96388263055247e-05 3.2088954579667e-05
"OP" 0.000609694403098027 0.000495290706057725
"OR" 2.58950364973573e-06 2.54836827775973e-06
"OT" 0.000252819258029788 0.000234383666996243
"OU" 0.000732027383041015 0.000647241572670349
"OX" 2.1947324665018e-07 2.14866012252574e-07
"OY" 9.22927977148805e-05 9.02506025453881e-05
"OZ" 2.75755259334271e-06 2.47042521557615e-06
"PA" 4.45389873025232e-06 4.39809067521217e-06
"PC" 0.000156312878529696 0.000154630334599316
"PD" 3.03548382674634e-06 3.02834278321905e-06
"PE" 0.000329943935442333 0.000322404384386282
"PF" 2.53220208231874e-06 2.52843167940999e-06
"PG" 4.89594165604247e-07 4.88216492655599e-07
"PH" 4.24314943523681e-06 4.22717371133925e-06
"PI" 0.011792938263746 0.00985946762245059
"PJ" 4.57675068351941e-05 4.21841204331326e-05
"PK" 3.88247945033788e-05 3.7786564195877e-05
"PM" 0.00125785336517476 0.00118390628779171
"PN" 0.00331539417384775 0.00322553748140093
"PO" 0.00329618799334712 0.00302002187598138
"PQ" 0.000576910035812193 0.000570688627628015
"PS" 0.000311658109375752 0.000300725324552964
"PT" 0.00075475277258657 0.00059592006106243
"PU" 0.000590424859723581 0.000571425016133138
"PW" 0.00161698941061872 0.00103383066989214
"PY" 0.0200698749524981 0.015039307028512
"PZ" 0.000106569608919941 0.000104104887455241
"QA" 0.0116760551705725 0.00600944658300522
"QC" 1.64522768479112e-06 1.63011396792752e-06
"QD" 3.79983531513744e-07 3.78302304176705e-07
"QE" 0.000760740140995592 0.000607335212910611
"QF" 3.48553708758558e-05 3.37172983423467e-05
"QG" 4.79809248328053e-05 4.63727688745442e-05
"QH" 4.54925531537757e-05 4.45040540196694e-05
"QJ" 4.07727985330567e-05 3.77006521242424e-05
"QK" 1.0607873588092e-06 1.04901979386883e-06
"QQ" 0.00145481986519075 0.00140837203824773
"QU" 0.0281532667208734 0.0199165397329869
"RA" 0.00119132194597758 0.00077783944752902
"RB" 0.00019446131029433 0.000184917729603563
"RE" 0.00012136802080608 0.000118238201114928
"RO" 0.00583033166905331 0.00269049062227644
"RP" 3.58004363189301e-05 3.3168275163944e-05
"RQ" 0.00105576343140337 0.00074777346987951
"RT" 0.00797210809583227 0.00623403842509294
"RU" 0.0554819970485095 0.0402633837987742
"RX" 0.0011725133505239 0.000940687680619301
"RY" 0.00128670397141814 0.00120019312894772
"RZ" 0.000341386250816985 0.00030592013871456
"SA" 0.0054567443292317 0.0041282301298149
"SD" 0.00304439565604126 0.00254918185615797
"SI" 0.00284028511963803 0.00260006015605357
"SR" 0.000110800459138031 0.00010510825277393
"SU" 0.00488171646017351 0.00443543444600213
"SY" 0.000935198371657423 0.000902221868407281
"TA" 0.00243749448787038 0.00216106136717587
"TC" 0.000972130787005587 0.000893273489354486
"TD" 0.000867952895712645 0.000754414589840487
"TE" 0.0023778827487053 0.00225915609845751
"TI" 0.00469587501470086 0.00334913248985786
"TM" 0.0047108166694777 0.00300782619607445
"TQ" 0.00364236991890943 0.00294017494108083
"TU" 0.0160807144024215 0.00970632545723546
"UA" 8.06954009319694e-05 7.81301665676227e-05
