"Q" "C"
"AA" 0.000837128133842389 0.000772527272941929
"AC" 0.000154578942724704 0.000148788720818712
"AD" 0.000585990897553694 0.000523057118059164
"AE" 0.000215617172741689 0.000180557462439831
"AF" 7.60309263526562e-06 7.44061805948567e-06
"AH" 0.000565842566031013 0.00044386796303008
"AI" 0.000115342131728368 0.000111308225013607
"AM" 0.000343057021376836 0.000297583049252619
"AQ" 0.00043595231294225 0.000368048808807686
"AY" 0.00110650496660357 0.000645218682151764
"AZ" 0.000164948624390309 0.000118977260651622
"BA" 0.00069994468624869 0.000625127925239791
"BD" 8.50584128816264e-05 7.91617634438126e-05
"BF" 0.000120970099719211 0.000109992968195489
"BI" 1.41353961456428e-05 1.37202248305047e-05
"BK" 0 0
"BM" 2.74651330136392e-06 2.72015189264123e-06
"BP" 8.68274263308822e-06 8.2026589133417e-06
"BQ" 6.91787342521633e-06 6.35635471885228e-06
"BU" 0.000245712537362146 0.000243784256097488
"BV" 0.000101593647002999 8.31084368412215e-05
"CN" 0.000428384024998432 0.000341774311869115
"CO" 0.0182449121100925 0.00938649027720545
"CQ" 0.244530286517135 0.099350407371448
"CT" 0.000212245643738993 0.000114214867398697
"CU" 0.0111128075992532 0.00480554181917849
"DA" 0.0746035103857141 0.0307020742981815
"DB" 0.0181522001649602 0.0095034345802047
"DE" 0.0112994968377149 0.0087107679784411
"DI" 3.27719705164259e-05 3.26011862232831e-05
"DK" 2.5223151506597e-06 2.51644569046082e-06
"DM" 0.0283636058677437 0.0199898960263544
"DQ" 0.00872042475863623 0.00741068191604097
"DR" 0.0711542936318011 0.0309233546130342
"DS" 0.00125841707551905 0.00105263870506858
"DT" 0.000179627175106308 0.000168017361534496
"DW" 0.00176492531924751 0.00125049379476546
"DX" 0.00740017696149095 0.00399625295600162
"DY" 0.0354734568762685 0.0264956469542732
"EA" 0.0203079124956016 0.0160971285997217
"EC" 0.00250628535568093 0.00211619990393426
"EE" 0.00626769113697496 0.00511347022343707
"EI" 0.0282953170300719 0.0225330191969643
"EN" 0 0
"EO" 0 0
"EP" 0.000944100279691123 0.000890536207308575
"EQ" 6.06664594974195e-05 5.68408917238634e-05
"ER" 0.000136088502953749 0.00012554869824913
"ES" 6.80787972735447e-05 6.56016195732321e-05
"ET" 0.000583104150957188 0.00053559123939741
"EU" 1.08459623620606e-05 1.06282855707194e-05
"EV" 0.00315556680359785 0.00233562565495867
"EW" 0.000387291531683178 0.000375911351700538
"EX" 0.000399081167470885 0.000380851160831294
"FA" 0.000105133779463453 0.000101080546474601
"FE" 1.2545640112282e-06 1.23222830868181e-06
"FF" 0.000279810759404001 0.000254203472934129
"FI" 0.00655263091683378 0.00523343139791923
"FS" 0 0
"FU" 5.61441734143854e-06 5.43536386574711e-06
"FY" 0.00222403439764408 0.00207293009982084
"GA" 0.00390282083146942 0.00331605086935196
"GC" 0.000370276202340026 0.00036487518808819
"GM" 0.00015171949876907 0.000135018148795676
"GU" 0.00100451059518412 0.000907339266441773
"GY" 3.84987944336294e-05 3.81715445958895e-05
"HA" 1.10059813677246e-05 1.08340332434827e-05
"HB" 7.68045515019497e-05 6.96478263419378e-05
