"Q" "C"
"AA" 7.30981151537647e-05 7.09708066398485e-05
"AC" 0.000695595589100492 0.000649218884986623
"AD" 0.000155758473445131 0.000154113726591152
"AE" 7.42718945223357e-05 7.22941884980367e-05
"AF" 0.00179325545825795 0.00131342530865036
"AH" 0.000778418485272039 0.00075263132179117
"AI" 6.09635392405971e-05 5.92979131141979e-05
"AM" 0.000131967639733089 0.00012992297065811
"AQ" 2.77843629521741e-05 2.73257276629921e-05
"AY" 4.99534765935758e-06 4.83100073785572e-06
"AZ" 9.77511134462766e-06 9.55755385687017e-06
"BA" 5.95949824208321e-05 5.82119230532886e-05
"BD" 4.64087447635915e-05 4.53274542245535e-05
"BF" 0.000975069374947635 0.000930527302357717
"BI" 0.000110426370586604 0.000109123607321412
"BK" 0.000100298141378041 8.96919596295344e-05
"BM" 0.0010494384132217 0.000891267985596452
"BP" 6.14142081149585e-05 5.56284550447262e-05
"BQ" 0.00052321534718077 0.000426988481160444
"BU" 5.60504674669439e-05 5.59052232313889e-05
"BV" 0.000194495737748471 0.00018126530782026
"CN" 0.000651685870195638 0.000616570478101588
"CO" 0.000106299357473307 0.000103558402003018
"CQ" 0.000421687957535864 0.000411440078916421
"CT" 0 0
"CU" 0.000503916940789822 0.000481306047240792
"DA" 4.4195697112832e-05 4.31376830549227e-05
"DB" 0.000647337740335007 0.000629400828792631
"DE" 0.000126177934759901 0.000124663091446885
"DI" 0.325666637943284 0.129923505282155
"DK" 0.0318702307156827 0.0246661460594522
"DM" 0.000400863687753453 0.000392527293529904
"DQ" 0.000110358288954101 0.000108338745882165
"DR" 0.000148952876158483 0.000145578447741139
"DS" 4.26729313016e-05 4.13934701601497e-05
"DT" 0.000128004112298622 0.000124960346093893
"DW" 0.000139951935090138 0.000136779671610095
"DX" 4.45426190994669e-05 4.34253341003438e-05
"DY" 0.000269497203849101 0.000265334311491876
"EA" 0.000101719600456037 0.000100171759643688
"EC" 2.62723814084657e-05 2.60628728338423e-05
"EE" 2.91013530976911e-05 2.88604777477841e-05
"EI" 0.000135500169401148 0.000133331700832229
"EN" 1.99011095359115e-05 1.69029787421637e-05
"EO" 1.12700739224282e-05 1.12325978379832e-05
"EP" 0.00610655203916641 0.00550134873311206
"EQ" 0.00167170698116689 0.00153668111656527
"ER" 0.0012295476181887 0.00104323901809422
"ES" 0.0020698315634095 0.00191087957769112
"ET" 0.0151008346554514 0.0126278008443058
"EU" 0.0168695682012178 0.0129966599005099
"EV" 0.00483749199513241 0.00410026816621719
"EW" 0.0056789512601873 0.00516614108834655
"EX" 0.00639220777130126 0.0057847722834648
"FA" 0.000646761526415195 0.000626836304048684
"FE" 0.00036913685935378 0.000337839133925412
"FF" 7.74644609458522e-05 7.5196559370955e-05
"FI" 9.17330494373645e-06 9.06809218742092e-06
"FS" 0 0
"FU" 0.000447616809453003 0.000385102536898218
"FY" 5.78978377629241e-05 5.74884229243797e-05
"GA" 8.35231005850515e-05 8.24744322779394e-05
"GC" 4.90932568305293e-05 4.87623929472774e-05
"GM" 0.000323835998323847 0.000303618558225355
"GU" 0.00111313367577327 0.00108346505669375
"GY" 0.0809083646497417 0.0583135604503898
"HA" 0.0044626238580168 0.00408537062226205
"HB" 0.000250852734876669 0.000235701237106737
"HE" 5.71695630087214e-05 5.43346257506936e-05
"HF" 0.0189289041603582 0.00990516014221797
"HI" 0.00118233562733837 0.00107243357584292
"HL" 0.00129787100526483 0.00118359598375282
"HQ" 4.58456714738524e-05 4.5098669352117e-05
"HT" 4.30845451747942e-05 4.21481761732151e-05
"HY" 2.68868579916037e-05 2.63039720760276e-05
"IA" 0.000274049297115801 0.000266132274223323
"ID" 0.00141352830330599 0.00136336467764962
"IF" 0.00185357218826942 0.00169246321596856
"IG" 0.000122402725006812 0.000118310568546519
"IH" 0.00126503945131082 0.00121588797910122
"II" 0.000504394732501991 0.000493139495321401
"IJ" 0.0101311722267252 0.00687568575163275
"IK" 0.00357907358292751 0.00303817373844953
"IL" 2.42299836677798e-06 2.29713266193523e-06
"IM" 0.00111545917222639 0.00105794156568759
"IO" 1.27294307148239e-05 1.24340940446582e-05
"IP" 4.79682677936103e-05 4.71332663981971e-05
"IQ" 0.00313427382495902 0.00295484418909699
"IU" 0.000355979209104315 0.000344858599122923
"IX" 1.13801603004848e-05 1.12554959519462e-05
"IY" 9.5000290813548e-05 9.37147158879016e-05
"JA" 0.0048056579412843 0.00457123585269887
"JB" 0.00948776980274615 0.00726523177541809
"JI" 0.000845599785910813 0.000660747053125286
"JM" 0.000136806943472471 0.000115508028747939
"JO" 0.000341431017619227 0.000306254649943028
"JS" 0.000150333949709198 0.00013183420807264
"JU" 0.000201056002944982 0.000198242500098418
"JW" 1.40104026427982e-05 1.35217575976211e-05
"JY" 0.00194539334062504 0.00190161794546437
"KA" 0.000338632770025605 0.000331439014251699
"KI" 7.29665449689157e-05 7.19212892010314e-05
"KM" 0.000304696727060959 0.000296774493515915
"KU" 0.00285416946716218 0.00246383372750136
"KV" 6.48447141520122e-05 6.35329565434106e-05
"KY" 3.92686764614345e-06 3.90235235863747e-06
"LE" 0.00022756390828797 0.000224286901631773
"LI" 0.000107635355057174 0.000101191242203353
"LJ" 0.000543838510973235 0.000503767130056629
"LQ" 0.00147686205768218 0.00131636652087
"MA" 8.25289424396859e-05 8.08234699853949e-05
"MC" 6.58427017627909e-05 6.24694858423994e-05
"ML" 0 0
"MM" 0.00154079974188483 0.00143769208203241
"MQ" 0.000809051201921933 0.000742596416874794
"MR" 0.00218443571164813 0.0015922126218747
"MU" 3.12513141717868e-05 3.08952698140779e-05
"MW" 0.00118122861943633 0.000702450039252257
"MY" 0.00152088639244818 0.0014057101660248
"NE" 0.00370067183792431 0.00339582509783714
"NI" 0.000133910630280212 0.000131509532755835
"NM" 0.00303042166338599 0.0017534467025951
"NN" 0.000145523264715605 0.000141461888880652
"NQ" 0.0453269143467806 0.027969856848312
"NS" 8.83735797763077e-05 8.66172568293395e-05
"NU" 0.0115674115933381 0.00844301343107639
"OA" 6.27414789611213e-05 6.03111401752949e-05
"OE" 0.00317516385031691 0.00275865421002081
"OI" 3.63556892678708e-05 3.47804245402068e-05
"OM" 0.00630526844166955 0.00578143927431851
"OO" 5.81777320337546e-05 5.33160084493367e-05
"OP" 3.51134662931297e-05 3.40533323100822e-05
"OR" 6.03269391309708e-05 5.71268887271507e-05
"OT" 0.000336494658421965 0.000319548702469695
"OU" 1.86056326360111e-05 1.80608932929406e-05
"OX" 1.54772596289938e-05 1.50984833007186e-05
