"Q" "C"
"AA" 1.71438317258102e-05 1.69002345050704e-05
"AC" 0.000593611194973158 0.000574217083718979
"AD" 5.80133289324705e-05 5.76602150581778e-05
"AE" 1.90684940305578e-05 1.87323528642666e-05
"AF" 0.000981083964739756 0.000394899747065637
"AH" 0.000137044441279992 0.000132993181993262
"AI" 0 0
"AM" 2.5196566673552e-05 2.48945034632257e-05
"AQ" 7.22595563263242e-06 7.16418539722263e-06
"AY" 0 0
"AZ" 0 0
"BA" 2.97324674723586e-05 2.94494754198381e-05
"BD" 1.30103473312279e-05 1.2742629832627e-05
"BF" 0.000134410603543436 0.000129734471781836
"BI" 4.58504089546795e-05 4.5519011914062e-05
"BK" 2.15058203352155e-05 1.99492374513417e-05
"BM" 0.000433533687258275 0.000315563737933896
"BP" 2.22098085922156e-05 2.14573354687749e-05
"BQ" 0.000203883371008539 0.000183804149679662
"BU" 6.15744726728088e-05 6.13473423614901e-05
"BV" 4.84176023053214e-05 4.7291220055401e-05
"CN" 9.81871067203005e-05 9.6367107190916e-05
"CO" 7.95078212372899e-05 7.83034649492043e-05
"CQ" 0.000252139561625169 0.000249052672178345
"CT" 0 0
"CU" 0.000297343470086626 0.00028970707530036
"DA" 3.28178818315389e-05 3.24098900137668e-05
"DB" 0.000194039164749324 0.000190957235839757
"DE" 2.60372740320713e-05 2.58532164198572e-05
"DI" 0.0255613640878971 0.0195984621706367
"DK" 0.449605713834776 0.118734944564461
"DM" 0.000107250637463388 0.00010604378488711
"DQ" 1.20792939714295e-05 1.19638697650163e-05
"DR" 5.7389775546183e-05 5.67583279838929e-05
"DS" 2.56232274441683e-05 2.52650717876112e-05
"DT" 1.72089647658525e-05 1.68509265760455e-05
"DW" 2.93826654112802e-05 2.90171671443739e-05
"DX" 2.25811113519763e-06 2.22887811736061e-06
"DY" 3.93714667925369e-05 3.9004195612051e-05
"EA" 4.08610586369095e-05 4.04775119849604e-05
"EC" 3.26888469095276e-05 3.25299434871605e-05
"EE" 2.96292855365043e-05 2.94902578907798e-05
"EI" 2.60150912293408e-05 2.57431820302945e-05
"EN" 2.89038225305297e-06 2.58525427105072e-06
"EO" 0 0
"EP" 0.00192270630454983 0.00183596501244985
"EQ" 0.00011735450601184 0.000114774407137175
"ER" 9.40426730226595e-05 8.87678697035711e-05
"ES" 0.000291946501625841 0.000283482698442999
"ET" 0.00118827538260535 0.00111757776566546
"EU" 0.000370066783251484 0.000339501617269756
"EV" 0.00133418861763742 0.00121326218652301
"EW" 0.000695730909689163 0.000668803749405999
"EX" 0.00109030998502347 0.00104360214377689
"FA" 3.16774618755173e-05 3.11438110779728e-05
"FE" 0.000124651282227336 0.000120007721972581
"FF" 9.40300636810501e-06 9.27172800433903e-06
"FI" 1.28676491672373e-05 1.2778463499558e-05
"FS" 6.52056472563735e-05 6.39370267424658e-05
"FU" 0.000841151248967374 0.000632807918774947
"FY" 3.61297781631621e-05 3.6004255660047e-05
"GA" 3.61297781631621e-06 3.5896030778085e-06
"GC" 5.44551394026237e-05 5.42166246539719e-05
"GM" 7.70825046334389e-05 7.5230659731734e-05
