"Q" "C"
"AA" 0.00034789582589487 0.000318759186084791
"AC" 8.7062037110901e-06 8.58970620989492e-06
"AD" 0.000109875630655208 0.000101231356665145
"AE" 3.23689839995319e-06 2.99277420041624e-06
"AF" 7.08556273178678e-08 6.96847069161501e-08
"AH" 0.000151491721206451 0.000130625004942759
"AI" 2.05613887350609e-06 2.03359335043381e-06
"AM" 6.81630430608697e-06 6.35141495824204e-06
"AQ" 0.000271404481231224 0.000220114394094427
"AY" 0.000460568668089946 0.000294819915585867
"AZ" 0.000183619235083549 0.000122953352355591
"BA" 0.000755018304051844 0.000654452308428336
"BD" 3.0713055797209e-06 2.96230587685972e-06
"BF" 8.93951970108775e-05 8.10204461717703e-05
"BI" 2.51531734984343e-06 2.4744164268318e-06
"BK" 2.09374623125678e-07 2.05075335110237e-07
"BM" 4.0119688263603e-08 3.95992302862272e-08
"BP" 2.27311160308224e-06 2.22275979092037e-06
"BQ" 6.10115248898162e-06 5.69884609453295e-06
"BU" 1.75393531045643e-05 1.75206194203681e-05
"BV" 1.82261148048149e-05 1.56537956627421e-05
"CN" 0.000115740881257857 9.84756396378139e-05
"CO" 0.00359212827665152 0.00245173678288666
"CQ" 0.06066742136774 0.0351860848846476
"CT" 0.000250276525757109 0.000141163591013404
"CU" 0.00398277996951768 0.00212798428084667
"DA" 0.00453011684423403 0.00275093005763352
"DB" 0.00600910697629685 0.00392100391840743
"DE" 0.000354255846959657 0.000309251900624458
"DI" 1.8852097128699e-05 1.87457078823598e-05
"DK" 2.35525101737573e-06 2.3495894096945e-06
"DM" 0.391166186122445 0.150373903198906
"DQ" 0.00393497975789166 0.00318222721841805
"DR" 0.045384877687822 0.0243744267771818
"DS" 0.000925153760725606 0.000712020869187673
"DT" 3.81490584797981e-06 3.7712859297486e-06
"DW" 0.000288901831528115 0.000249450352661999
"DX" 0.00249004410220456 0.0015721203043519
"DY" 0.00150597765035725 0.00137234909670579
"EA" 0.000769416938605011 0.00070005056980785
"EC" 0.000221861405472525 0.000212830561196016
"EE" 0.000700523038135754 0.000651021776864511
"EI" 0.000206121256473744 0.000196495612168126
"EN" 0 0
"EO" 7.44443104446856e-07 7.42623016131467e-07
"EP" 0.000101848996089996 9.84229341178684e-05
"EQ" 0.00126814850464459 0.00115511188588992
"ER" 4.35474534660134e-06 4.1421767881369e-06
"ES" 6.55679859826368e-06 6.46553146546301e-06
"ET" 6.24252823548016e-05 5.93054376029057e-05
"EU" 0.000116118562454 0.00011154721704485
"EV" 0.000306725484015456 0.000256922389925596
"EW" 2.71279506338818e-05 2.67366728153734e-05
"EX" 4.78121942749853e-05 4.66099641886241e-05
"FA" 4.59236278342099e-06 4.54471269039856e-06
"FE" 1.32962219846253e-06 1.28743389582983e-06
"FF" 0.000183394064773697 0.000151481942200682
"FI" 3.1982414900345e-05 3.00524898809937e-05
"FS" 1.56177994986369e-06 1.41604034957452e-06
"FU" 3.92836325211414e-05 3.67441744578117e-05
"FY" 0.00304817143167696 0.00276953460240291
"GA" 0.00551588138715319 0.00434402992864492
"GC" 9.0927597761702e-06 9.05755067752198e-06
"GM" 0.000260145957291175 0.000226790359908936
"GU" 6.84641900128193e-05 6.48313295170134e-05
"GY" 9.29499630415606e-05 9.18135516161395e-05
"HA" 9.15141424552475e-05 8.93386285946221e-05
"HB" 0.000139058174109927 0.00012160930923823
"HE" 7.60240107512695e-06 7.09610104040788e-06
"HF" 5.73893256537784e-05 5.00796697216038e-05
"HI" 2.71096628763479e-05 2.64087614914344e-05
"HL" 0.00379253366694239 0.00267153831370051
"HQ" 1.97125153571352e-05 1.90587656840948e-05
"HT" 5.10317142295179e-05 4.24601622957382e-05
"HY" 0.00471463565941399 0.00317083453074797
"IA" 0.013695944511755 0.00925159868122171
"ID" 7.48918749800727e-06 7.29882903772825e-06
"IF" 1.46272607865368e-05 1.41637135025471e-05
"IG" 0.00136122103440727 0.00101331427332413
"IH" 3.86170217341043e-05 3.72608424537874e-05
"II" 3.17817338212994e-05 3.07292810408763e-05
"IJ" 6.1360899742726e-06 6.03221706479556e-06
"IK" 7.51175827485492e-05 7.39863680770337e-05
"IL" 3.48957705209464e-07 3.45176213685042e-07
"IM" 7.54308697406436e-06 7.37892397580554e-06
"IO" 3.30241677912515e-07 3.28262052691926e-07
"IP" 4.62540017101172e-07 4.57699071735309e-07
"IQ" 0.000130444833507723 0.000128513106016069
"IU" 1.13612938612516e-05 1.12292382075982e-05
"IX" 1.36384381198832e-06 1.36044507814666e-06
"IY" 1.53963679313787e-05 1.39823468719441e-05
"JA" 0.000722259076150679 0.000679312081866083
"JB" 1.22133908295963e-05 1.19901764869873e-05
"JI" 5.14110793292653e-06 4.71404504902895e-06
"JM" 1.46613586977431e-05 1.34029001687989e-05
"JO" 8.49524261336106e-05 7.93743953641051e-05
"JS" 2.23418190020578e-06 2.20073326844837e-06
"JU" 8.41752036472897e-06 7.87100938038872e-06
"JW" 0 0
"JY" 0.000724208675291343 0.000625802035821027
"KA" 1.63467988975371e-06 1.59225337847869e-06
"KI" 0.0194600956211519 0.0143846222888843
"KM" 0.0240287084080037 0.0145208740276282
"KU" 8.26359724012975e-06 8.15630320732206e-06
"KV" 2.21585128364649e-06 2.18285744644355e-06
"KY" 4.3643433435865e-06 4.34773455856689e-06
"LE" 2.10515287971585e-05 2.08605088834694e-05
"LI" 0.000876125706767869 0.000579807780848592
"LJ" 0.000402572532248452 0.000328491077831023
"LQ" 0.00106744667349103 0.000822876932914963
"MA" 0.0498410899538085 0.0272644695198277
"MC" 0.000289340043501917 0.000182067030151584
"ML" 2.8387385107611e-05 2.13164158054528e-05
"MM" 1.6515167242156e-05 1.64136090832684e-05
"MQ" 1.97366720462184e-05 1.76474802146826e-05
"MR" 5.61054300972499e-07 5.52057527853095e-07
"MU" 5.36903778472801e-06 4.90516038933748e-06
"MW" 2.76553146969001e-06 2.68070531074066e-06
"MY" 0.000467126357288203 0.000434066482938906
"NE" 0.0166333473626075 0.0122705273595155
"NI" 0.0205359873036125 0.0144429142923819
"NM" 3.40857084232519e-06 3.33406478908519e-06
"NN" 0.00279243748283796 0.00217243430695125
"NQ" 6.41175534068958e-05 6.2428723379389e-05
"NS" 0.000156274120800734 0.000147831133437055
"NU" 0.00010278454752393 9.89951915496765e-05
"OA" 8.0168997870552e-05 7.57580777176929e-05
"OE" 3.03066243712923e-06 3.00322843553176e-06
"OI" 0.000480562370085916 0.00029227509410754
"OM" 2.10976678024878e-05 2.0672463849828e-05
"OO" 5.4075735650065e-05 3.98471933526652e-05
"OP" 9.40044659516011e-05 7.48283246006657e-05
"OR" 6.95862718035343e-07 6.87622451362572e-07
"OT" 1.21673761825639e-05 1.16348388989861e-05
"OU" 1.62604675149182e-06 1.58187515679618e-06
"OX" 5.69280021047596e-07 5.61332340984919e-07
"OY" 1.55095903165099e-06 1.53102333295494e-06
"OZ" 1.8035298723729e-06 1.65521070252473e-06
"PA" 3.36524426469113e-06 3.33396292673325e-06
"PC" 3.23638408563016e-05 3.21465765547363e-05
"PD" 1.17543648070556e-07 1.17359502225966e-07
"PE" 1.49214633865277e-05 1.47467623033174e-05
"PF" 1.40380699695693e-06 1.4018981106296e-06
"PG" 2.11578566527001e-07 2.11127806216939e-07
"PH" 8.37498492502713e-07 8.35102445694676e-07
"PI" 3.3440998211587e-05 3.144236592241e-05
"PJ" 1.88178473887472e-06 1.79890538604505e-06
"PK" 5.41423997344496e-06 5.35801225321496e-06
"PM" 0.000158688631858547 0.000153787516673501
"PN" 8.58188150136018e-05 8.50027730242519e-05
"PO" 0.000264207430744137 0.000251741004369235
"PQ" 2.88567951468992e-05 2.87979754293504e-05
"PS" 4.40291678802787e-05 4.30453324885662e-05
"PT" 0.000666478420679766 0.000461063735908438
"PU" 1.50916188116487e-05 1.49085148317894e-05
"PW" 0.00330498083023123 0.00155996236996917
"PY" 0.0538081410420593 0.0324482925581422
"PZ" 1.48128881664309e-05 1.46967496257497e-05
"QA" 0.0147826022232009 0.00599672990592067
"QC" 2.19884408129634e-06 2.18176744018336e-06
"QD" 0 0
"QE" 0.000166457741547052 0.000134947752958269
"QF" 3.93342529514239e-06 3.87572265276339e-06
"QG" 2.49320687497449e-06 2.46177695224079e-06
"QH" 4.16000957143401e-06 4.12411453508973e-06
"QJ" 2.54575100255862e-06 2.43073879970527e-06
"QK" 4.82196101743987e-07 4.79098240944645e-07
"QQ" 3.12644254703951e-05 3.10469868275837e-05
"QU" 0.00293242401718227 0.00232796230084124
"RA" 0.000208294748069808 0.000141912805120976
"RB" 3.05863116189087e-06 2.97397570451934e-06
"RE" 4.96912644720374e-06 4.93777761767551e-06
"RO" 0.000917249382142855 0.000484165707756263
"RP" 1.03972737939285e-06 9.9234909028508e-07
"RQ" 4.93262036399414e-05 3.96795137063786e-05
"RT" 0.00838709565006808 0.00657816802936749
"RU" 0.00655619326148082 0.00534004404635008
"RX" 0.000309544165000379 0.000263195618038271
"RY" 0.000321450787581538 0.000295392075249533
"RZ" 0.00282861467474389 0.00229708969870133
"SA" 0.00421201101382095 0.00306198580359512
"SD" 0.0149253054692546 0.0104633934150144
"SI" 7.68057908540413e-06 7.55461738822835e-06
"SR" 2.80004348582142e-06 2.76812529029394e-06
"SU" 0.00185899990015395 0.00170188273564142
"SY" 0.000252590247400081 0.000246478718389393
"TA" 2.89006900937857e-07 2.80894519524389e-07
"TC" 0.0011661315633068 0.00102012094561545
"TD" 0.00367285397648368 0.00294062046378225
"TE" 1.14363738993237e-06 1.13084899831561e-06
"TI" 0.000156832140723663 0.000122130205305129
"TM" 0.0245194316216246 0.00999992331631512
"TQ" 0.00587489672822273 0.00426227769365607
"TU" 0.020171525440865 0.0114252138597477
"UA" 3.62153907441333e-06 3.54853090961245e-06
"UB" 9.71874806059123e-05 9.49949339423534e-05
"UE" 2.99488679869585e-05 2.81835207909366e-05
"UF" 2.80177365584608e-05 2.74358276937165e-05
"UH" 5.43504660484961e-05 5.23568427877888e-05
"UI" 8.19368795478056e-05 8.06814352506461e-05
"UK" 4.8671124177183e-05 4.78694430004418e-05
"UM" 0.00288062489418885 0.00186573853202497
"UN" 1.48220646861784e-05 1.47524283080075e-05
"UP" 2.29352863286308e-05 2.28912185969277e-05
"UQ" 3.31093649739051e-06 3.2579653532513e-06
"UR" 2.88357910556321e-05 2.82501201917709e-05
"UT" 1.56980035879102e-06 1.56838656622083e-06
"UU" 1.0652479631087e-05 1.05929445354193e-05
"UY" 5.88995518276184e-05 5.69083292615193e-05
"VE" 0.00162781782757363 0.00140572006152922
"VI" 0.00110500131311103 0.000939515289641849
"VJ" 0.00128098161496942 0.00110576181511927
"VM" 3.43269164494551e-06 3.3890292099035e-06
"VP" 1.30587243678286e-05 1.22426426910354e-05
"VS" 1.44656365279314e-05 1.38304231404794e-05
"VX" 7.15807886234153e-05 6.55076496103437e-05
"VY" 0.0370800452334612 0.0267282707697656
"WC" 0.00117043818474774 0.000967769985318044
"WE" 0.00808589018779696 0.00545690195701621
"WF" 0.00128738982846295 0.000982670383045484
"WH" 0.00140349606069395 0.00122123933032884
"WM" 5.74549790958479e-05 4.79467173646287e-05
"WQ" 0.00037461496069282 0.000364011150901955
"WU" 0.000345772223466515 0.000299610169454915
"WV" 0.00115381312209476 0.000875742911823018
"WY" 9.02533342637612e-05 8.39791144736468e-05
"XA" 4.89518333603188e-05 4.767455471626e-05
"XE" 1.38578604853902e-06 1.35121330634079e-06
"XQ" 0.000169440981440357 0.000149633417274196
"XW" 0.000553545711912734 0.000493351256742818
"XY" 0.000910837300592106 0.000854403249763958
"YA" 0.0350532070044875 0.0248180587805407
"YE" 1.154864350784e-05 1.1486716149129e-05
"YG" 9.66796505380325e-07 9.58282268066631e-07
"YI" 9.17047862634107e-06 8.80715944519428e-06
"YO" 0.00366072148756487 0.00225980779741598
"YP" 0.00215192857033503 0.0014160457519231
"YQ" 4.07548659886966e-06 3.90135135025138e-06
"YR" 8.45373859353274e-07 8.38144960139513e-07
"YU" 0.000109600628020139 8.62882023503405e-05
