"Q" "C"
"AA" 0.00068188987667335 0.000616049131650572
"AC" 1.13348401907303e-05 1.12087306581291e-05
"AD" 2.40731540786309e-05 2.27376258073005e-05
"AE" 1.1132964422143e-06 1.06334269613545e-06
"AF" 4.33131226353898e-07 4.26530873168204e-07
"AH" 4.33853988644076e-05 3.95151421403402e-05
"AI" 5.61037623691339e-06 5.55349940535816e-06
"AM" 1.76144143859986e-06 1.69459781482717e-06
"AQ" 0.000778878930804417 0.000627040802150088
"AY" 0.000736132010193254 0.00054241763527339
"AZ" 2.93022408337936e-05 2.2323885178623e-05
"BA" 0.00792011585254455 0.00614104863612712
"BD" 2.67277623961232e-06 2.61876737905424e-06
"BF" 6.3436239191139e-05 5.78834609630192e-05
"BI" 4.27290666418061e-06 4.22429854675784e-06
"BK" 0 0
"BM" 0 0
"BP" 7.06521457647782e-07 6.94848740306968e-07
"BQ" 5.88352138900222e-06 5.53636988456363e-06
"BU" 6.82467662583522e-06 6.81967178246691e-06
"BV" 4.94187975300232e-05 4.2381928321741e-05
"CN" 0.000121163469814321 0.000104709781013588
"CO" 0.000983242089190139 0.000789305770516272
"CQ" 0.0212369258745569 0.0156279722535928
"CT" 9.68660347888265e-05 6.43967211979978e-05
"CU" 0.00165261521091326 0.001136273272638
"DA" 0.00287849855892597 0.00214778316433673
"DB" 0.00132250822709148 0.00103670699189101
"DE" 7.88955232714392e-05 7.30680146928583e-05
"DI" 1.50881240740162e-05 1.50078102186051e-05
"DK" 5.68286530236927e-07 5.67055459929531e-07
"DM" 0.00867462912833245 0.00648192648058403
"DQ" 0.40826267835451 0.151496452037736
"DR" 0.0135966408785857 0.00966463301355445
"DS" 0.00763897749050345 0.00480860454885317
"DT" 7.66101353375875e-06 7.59922154561374e-06
"DW" 6.65427617359455e-05 6.06096843245198e-05
"DX" 0.000455334246699619 0.000347484397625137
"DY" 0.000325469561090824 0.000307748125253015
"EA" 0.000282979113418364 0.000266445707558474
"EC" 2.27710401402554e-05 2.22463264179849e-05
"EE" 8.16800660549041e-05 7.82468645732056e-05
"EI" 4.85620174959476e-05 4.71689177030722e-05
"EN" 0 0
"EO" 0 0
"EP" 0.000133767377517575 0.000130086513524446
"EQ" 0.000505870038422751 0.000455200934885106
"ER" 6.20049753180115e-06 5.92916555939305e-06
"ES" 1.49008169084033e-05 1.47261501876017e-05
"ET" 6.86326902004066e-05 6.57501597429341e-05
"EU" 1.48381871416608e-05 1.42506378646915e-05
"EV" 0.0004087846144249 0.000357135253908162
"EW" 4.17358744450754e-05 4.12151076903689e-05
"EX" 8.3178444241404e-05 8.13857641505455e-05
"FA" 3.50331566196781e-06 3.46854069000725e-06
"FE" 1.45519967536839e-06 1.40155759784577e-06
"FF" 0.00281158463044168 0.00186095201911208
"FI" 2.39739416364649e-06 2.31028196627559e-06
"FS" 5.53290817095962e-07 5.04512717324539e-07
"FU" 1.75741488772691e-05 1.6242719353186e-05
"FY" 0.000489854644935744 0.000456638917321304
"GA" 0.000677942797628652 0.000577926691269069
"GC" 1.20294673739445e-05 1.19990638783879e-05
"GM" 0.000226506873466791 0.000195155931425617
"GU" 2.73305721807256e-05 2.64723663185327e-05
"GY" 8.87736660153792e-05 8.76054154905769e-05
"HA" 3.58823438858791e-05 3.48776077375788e-05
"HB" 7.14415998922429e-05 5.96473422846584e-05
"HE" 9.33282614269314e-06 8.67270511456683e-06
"HF" 2.7670415309022e-05 2.32872724637359e-05
"HI" 1.90955553241333e-06 1.8603811945104e-06
"HL" 0.00175577581614621 0.00116815642746077
"HQ" 1.08658143511998e-05 1.06373179684448e-05
"HT" 2.30709213950588e-05 2.07692972673059e-05
"HY" 0.00207588998171347 0.00164276739748786
"IA" 0.0163556040646944 0.0113469292629795
"ID" 6.16521964428722e-06 6.07169487330758e-06
"IF" 3.02075615271417e-05 2.94587227179616e-05
"IG" 0.00835269955664368 0.00592766611003917
"IH" 1.41080561984711e-05 1.37817884253639e-05
"II" 1.40095087695575e-05 1.37121284822488e-05
"IJ" 1.31489974240524e-05 1.29107672467507e-05
"IK" 7.83116651343369e-06 7.73838840997517e-06
"IL" 0 0
"IM" 5.90084687010149e-06 5.81232110030901e-06
"IO" 3.88446060380056e-07 3.86578343675009e-07
"IP" 0 0
"IQ" 0.000239650626664812 0.000236349343034462
"IU" 4.61326333412699e-05 4.56342136656913e-05
"IX" 0 0
"IY" 8.58846102721693e-06 8.08126183907532e-06
"JA" 0.000283925256920286 0.000271983817387234
"JB" 2.96223962356323e-06 2.91699517194924e-06
"JI" 1.17226191968315e-05 1.05523336088699e-05
"JM" 4.60397031300845e-06 4.1715133805854e-06
"JO" 2.3207206013775e-05 2.1452731877122e-05
"JS" 4.94130319148627e-06 4.86555174377419e-06
"JU" 2.988242003274e-06 2.85949603641787e-06
"JW" 0 0
"JY" 0.000171326455489432 0.000155375829413378
"KA" 2.13901882666158e-06 2.10909739263279e-06
"KI" 0.00342987840029979 0.0027793093539392
"KM" 0.00667519461721426 0.00510296369772209
"KU" 5.03695045129604e-06 4.97651605054354e-06
"KV" 2.16812013049085e-06 2.14888025103947e-06
"KY" 4.80701999720319e-06 4.79560008353035e-06
"LE" 1.2163596828266e-05 1.20958071003983e-05
"LI" 0.00131667300241157 0.000841067445389472
"LJ" 0.000524145232695314 0.000398011119290371
"LQ" 0.000723785492296772 0.000517649599064545
"MA" 0.0473824898381708 0.0280838749847054
"MC" 0.000228151588389802 0.000173269819288117
"ML" 2.73174026814361e-05 1.67281555018704e-05
"MM" 1.12593861563277e-05 1.11934200754529e-05
"MQ" 2.76621921935707e-05 2.4706791230786e-05
"MR" 1.99772259624029e-06 1.96318781633458e-06
"MU" 3.05734297925628e-07 2.91072088605935e-07
"MW" 1.27881143417812e-06 1.22906066169982e-06
