"Q" "C"
"AA" 0.000305841956147155 0.000281409636915382
"AC" 6.58469169018398e-06 6.51097899196685e-06
"AD" 4.51085748564149e-05 4.27104833980438e-05
"AE" 2.9321514808098e-06 2.80277283054987e-06
"AF" 0 0
"AH" 6.65321256316097e-06 6.108634874734e-06
"AI" 1.75660060122038e-05 1.73914970849253e-05
"AM" 3.4086260964414e-06 3.2940127447839e-06
"AQ" 0.00212046078283299 0.00161450192503777
"AY" 0.000579936076940681 0.000418823327483034
"AZ" 4.29470919308343e-05 3.37383237577632e-05
"BA" 0.0543984647918353 0.0367192510914694
"BD" 1.32269847346298e-06 1.29732835458317e-06
"BF" 8.93540251292638e-05 8.11430374833638e-05
"BI" 1.50127572315762e-05 1.48310812846602e-05
"BK" 6.31227054896555e-06 6.16992854828782e-06
"BM" 8.41636073195406e-07 8.27375664136016e-07
"BP" 0 0
"BQ" 3.76572025892573e-06 3.49246774250774e-06
"BU" 5.9003268145141e-06 5.89613429653583e-06
"BV" 7.47332784834012e-05 5.96338884229946e-05
"CN" 0.00048237807614006 0.000383725276445765
"CO" 0.00104955600143446 0.000861387456989052
"CQ" 0.0145434122494455 0.0112016401167782
"CT" 5.63686053560209e-05 3.99487127517185e-05
"CU" 0.00217014002506171 0.00150509730716502
"DA" 0.00175479163493127 0.00137717377371229
"DB" 0.00122049899098457 0.000975241685234997
"DE" 4.30578447950341e-05 4.03966155260784e-05
"DI" 5.25712538844018e-05 5.21535503546239e-05
"DK" 3.7306086481199e-06 3.71878412802344e-06
"DM" 0.00603126223425208 0.00455381645044685
"DQ" 0.034273553266095 0.0233622865554971
"DR" 0.00901123114672826 0.00676260456629054
"DS" 0.210330237519169 0.0999353934585577
"DT" 7.87819920438201e-06 7.81928018135292e-06
"DW" 2.45297186089157e-05 2.25470382210558e-05
"DX" 0.000371353985704628 0.000290296613182272
"DY" 0.000251927640818962 0.0002399003416367
"EA" 0.000277595114038686 0.000262799659562383
"EC" 9.8146896789272e-06 9.62370964772071e-06
"EE" 7.29216224310315e-05 7.02163555732705e-05
"EI" 5.59393217134993e-05 5.45738701567177e-05
"EN" 0 0
"EO" 2.71393878148037e-06 2.70674158789762e-06
"EP" 8.11510229512813e-05 7.8524691576439e-05
"EQ" 0.00119776732897709 0.00103233440596083
"ER" 1.78902285099034e-05 1.67679114211858e-05
"ES" 1.70341444826742e-05 1.68208214232309e-05
"ET" 0.000181954413184208 0.000174456914139761
"EU" 7.64647248788914e-05 7.28320270297287e-05
"EV" 0.000371685634334193 0.000329290226784394
"EW" 2.47024847760405e-05 2.43823405003995e-05
"EX" 7.51126388591845e-05 7.34665918400177e-05
"FA" 1.71827562144048e-05 1.69837285927254e-05
"FE" 5.66262629508308e-05 5.37739926287159e-05
"FF" 0.0352558932172068 0.0201812691574054
"FI" 5.72545511562816e-06 5.55081076187112e-06
"FS" 2.06583399784327e-06 1.77421696459322e-06
"FU" 2.3962940930414e-05 2.18808511434374e-05
"FY" 0.00129839540210764 0.00119380638277853
"GA" 0.00640299633550495 0.00528937497084706
"GC" 2.64888802041828e-05 2.6415888821522e-05
"GM" 0.000653765907380037 0.000538993006638584
"GU" 2.96526558180003e-05 2.87451176539034e-05
"GY" 0.000116768380667605 0.0001149879845533
"HA" 0.000159264443125521 0.000153452841902414
"HB" 0.000868218939551302 0.000703380057577277
"HE" 5.42701888821978e-06 4.83931421365891e-06
"HF" 0.00025895118917346 0.000211846507168208
"HI" 4.76846472771025e-05 4.57267680557511e-05
"HL" 0.00518233465366345 0.00332300051934734
"HQ" 6.52009436228688e-06 6.39473767111081e-06
"HT" 2.57882427287081e-05 2.35422336976871e-05
"HY" 0.000481388217335323 0.000390844319207107
"IA" 0.0097506404340038 0.00710838189841458
"ID" 1.71461229283327e-05 1.68920279922704e-05
"IF" 4.00797114611793e-05 3.91421885541126e-05
"IG" 0.00371458080987139 0.00277460112570256
"IH" 6.73322706171049e-05 6.55724810595663e-05
"II" 2.98869824853394e-05 2.92894277797306e-05
"IJ" 0.000136449558305495 0.000133119346168699
"IK" 2.14207603845528e-05 2.11415943612926e-05
"IL" 0 0
"IM" 1.25631926416192e-05 1.23544607703272e-05
"IO" 0 0
"IP" 2.95310902875581e-06 2.9340443190191e-06
"IQ" 0.000117713582570104 0.000116231862812125
"IU" 6.278564427412e-05 6.20984936971125e-05
"IX" 6.68358058125764e-07 6.67040698454706e-07
"IY" 9.41642241892743e-06 8.90433335111889e-06
"JA" 0.000755090617844767 0.000720721218428557
"JB" 3.31188489820367e-05 3.24915549375973e-05
"JI" 0.000426899618225892 0.000367428559476517
"JM" 4.73420291172415e-07 4.2161278706349e-07
"JO" 7.87317993786117e-05 7.08592538487999e-05
"JS" 0 0
"JU" 5.68104349406899e-06 5.44015969967967e-06
"JW" 0 0
"JY" 0.000107483336586547 9.77511461246403e-05
