"Q" "C"
"AA" 0.00216015433601361 0.00177729931560378
"AC" 0.00172372844588258 0.00144243510005781
"AD" 7.61999067108893e-05 7.46765155323268e-05
"AE" 0.00232123994548337 0.00177824589931702
"AF" 2.73722466206288e-05 2.64842149878131e-05
"AH" 0.000428661252715263 0.00039053114132251
"AI" 0.0107076092194998 0.00825734319142975
"AM" 0.000367894791980295 0.000351079227966313
"AQ" 1.19496217413692e-05 1.18012046174304e-05
"AY" 9.13726496533129e-06 8.76431280393226e-06
"AZ" 0 0
"BA" 5.20111725934515e-05 5.15213992899314e-05
"BD" 1.23641235001601e-05 1.19263337224387e-05
"BF" 1.27882667274431e-05 1.25118178921493e-05
"BI" 3.31513998709175e-05 3.22250046066041e-05
"BK" 1.63168179406583e-05 1.3727305956515e-05
"BM" 4.58469457172318e-05 4.52660758432001e-05
"BP" 1.31426203013611e-05 1.19963239385357e-05
"BQ" 5.23158114459089e-06 5.08947004571017e-06
"BU" 0.00104516309592844 0.00101179573686002
"BV" 5.59552161984149e-06 5.50412054826301e-06
"CN" 1.7814198392654e-05 1.74784860622128e-05
"CO" 0.000902176935071405 0.000790829035555869
"CQ" 0.00157903522892454 0.00146951444049471
"CT" 2.4188475189622e-06 2.28519363444165e-06
"CU" 0.000653192096367451 0.000608011199941832
"DA" 0.00126281754640937 0.00112822142480713
"DB" 0.00326513486604978 0.00286527146203589
"DE" 0.000632577218593093 0.000611254299882588
"DI" 0.00011008879389668 0.000108733180438608
"DK" 8.95520430158232e-05 8.86356966585516e-05
"DM" 0.000430382628145383 0.000420666487436711
"DQ" 0.000135000247702559 0.00013332136993274
"DR" 0.00047552022346756 0.000453426459031969
"DS" 7.16906134908902e-05 7.06403429786548e-05
"DT" 0.161312908811647 0.0756138301161125
"DW" 0.00220791436933508 0.00157372957446153
"DX" 0.000325662884752978 0.00029456789413891
"DY" 0.017948773975947 0.01273995052954
"EA" 0.00487179212077292 0.00409554887621399
"EC" 0.00108518900358397 0.000895180596425795
"EE" 0.000925640941960315 0.000802401027802769
"EI" 0.0430200798691251 0.0264423500797846
"EN" 5.9224303759085e-07 5.84666052775257e-07
"EO" 0 0
"EP" 0.00140270879878903 0.00125396061599698
"EQ" 4.69928399132851e-06 4.67083991044896e-06
"ER" 7.15257749229194e-05 6.35225253492225e-05
"ES" 0.000340321893904975 0.000299776176933859
"ET" 0.000464952135272372 0.000414278397884847
"EU" 7.1562700375561e-07 7.09215735112736e-07
"EV" 0.0074481370365803 0.0052935673602781
"EW" 0.000849124701838152 0.000774381500209007
"EX" 0.000866881657626911 0.000781238183228046
"FA" 0.00795021837954847 0.00607297479370891
"FE" 0 0
"FF" 1.99148771902276e-05 1.9728219587358e-05
"FI" 0.00239078267230464 0.00182252931352062
"FS" 0 0
"FU" 3.48720196341362e-05 3.44544504344568e-05
"FY" 4.78498272729412e-05 4.7340064854315e-05
"GA" 0.000101381971524726 0.00010000444785942
"GC" 0.00135996740434434 0.00130023576573023
"GM" 1.68887972886324e-05 1.66995735339883e-05
"GU" 0.000596300141324572 0.000573090182772571
"GY" 0.0019251584478218 0.0018874961262715
"HA" 3.04360544078908e-05 3.01353551664558e-05
"HB" 0.000249080352748619 0.000233185281875117
"HE" 0 0
"HF" 0 0
"HI" 0 0
"HL" 2.54622203089952e-05 2.50683795949111e-05
"HQ" 0.00577152501717889 0.00388417781124923
"HT" 9.00832891709715e-06 8.70480490964384e-06
"HY" 6.7129990653856e-05 6.49214945674435e-05
"IA" 7.95396252509149e-05 7.73530865318357e-05
"ID" 0.0939630556421527 0.0516465182375645
"IF" 0.0187627232907538 0.00927220518923319
"IG" 0.00162547590720738 0.00140033721617826
