"Q" "C"
"AA" 0.000110564721300227 0.000102871599676174
"AC" 9.77348280793516e-05 9.533196322109e-05
"AD" 0.000385202283582479 0.000344848242799133
"AE" 0.000378595671508924 0.000314917197628933
"AF" 1.41612570664673e-06 1.37901186682372e-06
"AH" 0.00390903978775926 0.0029453606159699
"AI" 6.37993840633464e-06 6.23988301962127e-06
"AM" 0.00102438545549135 0.000884851615501359
"AQ" 0.000828845386417705 0.000696456556669575
"AY" 0.000160319096745254 0.000103949917752352
"AZ" 0.000203844442662503 0.000150666059925788
"BA" 0.00101694846659621 0.000891890804207327
"BD" 0.000106472949327356 9.98584818696651e-05
"BF" 0.000100582323716665 9.21484688035434e-05
"BI" 1.02682288546358e-05 9.99686403776211e-06
"BK" 2.92991525513116e-07 2.82519650983555e-07
"BM" 1.10743454613752e-05 1.09591562529441e-05
"BP" 4.3370136421315e-06 4.11077525979163e-06
"BQ" 9.44207772906107e-06 8.71799228272357e-06
"BU" 2.29087597987758e-05 2.284636370649e-05
"BV" 0.000111761222879208 9.01807562567892e-05
"CN" 0.000972741461108897 0.000764511128487488
"CO" 0.0117834676130129 0.00651401229410548
"CQ" 0.11870616185664 0.0574416283089828
"CT" 3.96083459816494e-05 2.43084264591215e-05
"CU" 0.00377212938992482 0.00189067360117468
"DA" 0.0113936733094171 0.00564041351728237
"DB" 0.0149380183330954 0.00840796267830561
"DE" 0.0298683400960723 0.0232941761310682
"DI" 1.00708115523623e-05 1.00177562101672e-05
"DK" 6.12272815280073e-06 6.11043806939394e-06
"DM" 0.0406047822609284 0.0281818102848087
"DQ" 0.00463715005468277 0.00394901804994347
"DR" 0.0203045314300454 0.0107646760587011
"DS" 0.00069081498627172 0.000572644586652252
"DT" 6.31321270591828e-05 5.94600322498896e-05
"DW" 0.0163005018660701 0.0101686176055659
"DX" 0.135485362088311 0.0578012297616864
"DY" 0.0653908629276113 0.0433538709494388
"EA" 0.0159033626747084 0.0123660142722022
"EC" 0.00678121748529083 0.00517416894955583
"EE" 0.0833970673348688 0.0567220023056858
"EI" 0.00818611298973954 0.00636399987554872
"EN" 2.65523569996262e-07 2.59021532317351e-07
"EO" 0 0
"EP" 0.000301083018669789 0.00028786202966771
"EQ" 0.000237328136169281 0.000217635528256639
"ER" 2.77642528382305e-06 2.59989732691475e-06
"ES" 2.12079863520793e-05 2.07331934441225e-05
"ET" 0.00159752341437342 0.00147826957949563
"EU" 1.13647063012405e-06 1.1100044863631e-06
"EV" 0.00306650256267523 0.00231061792445632
"EW" 3.27635949910532e-05 3.2119513227141e-05
"EX" 9.18637479929932e-05 8.88200428852678e-05
"FA" 1.08977972337562e-05 1.05774689371338e-05
"FE" 5.67490881191048e-06 5.53921994516974e-06
