"Q" "C"
"AA" 0.000109934600790962 0.000100675734582071
"AC" 2.27262407930266e-05 2.18313336828411e-05
"AD" 7.69773481788451e-05 7.47363259544879e-05
"AE" 8.34290813772952e-05 7.13164565646815e-05
"AF" 9.71937562327074e-07 9.6067586077385e-07
"AH" 0.000223347386309326 0.000198453127273886
"AI" 2.81736527653008e-05 2.66922880816562e-05
"AM" 0.000197146322367016 0.000188116624189846
"AQ" 1.42233253530561e-05 1.3794628497139e-05
"AY" 2.422249399227e-05 2.1930465910381e-05
"AZ" 5.53583982857071e-06 5.18650937461086e-06
"BA" 2.40810978919679e-05 2.35551510182373e-05
"BD" 1.34005862076645e-05 1.30675440496177e-05
"BF" 0.000324697913163381 0.000315820596387955
"BI" 0.00104152018725527 0.00101029466557578
"BK" 5.39920070232802e-08 5.043087699004e-08
"BM" 0 0
"BP" 0.000116616406799671 0.000107102156810601
"BQ" 6.05622555000637e-06 5.83950794332166e-06
"BU" 0.00020181587828462 0.000199263883741157
"BV" 5.67341466205095e-06 5.4835572443451e-06
"CN" 1.36124161051233e-05 1.30701764821015e-05
"CO" 0.00201376811276228 0.00150163587174909
"CQ" 0.0239322376862719 0.0190942058145669
"CT" 5.19839256984686e-07 4.60568347284794e-07
"CU" 0.000621714191726715 0.000527808406902442
"DA" 0.00301265961571403 0.0022449102226614
"DB" 0.00189376985939827 0.00153751878276942
"DE" 0.00106260051436405 0.000990170542317984
"DI" 2.68772128468372e-06 2.68115800598192e-06
"DK" 2.64789833201908e-06 2.64483660505841e-06
"DM" 0.00400993006550597 0.00372752006942895
"DQ" 0.000175998292204362 0.00017079381855841
"DR" 0.00155869717557842 0.00134665256808836
"DS" 3.29238406172957e-05 3.18651471708217e-05
"DT" 0.000276487565799922 0.000229887510187153
"DW" 0.005840907960607 0.00273282501240559
"DX" 0.0102556449792522 0.00666078801888695
"DY" 0.246136729384091 0.0666722750917622
"EA" 0.0123834291779931 0.00901420402162188
"EC" 0.278201134600985 0.0902223155508639
"EE" 0.0920769537405333 0.0379137631148443
"EI" 0.0694168768793688 0.0276493851618021
"EN" 0 0
"EO" 0 0
"EP" 5.63520845522052e-05 5.46866660597814e-05
"EQ" 3.65715445877261e-06 3.61554425895267e-06
"ER" 2.34089154965308e-06 2.2723990563163e-06
"ES" 1.80723814595785e-05 1.75067258755076e-05
"ET" 9.80047866201308e-05 9.22424547683152e-05
"EU" 0 0
"EV" 0.000453964991539777 0.000356347464127498
"EW" 3.10562085465946e-05 3.0497649534412e-05
"EX" 2.080249219327e-05 2.01663824744848e-05
"FA" 0.000125517811551369 0.000113473333903083
"FE" 0 0
"FF" 1.36168545938143e-05 1.33924500503289e-05
"FI" 0.0410315970239871 0.0146492544707886
"FS" 0 0
"FU" 0 0
"FY" 0.00011725650182692 0.000115272389175187
"GA" 0.000105050075119297 0.000101385652282025
"GC" 0.00287860661567228 0.00279504773829611
"GM" 7.46282981516198e-06 7.27051252198653e-06
"GU" 0.000231731303571151 0.000224184556260528
