"Q" "C"
"AA" 0.000212766782044141 0.000197307404169278
"AC" 2.68485928908727e-05 2.61437511230921e-05
"AD" 0.000104856359507503 9.90514192959999e-05
"AE" 0.000406149396187755 0.000340482104966522
"AF" 5.71249936511717e-07 5.62384649792468e-07
"AH" 0.00135577215204739 0.00112801922279438
"AI" 8.11939384454045e-06 7.86074263371347e-06
"AM" 0.000478735502199309 0.000442178576950999
"AQ" 0.000125086754010952 0.000116622318092072
"AY" 4.01760603879577e-05 3.32873659213304e-05
"AZ" 1.39792629250601e-05 1.22690122799979e-05
"BA" 0.000178968269489965 0.000170315210421055
"BD" 1.18674563187005e-05 1.1479545004332e-05
"BF" 8.78836196015393e-06 8.43918805954974e-06
"BI" 4.35375526167772e-06 4.25257859487559e-06
"BK" 4.59609121439393e-08 4.38253068621874e-08
"BM" 0 0
"BP" 1.45986560864963e-06 1.36516033145255e-06
"BQ" 5.83988403970604e-07 5.56765734395016e-07
"BU" 6.34656281979553e-05 6.31777798920078e-05
"BV" 1.53569487790274e-05 1.42144185308457e-05
"CN" 0.000130649592806937 0.000119390410740623
"CO" 0.00499192079673969 0.0033447069157453
"CQ" 0.0563015561471047 0.0382366574898125
"CT" 2.38297423502656e-05 1.90510762395851e-05
"CU" 0.000977728606207451 0.000719817685027507
"DA" 0.00555861415311955 0.00360820880729414
"DB" 0.00909533473094937 0.00652423999218755
"DE" 0.00670698870320869 0.00588096524415505
"DI" 1.52067480653301e-06 1.51657617494907e-06
"DK" 1.78264577248757e-06 1.78090602419486e-06
"DM" 0.010609271751108 0.00913611783511977
"DQ" 0.000814325540488104 0.000764774222905923
"DR" 0.00591644914174313 0.00444782885185971
"DS" 0.000139160770711054 0.000129571614012471
"DT" 8.09448865946407e-05 7.10298437798942e-05
"DW" 0.016298645878492 0.00723461463649084
"DX" 0.0609426665637118 0.0304690329088463
"DY" 0.234797092693872 0.0765815765825618
"EA" 0.00785850133776197 0.00579568224778645
"EC" 0.0462728933610856 0.0202713336317489
"EE" 0.339801063712061 0.115089976273325
"EI" 0.0319997093565782 0.0165401234250965
"EN" 0 0
"EO" 1.91220091265525e-07 1.90908028930348e-07
"EP" 3.33988333998659e-05 3.24663466605098e-05
"EQ" 4.30602315480149e-05 4.18601117562953e-05
"ER" 1.06076829575718e-06 1.02721290061885e-06
"ES" 4.91683449222535e-06 4.81774668161342e-06
"ET" 0.000277473029205521 0.000260092839688312
"EU" 2.24475759311703e-07 2.22397215835324e-07
"EV" 0.000658196960399505 0.000506047016328661
"EW" 5.82578011887558e-06 5.74403379087316e-06
"EX" 1.38955330079758e-05 1.35392276296942e-05
"FA" 1.60683471236981e-05 1.51441456980343e-05
"FE" 1.72098082138973e-07 1.70797617632167e-07
"FF" 2.16312992189878e-05 2.0855201027202e-05
"FI" 0.00689498269568919 0.00333722353658391
"FS" 0 0
"FU" 7.76681797888517e-07 7.66423810072827e-07
"FY" 0.000166145882371456 0.000161256069533541
"GA" 0.00047925055549174 0.000446341175561178
"GC" 0.000218110904520647 0.000214735672251854
"GM" 5.59239451663254e-05 5.27412426557236e-05
"GU" 0.000377011270541789 0.000359505818570071
"GY" 6.22476585972286e-06 6.19659757037954e-06
"HA" 1.3007932961673e-06 1.28874965550576e-06
"HB" 0.000104766919966056 9.34956522869506e-05
"HE" 0 0
"HF" 2.37047341122187e-07 2.29225801958181e-07
"HI" 0 0
"HL" 2.19231031060518e-05 2.06368782143396e-05
"HQ" 0.00111590672536489 0.000808615722073213
"HT" 0.000151237896996138 0.000133876950077168
"HY" 0.000320676572648127 0.000264851099951583
"IA" 0.00324402868369895 0.00275508487451445
"ID" 0.000787834688462692 0.000621922587151269
"IF" 0.000103008109557964 8.3018414620709e-05
"IG" 0.00205883104365266 0.00161671953338867
"IH" 0.0006510965528394 0.00054572146853027
"II" 0.00442426745424476 0.00313920031278047
"IJ" 3.51402575532717e-05 3.41139982984903e-05
"IK" 7.19359286198647e-05 6.55657324137014e-05
"IL" 0 0
"IM" 0.000155208396719961 0.000139185354082658
"IO" 1.87329490297044e-06 1.84548394212885e-06
"IP" 0.000110562366008626 9.51514359625309e-05
"IQ" 9.96125687867621e-05 9.48952306131146e-05
"IU" 8.80251865362458e-05 8.12740778872658e-05
"IX" 3.43238548016484e-06 3.38134791365761e-06
"IY" 0.000550963981631294 0.000508235822280653
"JA" 0.00215580940925718 0.00189558974542048
"JB" 6.73419618192888e-06 6.59550492011057e-06
"JI" 5.11182422194968e-08 4.99573577439079e-08
"JM" 0 0
"JO" 1.69276802103908e-07 1.67108753140286e-07
"JS" 2.40136858798567e-07 2.38899192218938e-07
"JU" 7.41004890281691e-05 7.0526145167312e-05
"JW" 0 0
"JY" 0.0064366002440316 0.00534982418362571
"KA" 0.000137972773774375 0.000133268070552056
