"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0.000100151658225313 8.339529311316e-05
"AH" 0.000232003104701405 0.000220534012145463
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0.00010492078480747 9.69846854035423e-05
"AZ" 5.90179414542021e-05 5.5615947475364e-05
"BA" 0.000339612013982075 0.000323336860557866
"BD" 0.000120658902528591 0.000113600236227852
"BF" 0.0678797479818399 0.0536065570480469
"BI" 0.0104794152627847 0.00922395064833681
"BK" 0.00225055083412024 0.00192434793527581
"BM" 0.0278327012075335 0.0200131765556823
"BP" 0.00728335220544852 0.00638379113455298
"BQ" 0.0516742970465047 0.0333344121932685
"BU" 3.49735949358234e-05 3.47768564706698e-05
"BV" 0.000463225264924982 0.000407219705021522
"CN" 0.00105955966968715 0.000950569036977866
"CO" 1.96726471514007e-05 1.87747803622078e-05
"CQ" 0.00134246456425399 0.00127349278979513
"CT" 0 0
"CU" 0.00152558770456465 0.00137565280639214
"DA" 1.57381177211206e-05 1.50144128911683e-05
"DB" 0.000799953919920037 0.0007577326542369
"DE" 0.000153009477844228 0.00014871080517142
"DI" 0.0096093050735296 0.00821372977284874
"DK" 0.00048136157201313 0.000433578251185028
"DM" 9.83632357570034e-06 9.36485144681928e-06
"DQ" 0.000146139664553262 0.000140000384339538
"DR" 0.000390819987727448 0.000371418452591699
"DS" 0 0
"DT" 1.68622689869149e-05 1.66174928854776e-05
"DW" 6.63862420236358e-05 6.43995448549337e-05
"DX" 6.29524708844822e-05 6.00479386351665e-05
"DY" 0.00147119630420659 0.00144384507850568
"EA" 5.92325521503992e-05 5.79038845236991e-05
"EC" 2.14610696197098e-05 2.12448628990625e-05
"EE" 0.000354107648725213 0.000349985400160618
"EI" 0.000118035882908404 0.000116217200494005
"EN" 0.0305334429979242 0.0179954912991496
"EO" 0.00010492078480747 0.00010222415954795
"EP" 0.000409261320203246 0.000393372665416653
"EQ" 0.00224727092179008 0.00191521749861573
"ER" 0.000905735287504992 0.000838451167539777
"ES" 0.000248074067715238 0.000242202403473315
"ET" 0.000840674573785028 0.000790143581406481
"EU" 0.0703240926325516 0.0515572929813981
"EV" 0.000327741984948423 0.00030163666696156
"EW" 0.00129610816961536 0.00125602728737555
"EX" 0.000950551509746505 0.000917094402899376
"FA" 0.000918931206938761 0.000895971482064927
"FE" 0.00296981307958645 0.00251628608793626
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.0066027631425723 0.00490250155287365
"FY" 5.5546297839249e-05 5.45911229268034e-05
"GA" 0.000292109003157162 0.000283306034578913
"GC" 0 0
"GM" 0.00140322378282718 0.0012235411227232
"GU" 0.00100953605202897 0.000945314817868727
"GY" 0.0165690492439872 0.0137050807181609
"HA" 0.0106526163560589 0.0093138791816697
"HB" 0.000180481634093532 0.000162321189518834
"HE" 0.000236071765816808 0.000211560022673834
"HF" 0.00316465686573077 0.00246592898472841
"HI" 0.00115511007207953 0.00100146533640954
"HL" 0.000823782316066497 0.000694722123869667
"HQ" 0 0
"HT" 0.000214269843914903 0.000198416909324694
"HY" 6.1203791137691e-05 5.81517414429346e-05
"IA" 0.000826543475968722 0.000769701950541422
"ID" 0.000727576810729618 0.000704519002505087
"IF" 0.000118035882908404 0.000114007000562855
"IG" 9.36792721495271e-05 8.9365996694784e-05
"IH" 0.000563108506923427 0.000532978354714088
"II" 0 0
"IJ" 5.24603924037352e-05 4.82228639461916e-05
"IK" 0 0
"IL" 0 0
"IM" 0.000104000427046001 9.87988513902181e-05
"IO" 0 0
"IP" 0 0
"IQ" 7.86905886056028e-05 7.73629565871066e-05
"IU" 3.63187332025859e-05 3.58271891782185e-05
"IX" 0 0
"IY" 0 0
"JA" 0.00358916184884609 0.00330320055506962
"JB" 0.0199309771711237 0.0151539579746314
"JI" 0.00034068530881562 0.000279951858282978
"JM" 0.0120328208917611 0.00766278238583086
"JO" 0.0013657000370063 0.00107890502913919
"JS" 0.0221586098474673 0.016621783468075
"JU" 6.88542650299024e-05 6.68154657667388e-05
"JW" 0.0011488825936418 0.00100018814415451
"JY" 0.000195512899124797 0.00018954338663475
"KA" 0.000370969917712127 0.000355659241616613
"KI" 7.86905886056028e-05 7.61233567770018e-05
"KM" 0.0028664005042211 0.00266994639070021
"KU" 0.0518216530056078 0.0399230217250362
"KV" 8.18382121498269e-05 7.67653326367677e-05
"KY" 0 0
"LE" 0.000673751590557854 0.000643252990406838
"LI" 0.000218303045573062 0.000190020894925399
"LJ" 0.00140643135085185 0.00119766650144683
"LQ" 0.00130673402691591 0.00106192114589684
"MA" 9.83632357570034e-06 9.37207949403655e-06
"MC" 0 0
"ML" 0 0
"MM" 0.0487638388530653 0.0391661401397149
"MQ" 0.0180873535022321 0.0148399420596348
"MR" 0.001877058747679 0.00140094678232294
"MU" 0 0
"MW" 0.00221027352817522 0.00164486339163165
"MY" 0.00308385416388249 0.00263479350391545
"NE" 0.0083051091301794 0.00677409224312921
"NI" 0.00039854247087983 0.000381837851304254
"NM" 0.000973546440968538 0.000755612722992438
"NN" 0.000713867498570048 0.000665298893507588
"NQ" 0.00222027335425102 0.00185935239636875
"NS" 0.000174931563033546 0.000172029137815973
"NU" 0.00698408414087014 0.00613028973480576
"OA" 0 0
"OE" 0.0135767751366467 0.0109617748011562
"OI" 2.4849659559664e-05 2.26020517924014e-05
"OM" 0.00923691609775179 0.00831303624159102
"OO" 0.000405153445043361 0.00033283757346819
"OP" 0.000530772343803505 0.000493648905707169
"OR" 0.0105575491295927 0.00833503992849687
"OT" 0.00478773864165701 0.00424322921098701
"OU" 0 0
"OX" 0.00264591142778112 0.00218822599113207
"OY" 0.00395309969826536 0.0035780763949458
"OZ" 0.0109996327772532 0.00765117326099566
"PA" 0.0403471534049004 0.0328612893748665
"PC" 0.00911704231875984 0.00770524961453529
"PD" 0.0033417610613078 0.00293097015610418
"PE" 0.00038033784492708 0.000355782774340017
"PF" 0.00191442960564774 0.00171042345667697
"PG" 0.00114585603254158 0.00104712193268636
"PH" 0.00188857412653447 0.00173289953503393
"PI" 4.44976542710254e-05 4.26147054129673e-05
"PJ" 0 0
"PK" 0 0
"PM" 0.000372850316193092 0.000367661930705091
"PN" 0 0
"PO" 3.37245379738298e-05 3.15217845622637e-05
"PQ" 0 0
"PS" 0.000289331379982938 0.000240185555866479
"PT" 5.04426850035915e-05 4.29644515220307e-05
"PU" 1.68622689869149e-05 1.66413889606001e-05
"PW" 0 0
"PY" 0.00701814521856469 0.00608619212777968
"PZ" 0.000314762354422411 0.000312078225638617
"QA" 0.000176145455740491 0.000161136994597677
"QC" 0.00384403525338369 0.00341230783082993
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.00415673666381882 0.00356823088630497
"QQ" 0.000662928698168439 0.000643028177524962
"QU" 0.000138304670882575 0.000133384404945991
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.00131291320627089 0.0011767346843354
"RP" 0.00866923117277225 0.00781552980875918
"RQ" 0 0
"RT" 0.000421024176465343 0.000386232986933573
"RU" 0.003976232428782 0.00365471580995717
"RX" 0.00010492078480747 9.71148313321416e-05
"RY" 0 0
"RZ" 0.000564044934118219 0.000501240825987892
"SA" 0.000994948361971621 0.000912471077495545
"SD" 0.000907609921513306 0.000846593479630979
"SI" 3.93452943028014e-05 3.80259301218981e-05
"SR" 0 0
"SU" 0.000157381177211206 0.000153991220822469
"SY" 0 0
"TA" 0 0
"TC" 2.77731489196245e-05 2.68950746306174e-05
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0.000281775895562487 0.000264378184677008
"TQ" 0.000427739556634741 0.000387020194070925
"TU" 0.000818618784922647 0.000753106461681826
"UA" 0.00640582817692554 0.00583421119977652
"UB" 0.000193054244045745 0.000190790088009478
"UE" 0 0
"UF" 0 0
"UH" 0.000135589937289654 0.000133840819223037
"UI" 0.000651305139619587 0.000642770854799916
"UK" 0.000193054244045745 0.000190973607330879
"UM" 0.000111597562022491 0.000102639248881961
"UN" 1.68622689869149e-05 1.67440514214848e-05
"UP" 0 0
"UQ" 0.0109206289103207 0.00810932066678802
"UR" 0 0
"UT" 0.000393452943028014 0.000361976457018499
"UU" 0.0288101422574076 0.0225667948503292
"UY" 0 0
"VE" 0.00270441063592662 0.00238800362459578
"VI" 0.00362772396602632 0.0030740366663783
"VJ" 0.011205523769025 0.00856149732731753
"VM" 0.00694200096070618 0.00560162603201145
"VP" 0.00056263770853006 0.000515913074294104
"VS" 0 0
"VX" 0.00460919739425405 0.00406392792635781
"VY" 0.00010492078480747 0.000100769474119622
"WC" 0.00126020763414531 0.00112721521990315
"WE" 0.000125904941768964 0.00011826620003264
"WF" 0.00052384462888414 0.000499224724195387
"WH" 0.000118035882908404 0.000114201315029372
"WM" 0.00891851597746177 0.00609978257545954
"WQ" 0.00711880032949876 0.00582704258912409
"WU" 0.0636490108039899 0.0394571376008067
"WV" 0.00572454418355276 0.00440228233780051
"WY" 0.00183847808901695 0.00148831647491913
"XA" 0.0807060229891419 0.0540125745682527
"XE" 0 0
"XQ" 3.77714825306894e-05 3.67840204793302e-05
"XW" 0.00137673329363603 0.00130285617434614
"XY" 0.000344271325149512 0.000327756164589026
"YA" 0.000333995898112405 0.00032024832569767
"YE" 0.000410939740495925 0.000404462329023696
"YG" 0.00719023003017337 0.00646923448648627
"YI" 0.00408994189263267 0.00323095359995435
"YO" 0.000163282971356626 0.000149422922283155
"YP" 1.65664397064427e-05 1.57488426015529e-05
"YQ" 0.000855903983014377 0.000718188163671828
"YR" 0 0
