"Q" "C"
"AA" 0.00404024163116441 0.00324364605372947
"AC" 0.0373454015678973 0.0201866711301882
"AD" 0.000122933761113707 0.00012062259339252
"AE" 0.000324292626388854 0.000305432516625907
"AF" 2.77789799231097e-05 2.67221178351674e-05
"AH" 0.000465862581314358 0.000441997515453125
"AI" 0.00163742823056022 0.00134852223856544
"AM" 0.000210057322979852 0.000204251111782691
"AQ" 1.51408999230022e-05 1.48079885818182e-05
"AY" 8.81460393152018e-05 7.98404717682876e-05
"AZ" 6.46068066849767e-06 6.19196780358642e-06
"BA" 0.000166073260556084 0.000159752258771752
"BD" 5.49097973906962e-05 5.35095145813746e-05
"BF" 0.000177798317523602 0.000172231470501038
"BI" 2.80011309518562e-05 2.7502752165333e-05
"BK" 3.57628776459328e-05 3.30632857494892e-05
"BM" 7.3418430416402e-06 7.19379421933667e-06
"BP" 0.000145307017456848 0.000133595545089836
"BQ" 6.5214463667934e-05 6.05341768793323e-05
"BU" 0.000797781086113237 0.000785118771477751
"BV" 0.000363752147443193 0.000328637613727731
"CN" 0.00126398942793346 0.00114198969603745
"CO" 0.0036698490256464 0.00328951221082617
"CQ" 0.00608285382639435 0.00556549403180103
"CT" 4.70407598776187e-07 4.32320906830087e-07
"CU" 0.00378690200132359 0.00335798500680243
"DA" 0.00128165772499601 0.00116150965613505
"DB" 0.00354466587521805 0.00324533197561261
"DE" 0.000566062419676014 0.000547589586901065
"DI" 0.00324820784919984 0.0030364368972302
"DK" 0.00115832651387454 0.00112710929459901
"DM" 0.00213455675212888 0.00203804790370491
"DQ" 0.000675686029209162 0.000655986276901418
"DR" 0.00112274715883076 0.00103610077338959
"DS" 0.000194591989149741 0.000186544306608712
"DT" 0.000542171007187742 0.000485319037175745
"DW" 0.000288389566239102 0.000267744226202657
"DX" 0.000458722058606642 0.000423299211951592
"DY" 0.0014958269779511 0.00138797525943571
"EA" 0.00343174430436436 0.00320032661902322
"EC" 0.000111822002874838 0.00010758702324756
"EE" 0.000186708627075586 0.000180179681134825
"EI" 0.00086245804632738 0.00079321510027298
"EN" 4.38393748303919e-06 4.25636494259488e-06
"EO" 1.20737950352555e-06 1.20492310381188e-06
"EP" 0.252921629895105 0.108363623882891
"EQ" 0.000207851188246864 0.000199955150801195
"ER" 0.0113517975703236 0.00481815186978825
"ES" 0.0129106771312548 0.00608414308023543
"ET" 0.0473591245140477 0.0218861662806548
"EU" 0.000586011695129457 0.000559822825550908
"EV" 0.0238500240075526 0.0126281240272947
"EW" 0.0413625485137202 0.0224883866406798
"EX" 0.0807530306049208 0.0388916285826311
"FA" 0.000925958443739344 0.000862364473871165
"FE" 5.46837667002525e-05 5.36685560863284e-05
"FF" 8.31664610337755e-05 8.0836559912418e-05
"FI" 0.000181835619505936 0.000170141051478101
"FS" 0 0
"FU" 2.68908395142126e-05 2.61878691380478e-05
"FY" 0.000285646913073907 0.000281229217114164
"GA" 0.000220586904902572 0.000215413139059342
"GC" 0.00120515484668526 0.00116933498052784
"GM" 4.70047843580403e-05 4.48952831138419e-05
"GU" 0.00123857809190002 0.00119977431739188
"GY" 0.00401841579788756 0.0038622883772743
"HA" 0.00252886197678983 0.0024358425270797
"HB" 0.000397361171421271 0.000370072180037793
"HE" 4.60903614895003e-05 4.44597463190041e-05
"HF" 0.000129939699184568 0.000121297622176198
"HI" 0.000885316718838178 0.000857256075421043
"HL" 0.000790370148821259 0.000748284967267876
"HQ" 0.000510806278389643 0.000466599968856012
"HT" 0.000302115362239686 0.000287107275053201
"HY" 0.000185945183471784 0.000173248625764689
"IA" 0.00048464398928932 0.000457161364486443
"ID" 0.00237044949178691 0.00213093650680725
"IF" 0.00515994777141709 0.00343403422588387
"IG" 0.00802132144177386 0.00674486241945969
"IH" 0.000749501917101475 0.00070483990144813
"II" 0.00351437432320119 0.00324978351627549
"IJ" 0.00603085524621391 0.00445943213964668
"IK" 0.006182346386057 0.00460166175801451
"IL" 7.4410057669844e-05 5.67512382107073e-05
"IM" 0.00382834308527716 0.00344035021155008
"IO" 0.000189313961842166 0.000168616663090563
"IP" 8.21574558701125e-05 7.74287722144187e-05
"IQ" 0.131386338969946 0.068499335677384
"IU" 0.00626888475491859 0.00526576691211687
"IX" 0.000325602924551681 0.000313366250256291
"IY" 0.000214808207204513 0.00020854475767728
"JA" 0.00227774246661028 0.00214816950979758
"JB" 0.000759456117255833 0.0007181728692085
"JI" 0.00145181261032413 0.00126784687321737
"JM" 3.21318738841476e-06 3.11487118941515e-06
"JO" 1.80190348103886e-05 1.75746204013578e-05
"JS" 3.43568572104916e-05 3.34159757097461e-05
"JU" 9.23617478499689e-05 9.03868270244962e-05
"JW" 0 0
"JY" 0.000806909916909768 0.000773470611189957
"KA" 0.000230904830885867 0.000225833010972794
"KI" 0.000365369231464372 0.000355896202048049
"KM" 0.0023498643507463 0.00217882361541503
"KU" 0.000430184874460151 0.000414463161124455
"KV" 0.000425411637904606 0.000409168066109071
"KY" 5.18654968774817e-05 5.09809160534959e-05
"LE" 0.00119629362496529 0.00115578773466869
"LI" 0.000141311575478948 0.00012948252338672
"LJ" 0.000101886316696939 9.70504663095844e-05
"LQ" 0.000126513690769638 0.000121390357651362
"MA" 0.000248784862615303 0.000237943820732114
"MC" 0.00217311466224382 0.00175785638410464
"ML" 3.29335576365423e-06 3.18014558955827e-06
"MM" 8.80165966154285e-06 8.71038637340388e-06
"MQ" 0.000861604722774206 0.000801722185725528
"MR" 7.95930327225604e-06 7.66410136969904e-06
"MU" 6.65989503324055e-05 6.48660842531447e-05
"MW" 3.91903816723388e-05 3.69347756704663e-05
"MY" 0.00066533268664912 0.000637567619978758
"NE" 0.000807942031824351 0.000771650441228171
"NI" 0.000444242704578425 0.000428025690446269
"NM" 2.96254864038856e-05 2.83028945683127e-05
"NN" 0.000154154842767906 0.000149289635075072
"NQ" 0.000950506690670269 0.000907252652014052
"NS" 0.000474553415113239 0.000415491430969788
