"Q" "C"
"AA" 0.00875282274414775 0.00709639530097978
"AC" 0.0410911308824148 0.0237927204019879
"AD" 5.65286843482332e-05 5.54630802863069e-05
"AE" 0.000185938072934977 0.000176898220928219
"AF" 1.44592249855408e-05 1.38699436775417e-05
"AH" 0.000224306997084081 0.000214017130559353
"AI" 0.00251502056664471 0.00210067177964253
"AM" 0.000119811127329924 0.000116999672025798
"AQ" 1.06034316560632e-05 1.03295692778334e-05
"AY" 8.35605902200182e-05 7.39164741048121e-05
"AZ" 0 0
"BA" 0.000280579171847802 0.000265363249714968
"BD" 7.06013424687939e-05 6.90076006959555e-05
"BF" 0.000352071153384508 0.000338609955279035
"BI" 4.26590952906742e-05 4.1951654505989e-05
"BK" 0.000176974558119729 0.000163886539845362
"BM" 3.7593984962406e-05 3.66392938865567e-05
"BP" 0.000413966055187094 0.000380373978485433
"BQ" 0.000114353433681165 0.000103916578217086
"BU" 0.00051318007426383 0.000505612379038932
"BV" 0.000565849007522103 0.000483929350288645
"CN" 0.00299726677670432 0.00257543086040971
"CO" 0.00226836165610177 0.00204821702925008
"CQ" 0.00432463834176402 0.00395213734405581
"CT" 0 0
"CU" 0.00429162217226386 0.00375459372095021
"DA" 0.00134089581759833 0.00121722487518623
"DB" 0.00172125673503987 0.00158562367315038
"DE" 0.000408757753328695 0.000396858989214362
"DI" 0.00666837056812742 0.0061110359376718
"DK" 0.00108514446180531 0.00105393219951615
"DM" 0.00164010826659288 0.0015637071435918
"DQ" 0.0005362201854647 0.000517980815043285
"DR" 0.000947417887373604 0.000871093554872965
"DS" 0.000166380469020894 0.000157188116577012
"DT" 0.000241346601594104 0.000218366232529778
"DW" 4.17359837092207e-05 3.9120098336828e-05
"DX" 0.000242477906508485 0.000223678624547884
"DY" 0.00057944293135903 0.000542715213766105
"EA" 0.000688574795203198 0.000649072881221044
"EC" 9.11672672806276e-05 8.82345141689978e-05
"EE" 0.000143169278507624 0.000138846557267852
"EI" 0.000468837402057911 0.000435833648255676
"EN" 0 0
"EO" 0 0
"EP" 0.143210338030994 0.0714108523139001
"EQ" 0.00112211777154264 0.00104198841743668
"ER" 0.06417411784312 0.0300412471229936
"ES" 0.0139785043788027 0.00722600384373068
"ET" 0.0408459224130895 0.0208492339001315
"EU" 0.00442531404418774 0.00413379251563771
"EV" 0.0212453640078844 0.0121621594723392
"EW" 0.0435817044089198 0.0257039671313067
"EX" 0.0663175777639397 0.035719855490274
"FA" 0.000419422393212922 0.000393294712331751
"FE" 8.1141610437866e-05 7.81600732518192e-05
"FF" 0.000163403627986137 0.000157047317080599
"FI" 4.83763005877115e-05 4.56257106390512e-05
"FS" 0 0
"FU" 6.89500209689181e-06 6.63377057004175e-06
"FY" 0.000327793631726541 0.000322092363945963
"GA" 0.000209770629088154 0.000204332112874672
"GC" 0.000690318054751334 0.000672863241358816
"GM" 0.000101174420270656 9.37058530754416e-05
"GU" 0.00079032001269258 0.000767745075141617
"GY" 0.0040073641297441 0.00383860818536261
"HA" 0.0052609145567662 0.00499361882594751
"HB" 0.000561358409436572 0.000517840862050611
"HE" 0.000139771383137151 0.000131258136870667
"HF" 0.000282876388591628 0.000256151184220534
"HI" 0.00209839909310736 0.00197704530038056
"HL" 0.00182061665199352 0.001690296436601
"HQ" 0.00039326306360784 0.000363315511623457
"HT" 0.000108811866011182 0.000103638623711214
"HY" 0.000126973904163892 0.000117195730138502
"IA" 0.000389015496277343 0.000362628260149773
"ID" 0.0012298545081821 0.00112022043719485
"IF" 0.00423831459492489 0.00294337084674954
"IG" 0.00884371708278195 0.00744302309989887
"IH" 0.000612543676018759 0.00058154706296203
"II" 0.00211252711095849 0.0019759846558962
"IJ" 0.00791392897716319 0.00592586393540448
"IK" 0.0062166375073022 0.00473810016858049
"IL" 7.18412748487937e-05 5.62070403790269e-05
"IM" 0.00245483088610442 0.00223482550580446
"IO" 0.000248558446977064 0.000223846285061284
"IP" 0.000107336272749807 0.000102093751409597
"IQ" 0.127295261287506 0.0711421182544906
"IU" 0.0061788541679179 0.00526135735756548
"IX" 0.00011448700328157 0.000110768412186422
"IY" 0.000313944864394625 0.000304903068055193
"JA" 0.00185610976728592 0.00176263433540951
"JB" 0.000915801038577051 0.00086396028253614
"JI" 0.0158788880389662 0.0133151854615729
"JM" 2.89184499710815e-05 2.72394565883985e-05
"JO" 0.000185099828511792 0.00017564589157279
"JS" 0.00023727625432453 0.000226423549291593
"JU" 2.17629873500319e-05 2.1325438209632e-05
"JW" 1.28526444315918e-05 1.26773077531838e-05
"JY" 0.000353136282137879 0.000339656988351968
"KA" 6.73045438805994e-05 6.60444265425104e-05
"KI" 0.000243701229512048 0.000236539919619555
"KM" 0.00150970284096602 0.00139836447427078
"KU" 0.000581519360787558 0.000559029190302535
"KV" 0.000224863545210009 0.000217558591250567
"KY" 9.11025678827536e-05 8.98553796004576e-05
"LE" 0.000708223837335733 0.000688216297521589
"LI" 0.000431699158958083 0.000381487002066537
"LJ" 0.00109430178078987 0.00100971010868763
"LQ" 0.000387663509708531 0.000363140485115807
"MA" 0.000149507318741794 0.000142391966028452
"MC" 0.00136628298646069 0.00111610039898578
"ML" 1.7526333315807e-06 1.66182567689211e-06
"MM" 3.72232356038024e-05 3.67441424618275e-05
"MQ" 0.00030929637423154 0.000285198861931603
"MR" 1.47311078485168e-05 1.40598392500916e-05
"MU" 4.44899230324331e-06 4.34924828415537e-06
"MW" 6.78409450160875e-05 6.21030194706511e-05
"MY" 0.00224283061731465 0.00207512193407263
"NE" 0.00176745853802431 0.00164798031262794
"NI" 0.000460503398300246 0.000442160376422666
