"Q" "C"
"AA" 0.00271708441565622 0.00219647648186313
"AC" 0.0131600786291303 0.00743159389944555
"AD" 6.09085124039568e-05 5.98190625768698e-05
"AE" 0.000264175260783974 0.00025066601701265
"AF" 3.39584908567567e-05 3.2478062972475e-05
"AH" 0.000362885353848831 0.000345148482133673
"AI" 0.00101539949276959 0.000841371195952577
"AM" 0.000267844711577491 0.000260717758291074
"AQ" 2.13535501971811e-05 2.08183894179842e-05
"AY" 4.73360931254422e-05 4.36546037635509e-05
"AZ" 1.09707482635395e-05 1.04955507268619e-05
"BA" 0.000277417368763867 0.000268370723689451
"BD" 8.6555637603108e-05 8.4454387183211e-05
"BF" 0.00027106722033712 0.000262575952565341
"BI" 4.45812325567477e-05 4.38417076233736e-05
"BK" 5.67307209455311e-05 5.27137917001241e-05
"BM" 4.70537247672825e-05 4.5826472604276e-05
"BP" 0.000150931621892211 0.000138751590051157
"BQ" 4.30661551803158e-05 3.98406804989663e-05
"BU" 0.000584370261701745 0.000575762124838419
"BV" 0.000123448714554796 0.000115069224073554
"CN" 0.000442725060480985 0.000412944732715673
"CO" 0.0032810904837534 0.00296043062212889
"CQ" 0.00907914397714425 0.00831194815568385
"CT" 2.23815491574532e-06 2.07439994160477e-06
"CU" 0.00208931366577332 0.00187225091118268
"DA" 0.00170615415149775 0.00154772296920052
"DB" 0.00371720154108286 0.00340939783925245
"DE" 0.000545058052030045 0.000526916120290866
"DI" 0.00904176256398704 0.00821699481033526
"DK" 0.00126061624375663 0.00122157923482248
"DM" 0.00176978198983351 0.00168652632204254
"DQ" 0.000847301576409125 0.00081994879003514
"DR" 0.00110625556312172 0.00102276702272634
"DS" 0.00036191000278017 0.000346693574334339
"DT" 0.000276158467970645 0.000251233116396402
"DW" 0.000227868908416051 0.000212289131790789
"DX" 0.00356336019539194 0.00327389207944559
"DY" 0.00417091818213206 0.00386972126547715
"EA" 0.000992651061924068 0.000933266006511156
"EC" 0.000216684808942667 0.000208121138106004
"EE" 0.000713433405539332 0.000685815561503454
"EI" 0.00113413453369035 0.00104806243205509
"EN" 1.71627115152818e-05 1.65085659494224e-05
"EO" 1.59238204430007e-06 1.58939649481679e-06
"EP" 0.0910784539872074 0.0439203024856159
"EQ" 0.000349788992864239 0.000337673278253161
"ER" 0.00707697309071802 0.00323536117581393
"ES" 0.0346104948302382 0.0146996973705926
"ET" 0.135627747906581 0.0560366409706212
"EU" 0.00193359604510379 0.00181523559614052
"EV" 0.0224703426972518 0.0121598091907684
"EW" 0.0628599616312104 0.0323704650916384
"EX" 0.111467532878827 0.0515812927684483
"FA" 0.000414100522769549 0.000390782709855847
"FE" 9.48610382645188e-05 9.28748671901968e-05
"FF" 0.000385059980962748 0.000372503487694112
"FI" 0.000273357852758409 0.000255513545320784
"FS" 0 0
"FU" 5.21991181825792e-05 5.04837060125645e-05
"FY" 0.000216515545735258 0.000213323725372015
"GA" 0.000193997482112734 0.000189138268976101
"GC" 0.000711084847392466 0.000691261965139114
"GM" 7.84550247175437e-05 7.52458409782418e-05
"GU" 0.00140684450103309 0.00136486039022089
"GY" 0.00509063740196805 0.00486307312080773
"HA" 0.0035391738197149 0.00339087099001336
"HB" 0.000499151513107211 0.000460227364721607
"HE" 8.05061941794957e-05 7.80377315973211e-05
"HF" 0.000190616176077188 0.000173957310130142
"HI" 0.000698001904199524 0.000676174552013209
"HL" 0.00328071174031646 0.00306010755236062
"HQ" 0.000503165400740242 0.00046304220732019
"HT" 0.000351441530507552 0.000334279948218654
"HY" 0.000153498344754808 0.000144036224936171
"IA" 0.000578025960598859 0.00054603847735875
"ID" 0.00121112078346173 0.00109947208935414
"IF" 0.00225978875716329 0.00154781660842412
"IG" 0.00496328100214868 0.00424163472229725
"IH" 0.000524249179827129 0.000497708212123775
"II" 0.00128683548878635 0.00120489611802277
"IJ" 0.00359603428863927 0.0027045821379171
"IK" 0.00283137751207126 0.00217548516901728
"IL" 6.94539399996025e-05 5.36610116131098e-05
"IM" 0.00168606345060214 0.00154092614571735
"IO" 0.000119346007017461 0.0001070039380766
"IP" 2.82024340528457e-05 2.68156785507444e-05
"IQ" 0.144711853116936 0.0718022612666923
"IU" 0.00207812226741551 0.00179073935967408
"IX" 0.000146255444841091 0.000141663151923962
"IY" 0.000207685604746068 0.000201814653301637
"JA" 0.00202388680062751 0.00192107045326546
"JB" 0.00123352990014047 0.00116050056736052
"JI" 0.00195519310647491 0.00169194583957227
"JM" 2.3621699336401e-06 2.26866661997282e-06
