"Q" "C"
"AA" 0.00504502122079384 0.0042621200182887
"AC" 0.0105009131478583 0.00772035157469435
"AD" 0.00057843351212216 0.000559186878653437
"AE" 0.00223943111990548 0.00200314096034495
"AF" 0.000161363420536903 0.000153025873320225
"AH" 0.00212499966520089 0.00193457598732929
"AI" 0.00428947698683779 0.00366327163944237
"AM" 0.001459399676969 0.00137975137064459
"AQ" 5.23744270630237e-05 5.01991465869842e-05
"AY" 0.000191213904868172 0.00016834812354728
"AZ" 1.76382836274668e-05 1.63154095603758e-05
"BA" 0.000678292348045895 0.000648540878761812
"BD" 0.000132787634083748 0.000126576398878295
"BF" 0.000208953807940445 0.000199208306851928
"BI" 3.1924799950307e-05 3.10163551315584e-05
"BK" 4.86060046232258e-05 4.41378859511551e-05
"BM" 3.92431195559814e-05 3.81783076550207e-05
"BP" 0.000115842502340057 0.000106929636890858
"BQ" 3.66700833697905e-05 3.40836684885466e-05
"BU" 0.00380918215054405 0.00369611228829188
"BV" 0.000137371104805857 0.000126488110269203
"CN" 0.000411472927319786 0.000377471615922509
"CO" 0.00614441116114609 0.00516944375464636
"CQ" 0.0238222477805492 0.0202135562628933
"CT" 5.72836534275825e-06 5.01643686594733e-06
"CU" 0.0047360111422325 0.00393926471192919
"DA" 0.00678715657133068 0.00567563602758509
"DB" 0.00745281578654805 0.00633876976514673
"DE" 0.00163763467508643 0.0015309255581741
"DI" 0.00435379049449018 0.00406417015359305
"DK" 0.00151097566606123 0.00146172740409597
"DM" 0.00396279983316246 0.0036424400145368
"DQ" 0.00286500305232641 0.00271589186510193
"DR" 0.00329316591871676 0.00284964201023617
"DS" 0.000690156391079758 0.000648147703074175
"DT" 0.00288427486000281 0.00245604774325047
"DW" 0.000659243507873505 0.000564814906819224
"DX" 0.00802782217395344 0.00687051053232462
"DY" 0.0141965294906661 0.0121935758901379
"EA" 0.00214961867223443 0.00193567621870622
"EC" 0.000746088888002859 0.000683184155691753
"EE" 0.00244050324856058 0.00223960653837305
"EI" 0.00780891025075419 0.00663776552856097
"EN" 4.70660021616875e-06 4.5441739959095e-06
"EO" 6.97618609115922e-06 6.96256395687689e-06
"EP" 0.0489063640038578 0.0342379551875669
"EQ" 0.000329272066225957 0.000316336788654325
"ER" 0.00415305159877749 0.00284007198952157
"ES" 0.0119407035292781 0.0084220120817444
"ET" 0.0288910521749085 0.0196991380687187
"EU" 0.00117998013163894 0.00112721764474102
"EV" 0.0721113422373317 0.0432644456380603
"EW" 0.0262762246816304 0.0192401804367988
"EX" 0.0359799951710063 0.0252149095425666
"FA" 0.00307861010044929 0.00278311158229595
"FE" 0.000117325955249585 0.000114882895628607
"FF" 0.000447408033014124 0.000427399300191096
"FI" 0.000925875325317048 0.000818370029717196
"FS" 7.97278410418196e-07 7.40562175703844e-07
"FU" 4.42578657835965e-05 4.25748015917175e-05
"FY" 0.000878467028075635 0.000856574697384763
"GA" 0.000336773228426858 0.000322703666108947
"GC" 0.00409480694976807 0.00391207696449357
"GM" 9.85732998464494e-05 9.35049494598891e-05
"GU" 0.00307586473893889 0.00290541305217402
"GY" 0.00574583242332574 0.00546860447400951
"HA" 0.0104014429252133 0.00992878248134261
"HB" 0.00174738641097209 0.0015947724499414
"HE" 0.000115768798889029 0.000111547566279356
"HF" 0.000124707792305288 0.0001147927109558
"HI" 0.00203902732576926 0.00196772707563735
"HL" 0.00257979774435259 0.00238460197109016
"HQ" 0.0008334414869296 0.000733264061983423
"HT" 0.000777739012143022 0.000711195230713822
"HY" 0.000338017932829593 0.000302444565339778
"IA" 0.00154005703696569 0.00139986277133405
"ID" 0.00392446487486643 0.00337637227250727
"IF" 0.0120513210070285 0.00822723555148806
"IG" 0.0134304949144913 0.0111597611685575
"IH" 0.00285115739715272 0.0025282412858265
"II" 0.0145428653236709 0.0125825927527867
"IJ" 0.00990586268462733 0.00783431244378795
"IK" 0.00887093926034439 0.00694907570388607
"IL" 9.66503825454444e-05 7.80712886083968e-05
"IM" 0.0105374889388316 0.00901950563845497
"IO" 0.000543609871217044 0.000483650601911649
"IP" 0.000639841557562816 0.00057596437681947
"IQ" 0.0592704905036942 0.0428142719508054
"IU" 0.0124999800275763 0.0102641010699366
"IX" 0.00324235721252436 0.00303581638062834
"IY" 0.000470702708680123 0.00044672462206338
"JA" 0.00790104999087332 0.00707081103404529
"JB" 0.00115620714632588 0.00106872796699107
"JI" 0.00108287706330842 0.000967998666440027
"JM" 6.23625039718264e-06 5.97233750996832e-06
"JO" 3.97624822216502e-05 3.85224121675481e-05
"JS" 2.97082732597331e-05 2.89567074249954e-05
"JU" 0.000222751718038329 0.000214034790175508
"JW" 1.28791127836786e-06 1.27354664522571e-06
"JY" 0.00145841873152284 0.00134971528885839
"KA" 0.000859380571760175 0.000825210167893515
"KI" 0.000710246255254127 0.000678155724160455
"KM" 0.0065367423258648 0.00571179071707716
"KU" 0.000961321616494081 0.000917745331018593
"KV" 0.00080093527792822 0.000751864911604915
"KY" 0.000514343743138901 0.000495213489638718
"LE" 0.00820271033621022 0.0076965095458731
"LI" 0.000261837841133342 0.000233639425339915
"LJ" 0.000182192707754162 0.000171223870819649
"LQ" 0.000596125541911513 0.000557928861801862
"MA" 0.000814033154362846 0.000750399213234501
"MC" 0.00376220982605112 0.0029224063972777
"ML" 3.72149663428762e-06 3.50341103305342e-06
"MM" 3.73273151098008e-05 3.68450618071641e-05
"MQ" 0.000330228471188176 0.000303577413892487
"MR" 2.05539446043557e-05 1.96130083642205e-05
"MU" 0.000338650037599258 0.000321463027941194
"MW" 4.87711693394035e-05 4.56497216628695e-05
"MY" 0.000398278218492831 0.000382400078072042
"NE" 0.00259189081298045 0.00240151642712954
"NI" 0.00100248786636216 0.000935326680406051
"NM" 5.35870769394472e-05 5.06692393242636e-05
"NN" 0.000574160730801448 0.000539209024981489
"NQ" 0.00113859471626998 0.00108347556915293
"NS" 0.000835363137974473 0.000688016035179915
"NU" 0.0125624776576956 0.0110425156832382
"OA" 0.00335714131053554 0.00251869242465751
"OE" 0.000148028571251441 0.000144646463816462
"OI" 8.91047209522029e-05 7.85604514557707e-05
"OM" 0.000140815795643161 0.000138537002754717
"OO" 1.64820587511508e-05 1.52806110309231e-05
"OP" 0.000175970075819272 0.000163298614543652
"OR" 5.89462558086464e-06 5.80350788221966e-06
"OT" 0.00108046051828571 0.0010337994921493
"OU" 0.000490991964992655 0.000452368140840198
"OX" 1.72572434579015e-06 1.7043917583365e-06
"OY" 0.000524190758352621 0.000510794014105933
"OZ" 2.59473236518794e-05 2.47270869412612e-05
"PA" 3.71390857057637e-05 3.65829335548964e-05
"PC" 0.00957368103552318 0.00876452475833326
"PD" 1.28791127836786e-06 1.28331876892685e-06
"PE" 0.0349371195989319 0.0268268726021033
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000585759761729268 0.000554453496172113
"PJ" 0.000193484787165458 0.000178690503121824
"PK" 0.000232616695516078 0.00020739727776739
"PM" 0.00727493998808284 0.0060775905483942
"PN" 0.0573892067296765 0.0446257883324074
"PO" 0.0110293889850903 0.00772104297822026
"PQ" 0.0125782272640412 0.011062176108569
"PS" 0.00200101387899513 0.00182054317533523
"PT" 0.00552913041802274 0.00451572145955048
"PU" 0.0222336761835219 0.0178222797380927
"PW" 0.000269574319873998 0.000239170825685934
"PY" 0.0056396583118349 0.00514855658019846
"PZ" 0.0010479447316558 0.000935887682876101
"QA" 0.00124918537841901 0.00106951344082175
"QC" 1.32185136454562e-05 1.30894599104553e-05
"QD" 0 0
"QE" 0.000452991400846872 0.000392319904987774
"QF" 0.000586045371420415 0.000494487135626458
"QG" 0.000348225650107252 0.000300280782504842
"QH" 0.00158247012945644 0.00142428711208464
"QJ" 0.000313374135772801 0.000277247742993779
"QK" 0 0
"QQ" 0.00404848954218592 0.00385575132517382
"QU" 0.00140115625329869 0.00128561933436829
"RA" 0.000222507807882488 0.000182467881371998
"RB" 0.00314246148034174 0.0025492212900037
"RE" 0.000195744115295791 0.00018502823092312
"RO" 0.00187956906066736 0.00148908688499135
"RP" 0.000748188176091804 0.000707308216434954
"RQ" 3.47676925127462e-05 3.18380893934947e-05
"RT" 0.00227515462515672 0.00210354844041603
"RU" 0.00673736624232418 0.00612966606990205
"RX" 0.00106718593074761 0.000978912302230308
"RY" 0.0013920326197228 0.00121663557405567
"RZ" 0.00152946006912149 0.00146006645651252
"SA" 0.000349324133409151 0.000321402603048578
"SD" 0.000411099765594587 0.000390237742142673
"SI" 0.00136513631220601 0.00129929850959015
"SR" 0.00158571396534113 0.00136244022319369
"SU" 0.000869429189728801 0.000842994537321873
"SY" 0.0055716981358094 0.00474080599132932
"TA" 2.48638111070849e-05 2.41345448704151e-05
"TC" 0.00154537010839304 0.00148739413494669
"TD" 0.000479111944062678 0.000457187650731884
"TE" 6.64720010431575e-05 6.42587626636756e-05
"TI" 0.000182133297844324 0.000168016556421336
"TM" 0.000381464269282539 0.000342250168317261
"TQ" 0.000619158233894219 0.000579938421060662
"TU" 0.00634211012933578 0.00546485096619619
"UA" 9.56957393204125e-05 9.31760486122371e-05
"UB" 0.00534380619397344 0.00440786439765007
"UE" 0.00399801580450912 0.00292762079230515
"UF" 0.00937253158665929 0.00787912910721678
"UH" 0.00634700730423282 0.00546195285329784
"UI" 0.0163816526007345 0.0139337925151845
"UK" 0.00440468348553692 0.00374908459737665
"UM" 0.0017681256729801 0.00154209963235802
"UN" 0.000993510794932896 0.00091502776567049
"UP" 0.00173171232431862 0.00162020886072652
"UQ" 0.00122238028848657 0.00114448997972935
"UR" 0.0207760690731455 0.0167447319718667
"UT" 0 0
"UU" 0.000701189375604114 0.000688180051261587
"UY" 0.00152626793012008 0.00139301706929361
"VE" 0.00074320320183526 0.000698987580556717
"VI" 0.000864187679701751 0.000798278924160654
"VJ" 0.00185225716482666 0.00171749769220416
"VM" 0.000266758997679661 0.000256525600276359
"VP" 7.77342558233846e-06 7.59368494276169e-06
"VS" 0.000437384622663541 0.000407088554143085
"VX" 0.00248360106982873 0.00232163259547326
"VY" 0.0128647134320338 0.0116909404237533
"WC" 0.00105116353005268 0.000987130260070732
"WE" 0.000623965912720149 0.000581661056537243
"WF" 8.75699981912055e-05 8.22372333415537e-05
"WH" 0.000302126716790317 0.000292017588791731
"WM" 0.000210533036443333 0.00019586208197106
"WQ" 0.000747881024850665 0.000727283496356711
"WU" 0.000931883954413562 0.000851152947137047
"WV" 0.000116610255098475 0.000109272645846869
"WY" 7.22335869515157e-05 6.98629919060923e-05
"XA" 0.000871052074832341 0.000841753175983147
"XE" 0.0012031143901485 0.00114675742502361
"XQ" 0.00117462394642994 0.00100338968299906
"XW" 0.00146310272540986 0.00139947194020682
"XY" 0.0275022740074752 0.0238446420634719
"YA" 0.0023738406399282 0.0022492027578936
"YE" 0.0103759269034496 0.00795983855597245
"YG" 2.23581669977991e-05 2.21504006808066e-05
"YI" 1.11314276631449e-05 1.08722926079937e-05
"YO" 0.00111956744619257 0.000966454914594365
"YP" 0.000123750073095545 0.000115581468784011
"YQ" 0.00099191969033945 0.000902905951994614
"YR" 0.00191605423595519 0.00147903927613296
"YU" 9.51275727000204e-05 8.86550121052671e-05
"YY" 0.000210828100175011 0.000200931019024954
"ZA" 0.000644290199527634 0.000619899429658315
"ZC" 0.00054038770752483 0.000518664050958466
"ZD" 0.00139597318541895 0.0012834075300889
"ZE" 0.00064673289468873 0.000603856996550181
"ZK" 6.43215141818803e-05 6.06587810043871e-05
"ZM" 0.000259110890904938 0.000240723653094088
"ZQ" 0.000516471873268159 0.000455533034069235
"ZR" 0.00600641698828276 0.00542667612539919
