"Q" "C"
"AA" 0.00260995890873008 0.00213086846149859
"AC" 0.009086410572106 0.00517711213804383
"AD" 9.59520459111104e-05 9.4735611454882e-05
"AE" 0.000184068384020415 0.000176161843374524
"AF" 4.05021367476086e-05 3.91051269338308e-05
"AH" 0.000157507633488364 0.000151657637762307
"AI" 0.000784858509630683 0.000652137499972027
"AM" 0.000179982074804581 0.000176380518539641
"AQ" 1.17769372546758e-05 1.16023747719135e-05
"AY" 5.52308606720769e-05 5.19560907023642e-05
"AZ" 2.83264525804883e-06 2.75383814355961e-06
"BA" 0.00010428778151119 0.00010190032870207
"BD" 3.44060414011197e-05 3.37445122969345e-05
"BF" 0.000145433123000832 0.000142034283563296
"BI" 3.26461032893462e-05 3.21686084086223e-05
"BK" 3.53010671993093e-05 3.28621140550011e-05
"BM" 2.39936907139201e-05 2.3538859335958e-05
"BP" 0.000155041825115538 0.00014247090384549
"BQ" 1.85894845970909e-05 1.74081602488759e-05
"BU" 0.00225796997115482 0.00221780602697999
"BV" 0.000108935084122347 0.000102729315647998
"CN" 0.0003968240626196 0.000374653781431481
"CO" 0.00164871859600026 0.00152532179435476
"CQ" 0.00308050314068939 0.00290062641374089
"CT" 1.81774027254471e-07 1.72197023560996e-07
"CU" 0.00194675356483194 0.00179433552393028
"DA" 0.000916391736494905 0.000854919065594056
"DB" 0.00179451373596918 0.00168601909851999
"DE" 0.00030506147578827 0.000298060943669897
"DI" 0.0036057224522346 0.0033657774613681
"DK" 0.000731860815308493 0.000713200514465102
"DM" 0.000732694273684319 0.000710665487159692
"DQ" 0.000351046245633919 0.000344017261259827
"DR" 0.000589094076126304 0.000558676571792252
"DS" 6.32361800721632e-05 6.15366347080566e-05
"DT" 0.000515442124176461 0.000467228300879651
"DW" 6.43876747997565e-05 6.10908484495095e-05
"DX" 7.72169909346426e-05 7.30533534219367e-05
"DY" 0.000946341314505496 0.000893951612748283
"EA" 0.000429067689054471 0.000408863699411813
"EC" 0.000128059528338295 0.00012436445644872
"EE" 7.18133252188792e-05 6.9954232977547e-05
"EI" 0.00050242561615087 0.000470828802783705
"EN" 5.88601612062095e-06 5.72293331444856e-06
"EO" 0 0
"EP" 0.0893025963063487 0.0394512309760308
"EQ" 0.000217939473865955 0.000212602527396499
"ER" 0.0062766277837986 0.00265027181208759
"ES" 0.0374025368517075 0.0151674615354623
"ET" 0.0675010141890796 0.026045176129471
"EU" 0.000784438646788221 0.000748132845331916
"EV" 0.0205064955277376 0.0103863605162463
"EW" 0.225937793685939 0.0888117647793167
"EX" 0.159829797268104 0.058974674977311
"FA" 0.000578446781789583 0.00054507499860975
"FE" 5.83815730699094e-05 5.75338527515744e-05
"FF" 0.000117322684514545 0.000115023562153373
"FI" 0.000111442404441657 0.000105778805094519
"FS" 1.30111935297937e-06 1.22820997053326e-06
"FU" 3.34060656271479e-05 3.26532723834383e-05
"FY" 0.000249648004154069 0.000246993031245758
"GA" 8.0127207083773e-05 7.88595511212584e-05
"GC" 0.000942880963938423 0.000917665450605921
"GM" 5.88316607268146e-05 5.71697689400825e-05
"GU" 0.000850006431624275 0.000829844472669714
"GY" 0.00392805311763088 0.00378426955536414
"HA" 0.00201463350531031 0.0019433628567791
"HB" 0.0004087259038952 0.000382739301072227
"HE" 4.5857538541995e-05 4.48049575813005e-05
"HF" 7.46360627529316e-05 7.03119810371251e-05
"HI" 0.000440561852739683 0.000429705407234507
"HL" 0.000593717398553148 0.000567718744368857
"HQ" 0.000272989725009207 0.0002544230795272
"HT" 0.000189466885567215 0.000182554104959553
"HY" 0.000115679606424052 0.000110582812590748
"IA" 0.00020753076406162 0.000199949128236336
"ID" 0.00141043350545028 0.00129278057040797
"IF" 0.00413498150872591 0.00275601826505845
"IG" 0.00369964422029365 0.00321510654207366
"IH" 0.000385590887566802 0.000368479745417481
"II" 0.00165341873515226 0.0015581024130935
"IJ" 0.00398992331685473 0.00300575688880651
"IK" 0.00315434909424763 0.00241226366190144
"IL" 6.22159672070458e-05 4.78886459761498e-05
"IM" 0.00218205973455764 0.00199157160446007
"IO" 0.000126269993362439 0.000113231137094871
"IP" 2.21594461100811e-05 2.10967162490789e-05
"IQ" 0.100009306066594 0.0528977238889624
"IU" 0.00364695566482347 0.00312159459485224
"IX" 0.000246858615212912 0.000238492587534422
"IY" 0.000111756413912915 0.000109457371339173
"JA" 0.0011623252133056 0.00111258523531827
"JB" 0.000566542315348089 0.000539177782983019
"JI" 0.00186847475988267 0.00162971946390021
"JM" 0 0
"JO" 1.91630699838161e-05 1.88093427681552e-05
"JS" 8.13304590439337e-05 7.89293201801549e-05
"JU" 9.81915086156259e-05 9.66725880569601e-05
"JW" 1.25960744981288e-05 1.25029884281527e-05
"JY" 0.000234576096098215 0.000228028481754653
"KA" 0.000152186334704621 0.000149620234980684
"KI" 0.000214086036037642 0.000210381287334682
"KM" 0.00131342289387347 0.00124709054821617
"KU" 0.000636098506811933 0.000613100693300226
"KV" 0.000393530750181789 0.000380255303788236
"KY" 6.44031829482781e-05 6.34848199376012e-05
"LE" 0.000996574820708467 0.000967493777008279
"LI" 0.000116284125597239 0.000110200805336407
"LJ" 7.25231484167441e-05 7.0246638653894e-05
"LQ" 0.000127252313619659 0.000123260860001122
"MA" 0.000173187849589887 0.000168194760027762
"MC" 0.00120881007834828 0.00100801472973375
"ML" 0 0
"MM" 4.0946434731508e-05 4.0554084875487e-05
"MQ" 0.000197540785968761 0.000185070938295112
"MR" 1.60190589742133e-05 1.54724546424352e-05
"MU" 7.77960504700184e-05 7.63596836241488e-05
"MW" 4.72985708768161e-05 4.47681207603154e-05
"MY" 0.000220869771433964 0.000214950637737459
"NE" 0.000599750564065612 0.000580025021574318
"NI" 0.00026340890717561 0.000257002674794931
"NM" 2.40934259870751e-05 2.30615931942063e-05
"NN" 0.000167644063992424 0.000163953884493428
"NQ" 0.00100051734581855 0.000959079826176045
"NS" 0.000303792930533459 0.000272689745781996
"NU" 0.00555996457706351 0.00457167267895695
"OA" 0.00231532246584331 0.00166202193447044
"OE" 0.000108413929153265 0.000106733908965312
"OI" 1.30473357340431e-05 1.24191073010162e-05
"OM" 0.000182571004924035 0.000180503477303169
"OO" 1.20540984017246e-05 1.16338323205254e-05
"OP" 0.000121625141909543 0.00011771432265324
"OR" 1.97087898875247e-05 1.9470837729904e-05
"OT" 0.000429074720497727 0.000412358080087602
"OU" 6.39221471092605e-05 6.18214128525651e-05
"OX" 1.01975229289758e-05 1.00919173982468e-05
"OY" 0.000267782694106045 0.000260502703349679
"OZ" 4.74528366623937e-05 4.61238568500663e-05
"PA" 1.24679267345703e-05 1.22552135182444e-05
"PC" 0.00617537499563829 0.00564608281174079
"PD" 0 0
"PE" 0.0174827283257994 0.0120050081033523
"PF" 0 0
"PG" 1.00945176468649e-05 1.00775960950218e-05
"PH" 0 0
"PI" 0.000183511819656144 0.000179708466941272
"PJ" 3.65269027945181e-05 3.54051290876774e-05
"PK" 7.89581490328743e-05 7.40124044101093e-05
"PM" 0.0020280324061268 0.00184220532733812
"PN" 0.0554352024651341 0.0393505935174586
"PO" 0.00458313570726162 0.00321653256663127
"PQ" 0.0168468816746682 0.0142781087499843
"PS" 0.000922878889708384 0.000853066778338857
"PT" 0.00110781871136425 0.000893354682624439
"PU" 0.003920759461199 0.00333527921225766
"PW" 6.5371893189725e-05 6.24191796782538e-05
"PY" 0.00103102570700927 0.000993624491285343
"PZ" 0.000310076228853483 0.000291657221277092
"QA" 0.000209868926743529 0.000197723674065549
"QC" 1.07419794201332e-05 1.06699000437364e-05
"QD" 0 0
"QE" 3.22455947745001e-05 3.03457333373065e-05
"QF" 0.000185347528479569 0.000165923908826256
"QG" 6.63089696572111e-05 6.04519406307926e-05
"QH" 0.000266108942962195 0.00025197285103576
"QJ" 0.000253059551901059 0.000239410211345271
"QK" 0 0
"QQ" 0.000658005344164808 0.000643641778647163
"QU" 0.000248118276594308 0.000240849263370672
"RA" 0.000200566130404432 0.000179703463970504
"RB" 0.00276174530595374 0.00191314446451408
"RE" 9.28865118975788e-06 9.07410864741137e-06
"RO" 0.00162224488682698 0.00144622678721582
"RP" 0.000252837978331922 0.000237378459445016
"RQ" 9.20180520190408e-07 8.92150977359611e-07
"RT" 0.000616686199820132 0.000589701310515064
"RU" 0.00423524848117455 0.00398299928662685
"RX" 0.000453576846641521 0.000424135144468388
"RY" 0.000556213333231894 0.000500226793118962
"RZ" 0.000137662295728044 0.000134708190094191
"SA" 0.000102145566885256 9.90119713993534e-05
"SD" 8.87524576020883e-05 8.69472920256174e-05
"SI" 0.000307453595501289 0.000300189479710862
"SR" 0.000691906785804892 0.000561574724027055
"SU" 0.000945949138129705 0.000928830966596802
"SY" 0.00472893085548894 0.00396701389362429
"TA" 5.35627466976507e-06 5.28475668116258e-06
"TC" 0.000237555907390476 0.000233434492743556
"TD" 0.000121615094791422 0.000118643279783785
"TE" 1.83230693710627e-05 1.80957677938933e-05
"TI" 1.99072597454752e-05 1.93325403314042e-05
"TM" 9.64600542724515e-05 9.24458985770462e-05
"TQ" 0.000148868551289176 0.000144715236857093
"TU" 0.000364668901195522 0.000343953780480672
"UA" 0.000280551594519741 0.000271619402428591
"UB" 0.00196471005853909 0.00167588552356985
"UE" 0.00500845764878139 0.00283529392256335
"UF" 0.00144325089447196 0.00128763195526259
"UH" 0.000615388735187532 0.000571821744163889
"UI" 0.00561549324154981 0.00503249995241329
"UK" 0.000899016607271065 0.000813859483418546
"UM" 0.000381739225580224 0.000358061651646208
"UN" 0.00010351523851343 9.80722718903779e-05
"UP" 0.000246254402241732 0.00023615475178056
"UQ" 0.000420844793425437 0.000399932055132537
"UR" 0.00608087076814832 0.0050644384986874
"UT" 2.55453099634949e-05 2.5530245275663e-05
"UU" 0.0003428588932796 0.000337989770514399
"UY" 0.000152761658972612 0.000147484612081775
"VE" 0.000313558459783443 0.000302426234639114
"VI" 0.00134033663235807 0.0012649497825422
"VJ" 0.00184623576204636 0.0017433481039165
"VM" 8.37356604336447e-05 8.10776131586246e-05
"VP" 3.01092363093302e-06 2.96921012157692e-06
"VS" 0.000190504589129414 0.000178180584725156
"VX" 0.00235758158688287 0.00222319607880822
"VY" 0.00426530742125818 0.00397625955307884
"WC" 0.000560477846961166 0.000539358972413531
"WE" 0.000115729883916749 0.00011268101890569
"WF" 3.09303972995847e-05 3.02252545491266e-05
"WH" 5.82283153203916e-05 5.74552032150508e-05
"WM" 0.00015558828414375 0.000148536623230733
"WQ" 0.000783285477229445 0.000765731735207643
"WU" 0.000467679760727817 0.000435296899074131
"WV" 4.74730108161817e-05 4.60245880751916e-05
"WY" 1.8251680756934e-05 1.78980772198132e-05
"XA" 0.000576019130555671 0.000562415610867258
"XE" 0.000145925820085398 0.000143437041584744
"XQ" 0.000218986309882133 0.000202702601612971
"XW" 0.000320446346204502 0.000313215475166269
"XY" 0.00775881199865028 0.00681413006300013
"YA" 0.00066612792022919 0.000650640193247153
"YE" 0.0190985989560472 0.0106976735763219
"YG" 5.15026410554333e-06 5.11214927932933e-06
"YI" 1.14483013546077e-05 1.12688472416541e-05
"YO" 6.40439856843166e-05 6.07125980901328e-05
"YP" 5.58744339274385e-05 5.4445484691143e-05
"YQ" 0.00036267091495931 0.000333912584256133
"YR" 0.00117096160056075 0.000739477957345054
"YU" 1.1923995587141e-05 1.1609983185546e-05
"YY" 7.01698577395751e-05 6.79700014306634e-05
"ZA" 0.000138632379221649 0.000136633675753172
"ZC" 6.58582096451524e-05 6.48361240636071e-05
"ZD" 0.000219806630479408 0.00021288948503383
"ZE" 0.000129579171570437 0.000126437110608002
"ZK" 1.01483365442641e-05 9.84154612323365e-06
"ZM" 0.000107116833960743 0.000103462346007857
"ZQ" 5.34815012522684e-05 5.00988042608395e-05
"ZR" 0.00101339547851332 0.000970572863265284
