"Q" "C"
"AA" 0.00299684336383304 0.00244330927279346
"AC" 0.0126606787146624 0.00726909838619333
"AD" 6.90899347131766e-05 6.80332293234259e-05
"AE" 0.000111486341265525 0.000106325643613257
"AF" 1.40538295779604e-05 1.35677304011389e-05
"AH" 0.000191118210380587 0.00018310071594147
"AI" 0.000854153076513146 0.000712505989714648
"AM" 0.000131739902520455 0.000128742199911538
"AQ" 6.3189393349013e-06 6.20042555846655e-06
"AY" 9.25300021184259e-05 8.57359005699079e-05
"AZ" 7.14827560582107e-06 6.89688487163874e-06
"BA" 0.000145777477331858 0.000141566352441918
"BD" 3.85196442992619e-05 3.77000054337737e-05
"BF" 0.000184239116167012 0.000179309573634251
"BI" 3.48880556781474e-05 3.43524286412384e-05
"BK" 2.88946494154082e-05 2.6963048392485e-05
"BM" 3.84922865410336e-05 3.7749168574423e-05
"BP" 0.000144054228840989 0.000132777535007265
"BQ" 6.37177156789271e-05 5.9492342560454e-05
"BU" 0.00096946387754747 0.00095188918243531
"BV" 0.000170850942725024 0.000159003061230471
"CN" 0.000556219995924082 0.000517919118902935
"CO" 0.00255518856268276 0.00233257822728799
"CQ" 0.00516970329835873 0.00479796164067899
"CT" 2.50184098884472e-06 2.33776943025012e-06
"CU" 0.00275321617688934 0.00249442119451613
"DA" 0.00109968026589914 0.00101087268172945
"DB" 0.0026755977154832 0.00248405254183388
"DE" 0.000444043482271144 0.000431778611374971
"DI" 0.00307945815845413 0.00288414132834565
"DK" 0.000704714899319756 0.000686957488050348
"DM" 0.00150308212198991 0.0014448805157165
"DQ" 0.00100732425193382 0.000981230256241488
"DR" 0.0009521767867664 0.000890715146786552
"DS" 0.000202888543354669 0.00019600968539019
"DT" 0.000393940377568159 0.000358021654053531
"DW" 0.000137069239775645 0.00012895243609064
"DX" 0.000147623481049113 0.000137918589729763
"DY" 0.00204622130112266 0.00191600762327117
"EA" 0.000579751266001076 0.000549033422945169
"EC" 0.000169615937380882 0.000163845501211582
"EE" 0.000217325414018592 0.00021053237751367
"EI" 0.00117980163433772 0.00109597567797621
"EN" 5.55722519299132e-06 5.39883638982835e-06
"EO" 1.55602305403757e-06 1.55319053086357e-06
"EP" 0.114956280952809 0.0519098664098225
"EQ" 0.000195346489497621 0.00018962415695057
"ER" 0.00766551043184488 0.00334518245210604
"ES" 0.037156908281318 0.0159995026131845
"ET" 0.073505061116406 0.0303811440137011
"EU" 0.000796919948433407 0.000760434006799345
"EV" 0.0199082496691946 0.0103453998163294
"EW" 0.0830172286149162 0.0384643214278369
"EX" 0.214774481411479 0.0868541446198149
"FA" 0.000340208957514599 0.000321407692522354
"FE" 5.77446824288586e-05 5.68198961797594e-05
"FF" 0.000107473795026884 0.000104851148390508
"FI" 0.000199530864360137 0.000188071051080199
"FS" 1.38313160358895e-06 1.29343244340925e-06
"FU" 2.69997048537951e-05 2.63435443696699e-05
