"Q" "C"
"AA" 0.00450252819049205 0.0039118349136976
"AC" 0.00208450936024719 0.00184060564269573
"AD" 0.000119617630205934 0.000117470020160885
"AE" 0.00138785187983421 0.00106527390626669
"AF" 1.12452732311305e-05 1.06845019818497e-05
"AH" 0.00029031823801608 0.000261475394189426
"AI" 0.000894602958189356 0.000759223865885357
"AM" 0.000312104324261139 0.000291200476314709
"AQ" 0.000565743186252969 0.000555233550659352
"AY" 1.15653618298341e-05 1.11296723890161e-05
"AZ" 3.17438824819165e-05 3.08368476561004e-05
"BA" 7.07721094091818e-05 6.99318126801699e-05
"BD" 2.38487869753825e-05 2.20987768067079e-05
"BF" 6.13987847445863e-05 5.89762073562128e-05
"BI" 0.000436415713296621 0.000413155468408291
"BK" 0.000798968059723149 0.000524985870816284
"BM" 4.802609525283e-05 4.69215254857684e-05
"BP" 0.000365344460065837 0.00032389342425882
"BQ" 8.64569935883344e-05 8.32737504774751e-05
"BU" 0.000130507094589735 0.000128423414057976
"BV" 3.91284361053557e-05 3.83308133487296e-05
"CN" 0.000119461219122803 0.000116784714411206
"CO" 0.000354065011053679 0.000317485200250768
"CQ" 0.00052941137397835 0.000499569955280376
"CT" 3.86787344318094e-06 3.68314523802328e-06
"CU" 0.000634764605626735 0.000591603658567346
"DA" 0.000505158710558114 0.000462794642571214
"DB" 0.00219349773496367 0.00194945313366651
"DE" 0.000290398810375623 0.000279392989136049
"DI" 0.00153892477287651 0.00149513962740698
"DK" 0.000283889777929271 0.000279878820216177
"DM" 0.000300433498889993 0.00029393365012165
"DQ" 0.000169326331559296 0.000166937064529425
"DR" 0.000110058039777067 0.000105861142556495
"DS" 0.00018871714873623 0.000185048339399591
"DT" 0.0136871180084346 0.00950892274790771
"DW" 0.000973833169163007 0.000746761691880492
"DX" 3.29367177722314e-05 3.04700680865898e-05
"DY" 0.00186546775431973 0.00142143369959989
"EA" 0.00243304518335146 0.00208225625871908
"EC" 0.000696484862314211 0.000600372233974391
"EE" 0.000157221529933554 0.000141987513896548
"EI" 0.00818290542318758 0.0055821111384671
"EN" 0 0
"EO" 0 0
"EP" 0.00433244226941801 0.00393749225471916
"EQ" 9.87184028370388e-05 9.74266446941154e-05
"ER" 0.000288209051301394 0.00026137575782813
"ES" 0.000311524841493217 0.000284594262431048
"ET" 0.00113515019766358 0.00103231620752014
"EU" 0.000127100208709494 0.000124798534627115
"EV" 0.0119656900863899 0.00907784148602437
"EW" 0.00234314125519596 0.00217337395689783
"EX" 0.00153247810896978 0.00141237451644339
"FA" 0.223797217689239 0.113210498311076
"FE" 1.43433640184627e-05 1.4210264556114e-05
"FF" 4.50194738136724e-05 4.43445152181889e-05
"FI" 0.00108422761543165 0.000868041119123709
"FS" 0 0
"FU" 1.31098595069354e-05 1.27679085645362e-05
"FY" 0.000271026418581447 0.000268015288906089
"GA" 0.000108439590848219 0.000106934607629949
"GC" 0.00405796921094336 0.00370304629207706
"GM" 2.90704803659905e-05 2.85017919794284e-05
"GU" 0.000970467777942013 0.000899059887735614
"GY" 0.00169691377179939 0.00164785351894339
"HA" 0.000132597579538724 0.000130759157901858
"HB" 0.000233258862700881 0.000221155576652297
"HE" 6.4464557386349e-07 6.38399986515177e-07
"HF" 7.75921894508649e-05 7.47666938167925e-05
"HI" 6.83968078086839e-05 6.77938595375007e-05
"HL" 6.92946668314964e-05 6.72743950696985e-05
"HQ" 0.00152903965571513 0.00111200395397867
"HT" 2.579259921825e-05 2.4756900589793e-05
"HY" 6.02558176991988e-06 5.85771642680995e-06
"IA" 0.000165877952640384 0.000161268224311265
"ID" 0.0424762567267318 0.0278462973449111
"IF" 0.00843580638033402 0.00496958220603404
"IG" 0.000579044323147741 0.000509533894593173
"IH" 0.0273273063533001 0.0177693301781414
"II" 0.011957110225558 0.00813435408202631
"IJ" 0.00913610885558866 0.00770166196330104
"IK" 0.00210550696066252 0.00149608156764181
"IL" 0.00017009275776467 0.000113769171600618
"IM" 0.180449255474261 0.0885146404797979
"IO" 0.000369997941057836 0.000280646325108443
"IP" 0.000393078788958618 0.000299408161336376
"IQ" 0.00577649605324743 0.00496845566560426
"IU" 0.0341237962809419 0.0220151087630373
"IX" 0.0173724625749435 0.0136518998738762
"IY" 3.71361896657789e-05 3.59404808166419e-05
"JA" 0.0229828864112696 0.0163728643465487
"JB" 0.00337217198250308 0.00287330676611961
"JI" 0.000491187545703969 0.000460018122065631
"JM" 2.76276674512924e-06 2.70049077087839e-06
