"Q" "C"
"AA" 0.000320973521922643 0.000311609692036762
"AC" 4.96837272485914e-05 4.9149750576465e-05
"AD" 0.000116223696432192 0.000114194329459811
"AE" 4.71495725891245e-06 4.64334564541987e-06
"AF" 4.68034263877169e-05 4.30721299652511e-05
"AH" 8.02665342886285e-06 7.78617288973625e-06
"AI" 0 0
"AM" 1.44395566054194e-05 1.42576421353219e-05
"AQ" 8.5660816475995e-06 8.11294051652664e-06
"AY" 0 0
"AZ" 1.73392042919746e-05 1.61609194799295e-05
"BA" 5.67539937472919e-05 5.19736936800315e-05
"BD" 8.15844035853372e-05 8.01323775362782e-05
"BF" 0.00264021604924128 0.00237940897111067
"BI" 0.000335806651991131 0.000329810488842729
"BK" 1.84518038882439e-05 1.7270804050398e-05
"BM" 0.00232862687034734 0.00205034156427904
"BP" 0.000128117737422234 0.000121962176513399
"BQ" 0.00108557782091873 0.000857450173375325
"BU" 0 0
"BV" 0.000578321307238591 0.000438176959204631
"CN" 0.0033075361714398 0.00264642400218545
"CO" 2.67243210917368e-05 2.55301037393859e-05
"CQ" 0.000225805830746102 0.000213805356628213
"CT" 0 0
"CU" 0.000726716024237728 0.000646316218421005
"DA" 5.91048773197002e-06 5.64119547514667e-06
"DB" 7.02926888370602e-05 6.7124242278632e-05
"DE" 0.000135211618018526 0.000133267103313861
"DI" 0.00205552895411658 0.00186813437784254
"DK" 0.000351743299089294 0.000334430157468574
"DM" 0.000405042769202814 0.000381277376942497
"DQ" 0.000181758371854549 0.000171217418479544
"DR" 4.20463078243044e-05 3.9799035836756e-05
"DS" 0.000157198598938438 0.000141539851109394
"DT" 0 0
"DW" 2.74141086339624e-05 2.68054013169847e-05
"DX" 3.70460927485978e-06 3.48710439927932e-06
"DY" 7.54505422313109e-05 7.4539937748133e-05
"EA" 5.9490066491778e-05 5.85360867678301e-05
"EC" 4.32204415400309e-06 4.30138550918546e-06
"EE" 7.26103417872516e-06 7.19792697468788e-06
"EI" 3.99171649366141e-05 3.96438213271669e-05
"EN" 6.84070351100069e-05 5.53588330487218e-05
"EO" 0.000142627457082102 0.000141689958855716
"EP" 0.000401219209962911 0.000388822065499312
"EQ" 0.0685427083073577 0.0395171085984162
"ER" 0.000221998780233093 0.00020469105548673
"ES" 0.000118623282065958 0.0001169626192063
"ET" 0.000724226205373536 0.000696978973462765
"EU" 0.004063910189095 0.0033400514915899
"EV" 0.000561370322639385 0.000528254653652208
"EW" 0.000179753361850356 0.000176587864518497
"EX" 0.000304720515420168 0.000297982916556232
"FA" 2.44473480087937e-05 2.41224004180781e-05
"FE" 0.303962870990162 0.15468520772022
"FF" 0.00133607345479772 0.00120348608547031
"FI" 4.32204415400309e-06 4.29371720007559e-06
"FS" 8.64408830800615e-06 7.0397690812497e-06
"FU" 0.00313626852674972 0.00248228322013475
"FY" 9.45674791425931e-05 9.25937083937902e-05
"GA" 0.000245478961713258 0.000236152187544203
"GC" 6.09929851733021e-05 6.08025074092664e-05
"GM" 0.0148730945236664 0.010141551625274
"GU" 0.000459144243690616 0.000448845838465251
"GY" 0.0086118084387172 0.00786458964494692
"HA" 0.00386740630233511 0.00340072146213088
"HB" 0.000153497550731693 0.000135765068731996
"HE" 0.000892239505509174 0.000687006399842639
"HF" 0.000914616668001254 0.000718824533279554
"HI" 0.00440315500184515 0.00339719609946863
"HL" 0.00132935063559377 0.00104514281596514
"HQ" 0 0
"HT" 0.000119081106594107 0.000115082932020329
"HY" 2.76648584416585e-05 2.6030237237577e-05
"IA" 0.000450519763658394 0.000409281640363476
"ID" 9.90141024371614e-06 9.79150166831579e-06
"IF" 0.000106937904186075 0.000104840890487675
"IG" 0.000154926739128803 0.000145355780433955
"IH" 8.93122930666749e-05 8.73484653437093e-05
"II" 0.000139586590302321 0.000138378007760412
"IJ" 0.000163505849027873 0.000154262920352543
"IK" 4.38876358769264e-05 4.30800094222112e-05
"IL" 0 0
"IM" 0.000119062197957842 0.000116710997826537
"IO" 1.48184370994391e-06 1.47134062234555e-06
"IP" 1.03729059696074e-05 1.03143882755592e-05
"IQ" 0.000394500333996414 0.000390499540031712
"IU" 4.44748092418693e-05 4.41637100747291e-05
"IX" 1.76810897209217e-05 1.76151394396017e-05
"IY" 2.88247098578513e-05 2.82564067086883e-05
"JA" 0.000848745421306557 0.000815438139957014
"JB" 0.00293414687127516 0.00261878566350796
"JI" 0.00032198212995822 0.000249873089319458
"JM" 0.0011457699922103 0.000714318594213759
"JO" 0.0267148904429241 0.0154571680957366
"JS" 0.000110302820906933 9.34422139534343e-05
"JU" 1.99478960953988e-06 1.96573956519879e-06
"JW" 1.29661324620092e-05 1.21465030294933e-05
"JY" 0.000182224530778739 0.000177120378591176
"KA" 2.45636176085842e-05 2.4251058357593e-05
"KI" 6.76637787272637e-05 6.46542564232728e-05
"KM" 0.000904742079568181 0.000847417328306538
"KU" 0.00336883359595642 0.0030772412721881
"KV" 7.39604940589577e-05 7.29964358232481e-05
"KY" 1.55593589544111e-05 1.55026860471859e-05
"LE" 2.92355415274351e-05 2.90010252469886e-05
"LI" 0.000469262824612783 0.000361657576542725
"LJ" 0.00111229000409817 0.000810412529794371
"LQ" 0.00466519642535117 0.00340927801362377
"MA" 7.70123420325568e-05 7.23634716668948e-05
"MC" 5.04785150802103e-05 4.66117529331951e-05
"ML" 1.04855607545739e-05 8.46526504572504e-06
"MM" 0.00241655121168508 0.00227878146700874
"MQ" 0.00097282427886029 0.000855327199096533
"MR" 0.000225802665119255 0.000195719791907911
"MU" 9.72459934650692e-06 9.60673240699109e-06
"MW" 0.000121410130644272 9.49716420394843e-05
"MY" 0.0249657562343851 0.0165307442634179
"NE" 0.0259762652984947 0.0193095144662582
"NI" 0.000223473977090239 0.000211873637900679
"NM" 0.000622177441167943 0.000519889538631678
"NN" 0.000535947014755225 0.000489429418267755
"NQ" 0.0305984813092869 0.022968136307344
"NS" 3.99432871815009e-05 3.95703533062095e-05
"NU" 0.000922334323162693 0.000850766179166368
"OA" 2.22419041463697e-05 2.19447423291356e-05
"OE" 0.00578066059305144 0.00519173328720493
"OI" 4.02458929596179e-05 3.46198612269587e-05
"OM" 0.0583400879647513 0.0469872205490419
"OO" 0.000207407140842782 0.00015676257439001
"OP" 0.00643676078697215 0.00577933865746517
"OR" 7.26256612499393e-05 6.71382314991747e-05
"OT" 0.00174880853324934 0.00151988597955823
"OU" 2.35747862945622e-06 2.31714523606968e-06
"OX" 0 0
"OY" 0.000451632262206087 0.000420955200493875
"OZ" 0.000345112850947611 0.000282229107869244
"PA" 0.000270604752921361 0.00025314816439548
"PC" 0.00317332586228259 0.00283314612689897
"PD" 0 0
"PE" 0.000233909652081644 0.000225682950888475
"PF" 0 0
"PG" 4.86229967325346e-06 4.82056664142603e-06
"PH" 0 0
"PI" 2.14179239783873e-05 2.10556447768226e-05
"PJ" 2.41485641620489e-05 2.39720686649192e-05
