"Q" "C"
"AA" 0.000202020202020202 0.000191508544535729
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0 0
"BF" 0.0102597402597403 0.00916205712717846
"BI" 0.00303030303030303 0.00289622271993002
"BK" 0 0
"BM" 0.00363636363636364 0.00334830129206215
"BP" 0.0253075871496924 0.0221587904925562
"BQ" 0.0188968925811031 0.0139920812434828
"BU" 0 0
"BV" 0.000593434343434343 0.000380774167704105
"CN" 0.00507715110975981 0.00337162607820284
"CO" 0.00181818181818182 0.00164656298723117
"CQ" 0.00855043105043105 0.00756544066922699
"CT" 0 0
"CU" 0.0112175787175787 0.00900669877823641
"DA" 0.00202020202020202 0.00180530683276761
"DB" 0.00181818181818182 0.00167264486626836
"DE" 0 0
"DI" 0.00321678321678322 0.00301080744325167
"DK" 0 0
"DM" 0 0
"DQ" 0.00202020202020202 0.00190881615905195
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.00151515151515152 0.00124555642527178
"EO" 0 0
"EP" 0.00467754467754468 0.00434917638484925
"EQ" 0.0081837337486651 0.00643527805331222
"ER" 0.00189393939393939 0.00161760498321106
"ES" 0 0
"ET" 0.000378787878787879 0.000356203537452908
"EU" 0.00909090909090909 0.00794883382475968
"EV" 0.00157990157990158 0.00141004419356688
"EW" 0.00363636363636364 0.00349700105398995
"EX" 0.000378787878787879 0.000360624425809641
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0.138128651160688 0.0772703194493232
"FU" 0.00181818181818182 0.00162351670266292
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0 0
"GY" 0 0
"HA" 0.129510859934201 0.09573249056621
"HB" 0.000454545454545455 0.000387552965959541
"HE" 0.00759095976487281 0.0058924215042759
"HF" 0 0
"HI" 0.0178878914119189 0.0133670134868791
"HL" 0.000454545454545455 0.000392795744255091
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0.00325126262626263 0.00282811322885457
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0 0
"JI" 0.00189393939393939 0.0015273429610809
"JM" 0.00181818181818182 0.0014068094562931
"JO" 0 0
"JS" 0 0
"JU" 0 0
"JW" 0 0
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0 0
"KU" 0 0
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0.00202020202020202 0.00148751527542414
"LJ" 0.00398989898989899 0.00316618467387344
"LQ" 0.000454545454545455 0.000389496913296136
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.0151515151515152 0.0139310560116721
"MQ" 0 0
"MR" 0 0
"MU" 0 0
"MW" 0.00473446943555639 0.00379365732855182
"MY" 0.00295834007504488 0.00225548507102362
"NE" 0.00499708624708625 0.00426465228033334
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0.0103122370785414 0.00866524591826501
"NS" 0 0
"NU" 0.00477855477855478 0.00442296621337974
"OA" 0 0
"OE" 0.00227272727272727 0.00216717929390451
"OI" 0.00242424242424243 0.0020211188883161
"OM" 0 0
"OO" 0 0
"OP" 0.000189393939393939 0.000174102159413413
"OR" 0 0
"OT" 0.000202020202020202 0.000153450999638774
"OU" 0 0
"OX" 0.00303030303030303 0.00262639899600414
"OY" 0.000202020202020202 0.000176323042630627
"OZ" 0 0
"PA" 0.0182296650717703 0.0159661801943564
"PC" 0 0
"PD" 0 0
"PE" 0 0
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0.000909090909090909 0.000894367745266733
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0.00578831796223101 0.00493131279721627
"PZ" 0.000909090909090909 0.000900847259759318
"QA" 0 0
"QC" 0.00606060606060606 0.00543638293106313
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.0136363636363636 0.0122516673160878
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0.000284090909090909 0.000266343334907841
"RE" 0.000909090909090909 0.000900774070749925
"RO" 0 0
"RP" 0.052714463475333 0.0389614027419117
"RQ" 0 0
"RT" 0.0101907467532468 0.00753478415981547
"RU" 0.0789032709775464 0.0526995544127427
"RX" 0.00488869155535822 0.00336308366052798
"RY" 0 0
"RZ" 0.00463092463092463 0.00409783906416338
"SA" 0.000932400932400932 0.000833640129784108
"SD" 0 0
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0.00146409749670619 0.00132034001540728
"TD" 0.00121212121212121 0.00108411106804776
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0.000782753986415314 0.00067910168779182
"TU" 0 0
"UA" 0.0112662337662338 0.0101634092618647
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0.000673400673400673 0.000664478437834993
"UK" 0 0
"UM" 0.0010289227680532 0.000763207788040055
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0.00606060606060606 0.00573105115148819
"UU" 0.00227272727272727 0.00214436428316781
"UY" 0 0
"VE" 0.0125151071754333 0.00934584444421829
"VI" 0.0215318216405173 0.0133435343428426
"VJ" 0.017101427155775 0.0112016192560878
"VM" 0 0
"VP" 0 0
"VS" 0.00148659211159211 0.00108092521360316
"VX" 0.0480452986023638 0.0309931025657512
"VY" 0.00425155091821758 0.00375055859414203
"WC" 0.0189811613824772 0.0138606766496654
"WE" 0 0
"WF" 0 0
"WH" 0.000263504611330698 0.000250621832855479
"WM" 0.000189393939393939 0.000147485393152066
"WQ" 0.00821956245297206 0.00684363215835598
"WU" 0.00917838009943273 0.00684888495329441
"WV" 0.00270687645687646 0.00223328705785627
"WY" 0 0
"XA" 0.0263986013986014 0.0223995758295323
"XE" 0 0
"XQ" 0 0
"XW" 0.0480167981490922 0.0388139687760194
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0.0518470418470418 0.0443947799804673
"YI" 0 0
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0 0
"ZA" 0 0
"ZC" 0 0
"ZD" 0.000284090909090909 0.000257135001229334
"ZE" 0 0
"ZK" 0.0147992747992748 0.0116923029862998
"ZM" 0 0
"ZQ" 0.000909090909090909 0.000897222261145018
"ZR" 0 0
