"Q" "C"
"AA" 0.000143907473697734 0.000136008503414841
"AC" 1.1635497364526e-05 1.15208901227728e-05
"AD" 6.09123673404292e-05 5.6867986394264e-05
"AE" 1.86158511825565e-05 1.74491127273565e-05
"AF" 0 0
"AH" 0.000154427906432584 0.000138143261200614
"AI" 1.09597140942529e-05 1.08637107169963e-05
"AM" 2.62771961471544e-05 2.48515435263403e-05
"AQ" 0.0176787444059227 0.0127275015960448
"AY" 0.000582366147076357 0.000423752818023231
"AZ" 0.000103952361611431 8.09534572181789e-05
"BA" 0.00168891457703468 0.00147347193082428
"BD" 5.90090075663069e-06 5.72900844261964e-06
"BF" 0.000279021215585365 0.000256611832702897
"BI" 3.67827279504439e-06 3.62714687941222e-06
"BK" 7.45400320969378e-07 7.32586251535815e-07
"BM" 3.22451396323648e-06 3.18751181648473e-06
"BP" 1.23394964463921e-06 1.2118114344629e-06
"BQ" 1.31151901301595e-05 1.24126981111584e-05
"BU" 5.48220053246391e-06 5.47745604230471e-06
"BV" 4.63227354635309e-05 4.10986927684813e-05
"CN" 0.000127446297895214 0.000112245268727403
"CO" 0.00170056909449288 0.00130905902319733
"CQ" 0.0273183215523754 0.0190901917220377
"CT" 0.000119092310265794 8.1002528500259e-05
"CU" 0.00226421742792093 0.00147938743175106
"DA" 0.00397835337937951 0.00285853248415165
"DB" 0.00289284035564737 0.00212492403494195
"DE" 0.000467815099430188 0.000423296884221942
"DI" 3.07140350497334e-05 3.0579160771973e-05
"DK" 1.26216945105319e-06 1.2599900890334e-06
"DM" 0.0462582419987317 0.0314775111826827
"DQ" 0.00299113267721006 0.00251560165790334
"DR" 0.0249627561335711 0.0167762009215111
"DS" 0.00506318860477463 0.00385032028977013
"DT" 1.28326433233553e-05 1.27115632359053e-05
"DW" 0.000812981366083157 0.000727522404231583
"DX" 0.00132008438510343 0.000978405551965721
"DY" 0.00125089904725857 0.00116937444155622
"EA" 0.000757260634597422 0.000706042434660485
"EC" 4.30542176453686e-05 4.18173471360968e-05
"EE" 0.000282824097476704 0.000268437966799369
"EI" 0.000646236734777642 0.000622874097215452
"EN" 0 0
"EO" 0 0
"EP" 0.000129535665353966 0.000126466789031667
"EQ" 0.000897483388133434 0.000829278521768241
"ER" 3.18969220681479e-06 3.07126371761224e-06
"ES" 3.03215446284359e-06 3.00187008782076e-06
"ET" 7.90522963247573e-05 7.60932899557522e-05
"EU" 4.75642709236196e-05 4.61250051876863e-05
"EV" 0.000207768623746325 0.000183503314492463
"EW" 4.73058181078798e-05 4.68170530861056e-05
"EX" 4.82917074916061e-05 4.74363866025606e-05
"FA" 9.33317689718988e-06 9.2436379325396e-06
"FE" 6.7071413194676e-06 6.52211497072717e-06
"FF" 0.0017295765789404 0.00140147436354457
"FI" 1.64448060696271e-05 1.57050041710995e-05
"FS" 9.69020417260192e-06 8.98980968435545e-06
"FU" 2.81569389229865e-05 2.65341877217684e-05
"FY" 0.00544032122000685 0.00498418540941383
"GA" 0.430823956055998 0.195154749278034
"GC" 9.16912450677244e-06 9.13785744904723e-06
"GM" 0.000182770372909669 0.000162710744286898
"GU" 8.71549947415124e-05 8.32854872220509e-05
"GY" 5.9167767780197e-05 5.85933592835401e-05
"HA" 0.000131227864985821 0.000128457969583285
"HB" 0.000233957643813926 0.000206337494669267
"HE" 4.92571495549827e-06 4.62805468769621e-06
"HF" 4.29875682619118e-05 3.82914949022097e-05
"HI" 8.34494189935439e-06 8.16448079317814e-06
"HL" 0.00226911766867171 0.00174811698047058
"HQ" 2.55292836651399e-05 2.48617973478589e-05
"HT" 0.000107302955178068 9.31817020189224e-05
"HY" 0.00269503434415371 0.00205758202595417
"IA" 0.00953486983289352 0.00720868280234151
"ID" 2.86006139466229e-05 2.79878777978318e-05
"IF" 2.45654920675845e-05 2.39641050476536e-05
"IG" 0.00185900868956508 0.00148435715780956
"IH" 4.73560574988394e-05 4.58798861249944e-05
"II" 9.05385047961993e-05 8.80368786754379e-05
"IJ" 3.98519500173429e-05 3.92743769799929e-05
"IK" 7.34649957096574e-06 7.2591992717284e-06
"IL" 3.82508059444813e-07 3.79000089056519e-07
"IM" 1.12000910819101e-05 1.09928070420845e-05
"IO" 0 0
"IP" 0 0
"IQ" 0.000152141231806365 0.000150537022463253
"IU" 7.64554473865463e-05 7.56605704548359e-05
"IX" 0 0
"IY" 0.000329043702589426 0.000304828217442309
"JA" 0.000752695184804191 0.000715902778670218
"JB" 1.53109593513363e-05 1.50779226523154e-05
"JI" 3.29163349619711e-05 3.04435310225446e-05
"JM" 1.80681931968306e-06 1.68256204470998e-06
"JO" 6.69271316507686e-05 6.30228763509504e-05
"JS" 8.07517014383493e-07 7.97755322338964e-07
"JU" 2.04908817259998e-05 1.9311373756473e-05
"JW" 0 0
"JY" 0.000837274325037499 0.000746030440589031
"KA" 1.08810208968909e-06 1.06554155665801e-06
"KI" 0.00603604184084732 0.00483040125232951
"KM" 0.0195646479015179 0.0140399830432961
"KU" 1.73802769167204e-05 1.71922435013424e-05
"KV" 1.97050963835181e-06 1.94643913766824e-06
"KY" 2.81212633005429e-06 2.80294181487393e-06
"LE" 1.97390867595895e-05 1.95797019065249e-05
"LI" 0.00172020407562345 0.00125350079517573
"LJ" 0.000314140436966446 0.000264690548572925
"LQ" 0.000533600855229879 0.000430262267266445
"MA" 0.0137906840047955 0.00969917730244054
"MC" 8.79372399380477e-05 6.44355548383456e-05
"ML" 3.55321012750751e-05 2.72393997793906e-05
"MM" 1.14286729449961e-05 1.1370351476532e-05
"MQ" 3.0350236360287e-05 2.77007676906726e-05
"MR" 0 0
"MU" 1.92855226250315e-06 1.79904853252598e-06
"MW" 0 0
"MY" 0.000156675724864162 0.00014710723710247
"NE" 0.00827273133305668 0.0065569280383612
"NI" 0.0362632252433917 0.0252252812143826
"NM" 0 0
"NN" 0.0119239210371924 0.00894560830606952
"NQ" 4.98068337757299e-05 4.87056214715298e-05
"NS" 7.18383143476309e-05 6.8900800316807e-05
"NU" 9.78461376198726e-05 9.48947078048819e-05
"OA" 0.000219869152758231 0.000210784145980698
"OE" 3.09261835295806e-07 3.0680113057846e-07
"OI" 0.000410567358549791 0.000285379573508024
"OM" 3.59579369522328e-05 3.53251481820596e-05
"OO" 3.99731859530055e-05 3.10141470766584e-05
"OP" 0.000323655387638214 0.000268684677716879
"OR" 0 0
"OT" 1.14632240566134e-05 1.10638077984952e-05
"OU" 6.05637760787619e-07 5.90630098821059e-07
"OX" 0 0
"OY" 4.13258707360964e-06 4.09100923658924e-06
"OZ" 1.04956237401948e-05 9.7782028296378e-06
"PA" 1.5901759013196e-06 1.577952484321e-06
"PC" 2.83325627008305e-05 2.81841703439905e-05
"PD" 0 0
"PE" 9.50649758802927e-06 9.42677042594281e-06
"PF" 5.81412250356115e-06 5.80966543114059e-06
"PG" 0 0
"PH" 0 0
"PI" 8.60344690462925e-05 8.15300356311204e-05
"PJ" 8.26707418725313e-06 7.97720756773742e-06
"PK" 1.2865187968104e-05 1.27428082949882e-05
"PM" 0.000194398877994534 0.000189610232290105
"PN" 2.30871124800772e-05 2.29332287928843e-05
"PO" 7.87885083669906e-05 7.60792622755611e-05
"PQ" 1.61328346740713e-05 1.61110952399367e-05
"PS" 1.03346061430086e-05 1.01561567808305e-05
"PT" 0.000292624610977777 0.000222564290218321
"PU" 4.58740927162883e-05 4.54162299641007e-05
"PW" 0.0021897005322236 0.00135947989138214
"PY" 0.0424230541591037 0.028186652508644
"PZ" 1.9352073805918e-05 1.92107435629088e-05
"QA" 0.0134456049046897 0.00749669416624212
"QC" 0 0
"QD" 0 0
"QE" 0.000623674749983762 0.000526558768409241
"QF" 3.62938965805328e-06 3.58345736108824e-06
"QG" 9.89248266357687e-06 9.7808258957269e-06
"QH" 9.69020417260191e-07 9.61559256165578e-07
"QJ" 8.12347316221403e-05 7.8079683598518e-05
"QK" 0 0
"QQ" 3.57572906767926e-05 3.55433674870295e-05
"QU" 0.0128998613617723 0.0102661966066598
"RA" 0.000543448187832613 0.000412617858520049
"RB" 3.02165176144071e-06 2.9526892028222e-06
"RE" 2.38528102710201e-06 2.37206895048399e-06
"RO" 0.000584402921944817 0.00037975872174624
"RP" 4.9552180428078e-06 4.76772701053493e-06
"RQ" 0.00340983506943234 0.00273535137187697
"RT" 0.00462881666266897 0.00380494074832795
"RU" 0.00460590541416367 0.00393850584545413
"RX" 0.000132404315407245 0.000117944709080893
"RY" 6.42722203932748e-05 6.13620184167721e-05
"RZ" 0.00220063871754956 0.00187296654054046
"SA" 0.00259449759508492 0.00205017051073754
"SD" 0.00409376012347843 0.00329870734773424
"SI" 6.77526470604687e-07 6.67576482766358e-07
"SR" 4.50023767715071e-06 4.4585042245251e-06
"SU" 0.00576297728126529 0.00527312692298697
"SY" 0.000685231885026255 0.000672389220300808
"TA" 3.31864773003012e-06 3.24275958314096e-06
"TC" 0.00275710169375864 0.00234653870007189
"TD" 0.00279471223634858 0.00232977989225672
"TE" 3.12912843073604e-06 3.10091471020761e-06
"TI" 0.00101328755588376 0.000800498167388951
"TM" 0.0294597149578177 0.0175924503623113
"TQ" 0.0160067902064387 0.0118630314754854
"TU" 0.0190146245820886 0.0128218491663634
"UA" 1.07668935251132e-06 1.05963667240399e-06
"UB" 0.000214752820883208 0.000210927250248059
"UE" 4.98526026898162e-05 4.80122659477826e-05
"UF" 5.65799259673011e-05 5.56844518321296e-05
"UH" 5.3165469742723e-05 5.17084293486596e-05
"UI" 9.26231054336206e-05 9.15199902754523e-05
"UK" 3.21087683197813e-05 3.16802233431211e-05
"UM" 0.00252629544133808 0.00185398030720385
"UN" 9.39793508652029e-06 9.36810318440683e-06
"UP" 5.93707701728968e-06 5.92878219433138e-06
"UQ" 1.19457056795352e-05 1.17812925187212e-05
"UR" 2.13096097705137e-05 2.09870146966424e-05
"UT" 0 0
"UU" 3.6484406975814e-05 3.63184538542292e-05
"UY" 0.00026014096803583 0.000253048609563869
"VE" 0.00241836827190879 0.00213798227191015
"VI" 0.000479442891903854 0.000423862153147554
"VJ" 0.000425911678286981 0.000381470701109138
"VM" 1.25972654243825e-05 1.24591135477989e-05
