"Q" "C"
"AA" 2.39830118778374e-05 2.26819529031153e-05
"AC" 2.72331154684096e-06 2.69103042000132e-06
"AD" 4.4655758009648e-05 4.26678812020733e-05
"AE" 0 0
"AF" 3.47891528882211e-05 3.36005925358582e-05
"AH" 3.1404674529853e-05 2.91388725616658e-05
"AI" 1.19936374680208e-05 1.18744054365354e-05
"AM" 1.10468608452479e-05 1.07126518671618e-05
"AQ" 0.000143521304626815 0.000125070285716115
"AY" 0.000122147508426968 9.07225571693235e-05
"AZ" 4.74560005306622e-05 3.99107172626766e-05
"BA" 0.00182771495042364 0.00149431985991075
"BD" 4.32043079879581e-07 4.22568292399898e-07
"BF" 0.000696860454664475 0.000616036992175323
"BI" 2.92829198585049e-06 2.88446002458208e-06
"BK" 4.16125703252438e-06 3.98159652343618e-06
"BM" 0.000237827953904334 0.000228616179042479
"BP" 1.4487239937236e-05 1.38821664333446e-05
"BQ" 9.69752183785822e-05 8.21939103338366e-05
"BU" 1.66247122287603e-05 1.66119169860451e-05
"BV" 0.00236958565264726 0.00139896092228119
"CN" 0.00639866623647524 0.00395067131831217
"CO" 0.000830891121475861 0.000710039479286129
"CQ" 0.00970487961821104 0.00796286704894314
"CT" 6.56566598498098e-06 5.27700274114695e-06
"CU" 0.00163493925720985 0.00118016315133739
"DA" 0.000603686576237652 0.000507582195822972
"DB" 0.000785880998169945 0.000671698482556023
"DE" 0.00016339480867734 0.000155432145319696
"DI" 0.0010196212255343 0.000986089259672788
"DK" 9.73332928601427e-05 9.60001452820493e-05
"DM" 0.00377219286126454 0.00319650350359078
"DQ" 0.00269535801751278 0.00232325524178171
"DR" 0.00270069089516388 0.00221771931473318
"DS" 0.00107812471247934 0.000844312837082992
"DT" 3.40598499572715e-06 3.38075008808717e-06
"DW" 6.92709849973067e-05 6.43474474774567e-05
"DX" 0.000617106336987271 0.000496909512018954
"DY" 0.000318352710025864 0.000305009111170763
"EA" 0.00122678021438097 0.00116560771253319
"EC" 1.67540134333303e-05 1.64666607546812e-05
"EE" 0.000111262314543841 0.000107566843701912
"EI" 3.61666685184562e-05 3.5409206513585e-05
"EN" 0 0
"EO" 1.58127767235927e-05 1.57289512875203e-05
"EP" 0.000135065868810376 0.000129037482278659
"EQ" 0.0784889979366854 0.0389742771056103
"ER" 2.94419392746184e-05 2.63294594961183e-05
"ES" 2.26916483439254e-05 2.23313048104838e-05
"ET" 0.000134389186051083 0.000128592827740693
"EU" 0.00244852978755298 0.00216760634998286
"EV" 0.000263396252195434 0.00023660817298532
"EW" 4.50561243490354e-05 4.43122000519786e-05
"EX" 5.59067641315721e-05 5.44649345267597e-05
"FA" 1.2724514072107e-05 1.25212524333758e-05
"FE" 0.00638272185409674 0.00495331657032673
"FF" 0.00305484490013096 0.00247719501643702
"FI" 9.38489559532204e-06 9.14974306092368e-06
"FS" 9.88298545224541e-06 7.30516630606851e-06
"FU" 0.00049356072542071 0.000419265919860092
"FY" 0.000931684737603352 0.000887725949950591
"GA" 0.000618830708557588 0.000560536225959996
"GC" 1.29489792671159e-05 1.29080445133198e-05
"GM" 0.242258885954388 0.108762153437346
"GU" 8.86505449920592e-05 8.57489039904832e-05
"GY" 0.00244167027270758 0.00235947697517386
"HA" 0.00481524233652058 0.00437491602734354
"HB" 0.000505452084640951 0.000419742927738712
"HE" 0.000118934705631633 8.84850619032112e-05
"HF" 0.000246252755021807 0.000191755591943585
"HI" 0.0015067168440257 0.00124953781816065
"HL" 0.0056041495095056 0.00369115495700318
"HQ" 6.37611964660994e-07 6.26422764261612e-07
"HT" 3.5894952821396e-05 3.3000892563872e-05
"HY" 0.000836862865064794 0.000694650716976255
"IA" 0.00462750095340796 0.00360101317172953
"ID" 2.53480797635832e-06 2.49718786482616e-06
"IF" 5.75011686337835e-06 5.61404098926746e-06
"IG" 0.000108038741121633 9.09212507789389e-05
"IH" 4.77880580656933e-05 4.61709367804864e-05
"II" 1.9912955707117e-05 1.95220406468574e-05
"IJ" 2.13702536517379e-05 2.04742820806547e-05
"IK" 3.29432848408181e-06 3.24963159909386e-06
"IL" 1.0403142581311e-06 1.02648807293523e-06
"IM" 1.74827327968265e-05 1.70730581740027e-05
"IO" 0 0
"IP" 0 0
"IQ" 9.82549194802775e-05 9.70856604546831e-05
"IU" 2.97398980912312e-05 2.94701011428411e-05
"IX" 0 0
"IY" 5.42067065328205e-05 5.15216820783345e-05
"JA" 0.000982636090653354 0.000924634281585788
"JB" 0.000301882911046508 0.000287396313026603
