"Q" "C"
"AA" 0.000444909323984871 0.0004296113928223
"AC" 7.29663718677336e-05 7.1495606176445e-05
"AD" 0.00293402069512823 0.0026688163865865
"AE" 0.00120699559039181 0.000964600195303948
"AF" 0.000551150925862279 0.000506530733305916
"AH" 0.00391181038612119 0.00286432312826252
"AI" 5.00537267720512e-05 4.88615797837608e-05
"AM" 0.00713059528794086 0.0051956186479853
"AQ" 4.27041214620462e-05 3.98979985082029e-05
"AY" 0.000679424384149803 0.000534825154593172
"AZ" 3.82970923366969e-05 3.36389619683599e-05
"BA" 2.97701199633316e-05 2.86499228596614e-05
"BD" 0.0304857296031333 0.013604231348452
"BF" 0.00166014281051962 0.00140517414855111
"BI" 0.000391939236019818 0.000357973406066144
"BK" 1.62676648634027e-05 1.4635467346355e-05
"BM" 0.000112673396843198 0.00010866919769101
"BP" 9.83869960479824e-06 9.31410582042533e-06
"BQ" 4.47217582222023e-05 4.12553027471022e-05
"BU" 0.000512766721489817 0.000507414298812603
"BV" 0.000404793112793136 0.000357609283143035
"CN" 0.0106621959861258 0.00880373084612015
"CO" 0.00226709591280056 0.00177727096932345
"CQ" 0.0238352876264276 0.0176361119869081
"CT" 1.05305825508927e-06 8.71126442572735e-07
"CU" 0.0428384570064805 0.0262997231817112
"DA" 0.00067095668340306 0.000515382319165571
"DB" 0.00884308622038986 0.00631060102239775
"DE" 0.0439779398758122 0.0314550569025254
"DI" 0.000552598775844973 0.000544736121259843
"DK" 0.000149008023941096 0.000146686217645365
"DM" 0.000292194390850401 0.000264581977376671
"DQ" 8.19940893453826e-05 7.84218478267071e-05
"DR" 0.00180155831332026 0.00139234066641239
"DS" 3.65553751899036e-05 3.44606641939859e-05
"DT" 0.000175935202766698 0.00016939889650306
"DW" 0.000887153424416178 0.00076696335950438
"DX" 0.000842039542778608 0.00069256240388839
"DY" 0.00156843344975668 0.00145302961497646
"EA" 0.00133570114845398 0.00121203852055067
"EC" 0.000147304036610979 0.000141863546487861
"EE" 0.00069907629867359 0.00066392053843561
"EI" 0.000736408697169051 0.000692762673597836
"EN" 2.01391594890242e-06 1.93941377811276e-06
"EO" 0 0
"EP" 0.000533484755435807 0.000515788495070037
"EQ" 7.90441865831841e-05 7.6605660936021e-05
"ER" 3.5450019869486e-05 3.39269654145192e-05
"ES" 2.92978680592322e-05 2.87799028051387e-05
"ET" 0.000210417371347832 0.000201417607743936
"EU" 8.97140551733806e-05 8.79849536694941e-05
"EV" 0.00127967980802217 0.00109817903674955
"EW" 0.000196722391331932 0.000193018545204531
"EX" 0.000269854845258694 0.0002627852530443
"FA" 0.000148592211044626 0.000141944645741904
"FE" 2.1510711639926e-05 2.1208057739021e-05
"FF" 1.59940248654178e-05 1.55684818215091e-05
"FI" 2.80817956162674e-05 2.66120621543986e-05
"FS" 6.41889797997683e-07 6.00460931033978e-07
"FU" 0.000188813028146002 0.000180621749471904
"FY" 8.20619172151809e-05 8.01118304892005e-05
"GA" 7.24433542622417e-05 6.83519579359833e-05
"GC" 0.00338085987913776 0.00312539037777729
"GM" 1.83812187472116e-05 1.74352758050495e-05
"GU" 0.291986994623738 0.124445166290762
"GY" 0.00621876601495886 0.00598065754738504
"HA" 0.000178691813141805 0.000176365062703975
"HB" 3.42977105594299e-05 3.3008928548478e-05
"HE" 3.56161942507187e-06 3.44395671946293e-06
"HF" 6.85733301264205e-05 6.47368492443268e-05
"HI" 3.25582939710075e-05 3.20681145844002e-05
"HL" 6.65493334262222e-05 6.35955660977497e-05
"HQ" 9.51520797298912e-05 9.01366850613262e-05
"HT" 0.0368452504446469 0.0188494317420376
"HY" 0.000856921283366296 0.000685495686932702
"IA" 0.00168875682193879 0.00146033854716417
"ID" 0.001551335813181 0.00140205471884274
"IF" 9.83377687877225e-05 9.29700456957462e-05
"IG" 9.40407166317943e-05 8.50207514363174e-05
"IH" 0.00538125453456105 0.00415508049865426
"II" 0.000919199683169808 0.000840276378359836
"IJ" 6.65562269840319e-05 6.49023081722839e-05
"IK" 2.38321736582741e-05 2.32655083464612e-05
"IL" 6.58545557820344e-06 5.92490199557526e-06
"IM" 0.00132689329144386 0.00111081838455915
"IO" 0.000145505175663743 0.000128161140294253
"IP" 3.39193063262622e-05 3.07905079858428e-05
"IQ" 0.000315396547204917 0.000309598450465556
"IU" 0.000156209085540336 0.000151762008672686
"IX" 9.54786212183793e-05 8.87905650009283e-05
"IY" 0.0172898975871093 0.0122102813149649
"JA" 0.06391956018702 0.0411547005241679
"JB" 0.00612654096537884 0.00457628512671859
"JI" 2.11967122056849e-05 2.03673787133997e-05
"JM" 6.9890072418984e-06 6.78315696897721e-06
"JO" 1.52215891836877e-05 1.49119880835289e-05
"JS" 3.96467316099778e-06 3.91808542209299e-06
"JU" 0.0165313355669097 0.0116551073838789
"JW" 1.47569057395065e-06 1.44867688220088e-06
"JY" 0.0016706461422829 0.00146086975241297
"KA" 0.0230019332975304 0.0146789588706252
"KI" 0.000140908843652353 0.000133807119284373
"KM" 0.0356658685093554 0.0243815745856962
"KU" 0.00307465393065388 0.00266021889142727
"KV" 0.0101381495237834 0.00717685864599715
"KY" 0.00155410505538132 0.00139945266042197
"LE" 0.015219451816378 0.0124448485952924
"LI" 0.000420893904303254 0.000365707155751569
"LJ" 4.56987824909866e-05 4.33386333936819e-05
"LQ" 4.18002772561695e-05 4.00470214856259e-05
"MA" 9.62715324986025e-05 8.66043120914333e-05
"MC" 0.00159632654827943 0.00112654324393882
"ML" 0 0
"MM" 9.43985649936658e-05 9.28089113178971e-05
"MQ" 0.000283474733925461 0.000253045913197744
"MR" 2.64719212220411e-05 2.55843454026622e-05
"MU" 0.00110373459202705 0.000862006833535496
"MW" 8.58991907209927e-05 8.20383557994505e-05
"MY" 0.000142215446414064 0.000137183941424861
"NE" 0.00159531421399361 0.00145423178614764
"NI" 0.00144214572404685 0.00127390400920597
"NM" 1.49700857601658e-05 1.46408311431622e-05
"NN" 0.000967785934515315 0.000858503529919313
"NQ" 7.33330576666684e-05 7.22672014197279e-05
"NS" 2.93535852012327e-05 2.7861541262953e-05
"NU" 0.000266079195866744 0.000258950043391177
"OA" 9.39317570457477e-05 8.84924853855335e-05
"OE" 0.000406385696572601 0.000389495334743676
"OI" 8.55579909173542e-05 7.21115800654801e-05
"OM" 0.000189715999529111 0.000186547278471247
"OO" 2.81266437849528e-06 2.58317939576961e-06
"OP" 0.000166913486607775 0.000149530581418706
"OR" 5.2061838669543e-06 5.10652455952077e-06
"OT" 2.94979770763645e-05 2.86222522188289e-05
"OU" 0.00543519935263286 0.00325342381779021
