"Q" "C"
"AA" 0.000601891375329654 0.000550780959979948
"AC" 0.00248075726021654 0.00230261906375562
"AD" 9.37964567064318e-05 9.0176361440107e-05
"AE" 0.00013088127539341 0.000122996122081628
"AF" 3.48583712635966e-05 3.33947293050169e-05
"AH" 0.000288834881881723 0.000265922934178119
"AI" 0.000301196818224682 0.000285467768647896
"AM" 0.000108778792685534 0.000105156780148534
"AQ" 0.000255933063062957 0.000227473405342264
"AY" 0.00444531561977222 0.00376650640631104
"AZ" 1.19120668656272e-05 1.02121277816327e-05
"BA" 0.00178606777660784 0.00155780447507298
"BD" 0.000110781569951133 0.000107994240446874
"BF" 0.000278745271378105 0.000255612227622117
"BI" 6.78945144889417e-05 6.67188807619629e-05
"BK" 0.000222876295362498 0.000209300538384356
"BM" 1.72928346302959e-05 1.66443195894746e-05
"BP" 0.000114635784432502 0.00010780991133662
"BQ" 0.000168998022499418 0.00014996926313207
"BU" 0.00633005237170296 0.00615276595203364
"BV" 0.000186755248799833 0.00016128422272582
"CN" 0.000998324330437662 0.000871479726334968
"CO" 0.00154436432832659 0.00132691590729912
"CQ" 0.0102589926065178 0.00873754423093192
"CT" 7.93469887096448e-06 6.71421731359641e-06
"CU" 0.00538526638563404 0.0043434895078664
"DA" 0.00128952219247005 0.00109575207878305
"DB" 0.00201794732584243 0.00173646994178105
"DE" 0.00112109387617319 0.00106659782301665
"DI" 0.00246096761621376 0.00235545794243456
"DK" 0.000154422948540596 0.000151584324223306
"DM" 0.00446189547909934 0.00376165470082353
"DQ" 0.00160908314193537 0.00136945810608488
"DR" 0.00218288467228203 0.0018695959964604
"DS" 0.00207655003920131 0.00165167410369933
"DT" 0.000486716019900416 0.000455415906212759
"DW" 0.000741782007338566 0.00064422664889413
"DX" 0.00147037395016034 0.00121065677224596
"DY" 0.0357552960459731 0.0309810363368542
"EA" 0.00317116205142804 0.00291340898493057
"EC" 0.00123303728810607 0.00112620175339854
"EE" 0.00302797973726111 0.00275362121064989
"EI" 0.00464254033791906 0.00409819115730578
"EN" 5.96367917534612e-06 5.53443383485692e-06
"EO" 1.83901112693682e-05 1.83301830253386e-05
"EP" 0.00351687156421285 0.00322812923176579
"EQ" 0.00265908119863475 0.00227055754937174
"ER" 0.0014299668031366 0.00126927536205204
"ES" 0.00146759147518012 0.0013532809447716
"ET" 0.00277692063157953 0.00248055070010682
"EU" 0.00169992395965022 0.00155161993807304
"EV" 0.00864462269138845 0.00702591906866999
"EW" 0.00497092655236868 0.00464797538105911
"EX" 0.0035773997043596 0.00329643591524457
"FA" 0.000734314299150982 0.000702224434241425
"FE" 0.000223084540059587 0.00020576020465464
"FF" 0.00378695987465137 0.00301025438536369
"FI" 0.000760166846174274 0.000681281316731834
"FS" 4.92205919268385e-06 4.18530452092875e-06
"FU" 0.000256278409547606 0.000227052452446726
"FY" 0.00901440920638462 0.00846183344399753
"GA" 0.000877669141992134 0.000793565717070036
"GC" 0.000400700137134877 0.000395112227180497
"GM" 0.000939860513592087 0.000784835343925941
"GU" 0.00121750423317807 0.00117698199565579
"GY" 0.00146098466121692 0.00140174845223609
"HA" 0.0946954624774186 0.0728744986487517
"HB" 0.198426297478534 0.119746851782236
"HE" 0.000603130209603166 0.000524497552425103
"HF" 0.000906984638200744 0.000728481154479984
"HI" 0.017775064407392 0.0148720102433955
"HL" 0.0859143835317765 0.0537036171945152
"HQ" 0.000520586607967517 0.000478406901731702
"HT" 0.000448200952098597 0.000418752608648277
"HY" 0.000433438873766304 0.000385551702006361
"IA" 0.00302979468450599 0.00248972638111928
"ID" 0.00185187629351214 0.00171378981961196
"IF" 0.0201336755952973 0.0173515773744178
"IG" 0.00111779134891928 0.000937032975278286
"IH" 0.00141003187642252 0.00131961840364993
"II" 0.0022777619783236 0.0020933283211391
"IJ" 0.00127686750721608 0.00117977719112058
"IK" 0.00113989567157087 0.00105277244410617
"IL" 9.29722291951394e-06 8.76022984097401e-06
"IM" 0.00107942739697276 0.00101546105070159
"IO" 4.14571622001963e-05 4.01371613459377e-05
"IP" 3.93541659632584e-05 3.75904732389322e-05
"IQ" 0.0186433197886438 0.016977790039494
"IU" 0.00158880199348162 0.00148135629067791
"IX" 7.66663305362996e-05 7.53269019620324e-05
"IY" 0.000272461456671983 0.000261112340440939
