"Q" "C"
"AA" 0.000616252323510397 0.000548491332882071
"AC" 0.00260308497278871 0.00229177070037411
"AD" 0.000674417222814197 0.000648194862859056
"AE" 0.0144690165777228 0.00963182530718641
"AF" 0.000203105731850166 0.000190426198564615
"AH" 0.0013562867786995 0.00114630964308066
"AI" 0.00283536891495557 0.0024818359395424
"AM" 0.00269977134830993 0.00244409378819399
"AQ" 7.88054146179996e-06 7.68588166405572e-06
"AY" 5.21607182405102e-06 4.87751773372267e-06
"AZ" 1.26034215768897e-06 1.20290111409167e-06
"BA" 2.75150418237939e-05 2.71595753401878e-05
"BD" 0.000193570474170064 0.000177942645438238
"BF" 3.19275039751358e-05 3.06942294547538e-05
"BI" 1.45864517823464e-05 1.39476165415122e-05
"BK" 3.23961338568191e-05 2.70448827412144e-05
"BM" 0.000109250641700164 0.000106338108145936
"BP" 8.36319100598836e-06 7.52806864814907e-06
"BQ" 1.13973297614566e-05 1.0962402423539e-05
"BU" 0.000388684018280586 0.000381766355188975
"BV" 5.86466636364599e-06 5.73455406643272e-06
"CN" 1.34982342686987e-05 1.31213367350814e-05
"CO" 0.00139852776548715 0.00113442330960407
"CQ" 0.00598571673461591 0.00525807985298072
"CT" 1.35636596660974e-06 1.23277016967099e-06
"CU" 0.00062245410155954 0.000547012762427791
"DA" 0.000781527619830234 0.000657199182055328
"DB" 0.0370968795292145 0.0292670470591739
"DE" 0.0030915306212325 0.00285660786604902
"DI" 0.000790806946313444 0.000776594471942775
"DK" 0.00056166582072497 0.000550022761639408
"DM" 0.000195453091870039 0.000187714256458685
"DQ" 3.74466299068654e-05 3.67606234760802e-05
"DR" 0.000324757862046893 0.00029673866231823
"DS" 2.72315758872647e-05 2.66072968664021e-05
"DT" 0.0338109281552356 0.021404697064049
"DW" 0.00877736830446863 0.00550803134705333
"DX" 0.000288318406704727 0.000245619706732998
"DY" 0.0256655107749906 0.0164870339435241
"EA" 0.00733440677398271 0.00570345360701009
"EC" 0.00268942826389438 0.00208493602445912
"EE" 0.00208535191863651 0.0017055617243835
"EI" 0.0638563018072956 0.0352226056740478
"EN" 1.85138787390483e-06 1.80844453212015e-06
"EO" 4.2011405256299e-07 4.19569473923451e-07
"EP" 0.00186632714946137 0.00171482307500152
"EQ" 2.74198343618443e-05 2.71793651310952e-05
"ER" 0.000123054083123431 0.000112834189535081
"ES" 0.000206474272199361 0.000186825694645552
"ET" 0.00045040179108908 0.000408167097353424
"EU" 8.61932042689008e-05 8.50508766964837e-05
"EV" 0.00237012772792852 0.00182136648307875
"EW" 0.000587418997831789 0.000552638941652313
"EX" 0.000835963607824181 0.000776492148436889
"FA" 0.00757113116565487 0.00606217966990273
"FE" 4.54502875620161e-06 4.51803669049466e-06
"FF" 9.8122223963844e-06 9.68804148022379e-06
"FI" 0.00176478658624888 0.00126924469755191
"FS" 0 0
"FU" 5.14026473019467e-05 5.01277264771514e-05
"FY" 9.21467116371097e-05 9.08462243180319e-05
"GA" 5.31577262016339e-05 5.18982922509426e-05
"GC" 0.00633537392192258 0.00590455880920126
"GM" 6.6581301298128e-06 6.53800678298836e-06
"GU" 0.00278709621001271 0.00254712482228269
"GY" 0.0100736040325034 0.00968438502413609
"HA" 0.000119653815833712 0.000118361574334701
"HB" 0.000505855685993643 0.000473738026159104
"HE" 5.29032510634875e-07 5.24870659582557e-07
"HF" 1.63784097794402e-05 1.58988156946637e-05
"HI" 5.66779121721217e-06 5.63821252885892e-06
"HL" 3.53659366004366e-05 3.45435992928117e-05
"HQ" 0.056889768133788 0.0332512552657749
"HT" 9.82255699478516e-05 9.10084225247176e-05
"HY" 4.37662803052199e-05 4.10584751769035e-05
"IA" 0.000122175288200606 0.000116231342471354
"ID" 0.192169161773567 0.0944674453395472
"IF" 0.00725405465019952 0.00455380591307069
"IG" 0.000296007247915113 0.00025220432893858
"IH" 0.0174864944616269 0.0110509400946917
"II" 0.0938219312104327 0.0494839588930345
"IJ" 0.000832084083511782 0.000748821118946296
"IK" 0.000721610694963171 0.000566877255455507
"IL" 6.46211333410172e-05 5.37514741423718e-05
"IM" 0.00886253333238444 0.00623775566624037
"IO" 0.000347071145008708 0.000308241223749808
"IP" 0.00708285361293572 0.00479951595909521
"IQ" 0.0337886253730097 0.0282736455207954
"IU" 0.022943939078954 0.0166309375824484
"IX" 0.000574147659288857 0.000522979809123374
"IY" 0.000197823179371718 0.000186790658665218
"JA" 0.0480797093276361 0.0344531784967018
"JB" 0.0114416916345007 0.00973387121449685
