"Q" "C"
"AA" 0.0102317349953112 0.00834320121357789
"AC" 0.015487276447726 0.0115437983923361
"AD" 0.000120511524246724 0.000118183076691065
"AE" 0.00122398154428526 0.00106846531578851
"AF" 3.20369019711977e-05 3.08544434083393e-05
"AH" 0.000387946125811406 0.000360153281810754
"AI" 0.00887358428864745 0.00708100200680939
"AM" 0.000489160647822133 0.000470602348936832
"AQ" 1.4431455241199e-05 1.41596630158912e-05
"AY" 0.00011365998400374 0.000106628900354926
"AZ" 2.99745815548415e-06 2.89169817445187e-06
"BA" 8.68435165672966e-05 8.51578282069975e-05
"BD" 5.15571166845093e-05 4.98235369832424e-05
"BF" 8.55542774450067e-05 8.31008638644243e-05
"BI" 4.63128550325977e-05 4.49859657390668e-05
"BK" 0.000334465365682565 0.000291587773927947
"BM" 2.76349170428168e-05 2.71522659012811e-05
"BP" 0.000180880884266822 0.00016425004783578
"BQ" 3.95501111893611e-05 3.77699648978774e-05
"BU" 0.00208838927438476 0.00201847964186443
"BV" 6.0331596775344e-05 5.80760549521142e-05
"CN" 0.000205640229498973 0.000197573882811719
"CO" 0.0013893451042915 0.00121347190376199
"CQ" 0.00310843995565066 0.0028497294148803
"CT" 4.64480921303535e-06 4.32007991451427e-06
"CU" 0.00337456333886419 0.00306842119834249
"DA" 0.0029295811858502 0.0025963662478058
"DB" 0.00376766392675265 0.00337044423024744
"DE" 0.000621359684262383 0.000599111281299545
"DI" 0.00361231101244282 0.00345428437061282
"DK" 0.000541239790531648 0.000529908501591732
"DM" 0.000909847998265286 0.000877360166511535
"DQ" 0.000510906228248639 0.000499373346750957
"DR" 0.000852529493977677 0.000797526897627477
"DS" 0.000100288953041435 9.75733365040179e-05
"DT" 0.0132069816697297 0.00948623322220132
"DW" 0.00169196760640401 0.00133478639441582
"DX" 0.000277424311451718 0.000249735143650757
"DY" 0.013992824352587 0.010613673427005
"EA" 0.00513535993822302 0.00443063762310256
"EC" 0.00102640128139928 0.000877335807592476
"EE" 0.00102019835021666 0.000906009613432495
"EI" 0.0211883056773329 0.0147853125542635
"EN" 0 0
"EO" 0 0
"EP" 0.0217469551591571 0.0169180897157609
"EQ" 6.86831669252641e-05 6.74899218485952e-05
"ER" 0.00209381306520683 0.0016018036476179
"ES" 0.00346285453199631 0.00263202336636616
"ET" 0.00736601224266009 0.00567425708200719
"EU" 0.000284536270663202 0.000277448343087647
"EV" 0.0242219007341343 0.0155930596616243
"EW" 0.0115327423481453 0.00931855430309412
"EX" 0.0125562991433357 0.00987082284024335
"FA" 0.00640455613638357 0.00521084325142991
"FE" 2.66140486922919e-05 2.6339417577066e-05
"FF" 6.02826935386399e-05 5.9092800715112e-05
"FI" 0.00231101573814656 0.00182559629404005
"FS" 0 0
"FU" 2.92342719122704e-05 2.86267395107043e-05
"FY" 0.000596546646696088 0.000587079406218521
"GA" 0.000126450474315075 0.000123916420656322
"GC" 0.00256639226300515 0.00244983855163598
"GM" 1.4057616621169e-05 1.37286007474325e-05
"GU" 0.00111414956654431 0.0010712354021112
"GY" 0.00232796425925363 0.00225458347348727
"HA" 0.00472619526066753 0.00459554298737082
"HB" 0.00561749658107944 0.00517028200542799
"HE" 4.31409988505572e-05 4.24142981826086e-05
"HF" 9.26604109494492e-05 8.85211252132369e-05
"HI" 0.00106013847977754 0.00104015704208498
"HL" 0.000264272449349147 0.000255000501400327
"HQ" 0.00426673396248057 0.00321889695991491
"HT" 8.97722223938003e-05 8.58069890541239e-05
"HY" 0.000102467274051649 9.74578475088609e-05
"IA" 0.000325875171313399 0.000312119766261408
