"Q" "C"
"AA" 0.00684360242300516 0.0058555907630692
"AC" 0.00184551880460439 0.00166364115983599
"AD" 0.000226557142381836 0.000213513828811712
"AE" 0.000139279798679389 0.000124979814502088
"AF" 0 0
"AH" 0.000143140753248118 0.000127029380812819
"AI" 0.000294329296007878 0.000275296744672238
"AM" 6.74672785066946e-05 6.37631588893099e-05
"AQ" 0.000181577990886971 0.000162234762174659
"AY" 0.00214936851622144 0.00152877503349167
"AZ" 4.03390275736144e-05 3.30528550957136e-05
"BA" 0.00298191966570114 0.00258899991340426
"BD" 1.88854564523745e-05 1.83106080523461e-05
"BF" 0.00018312688257197 0.000170511311209528
"BI" 4.35444719404551e-06 4.26467982805889e-06
"BK" 6.61138723884742e-07 6.31519882804356e-07
"BM" 2.3234441093467e-06 2.30028783186733e-06
"BP" 1.8823291733222e-06 1.77976114825126e-06
"BQ" 1.16227590542397e-05 1.08549096522256e-05
"BU" 0.000184396406749267 0.000182726539486598
"BV" 0.000299942558937491 0.000244967895205993
"CN" 0.000572695321915112 0.000464007701707293
"CO" 0.00871190414454364 0.00642988439923679
"CQ" 0.0226393267503811 0.0161207214178759
"CT" 0.000915432715636057 0.000618648854315179
"CU" 0.0057306120292295 0.00389519248326445
"DA" 0.0282918780875956 0.0197537556399219
"DB" 0.015702156586926 0.0117053383961532
"DE" 0.000527011211055847 0.000477973729859718
"DI" 4.22821206485538e-05 4.1838275083305e-05
"DK" 1.62482237616079e-05 1.61785296643511e-05
"DM" 0.0156434495147673 0.0123893872746335
"DQ" 0.0364273977862115 0.0296170000605645
"DR" 0.0207882629151867 0.0148032019399568
"DS" 0.00398366790080175 0.00322810523878958
"DT" 0.000352299814403639 0.000324979832143615
"DW" 0.000967848894176392 0.000786068465897002
"DX" 0.00115149346394742 0.000849734180685087
"DY" 0.0150533296976991 0.0123951134661954
"EA" 0.00657031292563184 0.00570905743089221
"EC" 0.000662098358064467 0.000593299115908009
"EE" 0.00254070825937585 0.00225622735036186
"EI" 0.0107331232469366 0.00896955048132351
"EN" 0 0
"EO" 0 0
"EP" 0.0157635430738211 0.0138311403482209
"EQ" 0.000273103800673585 0.000251688118426437
"ER" 0.000994711500289269 0.000846778235875627
"ES" 0.000750545634736906 0.00067038208825563
"ET" 0.00358325519926117 0.00312988272224817
"EU" 6.82058378828898e-05 6.64012169824073e-05
"EV" 0.011403863406507 0.00865235450082345
