"Q" "C"
"AA" 0.0218596176093638 0.0187164292193392
"AC" 0.00863424415110248 0.00735349881429734
"AD" 3.88409850073798e-06 3.81179585585114e-06
"AE" 0.00160311606850899 0.00133727982678256
"AF" 1.69929309407287e-05 1.62545335028126e-05
"AH" 4.40384565588481e-05 3.97550017062602e-05
"AI" 0.00366237026754626 0.00310923703348345
"AM" 0.000252104959590124 0.000230958806717752
"AQ" 2.71886895051659e-05 2.68312123655651e-05
"AY" 0.000207633282674066 0.000199256369693437
"AZ" 0 0
"BA" 0 0
"BD" 0.000287682263940395 0.000243789703735698
"BF" 2.5489396411093e-05 2.37347396028909e-05
"BI" 0.000262583694476027 0.00023626333249909
"BK" 0 0
"BM" 0 0
"BP" 6.17924761481042e-06 5.65056182224324e-06
"BQ" 0 0
"BU" 0.00653132215381395 0.00619606730107197
"BV" 0 0
"CN" 0.00013017755117831 0.000126112667379083
"CO" 0.000355035428867428 0.000328993957280969
"CQ" 0.000721806771769255 0.000687692348882573
"CT" 0 0
"CU" 0.00309247807039339 0.0028292969402436
"DA" 0.000113881344147768 0.000107345995751388
"DB" 0.000908145112588225 0.000830562638361568
"DE" 0.000390742976093659 0.000370802691044046
"DI" 5.03641654662304e-05 4.96092300493962e-05
"DK" 7.02649538559887e-05 6.96386858198982e-05
"DM" 0.000284610196860894 0.000279439485429763
"DQ" 0.000201528862405938 0.000199192199561364
"DR" 0.000247864409773056 0.000239005467805623
"DS" 0 0
"DT" 0.00161036180586429 0.00130212767096821
"DW" 0.000275632831119222 0.000247432073142738
"DX" 1.61313267692593e-05 1.53888062432657e-05
"DY" 0.000842659619838441 0.000768884315316167
"EA" 0.000904514585232162 0.00082849292067948
"EC" 0.000101431297948284 9.66476644684563e-05
"EE" 1.2095219015456e-05 1.16717094101116e-05
"EI" 0.000330938922525257 0.000292715635865939
"EN" 0 0
"EO" 0 0
"EP" 0.00633632890167968 0.00555293706147477
"EQ" 0 0
"ER" 0.000669280363142921 0.000582310581429256
"ES" 0.000785366835164833 0.000678316170772608
"ET" 0.00158587649062199 0.00138704033467175
"EU" 9.06289650172194e-06 8.95231548438998e-06
"EV" 0.0129935202039009 0.00999252474926491
"EW" 0.00315600717340409 0.00284298227773972
"EX" 0.00194221969013393 0.00173094878242637
"FA" 0.00187856123439141 0.00148008590720657
"FE" 0 0
"FF" 0 0
"FI" 9.80651877878631e-05 9.11713189548176e-05
"FS" 0 0
"FU" 0 0
"FY" 6.41955168871972e-05 6.37249850609556e-05
"GA" 2.88141002908008e-05 2.84960958018673e-05
"GC" 0.0200152518359163 0.01581011538196
"GM" 0 0
"GU" 0.00442572910899425 0.00372310519902705
"GY" 0.000563305725240969 0.000551516871379295
"HA" 0.000135943447525829 0.000134529027773876
"HB" 5.9915815761384e-05 5.77285361987158e-05
"HE" 0 0
"HF" 6.37639503871152e-05 6.23043737244017e-05
"HI" 5.17879800098397e-05 5.1474611438958e-05
"HL" 0 0
"HQ" 0.000234235793563113 0.000209000618380284
"HT" 0.000184264566844892 0.00016847514174191
"HY" 1.04571882712176e-05 1.0148321898001e-05
"IA" 6.82049600699442e-05 6.65004159924906e-05
"ID" 0.00882705459557555 0.00724702819793526
"IF" 0.00676847234221507 0.00498169476911551
"IG" 0.000386549337483029 0.00035738460407975
"IH" 0.00304474383000989 0.00223849978923984
"II" 0.00234224833798111 0.00197037954520871
"IJ" 0.00134503950608241 0.0012064089834582
"IK" 0.000666851395113955 0.000565009052979011
"IL" 0.0108678201493168 0.00667122799958853
