"Q" "C"
"AA" 0.00119312845726289 0.00109847026594437
"AC" 0.00323506811252887 0.00297477511880254
"AD" 0 0
"AE" 0.00143874345770569 0.00105739892153377
"AF" 0 0
"AH" 0.000232062839089513 0.000205003230422909
"AI" 0.000562773337070983 0.000505817809496204
"AM" 0.000210091157046808 0.000194557829127778
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 1.80786057779224e-05 1.79398328216144e-05
"BD" 8.33048843684167e-05 7.62485669332892e-05
"BF" 0.000274912741414148 0.000252438899910788
"BI" 0.000951164587721896 0.000818753399291481
"BK" 0.000119839242846077 0.000102713600290819
"BM" 0 0
"BP" 0.000122876787595247 0.00010973895095632
"BQ" 8.43668269636379e-06 8.13817800785107e-06
"BU" 0.00124552195275087 0.00119338370652319
"BV" 0 0
"CN" 1.05458533704547e-05 1.03522883117709e-05
"CO" 0.00130951780184138 0.00114585475037174
"CQ" 0.00153838693333618 0.00142251812603514
"CT" 0 0
"CU" 0.000223901710802849 0.000205325840263334
"DA" 0.000345401770570245 0.000309123532995842
"DB" 0.00679495958201281 0.0058526672585674
"DE" 0.000796420942444753 0.000756039071567111
"DI" 0.000205292612278186 0.000203361363530899
"DK" 0.000189825360668185 0.000188410078532931
"DM" 0.000217081538226869 0.000212404750026932
"DQ" 3.96268429677693e-05 3.92136670773192e-05
"DR" 9.41799191249566e-05 8.96214877569166e-05
"DS" 2.53100480890914e-05 2.49783453946517e-05
"DT" 0.00742288057659931 0.00525464064046798
"DW" 0.00976252092423723 0.006841395975146
"DX" 0.00022862277546983 0.000204582956090664
"DY" 0.0199248156498987 0.0144107120253527
"EA" 0.00703700049408369 0.00589767928576215
"EC" 0.00233296365695995 0.00191483955381895
"EE" 0.00560393884712166 0.00477084690681596
"EI" 0.0740287792420162 0.0481676156323352
"EN" 0 0
"EO" 0 0
"EP" 0.00206654764365837 0.00194870338259047
"EQ" 0 0
"ER" 0.00016136753513367 0.000152375230457237
"ES" 9.90305849835083e-05 9.35143344465915e-05
"ET" 0.000445099125982069 0.00041722222024663
"EU" 1.4061137827273e-05 1.39531694224794e-05
"EV" 0.00878689075536645 0.00704737143113742
"EW" 0.000606988142084727 0.00058049424418777
"EX" 0.000858385244965278 0.000814428320507733
"FA" 0.00192802576134421 0.00163157553260441
"FE" 0 0
"FF" 0 0
"FI" 0.000580341212392568 0.000459015448309524
"FS" 0 0
"FU" 0 0
"FY" 0.00024833405511417 0.00024612533630779
"GA" 0.000151257668341951 0.000149207764266031
"GC" 0.0897031538755191 0.059403269423928
"GM" 0 0
"GU" 0.000813104348420597 0.000741268555865447
"GY" 0.000889311022571756 0.000874026989426764
"HA" 8.2257656289547e-05 8.16442880729694e-05
"HB" 0.000156781686774094 0.000149558952209236
"HE" 0 0
"HF" 0 0
"HI" 0 0
"HL" 4.85522817918191e-05 4.79238385633269e-05
"HQ" 0.00366870707314023 0.00263681578417297
"HT" 6.82940030212314e-05 6.41703183309418e-05
"HY" 3.28093215969703e-05 3.1689124135455e-05
"IA" 2.38774038576334e-06 2.32128688726564e-06
"ID" 0.0984488211205768 0.0582785255035621
"IF" 0.00265589866292217 0.0019314546249012
"IG" 0.00028294086105727 0.000254339056545082
"IH" 0.00613322596033887 0.00410379758074362
"II" 0.114421603867062 0.0666754381758961
"IJ" 0.000739591501423949 0.000687161963219949
"IK" 0.000377106324967626 0.000323526345489941
"IL" 0.000140028672253164 0.000114785697565077
"IM" 0.00367717051787135 0.00259794332046962
"IO" 0.00105512527829762 0.000846842046765611
"IP" 0.15936744428125 0.0761712574838955
"IQ" 0.00609043926346095 0.00551552421395611
"IU" 0.00999540214069074 0.00801903763591712
"IX" 0.00755498841086141 0.00541166049834704
"IY" 6.32751202227284e-05 6.08185307230652e-05
