"Q" "C"
"AA" 0.00070479457750208 0.00068037890384426
"AC" 0.000209233622526401 0.000200415838810471
"AD" 0.000725938112328649 0.000703381161252719
"AE" 0.00138689721824738 0.00114604226048586
"AF" 0.0056444583095288 0.00369045526272806
"AH" 0.00448396077261856 0.00386177581315029
"AI" 0.000237018519415875 0.000228869340296316
"AM" 0.00273293029244021 0.00242693486221974
"AQ" 5.88241481226546e-05 5.71675703383176e-05
"AY" 2.16279984270547e-05 2.04537358504895e-05
"AZ" 9.81494910908989e-06 9.38074135041248e-06
"BA" 1.21660565705169e-05 1.19060411001985e-05
"BD" 0.00508466011922092 0.00394167718086734
"BF" 0.00597939726455579 0.00536042547525395
"BI" 0.000703921301464012 0.000661136519195564
"BK" 0.000698353018626259 0.000544593468672955
"BM" 0.00323118811428472 0.00246146128551537
"BP" 0.000176767968600424 0.000163200324274497
"BQ" 0.000996772634031868 0.000844922858600181
"BU" 0.000388107949868752 0.000384338171458488
"BV" 9.50380986337874e-05 8.98953425129207e-05
"CN" 0.000379634590461893 0.000356111246313101
"CO" 0.000113369136666825 0.000105364233409109
"CQ" 0.000958036226205216 0.000899995551413615
"CT" 0 0
"CU" 0.0056064184221658 0.0049536614772508
"DA" 0.000134667881306521 0.000126695064357138
"DB" 0.00188497869866191 0.00169364183688307
"DE" 0.00301944450707844 0.00277168147413222
"DI" 0.0169208239825194 0.0142461560081368
"DK" 0.00673285304827958 0.00527003633301194
"DM" 0.000322082084859273 0.000311723222919548
"DQ" 0.000151902366239469 0.000148445518189714
"DR" 0.00016959168053601 0.000161272923928727
"DS" 6.45070841781167e-05 6.23323961595657e-05
"DT" 0.00300297269442854 0.00274382276241807
"DW" 0.000220367796741609 0.000199954001054743
"DX" 0.000132214718172433 0.000124992672283914
"DY" 0.000587817534332678 0.000554150809150025
"EA" 0.000382293826678718 0.000357327111630295
"EC" 6.18964211450827e-05 5.99446726518432e-05
"EE" 3.60649349014754e-05 3.50706321731878e-05
"EI" 0.000473836971764909 0.000440434399481862
"EN" 0.000123744620421872 0.000100285327073297
"EO" 2.45772709398348e-06 2.44667181102552e-06
"EP" 0.00135679981624134 0.00128895682817363
"EQ" 0.000881462003503027 0.000836298868488483
"ER" 0.000240030161579347 0.0002244293042818
"ES" 0.00020044296903486 0.000192741254767085
"ET" 0.00165168458790751 0.00153858961079764
"EU" 0.00365006770289802 0.00327977493266381
"EV" 0.00177915503383868 0.00155569411420271
"EW" 0.000947695981552562 0.000910479172681599
"EX" 0.00115764254125882 0.00110638893368212
"FA" 0.00328457767207958 0.00300963489676378
"FE" 0.000937590091199118 0.000878574677702532
"FF" 5.89382703853242e-05 5.71619757412161e-05
"FI" 2.24205533510488e-05 2.15598598561533e-05
"FS" 2.23302425425902e-05 2.12293525208351e-05
"FU" 0.0031110328569194 0.0024531628677045
"FY" 5.66410076933551e-05 5.60427551657827e-05
"GA" 2.75627081459763e-05 2.7014955021598e-05
"GC" 0.00150101412828131 0.00140832505120663
"GM" 0.000181581473529808 0.000171712615665788
"GU" 0.0469313640987716 0.0363458857652007
"GY" 0.126892912962238 0.0836385515817149
"HA" 0.0044354615950072 0.00415528420958026
"HB" 0.000160021142843101 0.000151284414282372
"HE" 3.57523856867526e-05 3.44928396991114e-05
"HF" 0.00222287079717707 0.00184606879223493
"HI" 0.000304914920759884 0.000290931196673077
"HL" 0.000625600159726121 0.000571012871926456
"HQ" 0.000664983407271794 0.00061359072113506
"HT" 0.00119106685167331 0.0010276297376759
"HY" 3.87356713882457e-05 3.70728577112242e-05
"IA" 0.00025850225241114 0.000246909031544161
"ID" 0.0391614800211393 0.0327437480041142
"IF" 0.000489213088315444 0.00044349045673947
"IG" 4.66838645007728e-05 4.45449028331686e-05
"IH" 0.00907785282831847 0.00673959971574206
"II" 0.00354413024733655 0.00311013833132383
"IJ" 0.00131555661346326 0.00117257269605739
"IK" 0.000414997412059913 0.000385444547773164
"IL" 4.19860520898782e-05 3.78666874492855e-05
"IM" 0.00618845749212926 0.00490416263629052
"IO" 0.0002204271331948 0.000196174573856492
"IP" 0.000318714170597618 0.000281555924349596
"IQ" 0.00393632198649851 0.00377460147469736
