"Q" "C"
"AA" 0.00446461185440747 0.00406377970431134
"AC" 0.00163001006230972 0.001420180978309
"AD" 0.000105605391807869 0.000102642502738889
"AE" 0.000542704389810193 0.000518123657679482
"AF" 3.95525812014492e-06 3.65160502330637e-06
"AH" 0.000229041737595603 0.000216512572113056
"AI" 0.000770631261827889 0.00072533573408149
"AM" 2.91472429099419e-05 2.84464146630428e-05
"AQ" 0.000129788672958498 0.000120020889989035
"AY" 0.000148623851784485 0.000126028661258543
"AZ" 1.64295337298328e-05 1.48066249718491e-05
"BA" 0.00178683844968264 0.00158610933963903
"BD" 2.14739695730725e-05 2.08970748042796e-05
"BF" 0.000580983838771635 0.000530017447894635
"BI" 3.05119912125465e-05 2.9996608894036e-05
"BK" 0.000149459460094083 0.00013458066442911
"BM" 5.69557169300869e-05 5.33724906387715e-05
"BP" 0.00025079799979204 0.000231729942620598
"BQ" 0.000146166730017272 0.000122669480860613
"BU" 4.45259923047193e-05 4.43575468844529e-05
"BV" 0.0011094757217114 0.000852322263992529
"CN" 0.0100210316594525 0.00793342251205889
"CO" 0.000315719070446838 0.000288026243609479
"CQ" 0.000716204494639653 0.000647518481951506
"CT" 0 0
"CU" 0.00194319284592729 0.00162161991841758
"DA" 0.00350341425283648 0.00317706769716491
"DB" 0.000231368364477915 0.000211100166464923
"DE" 7.07516448793231e-05 6.87996479799434e-05
"DI" 0.0115302009717952 0.0096160074315069
"DK" 0.000629080649626682 0.000600761872385855
"DM" 0.000810446363675974 0.000733415506819955
"DQ" 0.000918035859454672 0.000836719457775126
"DR" 0.000220061146350776 0.000198654373858116
"DS" 0.00336496032837325 0.00287216726041665
"DT" 0.00018794507424221 0.000179456674297659
"DW" 4.90163514256711e-05 4.62883356676438e-05
"DX" 1.87694976246877e-05 1.69625435913858e-05
"DY" 0.000147425134076138 0.00014163088382521
"EA" 0.000294770989669893 0.000282964402276495
"EC" 1.90931096526996e-05 1.87366109122942e-05
"EE" 4.12677199068697e-05 4.03465891594531e-05
"EI" 0.000164701575830985 0.00015873818107665
"EN" 0 0
"EO" 0 0
"EP" 0.0116946316079067 0.00964120156176918
"EQ" 0.00485633652163589 0.00384170500666367
"ER" 0.0324363367164246 0.024562864907748
"ES" 0.00407410579855971 0.00347989770593939
"ET" 0.0169566798516605 0.0136426010744856
"EU" 0.00598835787654932 0.00509140058128367
