"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0.000383141762452107 0.000375588813911429
"AF" 0 0
"AH" 0.000255427841634738 0.000247415831173492
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0 0
"BF" 0.0189927756230237 0.0164176000001064
"BI" 0.000555555555555556 0.000523295675641423
"BK" 0.000766283524904214 0.000685016676262121
"BM" 0.0136108208522002 0.010712807110267
"BP" 0.00377668308702791 0.00335830255022104
"BQ" 0.0496011784366291 0.0315903170259456
"BU" 0 0
"BV" 0.000522075917513087 0.000444092191091588
"CN" 0.0022656631126758 0.00199628664351434
"CO" 0 0
"CQ" 0.000482528159479158 0.000463692066145982
"CT" 0 0
"CU" 0.000482286818783324 0.000443666693878236
"DA" 0 0
"DB" 0.000191570881226054 0.000184677472103441
"DE" 0 0
"DI" 0.0144731137847114 0.01200475270984
"DK" 5.47345374931582e-05 5.12449246849356e-05
"DM" 0.000177887246852764 0.000171076157146783
"DQ" 0.000574712643678161 0.00055500487252743
"DR" 0 0
"DS" 0.00014367816091954 0.000135366215303573
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0.00153256704980843 0.00151151977575933
"EA" 0.00028735632183908 0.000283090292819035
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.0115120612398289 0.00666516843131257
"EO" 0 0
"EP" 0.000409199198875244 0.000389694632091525
"EQ" 0.00499399957425787 0.0040950225814913
"ER" 0.00280282386298361 0.00252377256044395
"ES" 0.000699034894437193 0.000675320120340485
"ET" 0.00269006605193588 0.00249079990350269
"EU" 0.179152073024806 0.0957907240820743
"EV" 0.00059918449982289 0.000552292161527064
"EW" 0.00407112208646884 0.00389461648380544
"EX" 0.00194172106745277 0.0018536265951828
"FA" 0.000191570881226054 0.000188328309290901
"FE" 0.000822218381202047 0.000688755617701662
"FF" 0 0
"FI" 7.92707094728498e-05 7.85230373415407e-05
"FS" 0 0
"FU" 0.00193349753694581 0.00155093494681955
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0.000693309489437741 0.00059877592822256
"GU" 0.000612446302101474 0.000592039929371614
"GY" 0.00486485991658406 0.00431973311309697
"HA" 0.00798170829878373 0.00695929598858051
"HB" 0 0
"HE" 0 0
"HF" 0.00150862068965517 0.00116574337372508
"HI" 0.00334705030905713 0.00275993813462921
"HL" 0.000311327075568045 0.000269171867138369
"HQ" 0 0
"HT" 0.00028735632183908 0.000275682908773112
"HY" 0.000159642401021711 0.000152943065831279
"IA" 0.000186899141878359 0.000176154347995003
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0.000191570881226054 0.000185964383859855
"II" 0 0
"IJ" 6.7697980583643e-05 6.19570150690631e-05
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0.000413485821834279 0.000403830737199415
"IU" 0 0
"IX" 0 0
"IY" 0.000574712643678161 0.000562584866354492
"JA" 0.000734355044699872 0.000700829013374562
"JB" 0.00681505007730053 0.00570555569904538
"JI" 0.000643428094874785 0.000515493529471172
"JM" 0.00429399744572158 0.00279722350848671
"JO" 0.00120881494583459 0.000930029169806667
"JS" 0.192141082590088 0.103071905147828
"JU" 0 0
"JW" 0.000383141762452107 0.000337837887278045
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0.000812260536398466 0.000773881792845922
"KU" 0.0254832629000808 0.0215044942017828
"KV" 9.57854406130269e-05 9.29819251776653e-05
"KY" 0 0
"LE" 9.57854406130269e-05 9.39009295553996e-05
"LI" 0.000338719529124327 0.000296368418400311
"LJ" 0.00190470241069941 0.00161627028512471
"LQ" 0.000774700252160252 0.000645089791891337
"MA" 0.00014367816091954 0.000138269414861026
"MC" 0 0
"ML" 0 0
"MM" 0.0204745366383297 0.0175511968075705
"MQ" 0.00266283524904215 0.00224549982731143
"MR" 0.00163326456429905 0.0013311370132196
"MU" 0.000383141762452107 0.000377825021216979
"MW" 0.000223562218732506 0.000166094092760534
"MY" 0.0116924206619701 0.00946374236154966
"NE" 0.0063996538009724 0.00537122098784688
"NI" 0 0
"NM" 0.000722860791826309 0.000583441807632009
"NN" 0.000459770114942529 0.000435615196027042
"NQ" 0.0143890197140562 0.0111846989740421
"NS" 0 0
"NU" 0.00824534188780181 0.0070177511313
"OA" 0.00028735632183908 0.000281433914804389
"OE" 0.00732410309996517 0.00625298032685746
"OI" 0 0
"OM" 0.00201405012538919 0.00184825234902365
"OO" 0.000167624521072797 0.000141595024937868
"OP" 0.000153256704980843 0.000144825154100375
"OR" 0.0075018244845831 0.00621724389015001
"OT" 0.00261578672449553 0.00221970822447117
"OU" 0 0
"OX" 0.00226053639846743 0.00185353247588095
"OY" 0.00207598978288633 0.00182565987775585
"OZ" 0.00565407772304324 0.00416585888302247
"PA" 0.042051156470443 0.0335845870257185
"PC" 0.00445123809631571 0.0036915740874487
"PD" 0.00102171136653895 0.000893596068943822
"PE" 0.00016101076445904 0.000150859004179339
"PF" 0.000153256704980843 0.000137518894815098
"PG" 0.000383141762452107 0.000349911199816599
"PH" 0.00102171136653895 0.00093732981729973
"PI" 0 0
"PJ" 0 0
"PK" 0.000459770114942528 0.0004567242711653
"PM" 0.000264915161466886 0.000262074499508555
"PN" 0.000255427841634738 0.00025166113211126
"PO" 0.000901985305605127 0.00085279337407144
"PQ" 9.57854406130268e-05 9.52870780751715e-05
"PS" 0.000832654891447127 0.000728865284448866
"PT" 0.000213752772736439 0.000184535169431829
"PU" 0.000383141762452107 0.000378725205047364
"PW" 0 0
"PY" 0.00276603865986806 0.00245503130669788
"PZ" 0 0
"QA" 4.59770114942529e-05 4.27518225668786e-05
"QC" 0.0056048166392994 0.00493542726788209
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 0.000287356321839081 0.000283075766610732
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.000635208711433757 0.000581545613382435
"RP" 0.00622035212552454 0.00547257702477729
"RQ" 0 0
"RT" 0.000446266258799621 0.000406509536463821
"RU" 0.00543782962454868 0.00492106362847628
"RX" 0.000264723393580018 0.000240570519881089
"RY" 0 0
"RZ" 6.35018049002936e-05 5.68979018686029e-05
"SA" 0.00131712988834937 0.00122461071601173
"SD" 0.000184849095919876 0.000174460481087092
"SI" 0 0
"SR" 0 0
"SU" 0.000985221674876847 0.000963097336318728
"SY" 0.000614179125975859 0.000607348718687885
"TA" 0 0
"TC" 4.03307118370639e-05 3.91559583321962e-05
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0.00368506040160816 0.00334571662673794
"TU" 0.00018742432535536 0.000173793249948725
"UA" 0.00378033205619412 0.00346725781945346
"UB" 0.000264915161466885 0.000262050209380475
"UE" 0 0
"UF" 0.000383141762452107 0.000378828034958486
"UH" 0 0
"UI" 0.000766283524904214 0.000758291380055924
"UK" 0.000191570881226053 0.000189883230545015
"UM" 0.000234960516457699 0.000216191536937805
"UN" 0 0
"UP" 0 0
"UQ" 0.0046372316487259 0.00377408654362637
"UR" 0 0
"UT" 0.000574712643678161 0.000527443440146681
"UU" 0.0218466232716971 0.017770057351206
"UY" 0 0
"VE" 0.00321757858030943 0.00279455016077244
"VI" 0.00768634424014362 0.0062077698205264
"VJ" 0.0192777232680504 0.0134709887173906
"VM" 0.00384883315917799 0.00323593377768679
"VP" 0 0
"VS" 0.000818498747663974 0.000675672087478359
"VX" 0.0151869616524522 0.0126552779364279
"VY" 0.000355064188095041 0.000340554314583332
"WC" 0.000271392081736909 0.000240253903213482
"WE" 7.18390804597701e-05 6.82368534628466e-05
"WF" 0.000635208711433757 0.000612494267103628
"WH" 0 0
"WM" 0.00503348904914362 0.00350325599867295
"WQ" 0.0332902449135575 0.0242501332442699
"WU" 0.0356873761169877 0.0218054258521406
"WV" 0.00149928303716088 0.00118423670587317
"WY" 0.000866111857491168 0.000693896609422709
"XA" 0.0484171290410513 0.0341611280771938
"XE" 0 0
"XQ" 0 0
"XW" 0.00347262658958424 0.00327832014455332
"XY" 0.000130744919398979 0.000125883723063636
"YA" 0.00029347794774292 0.000282998001157731
"YE" 0.00154188297866459 0.00150475365550551
"YG" 0.00352490421455939 0.00318364739989889
"YI" 0.00138204707170224 0.0010975498213933
"YO" 0 0
"YP" 0 0
"YQ" 1.55327741534638e-05 1.33897518687482e-05
"YR" 0 0
"YU" 0 0
"YY" 0.00313996037347519 0.00263032570749986
"ZA" 0 0
"ZC" 6.04960677555959e-05 5.92381788420758e-05
"ZD" 0.000718390804597701 0.000682117728308193
"ZE" 0 0
"ZK" 0.0197281392572454 0.0137564655476622
"ZM" 8.21018062397373e-05 7.79270501316926e-05
"ZQ" 0 0
"ZR" 0.000191570881226054 0.000186261241425311
