"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0.000416666666666667 0.000411944265110198
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0.00118518518518519 0.00112314052159239
"BF" 0.103652352807152 0.0762677385098403
"BI" 0.00272222222222222 0.00227378365281774
"BK" 0 0
"BM" 0.023452380952381 0.0186683136696598
"BP" 0.0178888888888889 0.0156685819258305
"BQ" 0.0161797026502909 0.0115591839786881
"BU" 0.00208333333333333 0.00206760974310445
"BV" 0.00109064964517321 0.000969895337973592
"CN" 0.00128672807654576 0.00116096817813373
"CO" 0 0
"CQ" 0.000907770515613653 0.000862378127173848
"CT" 0 0
"CU" 0.00216049382716049 0.0019587249879151
"DA" 0 0
"DB" 0.000493827160493827 0.000469406295784268
"DE" 0.00222222222222222 0.00215799100751386
"DI" 0.00816993464052287 0.00752052438081184
"DK" 0 0
"DM" 0.00311111111111111 0.00297571771787554
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.005 0.00335112787414182
"EO" 0 0
"EP" 0 0
"EQ" 0.00436185383244207 0.00386530301666199
"ER" 0 0
"ES" 0.000202020202020202 0.000199179963722297
"ET" 0.000303030303030303 0.000292331519662493
"EU" 0.0218200900406783 0.0182032990057595
"EV" 0.000476190476190476 0.000448358781301299
"EW" 0.000202020202020202 0.000198367202722648
"EX" 0.000202020202020202 0.000197667726458091
"FA" 0 0
"FE" 0.000555555555555556 0.000494698715122379
"FF" 0 0
"FI" 0 0
"FS" 0.00444444444444444 0.00382825472572059
"FU" 0.00492397660818713 0.00402942021538661
"FY" 0 0
"GA" 0.00134680134680135 0.00130849190506248
"GC" 0.0025 0.0024254129668866
"GM" 0 0
"GU" 0.00396296296296296 0.00373508699850607
"GY" 0.00222222222222222 0.00202882958983281
"HA" 0.0176515151515152 0.0157807208267517
"HB" 0 0
"HE" 0 0
"HF" 0.000726495726495726 0.000622962317348041
"HI" 0.00295454545454545 0.0026240731369004
"HL" 0.001 0.000889161416632797
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0.000555555555555556 0.000534198532658713
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.00512962962962963 0.00481138726585199
"JB" 0.0111223893065998 0.00953763738775626
"JI" 0 0
"JM" 0.00425925925925926 0.00307355767715477
"JO" 0.00221969696969697 0.00186677497427682
"JS" 0.00183760683760684 0.00153335493348065
"JU" 0 0
"JW" 0.326403057669312 0.191367146707002
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0.00169753086419753 0.00158117379759677
"KU" 0.0106666666666667 0.00925236441636853
"KV" 0 0
"KY" 0 0
"LE" 0.00513888888888889 0.00486296718296431
"LI" 0.000123456790123457 0.000110138300939821
"LJ" 0.000123456790123457 0.000109494370007683
"LQ" 0.00166666666666667 0.00145284201660387
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.0422393162393162 0.0348456351206141
"MQ" 0.00391067538126362 0.00339966819248436
"MR" 0.000833333333333333 0.0006940126350965
"MU" 0 0
"MW" 0.00178571428571429 0.00147672986104625
"MY" 0.00895211542270366 0.00785303632522024
"NE" 0.00232582232582232 0.00202558460212783
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0.00239316239316239 0.00214206562286896
"NS" 0 0
"NU" 0.000303030303030303 0.00028224850525698
"OA" 0 0
"OE" 0.00574074074074074 0.00508885389128584
"OI" 0 0
"OM" 0.00186147186147186 0.00174998676061134
"OO" 0.000925925925925926 0.000803018507346747
"OP" 0 0
"OR" 0.011 0.00869316038790146
"OT" 0.00566440422322775 0.00504275299658688
"OU" 0 0
"OX" 0.0032516339869281 0.00279247693479027
"OY" 0.012448717948718 0.0112806331863901
"OZ" 0.00277777777777778 0.00210711040694311
"PA" 0.0213478057889823 0.0182393237031752
"PC" 0.00305555555555556 0.00279596907858927
"PD" 0.00213186813186813 0.00189938348971417
"PE" 0.000833333333333333 0.00080446558654406
"PF" 0 0
"PG" 0 0
"PH" 0.00833333333333333 0.00768352284880136
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0.0087991822991823 0.00789144003569442
"PZ" 0 0
"QA" 0 0
"QC" 0.000512820512820513 0.000460975560237864
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.00273504273504274 0.00235289719117181
"QQ" 0.00513888888888889 0.00497139109780524
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.00271604938271605 0.00245282426600744
"RP" 0.0177142857142857 0.015738598803569
"RQ" 0 0
"RT" 0 0
"RU" 0.00340199379415066 0.00313488849396449
"RX" 0.000202020202020202 0.000187480459188314
"RY" 0 0
"RZ" 0.002 0.00183489610078729
"SA" 0 0
"SD" 0.000952380952380952 0.000899658992542201
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0.00239316239316239 0.00220276067153647
"TU" 8.23045267489711e-05 7.64731663445534e-05
"UA" 0.00397307920837333 0.00371481583632519
"UB" 0 0
"UE" 0 0
"UF" 0.00166666666666667 0.0016462303227325
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0.00221661054994388 0.00204520204465195
"UN" 0 0
"UP" 0 0
"UQ" 0.00037037037037037 0.000317027983650067
"UR" 0 0
"UT" 0 0
"UU" 0.00961930933989757 0.00840449960162135
"UY" 0 0
"VE" 0.00237290281734726 0.00214139307634416
"VI" 0.00240740740740741 0.00209501618972125
"VJ" 0.0078988603988604 0.00647345532808813
"VM" 0.00111111111111111 0.000990922224746602
"VP" 0.000333333333333333 0.000311710048585003
"VS" 0 0
"VX" 0.00553841583253348 0.00494739405045876
"VY" 0.000202020202020202 0.000194482802481655
"WC" 0.00266666666666667 0.00242738923474283
"WE" 0 0
"WF" 0.00150793650793651 0.00144415991550142
"WH" 0 0
"WM" 0.00263588263588264 0.00205291050311949
"WQ" 0.0103333942745707 0.00899555870960353
"WU" 0.0287578586990352 0.0210876290940648
"WV" 0.00567777187075433 0.00471258724908666
"WY" 0 0
"XA" 0.0575284191117524 0.0431439688575156
"XE" 0 0
"XQ" 0 0
"XW" 0 0
"XY" 0 0
"YA" 0.000512820512820513 0.000494008656112783
"YE" 0 0
"YG" 0.00712393162393162 0.00649446528913946
"YI" 0.00688888888888889 0.00567506434156582
"YO" 0 0
"YP" 0 0
"YQ" 0.000555555555555556 0.000502087840007535
"YR" 0 0
"YU" 0 0
"YY" 0.00412037037037037 0.0035494577592839
"ZA" 0.00121212121212121 0.00117467333865312
"ZC" 0.000555555555555556 0.000541996852695683
"ZD" 0 0
"ZE" 0 0
"ZK" 0.00825651200651201 0.00650229426414742
"ZM" 0.000980392156862745 0.000910038319192339
"ZQ" 0 0
"ZR" 0.00138888888888889 0.00132404889355596
