"Q" "C"
"AA" 0.000394363517907282 0.000373852924702826
"AC" 0.000290340827858931 0.000281725473919325
"AD" 0.0289018951165584 0.022399357240435
"AE" 0.00533680324036714 0.00377816271058042
"AF" 0.00142995270878739 0.00130841431260726
"AH" 0.031345302170485 0.0168480406557789
"AI" 1.56636016266794e-05 1.52449058018165e-05
"AM" 0.011673940774232 0.00909708592232669
"AQ" 0.00178755342476119 0.00157715784764154
"AY" 0.000152535796104122 0.000117503071839283
"AZ" 0.000100413799963865 8.17276469124129e-05
"BA" 0.000106956183129768 9.98302116035604e-05
"BD" 0.000112144806206498 0.000102316042650054
"BF" 0.000107483600743292 9.90881513415777e-05
"BI" 4.2588541659665e-05 4.11646286515564e-05
"BK" 0 0
"BM" 4.67839071960406e-05 4.59960409115435e-05
"BP" 1.6164316994173e-05 1.51245280718067e-05
"BQ" 1.87481754524135e-05 1.76593541772521e-05
"BU" 3.00426629235751e-05 2.99395131231126e-05
"BV" 0.000434589135846281 0.000385650395727205
"CN" 0.00182544543756065 0.00159641029211672
"CO" 0.015357182520161 0.0094048754177257
"CQ" 0.0472975551536157 0.0298104449094574
"CT" 2.58509470234219e-05 1.89195617689088e-05
"CU" 0.00294538567557466 0.00184758076208105
"DA" 0.00589003814596612 0.00376744281316948
"DB" 0.0512469503162903 0.028705014987394
"DE" 0.0275682069332637 0.0210606296821339
"DI" 0.00120699565879005 0.00119348710453908
"DK" 8.85582868731677e-05 8.78777258796353e-05
"DM" 0.00981176578822438 0.00807536680723446
"DQ" 0.00178898449320946 0.00162456345387587
"DR" 0.00782211057103343 0.00530024392352085
"DS" 0.000174388874228924 0.000155132710691444
"DT" 0.000524358369600654 0.000479447024887066
"DW" 0.0674595635148462 0.0365127122195526
"DX" 0.0101019896446554 0.00643735222890272
"DY" 0.0111062586561536 0.00867246211544678
"EA" 0.0375106055313439 0.0281843364567171
"EC" 0.000708253464986677 0.000614805061563131
"EE" 0.00920067201512279 0.00761196537167718
"EI" 0.00909250535629959 0.00743541224077298
"EN" 0 0
"EO" 0 0
"EP" 0.000536728412946296 0.000517513693414595
"EQ" 0.000110980555067248 0.000105737914850604
"ER" 1.36309301316536e-05 1.30595723855589e-05
"ES" 1.6696070962188e-05 1.63699482305189e-05
"ET" 0.000127051366867497 0.000120149486759214
"EU" 7.48884243058916e-05 7.33315668770645e-05
"EV" 0.000701435552698466 0.000570018783735759
"EW" 8.40399143200099e-05 8.25878374992895e-05
"EX" 9.10354293628607e-05 8.85822414602395e-05
"FA" 7.29117803272853e-05 6.97018772897843e-05
"FE" 4.68749778563917e-06 4.61103127036233e-06
"FF" 9.43262375190283e-05 8.81702230856699e-05
"FI" 0.000432885249003667 0.000366060254684731
"FS" 0 0
"FU" 3.75185729884491e-05 3.60364451658007e-05
"FY" 0.000906870921858458 0.000867031788571615
"GA" 0.00119976633843852 0.00108109559890782
"GC" 0.000323784657648705 0.000317624412735948
"GM" 0.000266730854915888 0.000244633591903112
"GU" 0.00236645548981387 0.00209988221253655
"GY" 0.00280172216153555 0.00274723716807642
"HA" 6.22691920436417e-05 6.13196763452001e-05
"HB" 0.000135147425419821 0.000123627867100379
"HE" 3.75245990909683e-06 3.61454657402497e-06
"HF" 4.38820045567015e-05 4.09425440137799e-05
"HI" 1.67615338524359e-05 1.65143091402234e-05
"HL" 0.000160127586994951 0.000143330815556366
"HQ" 0.00141423151839691 0.00119333728786635
"HT" 0.000717426648527797 0.00057604631280227
"HY" 0.000753800371683598 0.00057363782494318
"IA" 0.00845087511148144 0.00650670899003857
"ID" 0.00268887927234297 0.0022558311207259
"IF" 0.00022720482946137 0.000203637916954687
"IG" 0.000847220316627206 0.00068780744616366
"IH" 0.00211209307542862 0.00173635870938985
