"Q" "C"
"AA" 0.000261392462822292 0.000254002552049746
"AC" 0.000166857717202286 0.000162798864836762
"AD" 0.00192466103141395 0.00180692329610484
"AE" 0.00386708358794651 0.00302361917751547
"AF" 0.00101126002968488 0.000918815460983033
"AH" 0.00774668116261523 0.00538830654991714
"AI" 7.36652025345033e-05 7.1639035977513e-05
"AM" 0.0207560518448309 0.0131110852408649
"AQ" 8.58625101520911e-05 8.30437603406996e-05
"AY" 4.27287178042352e-05 3.78688595713029e-05
"AZ" 0 0
"BA" 9.23831377200033e-06 9.09170577014454e-06
"BD" 0.0141528049706719 0.00734658419220317
"BF" 0.000639029106141379 0.000571826161072482
"BI" 0.000370447241003711 0.000343353774660068
"BK" 3.51008525872503e-05 3.14790714622129e-05
"BM" 0.000254430424948712 0.000245035699159351
"BP" 3.34016145599223e-05 3.15463023989463e-05
"BQ" 4.22298890527183e-05 3.97874593012985e-05
"BU" 0.000369369758553312 0.000365686463797197
"BV" 1.34737372696623e-05 1.28116102595026e-05
"CN" 0.00014591489174018 0.000132834496330698
"CO" 0.00101538285254494 0.000854855222306339
"CQ" 0.0108952979669875 0.00899042627025748
"CT" 0 0
"CU" 0.00930191363629885 0.00687156681748101
"DA" 0.000768852894386807 0.000651168398291745
"DB" 0.00895708124651135 0.00691297529204928
"DE" 0.101215867496959 0.0634927739742892
"DI" 0.00139481447150678 0.00136944042102731
"DK" 0.000305487573440704 0.000299789828194105
"DM" 0.000155481537824987 0.000147381482603163
"DQ" 2.33078405076507e-05 2.27574286265662e-05
"DR" 0.00168505570385967 0.00144280296594401
"DS" 1.80178887428385e-05 1.75099433861725e-05
"DT" 0.000361268972471161 0.000342611274926972
"DW" 0.00194051224733019 0.00165576344803624
"DX" 0.000483661678078589 0.000421077983008847
"DY" 0.00199833787103953 0.00184335335803412
"EA" 0.00165714855457736 0.00151413422762965
"EC" 0.000163345314729481 0.000156425122095227
"EE" 0.000973784766960533 0.000923196032401961
"EI" 0.0015429464222739 0.00142964386813932
"EN" 3.79089427195876e-07 3.66613304130853e-07
"EO" 0 0
"EP" 0.000583905336052857 0.000566481072657662
"EQ" 6.77098708260818e-05 6.68214092608043e-05
"ER" 5.34079593583618e-05 5.17333365073097e-05
