"Q" "C"
"AA" 0.000833687899928118 0.000767052825278238
"AC" 1.65792336253993e-05 1.64071247336823e-05
"AD" 0.000121900731487751 0.000114176625286732
"AE" 3.95328963195241e-06 3.73569760494356e-06
"AF" 0 0
"AH" 7.3087252978145e-05 6.55461526390185e-05
"AI" 5.74604504179429e-06 5.69598097044413e-06
"AM" 6.47461595570643e-06 6.18198811382303e-06
"AQ" 0.00105591530535902 0.000848537990666964
"AY" 0.000598537663799676 0.000429996374916153
"AZ" 2.92000584904257e-05 2.25172023504555e-05
"BA" 0.00244666738027462 0.0020705195484033
"BD" 3.37279160638111e-06 3.29354005477644e-06
"BF" 7.41018671283858e-05 6.81839973571126e-05
"BI" 8.4116713781981e-07 8.30900722659675e-07
"BK" 2.07056526232569e-06 2.03648259525719e-06
"BM" 0 0
"BP" 7.0926814875339e-07 6.9695868615564e-07
"BQ" 1.0905264028881e-06 1.03127004371388e-06
"BU" 2.2346177682359e-06 2.23310471672951e-06
"BV" 8.68562854142931e-05 7.54161716389461e-05
"CN" 0.000196050018185666 0.000169842749318029
"CO" 0.00169201946623659 0.00132008546477809
"CQ" 0.0279490355663181 0.0200101518941555
"CT" 7.28819461495982e-05 4.99621405128749e-05
"CU" 0.00215926263933932 0.00143074405449554
"DA" 0.00239535037145735 0.00176053325287962
"DB" 0.00282019891066835 0.00211943149962186
"DE" 0.00017880031849495 0.000163934083688853
"DI" 9.63143174918585e-06 9.58885084305077e-06
"DK" 2.3642271625113e-07 2.36008219890837e-07
"DM" 0.0663804415224777 0.0425829817986087
"DQ" 0.00466343895378316 0.00378984201255899
"DR" 0.0169414815460866 0.0117153790881578
"DS" 0.00292122493280326 0.00210912959438199
"DT" 4.58497967071336e-06 4.54862515950267e-06
"DW" 0.000131325974085591 0.000118063765097346
"DX" 0.000714949201772885 0.000526350350587074
"DY" 0.000465663374193823 0.000437802477761552
"EA" 0.000431184774494838 0.00040348776725801
"EC" 2.41636240996542e-05 2.35428524083987e-05
"EE" 0.000115190394623126 0.000109724089631149
"EI" 5.81961209261692e-05 5.64216027027974e-05
"EN" 0 0
"EO" 1.89138173000904e-06 1.88761841225316e-06
"EP" 7.25691519449974e-05 7.06731926963469e-05
"EQ" 0.000499470185588154 0.000457381671811505
"ER" 5.33853158981499e-06 5.11463860726872e-06
"ES" 4.27857274410871e-06 4.23363080249353e-06
"ET" 4.00111468729433e-05 3.84801106918015e-05
"EU" 1.56326775751595e-05 1.51195702165592e-05
"EV" 0.000159758831274528 0.0001408158719645
"EW" 4.15896979565749e-05 4.11220172648474e-05
"EX" 3.36856696040169e-05 3.30362645510882e-05
"FA" 1.50994818624363e-06 1.49738879079084e-06
"FE" 1.41174904249479e-06 1.37029629953807e-06
"FF" 0.000778228899096933 0.000594297917770379
"FI" 8.4642416401504e-06 8.12947951699136e-06
"FS" 0 0
"FU" 8.70756657606895e-06 8.19958761224698e-06
"FY" 0.000543548059208037 0.000499926443165245
"GA" 0.00236126483743988 0.00193753585211709
"GC" 2.73160246931745e-06 2.7240387647133e-06
"GM" 0.00124909434206208 0.00108574387353351
"GU" 6.41095602643617e-05 6.17541581718465e-05
"GY" 5.06472110338167e-05 5.01011032927023e-05
"HA" 2.08117972724989e-05 2.03508528005378e-05
"HB" 0.000105211849077856 9.0753692843201e-05
"HE" 4.50249391118174e-06 4.22227431984144e-06
"HF" 1.40464855233616e-05 1.23434858444887e-05
"HI" 1.21501378986101e-05 1.18760601112283e-05
"HL" 0.00147237696345069 0.00107743847796386
"HQ" 1.11828446028079e-05 1.0929462718083e-05
"HT" 4.85691364963375e-05 4.31779321823556e-05
"HY" 0.00206455293204285 0.00161598808782115
"IA" 0.0142573390970405 0.0104054019615993
"ID" 1.11713729481957e-05 1.09755919933697e-05
"IF" 1.13778885045717e-05 1.11137955239304e-05
"IG" 0.000721317126183296 0.000560367985037471
"IH" 1.00017728221546e-05 9.74257104699281e-06
"II" 1.50582862046343e-05 1.47042989190609e-05
"IJ" 1.43792579008109e-05 1.41591412260107e-05
"IK" 0.000182443366631141 0.000180120173034006
"IL" 0 0
"IM" 5.19488998636552e-06 5.11386495848578e-06
"IO" 7.40444770676616e-07 7.37207251833088e-07
"IP" 5.31951111565042e-07 5.28167382526145e-07
"IQ" 7.36333984258708e-05 7.27729152588464e-05
"IU" 2.42345929844708e-05 2.39969494760119e-05
"IX" 7.62268406022874e-07 7.60983613040823e-07
"IY" 4.82909187586957e-06 4.51833518372654e-06
"JA" 0.000205502963752812 0.000196480102633485
"JB" 5.88034305121309e-06 5.79992607880013e-06
"JI" 1.35159373114325e-05 1.23994838262339e-05
"JM" 8.80273331853072e-07 8.16762223785492e-07
"JO" 3.48532129028714e-05 3.27325664994209e-05
"JS" 2.18583826404261e-06 2.15799045653502e-06
"JU" 5.71820561743243e-06 5.43090485113818e-06
"JW" 0 0
"JY" 0.000550467824765641 0.000489843065153093
"KA" 1.04193945713954e-06 1.02478024778763e-06
"KI" 0.404702042946961 0.173692392618464
"KM" 0.0104410302632893 0.0077143051500108
"KU" 9.1012120292032e-06 9.00820942693414e-06
"KV" 8.16296868579525e-07 8.08258073655045e-07
"KY" 0 0
"LE" 8.08151558098545e-06 8.02904797986181e-06
"LI" 0.000796128312463152 0.000564578399943827
"LJ" 0.000198703421565743 0.000163568527002589
"LQ" 0.000583904386061039 0.000455196551976442
"MA" 0.00865046870917721 0.00605747204049137
"MC" 0.000106489475951821 7.96366781685502e-05
"ML" 2.64972322533057e-05 1.9211109687306e-05
"MM" 1.53307593621619e-05 1.52534877214497e-05
"MQ" 1.10838819910122e-05 1.00756338734994e-05
"MR" 0 0
"MU" 3.24621399391494e-07 3.06373738318169e-07
"MW" 5.2214378275395e-06 5.07103764119846e-06
"MY" 0.000198168412216911 0.000185262852529127
"NE" 0.00729714082226401 0.00565542472120763
"NI" 0.0256234230665407 0.0186195376032986
"NM" 8.9591766158323e-07 8.77211059822816e-07
"NN" 0.00907779738568362 0.00672833878728432
"NQ" 2.05415224941406e-05 2.00530471748111e-05
"NS" 3.53796057402179e-05 3.40816316823305e-05
"NU" 6.38585842394113e-05 6.17426157140139e-05
"OA" 1.77234716431112e-05 1.70170173959178e-05
"OE" 5.86980536899358e-07 5.82331280474896e-07
"OI" 0.000307868285905513 0.000203333503669849
"OM" 1.02046543448977e-05 1.00082815217343e-05
"OO" 1.51151560095916e-05 1.14020309154967e-05
"OP" 0.000103707356492327 8.58363820170999e-05
"OR" 0 0
"OT" 9.90442672235844e-06 9.50860112295856e-06
"OU" 1.18745215871939e-06 1.16361369675884e-06
"OX" 0 0
"OY" 3.15230288334841e-07 3.11786185746309e-07
"OZ" 0 0
"PA" 1.40210659782613e-05 1.39067518363428e-05
"PC" 8.58731375635114e-06 8.54208639010316e-06
"PD" 0 0
"PE" 1.87854458959527e-05 1.86162874495174e-05
"PF" 9.79536643330998e-07 9.78786639188797e-07
"PG" 0 0
"PH" 0 0
"PI" 2.29139844111342e-05 2.18835141908106e-05
"PJ" 5.06620106252422e-06 4.91160516067524e-06
"PK" 3.63145292161736e-06 3.60497998576047e-06
"PM" 5.76644161813328e-05 5.64736126244462e-05
"PN" 4.6298059133862e-05 4.5986109301688e-05
"PO" 9.51067935525066e-05 9.19895737322181e-05
"PQ" 2.14969739059872e-05 2.14675224401825e-05
"PS" 1.11014331897917e-05 1.09056780359559e-05
"PT" 0.000330631790770794 0.000239138973369551
"PU" 1.28394977573185e-05 1.27229174815575e-05
"PW" 0.00364226865214394 0.00206937140610142
"PY" 0.0611369997525478 0.0360642122338818
"PZ" 1.10744980801242e-05 1.10166059722104e-05
"QA" 0.0126799631490224 0.00682022084084191
"QC" 5.73043469724019e-06 5.697703130257e-06
"QD" 0 0
"QE" 0.00012176639289556 0.000103334819247377
"QF" 3.85239939973078e-06 3.80967978590854e-06
"QG" 7.30364329588106e-07 7.24224312284177e-07
"QH" 1.93347563918819e-06 1.92193220299108e-06
"QJ" 1.7715942204418e-06 1.71464099567217e-06
"QK" 2.1525654652614e-06 2.1402480506725e-06
"QQ" 9.34129506704406e-06 9.2951178430377e-06
"QU" 0.0091491229438469 0.00743656311584806
"RA" 0.000217085026847702 0.000167914630326308
"RB" 1.72066840435751e-05 1.67416039435731e-05
"RE" 4.33220686410196e-07 4.31308981720977e-07
"RO" 0.000405185099974577 0.00026556717565287
"RP" 3.86873535683667e-07 3.70331706367383e-07
"RQ" 4.04033087250063e-05 3.42690775409778e-05
"RT" 0.00436015224571484 0.00344602207441767
"RU" 0.00750904535230715 0.00630550451507508
"RX" 0.000112324452960937 9.64486583538263e-05
"RY" 2.75800466098501e-05 2.60957564655765e-05
"RZ" 0.000673605933267642 0.000560304522970019
"SA" 0.0097499528226391 0.00715604707483284
"SD" 0.00292698884082734 0.00230325417076605
"SI" 3.27631432287444e-06 3.23663669909592e-06
"SR" 0 0
"SU" 0.000543707531226583 0.000500389658979014
"SY" 0.000279759857952729 0.000274501181641428
"TA" 6.07944127502906e-07 5.95951896855061e-07
