"Q" "C"
"AA" 0.000362549302656241 0.00035157994684552
"AC" 0.000163175362693968 0.000156374664521915
"AD" 0.000277856588189508 0.00027144754778285
"AE" 0.000384913694133237 0.000342969647773486
"AF" 0.00138394878117532 0.000945612455057537
"AH" 0.00320202542691326 0.00285814000765826
"AI" 7.93789393687001e-05 7.7119624705663e-05
"AM" 0.00136329833500625 0.00124684814160999
"AQ" 4.52216146127556e-05 4.39843931815481e-05
"AY" 0 0
"AZ" 5.01927401220687e-06 4.82025495908952e-06
"BA" 4.03620295308727e-05 3.94604655906395e-05
"BD" 0.00343979143452104 0.00278460367832565
"BF" 0.0123816897523436 0.0107958013424098
"BI" 0.00141587200849636 0.00130821969392486
"BK" 0.000643410141772836 0.000488196430223568
"BM" 0.0109707110715114 0.0077707009435503
"BP" 0.000402395605555641 0.000370914395224669
"BQ" 0.00292549187285245 0.0023570301433787
"BU" 0.000388069757596664 0.000384022932363813
"BV" 7.29419802330579e-05 6.91834469734144e-05
"CN" 0.000269436443903953 0.000254356075260721
"CO" 0.000123825705071614 0.000117911109256689
"CQ" 0.000462110176085125 0.000441793859218586
"CT" 9.91461533275431e-07 9.57296473561694e-07
"CU" 0.00363775892229187 0.00328763801140919
"DA" 0.000140997931573737 0.000135230699534892
"DB" 0.000559123925324025 0.000521476523246988
"DE" 0.00228935870266607 0.00214753235893581
"DI" 0.00692063321187126 0.00591185283867196
"DK" 0.00290283321191505 0.00235647569497356
"DM" 0.000346498558789142 0.000336034734211893
"DQ" 0.000163521555520903 0.000159573751121781
"DR" 0.000178384706251606 0.000171781933468717
"DS" 7.11913300833999e-05 6.86314226529981e-05
"DT" 0.000180002203812865 0.000172231021593262
"DW" 6.38261119179342e-05 6.05378855026281e-05
"DX" 2.00318269023274e-05 1.92510268509172e-05
"DY" 0.000331134294000741 0.000321895602933969
"EA" 0.000251811710527366 0.000241724658581764
"EC" 4.79627933521473e-05 4.72622947282752e-05
"EE" 1.86448563215348e-05 1.83870033726503e-05
"EI" 0.000214226258642282 0.000207521456349428
"EN" 0.000295734008161381 0.000212930840535836
"EO" 2.74019266952129e-05 2.72218303756575e-05
"EP" 0.00275697550841379 0.00259698211046658
"EQ" 0.00106227790956758 0.000999043208452114
"ER" 0.000350746194270777 0.000324803804822507
"ES" 0.000603132091889961 0.000574448442339531
"ET" 0.00658613207843542 0.00605625709657922
"EU" 0.00343519447975965 0.00303533849294012
"EV" 0.00352125327687314 0.00311413123293583
"EW" 0.00416403667956618 0.00395165821383003
"EX" 0.00397000100602454 0.00374678706033502
"FA" 0.000789456141954044 0.000742745129653051
