"Q" "C"
"AA" 0.000337260044292295 0.000322182128571421
"AC" 0.000245412387393744 0.000232848637236163
"AD" 0.000401397972401302 0.000388503424935169
"AE" 0.000805018448758998 0.000679834366618866
"AF" 0.000213115506322164 0.000199087672577047
"AH" 0.00167567243884417 0.00142411174602971
"AI" 0.000296228836558836 0.000277693754328656
"AM" 0.00208813894265176 0.00176494232870918
"AQ" 1.64171631549348e-05 1.60695758515733e-05
"AY" 0.000314730430178429 0.000292420817700427
"AZ" 0 0
"BA" 3.99198409593536e-06 3.94460243365706e-06
"BD" 0.0088534840753393 0.00619110597791706
"BF" 0.00971219250597978 0.00812814465804016
"BI" 0.00838191018179803 0.00661071719744365
"BK" 5.72401388315979e-05 4.95672221453077e-05
"BM" 0.000202320240548735 0.00019366221736349
"BP" 4.41895572430335e-05 3.99279927227709e-05
"BQ" 8.86869834278695e-05 8.30512210759375e-05
"BU" 0.00448965995178348 0.00423736448130993
"BV" 1.06443862993792e-05 1.0248991545302e-05
"CN" 0.000274510276538649 0.000258217887456218
"CO" 0.000405688263733281 0.000370925236071623
"CQ" 0.00402884310193792 0.00369599827144726
"CT" 0 0
"CU" 0.00898510431506617 0.00761266682125046
"DA" 0.00016876858854143 0.000155832408940252
"DB" 0.000930082373508761 0.000821930849002625
"DE" 0.0154528391593799 0.0134619388121931
"DI" 0.000206036403870808 0.000202619370140401
"DK" 0.000108597478040723 0.00010691103196606
"DM" 0.000142153999870521 0.000138018537818831
"DQ" 0.000122335511860987 0.00012050438313125
"DR" 0.000149969748722235 0.000139921048467664
"DS" 1.39866996533327e-05 1.37116773356947e-05
"DT" 0.000140973995720419 0.000133358610558737
"DW" 7.47052150861023e-05 6.88940280590154e-05
"DX" 3.5557796031287e-05 3.33911867305348e-05
"DY" 0.00061474948452541 0.000585264408217636
"EA" 0.00108197084843294 0.00100818543769183
"EC" 0.000160126275546778 0.00015580711719295
"EE" 7.58081415075641e-05 7.39519379417039e-05
"EI" 0.00022399193675537 0.000212227393476589
"EN" 0 0
"EO" 8.70766713421195e-06 8.67893543020481e-06
"EP" 0.00522156056221643 0.00490592545850987
"EQ" 4.87839024001381e-05 4.81817572438121e-05
"ER" 0.000184753889617229 0.000173317297278972
"ES" 0.000549366623380732 0.00051893831659519
"ET" 0.00484168413786166 0.00452531740718066
