"Q" "C"
"AA" 3.33091087467185e-05 3.22845285761227e-05
"AC" 5.62184986871557e-05 5.49099571451509e-05
"AD" 4.34971355240737e-05 4.28535590648239e-05
"AE" 0.000206286797769386 0.000184290437807767
"AF" 9.03876309097262e-06 8.77489784021658e-06
"AH" 0.000297260792852443 0.000271993210569047
"AI" 0.000140576565262578 0.000131870698385904
"AM" 0.000344185865958316 0.000313878161513797
"AQ" 1.33296365807883e-05 1.32013628799446e-05
"AY" 0.000548134778223683 0.000528337788946264
"AZ" 3.79154107186866e-06 3.72106716712601e-06
"BA" 1.27964511175567e-05 1.27328541968797e-05
"BD" 0.00165259530508269 0.0013903053360021
"BF" 0.00119116131728656 0.0010059563696613
"BI" 0.00128212767683217 0.000948817414759311
"BK" 0 0
"BM" 4.05014890041188e-05 3.97259570208417e-05
"BP" 1.62000927122067e-05 1.45653805324813e-05
"BQ" 3.75697669076195e-05 3.60160383627515e-05
"BU" 0.00648104049963414 0.00598131929793729
"BV" 1.15155883666228e-05 1.13380021506792e-05
"CN" 7.78786412271834e-05 7.59325054997384e-05
"CO" 0.000165213042910394 0.000157292189787331
"CQ" 0.00124689642143398 0.00119805137558066
"CT" 0 0
"CU" 0.00312766749480811 0.00287287089926383
"DA" 8.65833207906505e-05 8.31721669002475e-05
"DB" 0.00054969794093281 0.000514802280976083
"DE" 0.00428985972988003 0.00401074070882373
"DI" 3.73387416024603e-05 3.71748511322571e-05
"DK" 2.12934035076834e-05 2.12246478225659e-05
"DM" 0.000247334244655245 0.000244190847691712
"DQ" 0.000147692670652662 0.000146743827162316
"DR" 0.000148269097062269 0.00014381287187049
"DS" 3.05042446318851e-05 3.02403813182295e-05
"DT" 0.000178190041720781 0.000169057016128456
"DW" 9.00656830799201e-05 8.48261287090419e-05
"DX" 4.69228683561504e-05 4.5418585673401e-05
"DY" 0.00124696420715634 0.00119255114960349
"EA" 0.00118085656481258 0.00111822783843091
"EC" 0.000462746570129682 0.000449922581771498
"EE" 0.000129476397857458 0.000126859947688808
"EI" 0.0015655643605696 0.0014818138802854
"EN" 0 0
"EO" 4.73942633983583e-06 4.72639692199044e-06
"EP" 0.000323232815218571 0.000315422141024924
"EQ" 2.49897025191344e-05 2.48843174880921e-05
"ER" 2.95823986759583e-05 2.88949677322588e-05
"ES" 2.63155345479181e-05 2.57827160332221e-05
"ET" 0.000229559106823805 0.000223675334921197
"EU" 3.77568359276169e-05 3.75446936172816e-05
"EV" 0.00157752561269241 0.00142194610733246
"EW" 0.00016198460984734 0.000158967615972749
"EX" 0.00017820957515427 0.00017445594257059
"FA" 0.00016043876471785 0.000148734710894982
"FE" 3.63807393324541e-06 3.62782440469022e-06
"FF" 0 0
"FI" 0.000671152435471235 0.000647780594262306
"FS" 0 0
"FU" 0 0
"FY" 4.65586855700512e-05 4.63586495495055e-05
"GA" 4.34712928565614e-05 4.31209009176559e-05
"GC" 0.186061049321119 0.0659322542880359
"GM" 2.18742754146269e-06 2.17177212885565e-06
"GU" 0.00763767040677949 0.00639921057823715
"GY" 0.000159600243487949 0.000157881249336048
"HA" 3.09028758074717e-05 3.07762792335207e-05
"HB" 1.50414425416895e-05 1.4818813741431e-05
"HE" 0 0
"HF" 4.24125841113645e-06 4.18724018118365e-06
"HI" 1.48101943870584e-05 1.47730567170213e-05
"HL" 2.41523249542359e-05 2.39532923316202e-05
"HQ" 3.4450360409454e-05 3.28119357783882e-05
"HT" 0.00301378597687664 0.00268686983877425
"HY" 0.000112322226276172 0.000109371632933189
"IA" 0.000105022794777277 0.000103095149857527
"ID" 0.00720259286297817 0.00645024141332273
"IF" 0.000128591593595723 0.000119212748557301
"IG" 7.16066189356394e-05 6.97235050088753e-05
"IH" 0.00159397195888349 0.00129644374281213
"II" 0.00191647323496214 0.00176425198159998
"IJ" 7.98619333454724e-05 7.82185131482035e-05
"IK" 3.48305996872795e-05 3.37843722125255e-05
"IL" 1.01559135853625e-05 8.27031361798486e-06
"IM" 0.00320727778497468 0.0024701258584548
"IO" 0.00059519009246683 0.000411669335917874
"IP" 0.0109921815382684 0.00529255403273319
"IQ" 0.000578472279147979 0.000559418171682344
"IU" 0.000676425066400917 0.000644643309651083
"IX" 0.00418344586891633 0.00214737727103705
"IY" 0.000743458578606253 0.000703170556162336
"JA" 0.0150062666409054 0.0112193548488555
"JB" 0.000338514993824045 0.000291935166002486
"JI" 5.00016551274054e-05 4.93946857319914e-05
"JM" 0 0
"JO" 4.68734473170577e-07 4.66939623156974e-07
"JS" 2.76553218136404e-05 2.75484058549761e-05
"JU" 0.000620313129583396 0.000568195987096914
"JW" 3.41238696468179e-05 3.36361240746455e-05
"JY" 3.47766097716001e-05 3.36820411742711e-05
"KA" 0.00123329319468292 0.00108991657434023
"KI" 0.000105308860677806 0.000104563308329765
"KM" 0.000782908193933376 0.000746278593536419
"KU" 0.00291669174951082 0.00263758705711593
"KV" 0.0366762100107586 0.0120722653541333
"KY" 0.21202066046168 0.0567703486307292
"LE" 0.270357028681033 0.0678073434193165
"LI" 1.42182790195075e-05 1.39751204793698e-05
"LJ" 2.25715179434681e-05 2.24023280637138e-05
"LQ" 3.63737951180367e-06 3.60839321744872e-06
"MA" 3.36268007179721e-05 3.3187213827749e-05
"MC" 2.01731428441887e-05 1.91456145079512e-05
"ML" 0 0
"MM" 3.43887266158485e-05 3.39212293336143e-05
"MQ" 0.000301287637792154 0.000287497329347152
"MR" 1.18485658495896e-06 1.16987339132103e-06
"MU" 8.26655026421365e-06 7.88667500357768e-06
"MW" 0 0
"MY" 2.18013611632448e-05 2.17010458952839e-05
"NE" 0.000271934181386381 0.000264648569910298
"NI" 0.000125705359084698 0.000123655158954438
"NM" 0 0
"NN" 4.86594716461633e-05 4.76249560069778e-05
"NQ" 1.09868519696194e-05 1.09544013011649e-05
"NS" 5.78738314607249e-05 5.51240488222564e-05
"NU" 5.75116056533115e-05 5.67441182816995e-05
