"Q" "C"
"AA" 0.000212919022702529 0.000196983958768796
"AC" 3.55170848404832e-05 3.50246793502731e-05
"AD" 0.000143209573293522 0.000133052444115051
"AE" 4.28358459315341e-07 4.0515549380943e-07
"AF" 0 0
"AH" 0.000129195942087348 0.000115108191911278
"AI" 1.6837279738088e-06 1.66361783309861e-06
"AM" 4.1032612319915e-06 3.90138303637988e-06
"AQ" 0.000288425404488431 0.000240814280277674
"AY" 0.000443274821004557 0.000285088489223263
"AZ" 0.000148758537127052 0.000110876222348001
"BA" 0.00228152910841904 0.00177242406380937
"BD" 2.61367299748412e-05 2.53448813597478e-05
"BF" 0.000516635963460001 0.000454646951115648
"BI" 9.67084316366946e-06 9.50674803677635e-06
"BK" 4.83663509250821e-06 4.67491002108499e-06
"BM" 3.29549745979493e-05 3.21129992433732e-05
"BP" 0 0
"BQ" 9.28458893943457e-06 8.15007785793093e-06
"BU" 2.29376739414314e-05 2.29174013192011e-05
"BV" 0.00053322179004029 0.000339433362399813
"CN" 0.00301985289271539 0.0019268714279685
"CO" 0.00151028059614703 0.0011642864283373
"CQ" 0.0331463136182315 0.023088888965688
"CT" 6.871419791205e-05 4.63691164162107e-05
"CU" 0.00434785420173766 0.00264365996323088
"DA" 0.00275922068712939 0.00198421705707938
"DB" 0.00161017095271998 0.0012320911309628
"DE" 0.000282259214759977 0.000257307581216402
"DI" 0.000104823775832821 0.000103053879852014
"DK" 5.52239281955389e-05 5.48245268531901e-05
"DM" 0.0154147701203144 0.0116474251694124
"DQ" 0.0186380504229623 0.0143737039620652
"DR" 0.0227375052470126 0.0155809404050056
"DS" 0.00341910812161607 0.00242167536339795
"DT" 0 0
"DW" 0.000194611264982857 0.000174138549584341
"DX" 0.000684738908467416 0.000501876276301261
"DY" 0.000568687883465178 0.000533823695823148
"EA" 0.000358566755782017 0.000334292127257922
"EC" 4.2773955464183e-05 4.16542992272158e-05
"EE" 8.31990984765702e-05 7.91893789058901e-05
"EI" 7.06057169744105e-05 6.83502368369783e-05
"EN" 3.56269995653506e-06 3.35005227095898e-06
"EO" 9.97555987829818e-06 9.93130011873778e-06
"EP" 0.000258655093364248 0.000246228802688576
"EQ" 0.0103049392048416 0.00740017644346485
"ER" 5.50862023713699e-05 4.94127045393875e-05
"ES" 1.56625572750549e-05 1.5388622995879e-05
"ET" 0.000208269140353262 0.00019771589643522
"EU" 0.00034613662252066 0.000320468372005094
"EV" 0.000321891979977051 0.000277418999474392
"EW" 3.71228008510276e-05 3.64854479549739e-05
"EX" 8.54858824409786e-05 8.30143450721528e-05
"FA" 2.16700759738167e-05 2.13783614418536e-05
"FE" 8.4867078739435e-05 7.5771235996249e-05
"FF" 0.00320807110283967 0.00242651461711471
"FI" 4.68063007777405e-06 4.48888913904489e-06
"FS" 5.22224822688686e-06 3.90789274285876e-06
"FU" 0.000965253333567024 0.00085007129063576
"FY" 0.0147019739842523 0.0134905988574576
"GA" 0.00291031787341551 0.00250135092882428
"GC" 2.21061539964411e-05 2.20323291792041e-05
"GM" 0.000974147986013045 0.000690831650749967
"GU" 0.000640351041402651 0.000611183246856625
"GY" 0.000673607565138295 0.000657984788237756
"HA" 0.000699799874672114 0.000658383465848827
"HB" 0.00061220963057702 0.000500031684190837
"HE" 0.000175085038571901 0.000142274111461755
"HF" 0.000191124625827248 0.000151091509759709
"HI" 0.000302700583010663 0.000273863183562049
"HL" 0.00982374649835182 0.0062146541132747
"HQ" 1.61164676491498e-05 1.57274224762955e-05
"HT" 0.00049665650831435 0.000432517737164281
"HY" 0.00185597268167945 0.00135852350458546
"IA" 0.0353826793085011 0.0231342386775657
"ID" 7.12184333046074e-06 6.99056296115711e-06
"IF" 2.06265215425572e-05 2.00587710564585e-05
"IG" 0.00132220439808151 0.00100406997508387
