"Q" "C"
"AA" 0.000138863425498585 0.00012951269928298
"AC" 4.39325799880462e-05 4.33590170466647e-05
"AD" 6.81838392479486e-05 6.46228462840406e-05
"AE" 5.6421532036428e-07 5.43996925239144e-07
"AF" 6.47907259551648e-06 6.21064886614193e-06
"AH" 2.70448893397147e-05 2.49092523277245e-05
"AI" 8.22343829430938e-06 8.13253586105122e-06
"AM" 5.98068239586137e-06 5.79798122574706e-06
"AQ" 0.000189783944700041 0.000161885474063588
"AY" 0.000123679315200921 8.85858817137903e-05
"AZ" 6.58761119799082e-05 5.20423591188853e-05
"BA" 0.00178373372965257 0.00139835278386019
"BD" 4.74014130313575e-06 4.64018771997328e-06
"BF" 0.00062075059190272 0.000544184736817058
"BI" 7.35987204414197e-05 7.24564088486445e-05
"BK" 1.48655099019082e-05 1.4209310688079e-05
"BM" 0.000214830829931685 0.000205562930574457
"BP" 2.12171827853177e-05 2.03649836875703e-05
"BQ" 8.07193397329833e-05 6.87501226496179e-05
"BU" 7.64837267932271e-06 7.64224681376214e-06
"BV" 0.000451265630775666 0.00028742801486231
"CN" 0.00248262269414479 0.00162333579782608
"CO" 0.000358847663504153 0.000302053053649908
"CQ" 0.00621261354024291 0.00492691116708093
"CT" 4.97383786570241e-06 3.75989074672206e-06
"CU" 0.00165907784547436 0.00115262411641132
"DA" 0.000654058993425824 0.000530835549497666
"DB" 0.00032707066325916 0.000273864349966774
"DE" 7.12431037385399e-05 6.74409002048456e-05
"DI" 0.000796596338245658 0.000769599810412475
"DK" 0.000278776844115823 0.000273966697215071
"DM" 0.00782047963013191 0.00627034273123261
"DQ" 0.0107115255558102 0.00846029923803483
"DR" 0.00479046381498052 0.00374557699478426
"DS" 0.00300487080863226 0.00215190866312106
"DT" 4.48551179689603e-06 4.45425042968513e-06
"DW" 5.78614112569092e-05 5.36097976088951e-05
"DX" 0.000203925891891733 0.000163242779345106
"DY" 0.000199212658792278 0.000191192982495905
"EA" 0.000138912531830929 0.000132360201538187
"EC" 4.55010950362882e-06 4.47837265509634e-06
"EE" 1.96601421873652e-05 1.90454963444417e-05
"EI" 1.03723023461944e-05 1.01690261838544e-05
"EN" 6.74332893764131e-06 6.14582665797771e-06
"EO" 2.12646485186182e-05 2.1155600773192e-05
"EP" 0.000348113709841882 0.000332311159873856
"EQ" 0.0176530148447327 0.0112903608024399
"ER" 0.000203893125687819 0.00018281035057967
"ES" 1.021244021832e-05 1.00392397961709e-05
"ET" 0.000335194774987229 0.000318854292260816
"EU" 0.00156859533686711 0.00139700621753046
"EV" 0.000366223570112131 0.000324620660943133
"EW" 4.97419683220514e-05 4.88514852850774e-05
"EX" 8.48822459584866e-05 8.25078329369898e-05
"FA" 1.66601300875097e-05 1.64055347711497e-05
"FE" 0.000306183353538201 0.000258367845659068
