"Q" "C"
"AA" 3.31848684905346e-05 3.10460512757619e-05
"AC" 3.34602178730264e-05 3.29299100197667e-05
"AD" 4.18401935355598e-05 3.99114424604807e-05
"AE" 3.3012265471434e-06 3.17326660797163e-06
"AF" 0.000255425096798031 0.000231928809245022
"AH" 1.74746154598172e-05 1.61502842363769e-05
"AI" 5.03146124021949e-06 4.97197034428221e-06
"AM" 1.55235908085338e-05 1.50964637120759e-05
"AQ" 0.000998480972489814 0.000812024331967283
"AY" 1.06430546658291e-05 8.69189062287727e-06
"AZ" 2.30482844013822e-05 1.80918599912497e-05
"BA" 0.00226098004400866 0.00183148797040654
"BD" 8.44554547450331e-06 8.26222331455678e-06
"BF" 0.00101815052747639 0.000888754977542713
"BI" 2.72672738179637e-06 2.68422395545435e-06
"BK" 0 0
"BM" 0.000472825799962506 0.000438032386206548
"BP" 2.88973825788202e-06 2.79262871424468e-06
"BQ" 0.000196985698226986 0.000171410799896991
"BU" 2.64619535985851e-05 2.64310601476604e-05
"BV" 7.6630092840327e-05 6.11019403282412e-05
"CN" 0.000632813854104611 0.000515703621034376
"CO" 0.000126203721753371 0.000110533680352472
"CQ" 0.00060518015076075 0.000513920229914863
"CT" 5.57739691731075e-06 4.53248602700137e-06
"CU" 0.00129183343571248 0.000980916348812409
"DA" 5.51320575091658e-05 4.76576588694624e-05
"DB" 0.000702798693612508 0.000599481087045507
"DE" 5.75793183472287e-05 5.52988522368743e-05
"DI" 0.00337632475171528 0.00318932836428135
"DK" 0.00135284827307855 0.00128168083571225
"DM" 0.0205553291719396 0.015633805393389
"DQ" 0.00807887856729451 0.00620875903659691
"DR" 0.00036675498789644 0.000306860181178746
"DS" 0.0037416975432771 0.00260288455725849
"DT" 5.89141542909212e-06 5.8360901926127e-06
"DW" 1.55179533914177e-05 1.44734554016114e-05
"DX" 6.63882603601754e-05 5.47274799430144e-05
"DY" 0.000310860384540119 0.000299875634209062
"EA" 8.01441377619764e-05 7.66767388858361e-05
"EC" 6.58070885679242e-06 6.48913180412321e-06
"EE" 3.66190477224874e-06 3.5623196338256e-06
"EI" 9.32455387771384e-06 9.1611415971263e-06
"EN" 1.11990588895208e-05 1.00382720197508e-05
"EO" 0 0
"EP" 0.000203770648796709 0.000196290619645588
"EQ" 0.015592050253724 0.0111721868775161
"ER" 7.36779609823091e-05 6.86063669202019e-05
"ES" 4.86328024084123e-05 4.77271101979334e-05
"ET" 0.00170807448116092 0.00160805913866025
"EU" 0.00593003501876805 0.00516493235031345
