"Q" "C"
"AA" 0.00026912754404932 0.000249637480282573
"AC" 7.01124746005854e-06 6.92852763659176e-06
"AD" 4.07819653966419e-05 3.74096942934572e-05
"AE" 4.97466655849801e-06 4.59069382387251e-06
"AF" 3.86325260217106e-08 3.80272938850158e-08
"AH" 3.1642023413333e-05 2.73930417850523e-05
"AI" 4.50760514930389e-06 4.46015692586934e-06
"AM" 1.56921208467296e-05 1.46315020828648e-05
"AQ" 0.000815379988829835 0.00059827026942374
"AY" 0.000580115360052864 0.000370510346262494
"AZ" 7.13368747256605e-05 4.94256046049169e-05
"BA" 0.00341065762005643 0.002838016274021
"BD" 2.69134367908779e-06 2.59753808683149e-06
"BF" 7.20689115022046e-05 6.52491890453103e-05
"BI" 4.07358524384481e-06 4.00993433497329e-06
"BK" 0 0
"BM" 8.15767812350977e-07 8.05343910296327e-07
"BP" 3.20868793575146e-06 3.13999513865103e-06
"BQ" 2.89165234625462e-06 2.69850194805624e-06
"BU" 2.16668566951546e-06 2.16473890066927e-06
"BV" 2.28308545904296e-05 1.93631969983432e-05
"CN" 0.000107712411329876 9.06036625780491e-05
"CO" 0.00371520965887147 0.00253673696667728
"CQ" 0.057068830723433 0.0327265667135096
"CT" 0.000788906151046444 0.000408820865151927
"CU" 0.00354281071721955 0.00186408112250405
"DA" 0.00415582199352777 0.00250293014941248
"DB" 0.00647523305843034 0.00418197479385578
"DE" 0.00013096850242881 0.000114141524255923
"DI" 2.38698629075634e-05 2.37577998729645e-05
"DK" 4.68697051305663e-06 4.67788610945291e-06
"DM" 0.110770657384888 0.0597648848277062
"DQ" 0.0397204963247861 0.0272434623530716
"DR" 0.0403385335336414 0.021469303067516
"DS" 0.00828517066134041 0.00589195677691308
"DT" 5.24234208408956e-06 5.18873813048083e-06
"DW" 9.77554452190585e-05 8.47734093986815e-05
"DX" 0.00108110875306323 0.000702776535865227
"DY" 0.00066298321184856 0.000607355729003063
"EA" 0.00069278223262029 0.000631537646344377
"EC" 5.30746380951086e-05 5.11366056007588e-05
"EE" 0.000253350987768576 0.000236614770725061
"EI" 0.000149870782177663 0.000143255670689064
"EN" 0 0
"EO" 0 0
"EP" 4.80400149209318e-05 4.65534849233588e-05
"EQ" 0.000356368402813109 0.000325266292470052
"ER" 1.92975931862498e-06 1.83673606608969e-06
