"Q" "C"
"AA" 0.000715455025833146 0.00067802308771077
"AC" 2.85838500484914e-05 2.8231251506673e-05
"AD" 2.27071064366236e-05 2.19883225788214e-05
"AE" 1.10650803767439e-06 1.08582124902214e-06
"AF" 8.33553821181488e-06 8.06156728025378e-06
"AH" 1.57092281760638e-06 1.50390769958018e-06
"AI" 8.79824017467812e-06 8.71604436104872e-06
"AM" 1.06830085395848e-05 1.04821636418613e-05
"AQ" 0.000251342561369381 0.000231295042606035
"AY" 5.37098422223212e-05 4.17659289926686e-05
"AZ" 2.49649191073162e-05 2.23184931757964e-05
"BA" 0.000618667377027184 0.000525038158978835
"BD" 7.93776502083504e-06 7.80004398235291e-06
"BF" 0.00104564431981878 0.000937863410291804
"BI" 2.52062605721032e-05 2.48443166498161e-05
"BK" 7.28246959677385e-06 6.96943821112854e-06
"BM" 0.000102985507776714 9.86149475379317e-05
"BP" 1.78711180941901e-05 1.68984230255723e-05
"BQ" 0.00012864819618343 0.000102966748690506
"BU" 4.50650546252841e-06 4.5030034767419e-06
"BV" 0.00182075066818497 0.0010399026475144
"CN" 0.0108866986873325 0.00669169306006711
"CO" 0.000216341816226939 0.000196578585961931
"CQ" 0.00237830128940485 0.00210214967053522
"CT" 4.6941349963814e-06 4.01912373756259e-06
"CU" 0.00264787097536044 0.00208415825205637
"DA" 5.88375235899732e-05 5.29176379703424e-05
"DB" 0.000155842954958291 0.000142442291960559
"DE" 2.19951724236522e-05 2.13809347720964e-05
"DI" 0.000902297965964851 0.000857699825634078
"DK" 1.95744781273677e-05 1.92539193353642e-05
"DM" 0.00159376967595975 0.00144885501818452
"DQ" 0.000606063395343385 0.000556928571577217
"DR" 0.000449261945435866 0.000396210030079496
"DS" 0.000218156780742873 0.000184173752417753
"DT" 1.81772561775199e-05 1.8084311490543e-05
"DW" 3.21626465663855e-05 3.09611206289899e-05
"DX" 2.31359830258117e-05 2.05952985171447e-05
"DY" 5.26786592677176e-05 5.15792394320084e-05
"EA" 2.85572652453775e-05 2.78343780922624e-05
"EC" 6.40984298967091e-06 6.35886567318143e-06
"EE" 1.3758220765051e-05 1.35420050546441e-05
"EI" 1.50070814150662e-05 1.48542208497129e-05
"EN" 6.59602924817928e-06 5.9041511799285e-06
"EO" 1.47534405023251e-06 1.46626087570284e-06
"EP" 0.000677164628377194 0.000643794075130137
"EQ" 0.0628574049852064 0.0323157056630913
"ER" 6.27992619497774e-05 5.49338927040821e-05
"ES" 2.79684417617239e-05 2.74788441627426e-05
"ET" 0.000141788802991432 0.000136197182595507
"EU" 0.00410551578078804 0.00348954037265294
"EV" 0.000292910568222882 0.000268831631743548
"EW" 7.40884905721252e-05 7.26392569156168e-05
"EX" 0.000126949746255391 0.000123346976166661
"FA" 6.98847181689086e-07 6.91115744720525e-07
"FE" 0.00413812915587688 0.00312898553815849
"FF" 0.00030951125023728 0.000268336302857026
"FI" 5.07887189292543e-06 5.0192724737375e-06
"FS" 7.79427783779337e-06 5.27010220242429e-06
"FU" 0.00188096930544724 0.00162597150356431
"FY" 0.000374694968686799 0.000362534679383421
"GA" 0.000257379684554447 0.000242221353874416
"GC" 4.42603215069754e-06 4.41708653708379e-06
"GM" 0.0063687219862652 0.00402597070338933
"GU" 0.000159546051649806 0.00015538156597173
"GY" 0.00168913542184129 0.00163031656532176
"HA" 0.0168228950462808 0.013980374993373
"HB" 0.000359322947635552 0.000308340848709697
"HE" 0.0103172702771675 0.00623203707551542
"HF" 0.000170919419961082 0.000137600266774405
"HI" 0.0427181043403432 0.0271936096986497
"HL" 0.00239280475534215 0.00183628568623028
"HQ" 1.43907698901736e-06 1.4258292466536e-06
"HT" 9.60640211336314e-05 9.01460963267366e-05
"HY" 0.00157166324255794 0.00135955320500447
"IA" 0.0052436873954939 0.00438681182387944
"ID" 2.39840206903278e-05 2.37881631344024e-05
"IF" 4.02222540350152e-05 3.93385983175039e-05
"IG" 0.000125665284338119 0.000110272212585832
"IH" 2.84122225739397e-06 2.79287714720751e-06
"II" 2.19091919303251e-05 2.17028513510307e-05
"IJ" 3.18191998139243e-05 3.04654680519812e-05
"IK" 8.87821422631905e-06 8.75915972359052e-06
"IL" 0 0
"IM" 1.84049018278843e-05 1.81458217932726e-05
"IO" 4.42603215069754e-06 4.40150066880626e-06
"IP" 5.31123858083705e-07 5.28997700121335e-07
"IQ" 6.97927846534789e-05 6.89264502504719e-05
"IU" 1.11737865408611e-05 1.10849439431119e-05
"IX" 3.54082572055804e-06 3.53306810917382e-06
"IY" 5.07627209120426e-06 4.90347739146717e-06
"JA" 0.000329321982993663 0.000318183338122172
"JB" 0.000336446723071985 0.000320195000402205
"JI" 0.000179169999764722 0.000137707643541555
"JM" 0.000314033751464942 0.000216985363484467
"JO" 0.0178399671889949 0.0101924410491814
"JS" 0.000325309132098283 0.0002797901153249
"JU" 4.7585481484367e-06 4.6545760459801e-06
"JW" 0 0
"JY" 9.04189570123134e-05 8.62468988266254e-05
"KA" 8.65609829851791e-06 8.56511567049418e-06
"KI" 0.000754112474351155 0.000701092351666504
"KM" 0.00708867784420303 0.00621504276247804
"KU" 0.000102711486730338 9.90527519987478e-05
"KV" 1.15400382463314e-05 1.14355643855186e-05
"KY" 2.84499278996089e-05 2.83862016287032e-05
"LE" 1.5284786216657e-05 1.52061437172119e-05
"LI" 0.00236964188915487 0.00152198628302946
"LJ" 0.00720313402546007 0.00469503690441079
"LQ" 0.00306474112244786 0.00222408227628084
"MA" 0.000403522408558499 0.000362709688428005
"MC" 7.83694520855435e-05 6.67901372048121e-05
"ML" 1.26766932902245e-05 9.88045158870662e-06
"MM" 0.000130188190199628 0.000127114125958495
"MQ" 0.000152732982766646 0.000132293143500512
"MR" 5.52429109310257e-05 5.08430851024675e-05
"MU" 4.3153813469301e-06 4.21711234981193e-06
"MW" 8.19062114823038e-05 6.81535456657446e-05
"MY" 0.258650926912733 0.116605665133596
"NE" 0.0264974414061354 0.019477984328372
"NI" 0.00119026612813795 0.00108603383405846
"NM" 0.000306331062097268 0.000281233124225624
"NN" 0.00151215455276659 0.00134787585824808
