"Q" "C"
"AA" 0.000548101355575231 0.000511054580462975
"AC" 4.7735406352329e-05 4.68529623480549e-05
"AD" 0.000316165497844462 0.000294760035762278
"AE" 0.000148025261461632 0.000135816492024512
"AF" 0.00012029390048757 0.000113238691451021
"AH" 0.000388485525344167 0.000342797829572142
"AI" 0.000108695714142904 0.000106945474749753
"AM" 0.00037079214986846 0.000350051150553362
"AQ" 0.00203625670808762 0.0016364065298471
"AY" 9.3922769702106e-05 7.4064030788192e-05
"AZ" 0.00032805002802188 0.00025276243720366
"BA" 0.00128380961668731 0.00107766280453323
"BD" 0.000118240874160263 0.000112337764811803
"BF" 0.00144548004852274 0.00126208679873366
"BI" 3.0077636634076e-05 2.94014814219756e-05
"BK" 1.54456038249078e-05 1.44472066264935e-05
"BM" 0.000340090973869495 0.00032296856571581
"BP" 2.11489063638168e-05 2.03424666711985e-05
"BQ" 6.69552862523833e-05 5.93855547882016e-05
"BU" 6.60232487405234e-05 6.5845843419513e-05
"BV" 0.000255296949229648 0.000206510070200378
"CN" 0.0011983352234382 0.000983351000189003
"CO" 0.0013070853564863 0.00107659518628244
"CQ" 0.00625279726926894 0.00494423076174706
"CT" 1.10859112940214e-05 8.64287234035852e-06
"CU" 0.00494216033995502 0.00348671427286405
"DA" 0.00168939133048954 0.00136461248791254
"DB" 0.00340039507013299 0.00268202883632841
"DE" 0.000773916762078739 0.000719199715148847
"DI" 0.00105212369610522 0.00101598259968715
"DK" 0.000233656610177356 0.000228796739793202
"DM" 0.0317764056719105 0.0238978447563507
"DQ" 0.00823237546256885 0.00657626154034063
"DR" 0.00222428766615594 0.00174325697149391
"DS" 0.00336348204254226 0.00247370195162788
"DT" 8.17465000242869e-05 8.01011052331615e-05
"DW" 0.000584603878961641 0.000523011187305676
"DX" 0.000764191855725715 0.000603646968730559
"DY" 0.00089884037626799 0.000847667818715821
"EA" 0.00201506679131275 0.00187432508100263
"EC" 0.000469077815128596 0.000456752459690647
"EE" 0.000151011915232879 0.000144771438933538
"EI" 0.00032224694462838 0.00031024900514148
"EN" 7.08923362871034e-06 6.48315315936109e-06
"EO" 2.0717230520624e-06 2.06429676221956e-06
"EP" 0.000336167374331659 0.000323824927004252
"EQ" 0.0134110868513978 0.010320714020803
"ER" 0.000131227366857449 0.000122763923003733
"ES" 4.43582890683639e-05 4.35315227162002e-05
"ET" 0.000457463399244654 0.000433114205404176
"EU" 0.00180357155382159 0.00161869059058
"EV" 0.000770421854834675 0.000672535244497842
"EW" 0.000149821938481625 0.000146805371081794
"EX" 0.000248687767738257 0.000241590433652325
"FA" 0.00098305586129071 0.000950477183472478
"FE" 0.00119261758278299 0.0010508480215536
"FF" 0.00413957757804903 0.0031153199711151
"FI" 3.25470749292051e-05 3.13474942789029e-05
"FS" 6.71366817340424e-06 5.83079865229875e-06
"FU" 0.00362785718240433 0.00292663498240974
"FY" 0.00628957022127992 0.00583045972101124
"GA" 0.00326695451552665 0.00281088284167931
"GC" 0.000484508943488302 0.000478374105466893
"GM" 0.00916946655337728 0.00670863017506453
"GU" 0.00123270529541622 0.00115629080612231
"GY" 0.00425138628953213 0.00404515102609646
"HA" 0.003957137210099 0.00364633102818696
"HB" 0.00180954672101579 0.00141869619748151
"HE" 0.000345298159143046 0.000294804963231599
"HF" 0.000632007061995409 0.000481972429279968
"HI" 0.00124111028612899 0.00112735981044811
"HL" 0.018502208395203 0.0104738239667627
"HQ" 4.57621483766813e-05 4.42560278063896e-05
"HT" 0.000344715407863292 0.000308294613071318
"HY" 0.000478029677313268 0.000399338942507692
"IA" 0.0181635215282849 0.0132753926673281
"ID" 0.000402203833208745 0.000385651160204149
"IF" 0.000156751260791943 0.000150428835786965
"IG" 0.00101330346521012 0.000836071819679993
"IH" 0.00277321047374232 0.00252067154282053
"II" 0.00059364312490027 0.000567417531349973
"IJ" 0.00203978083279247 0.00192413215238321
"IK" 0.000136777431943004 0.00013313081157173
"IL" 9.31410618017841e-06 9.04549117494793e-06
"IM" 0.000914601931568564 0.000856212601079308
"IO" 1.99681651817209e-05 1.95273018760822e-05
"IP" 1.56616184430117e-05 1.52835896028189e-05
"IQ" 0.000360536664647517 0.000354028980382758
"IU" 0.000438815856557276 0.000430051458038707
"IX" 4.78111027689336e-05 4.72252439244381e-05
"IY" 0.00228071079385543 0.0021192721124113
"JA" 0.0248669456498385 0.0217009322054851
"JB" 0.00142959583940495 0.00130709614730181
"JI" 0.0036103781268757 0.00268255224119513
"JM" 0.000263212002433458 0.000196911320786612
"JO" 0.00373712271754527 0.00291806664000243
"JS" 3.068703619498e-05 2.89328892444181e-05
"JU" 0.000137638356321723 0.000129754127561269
"JW" 6.10774647941359e-06 5.91624829550909e-06
"JY" 0.00246079109384324 0.00216895662740294
"KA" 0.000135064234918203 0.000130341802749842
"KI" 0.00527360850050398 0.0043652596009964
"KM" 0.00916022229218045 0.00722367670301255
"KU" 0.0011211207299701 0.00105409542158451
"KV" 0.000120930682494942 0.000116859057413181
"KY" 3.83074001310369e-05 3.78369958834305e-05
"LE" 0.000640081092537787 0.000622293281304273
"LI" 0.00396474078427727 0.00247577052706323
"LJ" 0.00433577727682247 0.00290219777574367
"LQ" 0.0164635135337981 0.00907368099034869
"MA" 0.00394452287716337 0.00298790511198684
"MC" 0.00106356119296062 0.00082810734142309
"ML" 0.000145511178878634 8.41850003387011e-05
"MM" 0.000191672775475133 0.00018740124402105
"MQ" 0.000591139490555448 0.000500598255202165
"MR" 7.91515201850842e-05 7.40280588888368e-05
"MU" 5.09182615944037e-05 4.80931081863612e-05
"MW" 0.000102513007388212 9.08997256133558e-05
"MY" 0.00763983479858711 0.00628985734036509
"NE" 0.21686357127606 0.111271341323705
"NI" 0.0157470444495886 0.0121512706303138
"NM" 0.000585082181771219 0.00053327780033215
"NN" 0.0323610058329206 0.022439467621568
"NQ" 0.00496933290431112 0.00444753228602941
"NS" 0.000149458820517302 0.000143242183285116
"NU" 0.00104995574381121 0.000970518659191137
"OA" 0.00027527658170131 0.000262400771586655
"OE" 0.000467853777809288 0.000451252686037061
"OI" 0.000774453372288538 0.000516739885352605
"OM" 0.000735450533607133 0.000696882110779335
"OO" 0.000618941341916993 0.000349456487539139
"OP" 0.000974915339816456 0.000781100315943157
"OR" 1.33863030868386e-05 1.29077123662676e-05
"OT" 0.000120763996447554 0.000111960150632223
"OU" 4.17186265967418e-05 3.88780208482154e-05
"OX" 7.36274123894726e-07 7.16723404982065e-07
"OY" 3.37686088097488e-05 3.27864375602227e-05
"OZ" 2.15422225159014e-05 1.88567549421029e-05
"PA" 4.4888328623876e-05 4.38269910319129e-05
"PC" 0.00140077884551597 0.00134361489542313
"PD" 3.4889182167974e-06 3.46345881872415e-06
"PE" 0.00095039106798538 0.000919979957914661
"PF" 2.9069048522528e-06 2.89699876402025e-06
"PG" 5.75478625572889e-07 5.73164575935136e-07
"PH" 3.16005096810705e-06 3.14051717783997e-06
"PI" 0.000642097843488427 0.000599303676806784
"PJ" 1.72420067606223e-05 1.66129104592296e-05
"PK" 2.72356532458575e-05 2.68449964483197e-05
"PM" 0.000407474693874607 0.000395875963466845
"PN" 0.000625337483506744 0.000616368420973738
"PO" 0.0019323353180832 0.00181725165657546
"PQ" 7.61507147144012e-05 7.57678178959901e-05
"PS" 0.00206697031120105 0.00191841359507477
"PT" 0.00310536249129289 0.00184407886341365
"PU" 0.000182831883684197 0.000179507726224727
"PW" 0.00126220236018613 0.000822676506063588
"PY" 0.10726236192716 0.0562760494343131
"PZ" 5.91007852360497e-05 5.83469468421736e-05
"QA" 0.00606144998277589 0.0038127425170284
"QC" 2.78441658837268e-06 2.74675190285536e-06
"QD" 6.09330309430118e-07 6.0573998340205e-07
"QE" 8.41936078221962e-05 7.41894229654494e-05
"QF" 2.58170897627134e-05 2.53143922599934e-05
"QG" 1.30368192015247e-05 1.28170195332545e-05
"QH" 2.94339720322152e-05 2.9077479266228e-05
"QJ" 7.2748757577782e-05 6.99880750760465e-05
"QK" 3.63990230674852e-06 3.60257022370053e-06
"QQ" 0.00188233390762567 0.0018235536539806
"QU" 0.0122662620677981 0.00999562447644627
"RA" 4.8029525575466e-05 4.01504758026884e-05
"RB" 1.10283959647454e-05 1.06779655086297e-05
